"Date","Open","High","Low","Close","Volume"
#2016-01-01#,42.54,42.57,41.83,42.35,6813757
#2016-01-04#,41.29,41.3501,40.3,40.91,12037151
#2016-01-05#,41.18,41.49,39.95,40.52,10514164
#2016-01-06#,40.05,41.7,40,41.23,12393780
#2016-01-07#,40.97,41.52,39.68,40.45,11312876
#2016-01-08#,40.94,41.36,40.26,40.37,8853096
#2016-01-11#,40.56,41.2,39.9,41.08,15877511
#2016-01-12#,41.15,42.36,40.48,42,12635992
#2016-01-13#,42.17,42.74,39.66,40.1,12718577
#2016-01-14#,40.21,40.78,38.86,40.55,11756473
#2016-01-15#,39.04,39.89,38.37,38.76,18924825
#2016-01-18#,39.04,39.89,38.37,38.76,18924825
#2016-01-19#,39.59,39.78,38.21,38.86,10505908
#2016-01-20#,38.53,39.845,36.2,39.06,16089109
#2016-01-21#,38.93,40,38.02,39.79,9781683
#2016-01-22#,40,40.72,39.57,40.16,7247031
#2016-01-25#,40.02,40.16,38.82,38.88,10113170
#2016-01-26#,38.73,39.75,38.44,39.64,8099029
#2016-01-27#,40.15,40.87,39.48,39.69,10185956
#2016-01-28#,39.61,39.79,37.66,38.14,17112266
#2016-01-29#,37.52,39.085,36.5982,38.99,20957476
#2016-02-01#,39,39.94,38.63,39.38,12023520
#2016-02-02#,38.83,38.97,37,37.03,12401401
#2016-02-03#,37.38,37.61,35.755,37.51,12391194
#2016-02-04#,37.34,38.6,36.701,38.21,8599627
#2016-02-05#,37.71,38.49,36.53,36.75,10072744
#2016-02-08#,36.08,36.16,34.76,35.55,12821858
#2016-02-09#,34.93,36.75,34.91,36.19,11143254
#2016-02-10#,36.57,37.64,36.5301,37.12,8114127
#2016-02-11#,36.47,37.2199,36.17,36.49,8096032
#2016-02-12#,36.92,37.98,36.42,37.82,9412821
#2016-02-15#,36.92,37.98,36.42,37.82,9412821
#2016-02-16#,38.13,38.77,37.53,38.61,7147467
#2016-02-17#,38.95,39.83,38.87,39.34,8432477
#2016-02-18#,39.36,39.68,38.96,39.54,9605849
