"Date","Open","High","Low","Close","Volume"
#2003-01-01#,16.413,16.543,16.133,16.3,744300
#2003-01-02#,16.333,16.75,16.25,16.613,1803300
#2003-01-03#,16.627,16.683,16.357,16.357,1818900
#2003-01-06#,16.383,16.46,15.117,15.313,4802400
#2003-01-07#,15.27,15.617,15.27,15.4,2062800
#2003-01-08#,15.403,15.433,15.19,15.303,1821000
#2003-01-09#,15.4,15.7,15.397,15.52,1146900
#2003-01-10#,15.433,15.613,15.4,15.47,1290900
#2003-01-13#,15.553,15.667,15.2,15.283,2059500
#2003-01-14#,15.083,15.267,14.75,14.95,2659800
#2003-01-15#,14.947,15.093,14.783,15.093,1812000
#2003-01-16#,15.177,15.367,15.05,15.333,1045200
#2003-01-17#,15.25,15.25,14.867,15.023,1981500
#2003-01-20#,15.25,15.25,14.867,15.023,1981500
#2003-01-21#,14.95,14.99,14.283,14.393,2183400
#2003-01-22#,14.367,14.437,14.117,14.2,2021400
#2003-01-23#,14.55,14.617,14.017,14.357,4336500
#2003-01-24#,14.33,14.333,14.067,14.267,1135200
#2003-01-27#,14.167,14.283,14.013,14.167,1426500
#2003-01-28#,14.167,14.503,14.117,14.503,1375800
#2003-01-29#,14.403,14.463,14.3,14.367,1706400
#2003-01-30#,14.667,14.983,14.543,14.557,3795000
#2003-01-31#,14.473,14.55,14.4,14.55,1582200
#2003-02-03#,14.667,14.853,14.4,14.563,914700
#2003-02-04#,14.497,14.583,14.117,14.383,1099800
#2003-02-05#,14.367,14.733,14.317,14.393,726900
#2003-02-06#,14.397,14.467,13.267,13.433,3342600
#2003-02-07#,13.433,13.78,13.013,13.117,4697400
#2003-02-10#,13.033,13.033,12.617,13,3535200
#2003-02-11#,13.317,13.33,13.083,13.223,2363700
#2003-02-12#,13.183,13.32,12.87,12.92,1533900
#2003-02-13#,12.923,13.417,12.837,13.183,5903100
#2003-02-14#,13.183,13.433,13.15,13.433,1683900
#2003-02-17#,13.183,13.433,13.15,13.433,1683900
#2003-02-18#,13.46,13.75,13.4,13.46,1004100
#2003-02-19#,13.467,13.533,12.953,13.147,1361700
#2003-02-20#,13.15,13.153,12.833,12.967,1797300
#2003-02-21#,12.97,12.983,12.647,12.953,2054400
#2003-02-24#,13,13,12.657,12.683,993600
#2003-02-25#,12.55,12.663,12.33,12.527,2219400
#2003-02-26#,12.667,12.87,12.6,12.733,1714800
#2003-02-27#,12.783,13,12.783,12.897,908100
#2003-02-28#,12.897,13.133,12.863,13.007,1007400
#2003-03-03#,13.09,13.213,12.92,13.057,1162200
#2003-03-04#,12.973,13.033,12.6,12.823,2271600
#2003-03-05#,12.827,12.983,12.7,12.95,1829100
#2003-03-06#,12.95,13.05,12.683,12.857,1079100
#2003-03-07#,12.797,13.213,12.667,13.093,1792500
#2003-03-10#,13.06,13.183,12.953,13.1,888300
#2003-03-11#,13.113,13.39,13.1,13.233,1156200
#2003-03-12#,13.183,13.35,13.133,13.307,1074900
#2003-03-13#,13.5,13.963,13.5,13.93,2072400
#2003-03-14#,13.9,14.417,13.8,14.417,2934000
#2003-03-17#,14.283,14.733,14.117,14.6,2430000
#2003-03-18#,14.603,14.7,14.49,14.667,1668600
#2003-03-19#,14.833,15.117,14.783,15.067,2046600
#2003-03-20#,14.983,14.997,14.77,14.89,1762200
#2003-03-21#,14.9,15.267,14.817,15.237,2386500
#2003-03-24#,15.153,15.183,14.917,15.083,1528500
#2003-03-25#,15.067,15.5,15.017,15.36,1260300
#2003-03-26#,15.367,15.567,15.273,15.463,1457400
#2003-03-27#,15.433,15.567,15.35,15.453,1462200
#2003-03-28#,15.42,15.543,15.267,15.467,1225500
#2003-03-31#,15.45,15.527,15.067,15.417,1120800
#2003-04-01#,15.42,15.467,15.263,15.34,1395300
#2003-04-02#,15.5,15.86,15.5,15.737,1199400
#2003-04-03#,15.797,16.1,15.73,15.943,1178100
