"Date","Open","High","Low","Close","Volume"
#2014-01-01#,52.99,53.06,52.36,52.81,3019731
#2014-01-02#,52.12,52.33,51.52,51.98,4569061
#2014-01-03#,52.25,52.665,51.9675,52.3,4794591
#2014-01-06#,52.7,52.7,50.03,50.39,11871094
#2014-01-07#,50.84,51.21,50.3,50.49,9719873
#2014-01-08#,50.63,51.11,50.235,50.36,6813338
#2014-01-09#,50.59,51.65,49.87,51.22,6960524
#2014-01-10#,51.27,51.49,50.76,50.9,5518662
#2014-01-13#,50.66,50.74,49.64,49.83,7055356
#2014-01-14#,49.94,50.88,49.63,50.6,6610849
#2014-01-15#,50.65,50.67,50.07,50.11,4728401
#2014-01-16#,50.1,50.62,50.02,50.5,4972290
#2014-01-17#,50.64,50.66,50.01,50.06,8606778
#2014-01-20#,50.64,50.66,50.01,50.06,8606778
#2014-01-21#,50.26,50.92,49.91,50,5827366
#2014-01-22#,49.98,50,48.62,49.08,8181957
#2014-01-23#,48.74,49.06,48.39,48.87,7270503
#2014-01-24#,48.42,49.1,47.77,47.79,9203692
#2014-01-27#,47.79,47.83,46.42,46.83,10788733
#2014-01-28#,47.08,48.47,47.08,47.69,12298641
#2014-01-29#,47.15,47.84,46.9801,47.61,7608549
#2014-01-30#,47.97,48.88,47.9,48.31,7670930
#2014-01-31#,49.94,50.55,49.07,49.23,12894409
#2014-02-03#,49.4,49.49,47.06,47.35,10315368
#2014-02-04#,47.18,47.97,46.95,47.95,9606123
#2014-02-05#,47.76,48.07,47.155,47.73,6987085
#2014-02-06#,47.89,48.18,47.45,47.93,4957804
#2014-02-07#,48,49.025,47.66,48.89,7003884
#2014-02-10#,48.75,50.19,48.72,49.55,7907594
#2014-02-11#,49.41,49.9675,49.04,49.66,7220444
#2014-02-12#,49.63,50.93,49.59,50.56,6534491
#2014-02-13#,50.3,50.52,49.88,50.35,5266042
#2014-02-14#,50.56,50.91,50.17,50.73,4125072
#2014-02-17#,50.56,50.91,50.17,50.73,4125072
#2014-02-18#,50.64,51.56,50.56,51.46,4984888
#2014-02-19#,51.17,51.86,50.64,51.19,5242787
#2014-02-20#,51.19,52.11,50.73,51.86,6078933
#2014-02-21#,51.82,51.97,51.01,51.04,5842724
#2014-02-24#,51.01,51.56,50.83,50.85,5704236
#2014-02-25#,50.93,51.13,50.5,50.72,5424996
#2014-02-26#,49.95,50.97,49.93,50.74,5710741
#2014-02-27#,50.6,50.92,50.47,50.91,5052972
#2014-02-28#,50.84,51.96,50.51,50.91,7096343
#2014-03-03#,50.34,50.86,49.79,50.09,6817656
#2014-03-04#,50.73,51.725,50.53,51.59,6198289
#2014-03-05#,51.68,52.12,51.3,51.7,5251165
#2014-03-06#,52.04,52.77,51.97,52.04,6529013
#2014-03-07#,52.25,52.5,51.01,51.46,5860736
#2014-03-10#,51.9,51.9,50.86,51.66,3086027
#2014-03-11#,51.68,52.139,51.5,51.75,3634594
#2014-03-12#,51.46,51.74,51.07,51.64,3924773
#2014-03-13#,51.89,52.1,51.14,51.32,4839437
#2014-03-14#,51.25,51.42,50.8,51.21,5466682
#2014-03-17#,51.47,52.19,51.26,51.98,3875485
#2014-03-18#,52.08,53.22,51.97,53.1,4712266
#2014-03-19#,53.09,53.53,52.44,53.11,6408622
#2014-03-20#,52.86,53.8,52.52,53.68,6922666
#2014-03-21#,54.22,54.73,53.09,53.46,12930499
#2014-03-24#,53.53,53.62,51.35,51.36,10162405
#2014-03-25#,51.68,52.1,51.495,51.69,6127187
#2014-03-26#,52,52.34,51.46,51.5,5684946
#2014-03-27#,51.53,51.84,51.43,51.66,4777964
#2014-03-28#,51.83,52.13,50.89,50.98,4208320
