"Date","Open","High","Low","Close","Volume"
#2004-01-01#,6.91,7.05,6.9,6.99,62380
#2004-01-02#,7,7,6.85,7,11821
#2004-01-05#,7,7,6.71,6.91,76963
#2004-01-06#,6.88,7.04,6.71,6.99,29266
#2004-01-07#,7,7.18,6.92,7.16,33669
#2004-01-08#,7.21,7.35,7.2,7.29,31326
#2004-01-09#,7.35,7.45,7.24,7.3,27806
#2004-01-12#,7.08,7.37,7.08,7.22,35212
#2004-01-13#,7.15,7.38,7.12,7.12,41138
#2004-01-14#,7.48,7.48,7.12,7.29,50076
#2004-01-15#,7.15,7.29,7.13,7.22,11100
#2004-01-16#,7.3,7.62,7.13,7.47,40915
#2004-01-19#,7.3,7.62,7.13,7.47,40915
#2004-01-20#,7.15,8.399,7.11,7.91,156729
#2004-01-21#,7.999,8,7.74,7.92,19145
#2004-01-22#,7.73,8.6,7.73,8.34,132319
#2004-01-23#,8.41,8.43,8.07,8.14,38518
#2004-01-26#,8.153,8.5,8.09,8.34,64514
#2004-01-27#,8.1,8.48,8.05,8.24,55730
#2004-01-28#,8.35,8.35,7.56,7.56,59967
#2004-01-29#,7.6,8.19,7.33,7.95,144827
#2004-01-30#,7.95,7.95,7.72,7.75,39300
#2004-02-02#,7.73,7.88,7.4,7.6,85080
#2004-02-03#,7.56,7.69,7.2,7.27,146920
#2004-02-04#,7.287,7.5,6.92,7.02,99785
#2004-02-05#,7,7,6.68,6.69,140878
#2004-02-06#,6.85,7.17,6.85,7.17,102624
#2004-02-09#,7.19,7.22,6.9,7.02,48082
#2004-02-10#,7.11,7.4,7,7.36,236197
#2004-02-11#,7.4,7.5,7.34,7.38,56550
#2004-02-12#,7.21,7.69,7.21,7.54,54314
#2004-02-13#,7.52,7.52,7.31,7.34,57364
#2004-02-16#,7.52,7.52,7.31,7.34,57364
#2004-02-17#,7.3,7.43,7.114,7.4,24390
#2004-02-18#,7.3,7.3,6.95,7,53260
#2004-02-19#,7.15,7.39,6.9,7.18,30908
#2004-02-20#,7.05,7.2,6.88,6.9,82794
#2004-02-23#,7.01,7.18,7,7.17,70607
#2004-02-24#,7.31,7.31,7.12,7.17,68000
#2004-02-25#,7.15,7.26,7.05,7.052,117619
#2004-02-26#,7,7.16,6.98,7.05,25660
#2004-02-27#,7,7.1,6.9,6.91,87694
#2004-03-01#,6.92,7.3,6.92,7.29,63406
#2004-03-02#,7.29,7.42,7.1,7.16,27874
#2004-03-03#,7.3,7.65,6.95,7.65,145561
#2004-03-04#,7.87,7.88,7.52,7.72,77185
#2004-03-05#,7.74,7.99,7.7,7.75,75883
#2004-03-08#,7.67,7.96,7.55,7.64,23952
#2004-03-09#,7.51,7.6,7.17,7.48,51482
#2004-03-10#,7.74,7.74,7.21,7.32,32022
#2004-03-11#,7.25,7.43,7.22,7.29,32903
#2004-03-12#,7.25,7.45,7.19,7.28,18950
#2004-03-15#,7.2,7.5,6.98,7.39,62001
#2004-03-16#,7.44,7.64,7.39,7.46,75608
#2004-03-17#,7.5,7.67,7.15,7.47,95235
#2004-03-18#,7.57,7.82,7.42,7.55,101340
#2004-03-19#,7.4,7.88,7.4,7.81,92462
#2004-03-22#,7.75,7.89,7.6,7.79,122297
#2004-03-23#,7.65,8.11,7.65,8.1,59992
