"Date","Open","High","Low","Close","Volume"
#2002-01-01#,25.1741,25.2721,24.9503,24.9503,1927200
#2002-01-02#,24.6818,25.0622,24.5788,24.9906,3467700
#2002-01-03#,24.9727,25.0174,24.7758,25.013,2657500
#2002-01-04#,25.0846,25.0846,24.7086,24.9682,2672600
#2002-01-07#,25.0174,25.0174,24.5967,24.7937,2227700
#2002-01-08#,24.9055,25.013,24.4804,24.6325,2682700
#2002-01-09#,24.5475,24.8742,24.3909,24.4983,2487200
#2002-01-10#,24.5028,24.8205,24.4491,24.7221,2117800
#2002-01-11#,24.6818,25.0353,24.5788,25.0085,3679100
#2002-01-14#,25.0622,25.286,25.0085,25.013,3215300
#2002-01-15#,25.1741,25.192,24.6773,24.9593,2711300
#2002-01-16#,24.9279,25.5813,24.7802,25.286,5308200
#2002-01-17#,25.286,25.7514,25.2099,25.6887,4676100
#2002-01-18#,25.6261,25.8409,25.5455,25.6932,5252900
#2002-01-21#,25.6261,25.8409,25.5455,25.6932,5252900
#2002-01-22#,25.6261,25.7962,25.5366,25.7245,3615300
#2002-01-23#,25.7245,25.8857,25.5634,25.6843,3361700
#2002-01-24#,25.5992,25.9036,25.4202,25.6619,4563300
#2002-01-25#,25.5992,25.7782,25.4247,25.6171,3468900
#2002-01-28#,25.5097,25.7245,25.3173,25.4426,2834100
#2002-01-29#,25.4426,25.7917,25.0711,25.1606,3873800
#2002-01-30#,25.1606,25.4963,25.0711,25.277,3743000
#2002-01-31#,25.3755,25.832,25.2412,25.823,3386200
#2002-02-01#,25.644,25.9438,25.6306,25.7066,2542200
#2002-02-04#,25.5948,25.6887,25.286,25.3352,3306900
#2002-02-05#,25.3352,25.6216,25.2904,25.5097,3251500
#2002-02-06#,25.3083,25.3531,24.9011,25.0264,4649800
#2002-02-07#,25.1383,25.1696,24.6818,24.8742,2892800
#2002-02-08#,24.637,24.816,24.3416,24.7444,3957500
#2002-02-11#,24.5028,25.013,24.4088,24.919,4062500
#2002-02-12#,24.8518,25.1204,24.7713,25.1204,3707200
#2002-02-13#,25.0622,25.1069,24.825,25.0488,3840800
#2002-02-14#,25.0488,25.1964,24.919,25.183,2779200
#2002-02-15#,25.183,25.9125,25.1562,25.6619,5271800
#2002-02-18#,25.183,25.9125,25.1562,25.6619,5271800
#2002-02-19#,25.6887,25.7201,25.2815,25.3262,3210300
#2002-02-20#,25.5545,25.8454,25.456,25.7693,3110800
#2002-02-21#,25.7693,25.9573,25.3978,25.5769,4338000
#2002-02-22#,25.3799,25.908,25.3799,25.7827,2441600
#2002-02-25#,25.7827,25.8767,25.1472,25.4068,3633600
#2002-02-26#,25.4068,25.4336,25.1741,25.2815,3318300
#2002-02-27#,25.1741,25.456,25.0622,25.2367,3143300
#2002-02-28#,25.3262,25.7111,25.2412,25.3083,3812100
#2002-03-01#,25.4873,25.8633,25.2009,25.729,2560000
#2002-03-04#,25.729,25.823,25.5769,25.6753,2467500
#2002-03-05#,25.5769,25.5992,24.543,24.6236,5863900
#2002-03-06#,24.9369,25.3531,24.8433,25.0711,3291300
#2002-03-07#,25.0622,25.0622,24.1582,24.3237,6227000
#2002-03-08#,24.5028,24.5788,24.0328,24.2074,3416700
#2002-03-11#,24.1224,24.5251,24.0955,24.467,2804000
#2002-03-12#,24.2566,24.8205,24.1805,24.6997,2983500
#2002-03-13#,24.6997,24.9951,24.5475,24.8384,2904600
#2002-03-14#,24.8384,24.8832,24.3685,24.543,3930400
#2002-03-15#,24.6549,24.7489,23.451,24.1716,9707000
#2002-03-18#,24.279,24.3014,23.6972,23.9478,5321600
#2002-03-19#,24.3014,24.3014,23.7688,23.8896,3832800
#2002-03-20#,23.6301,23.724,23.0035,23.1825,8512300
#2002-03-21#,23.3392,23.5003,23.0572,23.4331,4397700
#2002-03-22#,23.4734,24.1582,23.3794,24.0328,5368400
#2002-03-25#,23.9657,24.0105,23.3615,23.4555,3760100
#2002-03-26#,23.3884,23.8807,23.3884,23.648,3146700
#2002-03-27#,23.5361,23.6748,23.0751,23.2318,4196200
#2002-03-28#,23.272,23.8404,23.187,23.5406,4369200
#2002-03-29#,23.272,23.8404,23.187,23.5406,4369200
