"Date","Open","High","Low","Close","Volume"
#2006-01-02#,36.76,37.12,36.61,36.96,3348258
#2006-01-03#,37.2,38.8,36.13,38.52,12752513
#2006-01-04#,38.7,38.8,37.8,38.42,6941166
#2006-01-05#,38.26,38.49,37.54,38.07,6731357
#2006-01-06#,38.5,39.02,38.45,39,8117148
#2006-01-09#,39.05,39.06,37.87,38.3801,6244339
#2006-01-10#,38.1,39.42,38.09,38.6099,7480745
#2006-01-11#,39.14,39.73,38.5,39.33,6580126
#2006-01-12#,39.37,39.97,39.08,39.49,5970246
#2006-01-13#,39.64,39.9,38.53,38.84,4857871
#2006-01-16#,39.64,39.9,38.53,38.84,4857871
#2006-01-17#,38.7,39.47,38.62,39.44,4218002
#2006-01-18#,38.95,40.1,38.78,39.73,5466599
#2006-01-19#,39.71,40.85,39.54,40.46,4450001
#2006-01-20#,40.54,40.62,38.27,38.43,6884150
#2006-01-23#,38.63,38.86,37.79,37.79,7288691
#2006-01-24#,37.95,39.3,37.89,39.13,5848109
#2006-01-25#,38.57,39.04,38.14,38.96,4718339
#2006-01-26#,39.15,39.45,38.22,38.77,4958316
#2006-01-27#,38.84,40.13,38.72,40.08,6414331
#2006-01-30#,39.91,40.19,39.16,39.35,4767600
#2006-01-31#,39.29,40.05,39.06,39.73,4903808
#2006-02-01#,39.32,40.59,39.17,40.51,4548536
#2006-02-02#,40.02,40.15,38.83,39.39,5782028
#2006-02-03#,39.15,39.44,38.38,39.2,3519407
#2006-02-06#,38.93,39.88,38.92,39.52,2741688
#2006-02-07#,39.29,39.98,38.87,39.26,3613145
#2006-02-08#,39.43,39.76,38.64,38.8,3797397
#2006-02-09#,38.8,38.92,37.93,38.12,3917459
#2006-02-10#,37.98,38.94,37.25,38.69,6634349
#2006-02-13#,38.35,39.06,37.62,38.19,4432007
#2006-02-14#,38.25,38.36,37.5,38.13,3617601
#2006-02-15#,37.97,38.48,37.05,37.65,4409242
#2006-02-16#,37.71,38.59,37.67,38.58,6483179
#2006-02-17#,38.4,38.69,37.68,37.8,3349491
#2006-02-20#,38.4,38.69,37.68,37.8,3349491
#2006-02-21#,37.71,38.36,37.52,38.1,4945852
#2006-02-22#,38.26,39.07,38.09,38.76,3403604
#2006-02-23#,38.57,39.34,38.2901,38.77,2946891
#2006-02-24#,38.76,39.01,38.09,38.34,2480670
#2006-02-27#,38.49,39.5,38.27,39.19,2846431
#2006-02-28#,38.93,39.14,38.2,38.55,3722917
#2006-03-01#,38.52,39.17,38.4,39.04,2789362
#2006-03-02#,38.8,39.26,38.5,38.81,2358196
#2006-03-03#,38.5,39.5,38.3,39.05,4552119
#2006-03-06#,39.05,39.31,38.2,38.43,2926933
#2006-03-07#,38.36,38.5,37.96,38.11,2961764
#2006-03-08#,37.99,38.24,37.4872,37.78,2891288
#2006-03-09#,38.01,38.52,37.33,37.44,3284825
#2006-03-10#,37.2,37.89,36.6,37.21,3641526
#2006-03-13#,37.11,37.38,36.73,37.14,3518122
#2006-03-14#,37.1,38.01,36.96,37.4,3625243
#2006-03-15#,37.64,37.76,36.95,37.08,4336514
#2006-03-16#,37,37.35,35.91,35.93,6439061
#2006-03-17#,36,36.24,35.61,35.98,6477438
#2006-03-20#,36.03,36.88,35.94,36.55,3819312
#2006-03-21#,36.42,37.36,36.2,36.35,5120005
#2006-03-22#,36.7,36.86,36.18,36.62,5742067
#2006-03-23#,35.58,36.61,35.39,36.33,16923160
