"Date","Open","High","Low","Close","Volume"
#2010-01-01#,65,65.49,64.56,64.59,399230
#2010-01-04#,65,66,64.96,65.89,794264
#2010-01-05#,65.81,66.2,65.59,66.02,369244
#2010-01-06#,66,66.99,65.68,66.35,922302
#2010-01-07#,66.31,67.1,65.34,66.96,948809
#2010-01-08#,68.22,68.47,66.74,67.68,1106412
#2010-01-11#,67.85,67.93,67.34,67.75,587343
#2010-01-12#,67.17,67.52,66.03,66.64,746187
#2010-01-13#,66.71,67.15,65.58,66.62,720574
#2010-01-14#,66.47,66.82,66.09,66.69,362485
#2010-01-15#,66.69,66.81,65.33,65.64,711760
#2010-01-18#,66.69,66.81,65.33,65.64,711760
#2010-01-19#,65.46,67.35,65.46,67.25,1032642
#2010-01-20#,66.51,67.44,66.28,67.13,621178
#2010-01-21#,65.89,66.74,62.5,63.83,2469874
#2010-01-22#,63.61,63.79,61.1,61.32,1409247
#2010-01-25#,61.71,62.02,60.25,60.25,857956
#2010-01-26#,60.1,61.06,59.47,60.42,859625
#2010-01-27#,60.01,60.708,59.18,60.56,1486345
#2010-01-28#,60.72,60.72,59.29,59.95,731960
#2010-01-29#,60.33,60.94,59.43,59.46,931620
#2010-02-01#,59.82,61.05,59.48,61.02,627323
#2010-02-02#,61.2,62.15,60.63,61.46,1188588
#2010-02-03#,58.21,58.96,54.37,54.7,6909421
#2010-02-04#,54.34,55.51,52.89,53.05,2463525
#2010-02-05#,53.42,55.34,52.7,55.3,2418066
#2010-02-08#,55.5,56.96,55.29,55.83,2274395
#2010-02-09#,56.27,56.63,54.8,54.99,1440886
#2010-02-10#,54.99,55.37,53.48,54.18,1250218
#2010-02-11#,54.18,54.89,53.44,54.61,932822
#2010-02-12#,54.11,54.18,53.38,53.86,1406880
#2010-02-15#,54.11,54.18,53.38,53.86,1406880
#2010-02-16#,54.25,54.25,53.86,54.18,1184610
#2010-02-17#,54.3,54.45,53.18,53.99,2083468
#2010-02-18#,54.37,55.67,53.91,55.33,1756546
#2010-02-19#,56.1,57.3,56.1,56.88,1599575
#2010-02-22#,56.75,57.69,56.15,57.15,1074454
#2010-02-23#,56.79,56.82,55.52,55.98,823002
#2010-02-24#,55.97,56.54,55.63,56.39,680306
#2010-02-25#,55.68,56.21,54.91,56.08,788942
#2010-02-26#,56.08,56.33,55.14,55.44,1202742
#2010-03-01#,55.68,56.44,55.52,56.2,824258
#2010-03-02#,56.67,57.11,56.49,57.1,1293016
#2010-03-03#,57.01,58.75,56.67,58.49,2365743
#2010-03-04#,58.25,60.11,58.25,59.15,2225149
#2010-03-05#,59.34,60.7,59.24,60.36,1093839
#2010-03-08#,60.16,60.57,59.39,60.2,793058
#2010-03-09#,59.8,60.95,59.37,60.88,1123505
#2010-03-10#,60.81,61.81,60.591,61.71,1510311
#2010-03-11#,61.2,62.7,61.2,62.7,1319075
#2010-03-12#,63.01,63.01,62.21,62.75,977606
#2010-03-15#,62.48,64.21,62.141,64.1,1651598
#2010-03-16#,64.59,66.2,64.56,65.68,2715254
#2010-03-17#,66.05,66.995,65.85,66.19,1908818
#2010-03-18#,66.13,66.42,64.81,65.15,1202039
#2010-03-19#,65.17,65.59,63.35,64.07,1582216
#2010-03-22#,63.41,64.53,62.97,64.28,1508398
#2010-03-23#,64.2,64.58,63.42,64.58,1205818
#2010-03-24#,64.15,64.5,63.8,64.3,1103444
#2010-03-25#,64.7,65.4,64.27,64.58,1223400
#2010-03-26#,64.89,65.27,63.5,64.12,1347610
#2010-03-29#,64.22,64.56,63.93,64.39,712571
#2010-03-30#,64.27,64.74,63.8,64,563223
#2010-03-31#,63.74,64.65,63.74,63.99,628366
#2010-04-01#,64.4,65.055,63.92,64.29,611845
#2010-04-02#,64.4,65.055,63.92,64.29,611845
#2010-04-05#,64.4,65.16,64.3,64.99,779052
#2010-04-06#,64.51,66.45,64.34,65.97,1072203
#2010-04-07#,66.02,66.07,65.26,65.75,1052918
#2010-04-08#,65.34,65.75,64.45,64.81,1022682
#2010-04-09#,64.73,65.72,64.41,64.96,916307
#2010-04-12#,65.21,65.69,64.73,64.88,582174
#2010-04-13#,64.6,65.05,64.14,64.78,566416
#2010-04-14#,65.15,67.325,65.15,67.26,973151
#2010-04-15#,67.24,68.49,67.03,67.33,794691
#2010-04-16#,66.46,67.04,65.77,66.87,1586299
#2010-04-19#,66.47,67.27,66.1,67.21,573527
#2010-04-20#,67.52,68.4,67.43,68.26,860558
#2010-04-21#,68.15,68.89,67.68,68.21,1034773
#2010-04-22#,67.38,73.59,67.26,73.51,3352069
#2010-04-23#,73.35,77.08,73.33,76.74,3428478
#2010-04-26#,74.95,76.49,74.95,76.31,1589842
#2010-04-27#,75.69,76.99,74.91,74.99,1489322
#2010-04-28#,75.2,75.49,73.52,74.76,935536
#2010-04-29#,75.2,76.22,74.81,75.63,1278995
#2010-04-30#,75.58,76.05,74.98,75.06,1209382
#2010-05-03#,75.88,77.59,75.297,77.36,1587254
#2010-05-04#,76.31,76.58,75.42,76.5,1591424
#2010-05-05#,75.82,77.2,74.97,75.61,1465762
#2010-05-06#,75.37,76.39,67.82,72.09,3158468
#2010-05-07#,72.4,73,70.87,71.5,2602940
#2010-05-10#,76.28,77.24,74.55,75.98,2293511
#2010-05-11#,74.9,77.26,74.89,76.46,1230019
#2010-05-12#,76.9,78.185,76.65,77.98,1690846
#2010-05-13#,77.98,78,76.54,76.84,1017992
#2010-05-14#,76.1,76.37,69.44,69.93,4171969
#2010-05-17#,70.43,72.05,70.09,70.81,2147020
#2010-05-18#,71.75,73.14,68.44,69.62,2339042
#2010-05-19#,69.5,70.85,69.125,70.35,2030502
#2010-05-20#,68.76,72.64,68.62,68.74,3131838
#2010-05-21#,67.88,69.98,67.02,69.81,1520635
#2010-05-24#,68.95,70.96,68.93,70.07,1352437
#2010-05-25#,67.88,69.4,67.28,69.24,1385108
#2010-05-26#,69.78,71.78,69.28,69.41,1844110
#2010-05-27#,70.96,71.97,70.54,71.87,1125434
#2010-05-28#,71.53,72.47,70.65,70.66,971050
#2010-05-31#,71.53,72.47,70.65,70.66,971050
#2010-06-01#,70.14,70.77,68.2,68.33,1630448
#2010-06-02#,68.89,70.53,68.77,70.42,1234619
#2010-06-03#,70.76,72.62,70.642,72.13,891430
#2010-06-04#,70.75,71.13,68.46,68.61,1333025
#2010-06-07#,68.88,68.95,65.99,66.06,1197840
#2010-06-08#,66.4,66.8,65.17,66.59,1308007
#2010-06-09#,66.92,67.9,66,66.24,999363
#2010-06-10#,67.31,68.21,66.23,67.5,1382044
#2010-06-11#,66.53,69.43,66.43,69.39,1128794
#2010-06-14#,69.67,69.815,68.34,68.46,984440
#2010-06-15#,69.32,70.48,68.68,70.45,1381390
#2010-06-16#,70.04,71.54,69.64,71.06,1192938
#2010-06-17#,71.03,71.27,70.2,70.9,972775
#2010-06-18#,70.69,71.07,70.15,70.5,668615
#2010-06-21#,71.63,71.99,68.72,69.04,748315
#2010-06-22#,69.2,69.24,66.45,66.5,1787120
#2010-06-23#,66.75,67.36,66,66.97,1119572
#2010-06-24#,66.52,67.59,65.33,65.55,1255777
#2010-06-25#,65.86,65.86,63.68,63.9,2156016
#2010-06-28#,63.6,64.4,62.16,63.16,2139365
#2010-06-29#,62,62.04,59.12,59.6,3449892
#2010-06-30#,59.55,60.995,59.41,59.52,1174021
#2010-07-01#,59.43,60,57.85,59.52,2057278
#2010-07-02#,59.81,59.99,55.68,55.7,2821036
#2010-07-05#,59.81,59.99,55.68,55.7,2821036
#2010-07-06#,56.67,57.74,54.26,54.63,2032014
#2010-07-07#,55.35,55.95,53.83,55.81,2023941
#2010-07-08#,56.71,58.56,55.52,56.58,1603079
#2010-07-09#,56.65,58.26,56.43,58.2,1127938
#2010-07-12#,56.9,58.39,56,56.07,1777329
#2010-07-13#,56.99,58.99,56.51,58.72,1583918
#2010-07-14#,58.32,59.23,57.7,58.76,1010824
#2010-07-15#,58.95,59.46,57.38,58.81,1092881
#2010-07-16#,58.48,58.48,55.88,55.88,962446
#2010-07-19#,56.23,57.4,56.105,56.85,948924
#2010-07-20#,55.8,57.2,55.24,57.2,884627
#2010-07-21#,57.47,58.54,57.17,57.26,1431685
#2010-07-22#,57.79,57.94,55.12,55.72,2545742
#2010-07-23#,55.72,56.7,55.37,56.66,1189809
#2010-07-26#,56.88,58.61,56.71,58.58,1353547
#2010-07-27#,58.89,59,58.02,58.64,851568
#2010-07-28#,58.6,59.23,58.02,58.23,1148487
#2010-07-29#,58.74,59.04,57,57.57,573725
#2010-07-30#,56.83,57.75,56.52,57.48,585523
#2010-08-02#,58.43,59.23,57.48,59.1,1093891
#2010-08-03#,58.96,59.43,58.33,59.03,932141
#2010-08-04#,59.12,60.93,59.02,60.93,989669
#2010-08-05#,60.63,61.12,60.42,61.12,958671
#2010-08-06#,60.61,61.67,60.28,61.42,1270243
#2010-08-09#,61.66,63.93,61.361,63.88,1227102
#2010-08-10#,62.88,62.95,60.5,61.09,1162587
#2010-08-11#,60.02,60.02,58.18,58.31,1280778
#2010-08-12#,57.23,58.5,57,57.86,478105
#2010-08-13#,57.67,58.55,57.67,58.07,634956
#2010-08-16#,57.4,58.27,56.81,57.07,719670
#2010-08-17#,57.92,60.41,57.6,59.65,1145055
#2010-08-18#,59.66,59.75,58.6,59.05,681398
#2010-08-19#,58.54,59.09,57,57.24,817743
#2010-08-20#,57.04,57.24,56.1,56.59,613939
#2010-08-23#,57.08,57.21,55.97,56,604481
#2010-08-24#,55.54,55.77,54.22,54.24,1114180
#2010-08-25#,53.7,55.2,53.15,54.93,1011192
#2010-08-26#,55.43,55.83,54.45,54.75,620135
#2010-08-27#,55.33,57.44,54.52,57.33,732013
#2010-08-30#,56.91,57.64,56.55,56.73,568221
#2010-08-31#,56.39,57.13,55.5,56.19,896149
#2010-09-01#,57.21,59.46,56.65,59.43,1018017
#2010-09-02#,59.34,60.62,59.29,60.59,648197
#2010-09-03#,61.51,62.11,60.631,61,488610
#2010-09-06#,61.51,62.11,60.631,61,488610
#2010-09-07#,60.65,60.65,59.27,59.31,485598
#2010-09-08#,59.34,59.81,58.88,59.33,916273
