"Date","Open","High","Low","Close","Volume"
#2014-01-01#,49.79,50.5,49.61,50.319,2002280
#2014-01-02#,49.33,49.74,48.88,49.25,2488043
#2014-01-03#,49.11,49.5,48.78,48.9,1934150
#2014-01-06#,48.98,49.29,48.29,48.55,1856499
#2014-01-07#,48.89,50.104,48.63,49.68,2002471
#2014-01-08#,49.5,50.55,49.05,50.24,2047387
#2014-01-09#,50.82,51.68,50.74,51.08,3716379
#2014-01-10#,51.14,51.48,50.644,51.47,2182743
#2014-01-13#,52,52.7,51.31,51.57,4561673
#2014-01-14#,51.65,52.74,51.29,52.64,2876407
#2014-01-15#,52.83,53.62,52.8,53.29,3241210
#2014-01-16#,53.22,53.73,52.98,53.6,2403308
#2014-01-17#,53.63,53.73,53.04,53.24,2123219
#2014-01-20#,53.63,53.73,53.04,53.24,2123219
#2014-01-21#,53.42,54.18,53.03,53.3,2153261
#2014-01-22#,53.18,53.5,52.31,52.37,3108450
#2014-01-23#,52.68,52.68,51.71,51.86,3593210
#2014-01-24#,51.65,51.65,50.25,50.44,4254062
#2014-01-27#,50.63,50.95,49.3301,50.59,3640930
#2014-01-28#,50.48,51.285,50.455,51.24,1818844
#2014-01-29#,50.76,51,49.61,49.65,2728953
#2014-01-30#,51.55,51.9,50.71,51.52,4046089
#2014-01-31#,50.77,51.625,50.7,51.25,2155298
#2014-02-03#,51.01,51.49,48.93,49.33,4320396
#2014-02-04#,49.79,50.38,49.63,50.12,2032323
#2014-02-05#,49.87,50.11,49.37,49.96,1699151
#2014-02-06#,49.89,51.1075,49.7,50.96,1827250
#2014-02-07#,51.05,52.185,50.822,51.99,2650430
#2014-02-10#,51.84,52.49,51.75,52.28,2340651
#2014-02-11#,52.55,53.09,52.3,52.92,1961023
#2014-02-12#,52.93,53.88,52.76,53.77,3001462
#2014-02-13#,53.51,54.49,53.39,54.13,3033103
#2014-02-14#,53.94,54.97,53.94,54.17,3346484
#2014-02-17#,53.94,54.97,53.94,54.17,3346484
#2014-02-18#,54.17,54.86,53.8001,54.52,2750807
#2014-02-19#,54.52,55.1725,54.37,54.47,2310664
#2014-02-20#,54.37,54.98,53.6,54.9,1847406
#2014-02-21#,55.1,55.55,54.62,55.4,2534750
#2014-02-24#,55.4,55.98,54.45,54.47,4212883
#2014-02-25#,54.45,54.7699,54.03,54.66,2484556
#2014-02-26#,54.82,55.03,53.89,54.72,3838457
#2014-02-27#,57.2,58.68,53.72,54.28,11610022
#2014-02-28#,54.1,54.16,51.89,52.48,6954041
