"Date","Open","High","Low","Close","Volume"
#2009-01-01#,32.35,33.37,32.19,33.28,2569953
#2009-01-02#,33.49,34.15,33.13,34,2239810
#2009-01-05#,34.16,34.34,33.29,33.69,3476732
#2009-01-06#,33.86,34.2,32.83,33.11,3133061
#2009-01-07#,32.75,33.17,32.56,32.75,2280196
#2009-01-08#,32.71,33.32,32.66,33.28,2819893
#2009-01-09#,33.28,33.439,32.55,32.61,1980809
#2009-01-12#,32.71,33.01,32.45,32.79,1860436
#2009-01-13#,32.7,32.92,31.76,32.13,2650140
#2009-01-14#,31.63,31.69,30.88,31.57,2620162
#2009-01-15#,31.82,31.82,31.14,31.76,2946144
#2009-01-16#,32.11,32.65,31.94,32.5,3623559
#2009-01-19#,32.11,32.65,31.94,32.5,3623559
#2009-01-20#,32.43,32.85,31.76,31.83,3074245
#2009-01-21#,32.29,32.44,31.56,32.34,3416280
#2009-01-22#,31.93,32.61,31.6,31.85,3489153
#2009-01-23#,31.39,32.07,31.2,31.94,2759306
#2009-01-26#,31.93,32.89,31.93,32.51,3550806
#2009-01-27#,32.73,32.76,31.97,32.2,3058335
#2009-01-28#,31.89,32.08,31.28,31.76,6495357
#2009-01-29#,31.5,33.29,31.5,32.7,4337307
#2009-01-30#,32.85,32.93,31.21,31.35,4434182
#2009-02-02#,31.04,32.535,30.91,32.38,4695216
#2009-02-03#,32.49,32.72,31.82,32.53,3268043
#2009-02-04#,32.71,33.14,32.57,32.87,2983037
#2009-02-05#,32.84,33.89,32.58,33.63,3536010
#2009-02-06#,33.36,33.7,33,33.22,3798042
#2009-02-09#,33.06,33.2,32.37,32.94,2100766
#2009-02-10#,32.73,33.09,31.69,31.86,2602050
#2009-02-11#,31.96,32.17,31.36,31.67,1789584
#2009-02-12#,31.2,31.49,30.7,31.44,2299168
#2009-02-13#,31.47,32.22,31.43,31.81,2398142
#2009-02-16#,31.47,32.22,31.43,31.81,2398142
#2009-02-17#,31.03,31.17,30.01,30.05,2924378
#2009-02-18#,30.19,30.19,29.59,29.8,2633326
#2009-02-19#,29.81,30.46,29.74,30.11,2496791
#2009-02-20#,29.66,30.33,29.01,29.46,2883545
#2009-02-23#,29.56,29.69,28.3,28.4,3190635
#2009-02-24#,28.58,29.73,28.428,29.58,3016901
#2009-02-25#,29.32,29.69,29.11,29.34,2431296
#2009-02-26#,29.69,29.95,28.71,28.77,3071752
#2009-02-27#,28.59,28.96,27.7,28.05,4360499
#2009-03-02#,27.63,28.22,26.88,26.98,4120154
#2009-03-03#,27.28,27.4,25.33,25.37,6109430
#2009-03-04#,25.68,26,25.27,25.65,4388017
#2009-03-05#,25.57,25.57,24.2,24.87,5076359
#2009-03-06#,25.76,25.76,24.13,24.81,4331945
#2009-03-09#,24.6,24.81,24.07,24.28,3901409
#2009-03-10#,24.65,24.77,24.33,24.71,4794896
#2009-03-11#,24.93,24.98,24.54,24.71,4651098
#2009-03-12#,24.69,25.13,24.3,25.02,3378726
#2009-03-13#,25.01,25.72,24.94,25.25,3785992
#2009-03-16#,25.4,26.545,25.4,26,3412104
#2009-03-17#,26.07,26.24,25.64,26.24,2792270
#2009-03-18#,26.14,27.56,25.78,27.25,7568046
#2009-03-19#,27.58,28.25,27.276,28.01,5339193
#2009-03-20#,28.14,28.49,27.5,27.57,5372132
#2009-03-23#,28.04,28.5,27.74,28.47,4536585
#2009-03-24#,28.1,28.37,27.25,27.27,4969971
#2009-03-25#,27.46,27.66,26.73,27.12,4211704
#2009-03-26#,27.28,27.44,25.99,27.18,6132285
