"Date","Open","High","Low","Close","Volume"
#2007-01-01#,21.96,22.13,21.9,22.04,2527800
#2007-01-02#,21.96,22.13,21.9,22.04,2527800
#2007-01-03#,22.07,22.32,21.89,21.94,2746400
#2007-01-04#,21.85,22,21.69,21.95,2487600
#2007-01-05#,21.9,21.95,21.07,21.32,3365900
#2007-01-08#,21.28,21.37,20.77,21.02,5543900
#2007-01-09#,20.19,20.3,19.92,20.16,18531300
#2007-01-10#,20.51,20.88,20.2,20.74,10199800
#2007-01-11#,20,20.74,20,20.4,6089400
#2007-01-12#,20.46,21.03,20.46,20.94,6982400
#2007-01-15#,20.46,21.03,20.46,20.94,6982400
#2007-01-16#,20.36,21.28,20.346,21.1,5411500
#2007-01-17#,21,21.25,20.8,21,5121400
#2007-01-18#,21.03,21.1,20.78,20.83,2775400
#2007-01-19#,20.15,21.06,20.15,21.02,3727200
#2007-01-22#,20.95,20.98,20.64,20.81,2712100
#2007-01-23#,20.85,20.97,20.66,20.76,3010200
#2007-01-24#,20.87,20.87,20.57,20.81,2148800
#2007-01-25#,20.8,20.85,20.58,20.61,2677600
#2007-01-26#,20.7,20.86,20.62,20.77,2483700
#2007-01-29#,20.67,21.07,20.66,20.99,3772800
#2007-01-30#,21.05,21.2,20.83,20.89,1523100
#2007-01-31#,20.72,20.84,20.6,20.79,2401300
#2007-02-01#,20.73,20.83,20.5,20.65,3599700
#2007-02-02#,20.62,20.86,20.58,20.82,2064900
#2007-02-05#,21.5,21.5,20.71,21.11,3189500
#2007-02-06#,21.12,22.09,21.105,21.74,6451800
#2007-02-07#,21.82,22.05,21.71,21.94,3784500
#2007-02-08#,21.94,22.41,21.84,22.36,4986700
#2007-02-09#,22.4,23.1,22.37,22.61,7082400
#2007-02-12#,22.68,22.75,22.22,22.25,3289198
#2007-02-13#,22.2,22.49,22.2,22.46,2217515
#2007-02-14#,22.45,22.65,22.33,22.38,1770392
#2007-02-15#,22.3,22.49,22.1,22.24,2604900
#2007-02-16#,22.15,22.35,22.03,22.3,2286700
#2007-02-19#,22.15,22.35,22.03,22.3,2286700
#2007-02-20#,22.36,22.83,22.29,22.53,3302900
#2007-02-21#,22.41,22.65,22.31,22.55,2329400
#2007-02-22#,22.51,22.77,22.31,22.4,2079100
#2007-02-23#,22.38,22.39,22.12,22.28,2744200
#2007-02-26#,22.46,22.88,22.31,22.52,3444076
#2007-02-27#,22.32,22.45,20.88,21.55,4809900
#2007-02-28#,21.11,22.1,20.95,21.32,5279200
#2007-03-01#,20.96,21.3,20.14,21.06,3825444
#2007-03-02#,20.99,21.23,20.54,20.61,4153000
#2007-03-05#,19.5,20.04,19.44,19.78,6470900
#2007-03-06#,20.14,20.63,20.05,20.56,10109800
#2007-03-07#,20.6,21.35,20.5,20.93,5440400
#2007-03-08#,21.11,21.25,20.61,20.66,5260030
#2007-03-09#,20.84,20.86,20.41,20.5,4901000
#2007-03-12#,20.55,21.19,20.55,21.07,3345352
#2007-03-13#,20.87,21.138,20.45,20.53,3497500
#2007-03-14#,20.65,20.89,20.23,20.56,3886300
#2007-03-15#,20.57,20.9,20.42,20.74,2964700
#2007-03-16#,20.7,20.96,20.42,20.47,4143300
#2007-03-19#,20.63,21.04,20.46,21.01,3644200
#2007-03-20#,20.89,21.28,20.75,21.24,3245900
#2007-03-21#,21.25,21.5,21.02,21.45,3557600
#2007-03-22#,21.7,21.7,21.24,21.3,4879000
#2007-03-23#,21.3,21.48,21.1,21.38,2449368
#2007-03-26#,21.44,21.56,21.2,21.53,2322400
#2007-03-27#,21.54,21.81,21.41,21.73,2866600
#2007-03-28#,21.53,21.69,21.39,21.46,2744100
#2007-03-29#,21.44,21.85,21.44,21.76,3184100
#2007-03-30#,21.71,21.88,21.24,21.52,3177363
#2007-04-02#,21.64,22.01,21.5,22.01,3258100
#2007-04-03#,22,22.08,21.37,21.54,4108300
#2007-04-04#,21.63,21.84,21.57,21.67,2196565
#2007-04-05#,21.65,21.79,21.53,21.69,1390182
#2007-04-06#,21.65,21.79,21.53,21.69,1390182
#2007-04-09#,21.79,22.3,21.7,22.28,3682267
#2007-04-10#,22.29,22.52,22.24,22.42,3173042
#2007-04-11#,22.48,22.48,22.14,22.23,2269405
#2007-04-12#,22.11,22.19,21.65,21.97,3980231
#2007-04-13#,22.82,22.82,21.55,21.81,3507990
#2007-04-16#,22.25,22.25,21.56,21.97,4557994
#2007-04-17#,22.6,22.68,21.87,22.51,5369299
#2007-04-18#,22.49,22.9,22.33,22.78,3951000
#2007-04-19#,21.98,22.77,21.98,22.74,2962975
#2007-04-20#,22.92,23.18,22.64,22.78,7048691
#2007-04-23#,23.1,23.19,22.64,22.79,3758450
#2007-04-24#,22.78,22.99,22.71,22.84,3136654
#2007-04-25#,22.62,23.1,22.62,23.02,2794939
#2007-04-26#,22.68,23.18,22.68,22.9,2458372
#2007-04-27#,22.81,22.92,22.46,22.51,2092312
#2007-04-30#,22.5,22.56,21.97,21.99,4096116
#2007-05-01#,22.14,22.28,21.85,22.25,2631440
#2007-05-02#,22.92,22.92,22.14,22.42,3992200
#2007-05-03#,22.52,22.58,22.21,22.32,3001691
#2007-05-04#,22.26,22.69,22.19,22.42,3744058
#2007-05-07#,22.45,22.54,22.01,22.43,3956033
#2007-05-08#,22.41,22.41,22.08,22.3,3496250
#2007-05-09#,22.3,22.68,22.15,22.6,3429045
#2007-05-10#,22.54,22.74,22.26,22.3,3311100
#2007-05-11#,22.3,22.72,22.27,22.71,4123078
#2007-05-14#,22,22.96,22,22.55,3341010
#2007-05-15#,22.5,23.08,22.39,22.9,5092476
#2007-05-16#,23.74,24.24,22.82,23.41,6270573
#2007-05-17#,23.3,23.58,23.21,23.47,4399300
#2007-05-18#,23.74,23.74,23.04,23.35,5958700
#2007-05-21#,23.3,23.63,23.25,23.61,4254400
#2007-05-22#,23.65,23.65,23.31,23.37,3214400
#2007-05-23#,23.37,24.16,23.37,23.9,5518740
#2007-05-24#,23.84,24.24,22.79,23.14,7279200
#2007-05-25#,23.38,23.78,22.93,23.17,5899735
#2007-05-28#,23.38,23.78,22.93,23.17,5899735
#2007-05-29#,23.2,23.38,22.92,22.97,4458900
#2007-05-30#,22.35,23.73,22.35,23.7,4797800
#2007-05-31#,23.74,24.23,23.66,23.73,12652858
#2007-06-01#,23.73,24.04,23.34,23.52,6249100
#2007-06-04#,23.34,23.44,22.81,23.15,5668420
#2007-06-05#,23.12,23.14,22.68,22.73,5719050
#2007-06-06#,22.67,22.71,21.92,21.95,7492355
#2007-06-07#,21.93,22.03,21.1,21.31,8526150
#2007-06-08#,21.09,21.66,21.09,21.62,5361230
#2007-06-11#,21.67,21.9,21.47,21.71,3130300
#2007-06-12#,21.51,21.56,20.99,21.05,6073430
#2007-06-13#,21.1,21.31,20.88,21.22,4844100
#2007-06-14#,21.19,21.74,21.1,21.6,4437900
#2007-06-15#,21.83,22.25,21.63,22.08,5224900
#2007-06-18#,22.21,22.21,21.67,21.78,2233500
#2007-06-19#,21.73,21.89,21.6,21.74,3284700
#2007-06-20#,21.77,21.91,21.1,21.16,3648486
#2007-06-21#,20.74,20.95,20.54,20.87,6541442
#2007-06-22#,21.7,21.99,21.3,21.52,8581500
#2007-06-25#,21.48,22.32,21.26,21.8,7269672
#2007-06-26#,21.91,22.19,21.81,21.86,7378796
#2007-06-27#,21.7,22.09,21.52,22,7226512
#2007-06-28#,21.92,22.06,21.59,21.64,4026557
