"Date","Open","High","Low","Close","Volume"
#2006-01-02#,32.4,32.6,32.31,32.51,533900
#2006-01-03#,32.6,32.98,32.4,32.94,1062700
#2006-01-04#,33.01,33.3,32.84,32.91,845600
#2006-01-05#,32.75,33.14,32.6,33.02,848700
#2006-01-06#,33.07,33.5,32.95,33.42,509700
#2006-01-09#,33.36,33.68,33.33,33.55,750900
#2006-01-10#,33.66,35.27,33.6,34.76,1725500
#2006-01-11#,34.5,34.55,34.05,34.21,1094500
#2006-01-12#,34.25,34.28,33.84,34,590700
#2006-01-13#,33.94,34.16,33.72,33.88,389400
#2006-01-16#,33.94,34.16,33.72,33.88,389400
#2006-01-17#,33.61,33.72,33.38,33.56,797600
#2006-01-18#,33.5,33.6,33.35,33.48,410100
#2006-01-19#,33.32,33.55,33.1,33.37,592500
#2006-01-20#,33.47,33.69,33.29,33.5,1001300
#2006-01-23#,33.47,33.68,33.3,33.38,728800
#2006-01-24#,33.361,33.45,32.98,33.28,994400
#2006-01-25#,33.24,33.53,33.01,33.51,774000
#2006-01-26#,33.59,33.89,33.24,33.55,744300
#2006-01-27#,33.45,33.75,33.36,33.55,758300
#2006-01-30#,33.47,33.53,33.27,33.47,343000
#2006-01-31#,33.37,33.45,32.81,33.09,1053000
#2006-02-01#,33.113,33.25,32.62,33.22,879000
#2006-02-02#,32.85,32.9,32.14,32.33,1261500
#2006-02-03#,32.26,32.61,31.93,32.06,958500
#2006-02-06#,32.06,32.09,31.63,31.75,987000
#2006-02-07#,31.67,32.22,31.65,31.95,593300
#2006-02-08#,32.03,32.54,31.96,32.39,1067100
#2006-02-09#,32.34,32.58,32.05,32.19,768000
#2006-02-10#,32.19,32.2,31.73,32.13,582600
#2006-02-13#,32.05,32.29,31.92,32.12,737900
#2006-02-14#,32.19,32.55,32.15,32.4,1178100
#2006-02-15#,32.39,32.59,32.1,32.59,797800
#2006-02-16#,32.5,32.67,32.17,32.5,727800
#2006-02-17#,31.9,31.95,30.37,30.76,3981600
#2006-02-20#,31.9,31.95,30.37,30.76,3981600
#2006-02-21#,29.42,30.6,29.42,29.83,1860000
#2006-02-22#,29.91,30.61,29.91,30.41,1514900
#2006-02-23#,30.31,30.5,29.92,30,1757200
#2006-02-24#,30.17,30.33,30.08,30.1,997900
#2006-02-27#,30.25,30.65,30.24,30.36,848900
#2006-02-28#,30.25,30.29,29.85,29.98,1127300
#2006-03-01#,30.01,30.08,29.75,30.08,989300
#2006-03-02#,30.08,30.33,29.95,30.02,564900
#2006-03-03#,29.96,30.45,29.83,30.1,549100
#2006-03-06#,30.14,30.39,30.07,30.11,709400
#2006-03-07#,30.17,30.46,29.88,29.97,560200
#2006-03-08#,30,30.49,29.97,30.44,525500
#2006-03-09#,30.41,30.45,29.4,29.55,1360900
#2006-03-10#,29.56,29.94,29.53,29.55,695200
#2006-03-13#,29.25,29.25,27.9,29,4503900
#2006-03-14#,28.8,29.28,28.69,29.04,1314500
#2006-03-15#,29.18,29.39,29.1,29.32,726500
#2006-03-16#,29.31,29.93,29.17,29.5,1538300
#2006-03-17#,29.4,29.46,28.94,29.08,1116900
#2006-03-20#,29.05,29.66,29.03,29.35,1251600
#2006-03-21#,29.42,29.48,28.9,29,663900
#2006-03-22#,28.93,29.02,28.77,28.96,753700
#2006-03-23#,28.87,29,28.72,28.77,517000
#2006-03-24#,28.76,28.9,28.67,28.85,801100
#2006-03-27#,28.65,28.85,28.23,28.62,1206000
#2006-03-28#,28.54,28.72,28.41,28.52,665700
#2006-03-29#,28.51,28.87,28.51,28.77,401800
#2006-03-30#,28.77,28.98,28.53,28.67,577800
#2006-03-31#,28.66,29.018,28.65,28.74,734600
#2006-04-03#,28.91,29.19,28.82,29.01,1021000
#2006-04-04#,29.05,29.09,28.64,28.95,579100
#2006-04-05#,28.95,29.2,28.86,29.03,612900
#2006-04-06#,29,29.03,28.41,28.44,897100
#2006-04-07#,28.46,28.51,27.87,27.93,523100
#2006-04-10#,28,28,27.39,27.58,734500
#2006-04-11#,27.57,27.61,27.21,27.35,962200
#2006-04-12#,27.31,27.49,27.29,27.41,507900
#2006-04-13#,27.44,27.47,27.14,27.33,355100
