"Date","Open","High","Low","Close","Volume"
#2012-01-02#,71.46,72.25,70.83,71.5,1051496
#2012-01-03#,72.53,72.67,70.14,70.57,1489785
#2012-01-04#,70.38,71.05,69.82,70.29,751123
#2012-01-05#,70.95,73.05,70.37,72.41,1462991
#2012-01-06#,72.5,74.68,72,74.45,1776146
#2012-01-09#,75.3,76.2,74.12,74.27,1323306
#2012-01-10#,75,75.71,74.05,74.68,1651258
#2012-01-11#,74.75,75.0316,73.16,73.64,1291298
#2012-01-12#,73.89,74.38,73.12,74.32,681014
#2012-01-13#,74.09,75.06,73.31,74.62,864033
#2012-01-16#,74.09,75.06,73.31,74.62,864033
#2012-01-17#,75.38,77.32,74.65,77.11,1371887
#2012-01-18#,77.33,77.58,76.505,76.99,1110720
#2012-01-19#,77.19,77.19,75.57,75.69,1255650
#2012-01-20#,75.61,75.65,73.04,73.58,1682658
#2012-01-23#,73.84,75.6652,73.781,74.33,1448268
#2012-01-24#,74.32,74.96,73.87,73.98,1094129
#2012-01-25#,74.1,75.26,73.7562,74.94,1592780
#2012-01-26#,74.94,75.38,73.69,74.95,949573
#2012-01-27#,74.41,75.97,74.41,75.4,684466
#2012-01-30#,74.51,75.62,73.73,75.01,707672
#2012-01-31#,75.53,76.83,74.68,76.76,1325124
#2012-02-01#,76.95,78.08,76.33,77.35,851544
#2012-02-02#,77.35,78.51,76.81,77.78,917342
#2012-02-03#,80.3499,80.97,78.38,78.875,1163197
#2012-02-06#,78.75,80.08,78.2,79.75,897214
#2012-02-07#,79.87,79.96,78.4,78.81,921918
#2012-02-08#,78.86,78.86,75.0425,76.69,2024032
#2012-02-09#,79,83.1,76.81,80.41,2365202
#2012-02-10#,81.39,83.88,81.07,83.445,2100704
#2012-02-13#,83.95,84.83,83.54,84.35,1221296
#2012-02-14#,84,85.48,83,83.39,1432389
#2012-02-15#,83.31,84,82.51,83.005,957557
#2012-02-16#,83.04,84,82.23,83,982756
#2012-02-17#,82.5,82.94,80.25,81,1225924
#2012-02-20#,82.5,82.94,80.25,81,1225924
#2012-02-21#,81.27,82.5,80,81.81,1175536
#2012-02-22#,81.53,83.94,81.1626,83.46,1700546
#2012-02-23#,84.96,87.63,84.32,85.91,1810438
#2012-02-24#,86,86.48,84.231,84.63,984864
#2012-02-27#,84,84.6,83.465,83.76,1036394
#2012-02-28#,83.83,84.86,82.1253,84.85,1337481
#2012-02-29#,84.63,84.94,83.46,83.73,1108275
#2012-03-01#,84.13,84.68,83.01,84.54,1039592
#2012-03-02#,84.31,85.28,83.52,85.26,1256882
#2012-03-05#,84.77,85.84,83.68,84.2,889563
#2012-03-06#,83.9,84.73,82.7,83.28,964935
#2012-03-07#,83.3,84.125,82.63,83.85,719935
#2012-03-08#,84.04,85.46,83.9,84.91,954181
#2012-03-09#,84.9,85.39,84,84.73,1050977
#2012-03-12#,85.26,88.5,84.86,87.87,2116048
#2012-03-13#,89.13,89.85,88,89.51,1426738
#2012-03-14#,89.32,89.48,88.33,89.17,1357516
#2012-03-15#,89.16,89.7701,89.01,89.52,1133431
#2012-03-16#,89.08,89.54,88.1,89.01,1607872
#2012-03-19#,89.32,89.9,88.53,89.81,912333
#2012-03-20#,89.54,90.53,88.9,90.02,1509747
#2012-03-21#,90.25,93.47,90.02,92.8,1707612
#2012-03-22#,92.55,94.2201,91.64,94.02,1565954
#2012-03-23#,94.1,94.9,92.45,93.82,889364
#2012-03-26#,92.45,95.01,92,94.31,1259397
#2012-03-27#,93.99,94.41,92.99,93.28,1293274
#2012-03-28#,92.97,93.83,87.03,90.22,3962243
#2012-03-29#,89.23,91.5,88.74,91.26,1514665
#2012-03-30#,91.95,93.05,91.5201,92.86,1694760
#2012-04-02#,93,93.54,92.26,93.05,1529146
#2012-04-03#,92.75,93.87,92.5,93.87,1010719
#2012-04-04#,93.35,93.74,91.88,92.83,814191
#2012-04-05#,92.18,93.86,91.93,93.67,661008
#2012-04-06#,92.18,93.86,91.93,93.67,661008
#2012-04-09#,92.57,92.716,91.53,91.88,761224
#2012-04-10#,92.11,92.17,88.24,89.22,1238304
#2012-04-11#,89.85,91.13,89.42,89.81,899708
#2012-04-12#,90.19,90.9192,89.77,90.1,675328
#2012-04-13#,89.4,90.43,88.82,89.02,811337
#2012-04-16#,89.41,89.6,87.01,88.67,1257798
#2012-04-17#,88.86,90.2,88.49,89.71,959473
#2012-04-18#,89.52,91.21,89.02,90.36,677307
#2012-04-19#,90.34,92.38,90.31,90.97,792847
#2012-04-20#,91.52,92.59,91.01,91.76,921273
#2012-04-23#,90.81,91.94,89.34,91.94,1215657
