"Date","Open","High","Low","Close","Volume"
#2012-01-02#,5.34,5.45,5.28,5.4,6907833
#2012-01-03#,5.53,5.59,5.44,5.48,12678923
#2012-01-04#,5.47,5.49,5.41,5.46,8035929
#2012-01-05#,5.45,5.565,5.35,5.46,11479872
#2012-01-06#,5.44,5.52,5.39,5.43,12941021
#2012-01-09#,5.42,5.6,5.38,5.59,12588748
#2012-01-10#,5.66,5.75,5.64,5.71,10131738
#2012-01-11#,5.68,5.835,5.68,5.81,11209094
#2012-01-12#,5.83,5.85,5.71,5.82,11480090
#2012-01-13#,5.76,5.79,5.63,5.66,9674192
#2012-01-16#,5.76,5.79,5.63,5.66,9674192
#2012-01-17#,5.77,5.84,5.71,5.73,8262012
#2012-01-18#,5.73,6.03,5.73,5.97,19955752
#2012-01-19#,6.02,6.24,5.98,6.22,21731277
#2012-01-20#,6.22,6.49,6.18,6.42,28708568
#2012-01-23#,6.42,6.6,6.3901,6.52,21918398
#2012-01-24#,6.47,6.81,6.39,6.53,38790413
#2012-01-25#,6.28,6.78,6.2299,6.73,36787719
#2012-01-26#,6.73,6.95,6.68,6.77,25163625
#2012-01-27#,6.72,6.85,6.65,6.82,16442606
#2012-01-30#,6.73,6.78,6.61,6.74,13366529
#2012-01-31#,6.79,6.84,6.69,6.71,17477487
#2012-02-01#,6.83,6.92,6.8,6.9,14672436
#2012-02-02#,6.9,7,6.84,6.93,15775437
#2012-02-03#,7.02,7.12,6.98,7.08,15318044
#2012-02-06#,7.02,7.05,6.9,6.92,13145864
#2012-02-07#,6.96,7.185,6.95,7.13,18875438
#2012-02-08#,7.14,7.39,7.11,7.25,15607029
#2012-02-09#,7.3,7.33,7.13,7.24,13358414
#2012-02-10#,7.08,7.12,6.96,7.05,16473349
#2012-02-13#,7.24,7.37,7.17,7.29,19483442
#2012-02-14#,7.24,7.43,7.24,7.32,18766084
#2012-02-15#,7.38,7.5,7.3,7.3,15269384
#2012-02-16#,7.3,7.6,7.27,7.59,13140445
#2012-02-17#,7.66,7.68,7.42,7.42,13956246
#2012-02-20#,7.66,7.68,7.42,7.42,13956246
#2012-02-21#,7.44,7.45,7.2,7.28,15664294
#2012-02-22#,7.24,7.27,7,7.14,20775967
#2012-02-23#,7.11,7.3,7.05,7.29,16384900
#2012-02-24#,7.42,7.57,7.38,7.46,19282476
#2012-02-27#,7.4,7.59,7.27,7.47,14769064
#2012-02-28#,7.45,7.61,7.43,7.52,10515202
#2012-02-29#,7.52,7.55,7.34,7.35,13952418
#2012-03-01#,7.47,7.7,7.42,7.51,19155616
#2012-03-02#,7.5,7.63,7.43,7.46,11203319
#2012-03-05#,7.35,7.44,7.03,7.07,25144212
#2012-03-06#,6.91,6.95,6.76,6.9,15021119
#2012-03-07#,7,7.23,6.92,7.17,18981401
#2012-03-08#,7.24,7.5,7.215,7.47,21252735
#2012-03-09#,7.56,7.65,7.525,7.58,15095665
#2012-03-12#,7.55,7.6,7.4259,7.5,15385475
#2012-03-13#,7.56,7.79,7.54,7.76,17894260
#2012-03-14#,7.75,7.99,7.73,7.76,22706983
#2012-03-15#,7.96,8.28,7.92,8.25,27157795
#2012-03-16#,8.31,8.33,8.11,8.2,14111765
#2012-03-19#,8.19,8.23,8.08,8.18,12016789
#2012-03-20#,8.05,8.09,7.92,8.06,16428773
#2012-03-21#,8.09,8.18,8.01,8.04,9090246
#2012-03-22#,7.97,8.04,7.9,8.03,9352220
#2012-03-23#,8.05,8.12,7.95,8.09,8149170
#2012-03-26#,8.16,8.25,8.12,8.24,8694416
#2012-03-27#,8.25,8.35,8.17,8.19,9801989
