"Date","Open","High","Low","Close","Volume"
#2015-01-01#,161.67,163.28,159.26,159.29,2691888
#2015-01-02#,160.16,162.59,158.6,159.89,2606798
#2015-01-05#,157.43,159.6,154.26,157.99,4085487
#2015-01-06#,158.78,158.88,152.33,152.9,5075771
#2015-01-07#,154.09,158.58,153.01,158.24,3502412
#2015-01-08#,159.605,162.76,155.15,157.67,4560248
#2015-01-09#,158.76,158.76,154.63,155.73,3949092
#2015-01-12#,156.22,157.99,154.99,156.22,2700746
#2015-01-13#,158.89,160.96,153.41,155.14,4570440
#2015-01-14#,152.87,155.54,152.57,155.16,3426427
#2015-01-15#,156.15,157.74,151.53,151.92,2896036
#2015-01-16#,152.43,158.44,152.03,158.43,3513169
#2015-01-19#,152.43,158.44,152.03,158.43,3513169
#2015-01-20#,159.21,159.73,154.651,157.6,3664373
#2015-01-21#,155.38,158.27,155.38,157.38,2804857
#2015-01-22#,158.17,159.78,154.11,159.57,3783059
#2015-01-23#,159.8,160.01,158.25,159.81,2249418
#2015-01-26#,159.62,161.48,157.67,159.73,3149585
#2015-01-27#,158.53,160.74,158.278,158.89,2876264
#2015-01-28#,158.32,160.91,154.51,154.64,4927113
#2015-01-29#,154.89,156.84,153.76,156.37,3435503
#2015-01-30#,155.55,156.87,151.53,152.26,5318204
#2015-02-02#,153.41,153.97,149.4,152.5,3832457
#2015-02-03#,153.76,153.76,148.87,152.23,4298435
#2015-02-04#,150.13,153.15,147.42,151.45,5827111
#2015-02-05#,152.29,153.9,151.02,153.36,3564405
#2015-02-06#,154.32,154.76,150.6,151.4,3242714
#2015-02-09#,150,151.83,149.2,150.01,3236388
#2015-02-10#,150.5,152.63,149.05,152.57,4108620
#2015-02-11#,153.3,155.24,152.265,153.11,3998663
#2015-02-12#,154.83,154.83,151.12,153.18,2935775
#2015-02-13#,153.62,153.81,150.21,153.48,3592054
#2015-02-16#,153.62,153.81,150.21,153.48,3592054
#2015-02-17#,153.52,154.85,153,154.24,3895609
#2015-02-18#,154.22,156.23,153.64,155.78,3297879
#2015-02-19#,155.97,156.42,155.04,156.05,3913882
#2015-02-20#,156.43,157.75,155.06,157.66,4411081
#2015-02-23#,158.07,159.2,157.81,158.42,3094261
#2015-02-24#,159,159.11,156.25,157.37,2060548
#2015-02-25#,157.76,158.78,155.74,158.08,3262822
#2015-02-26#,158.48,159.4,156,158.97,3379767
#2015-02-27#,159.1,159.24,157.2,157.72,2471953
#2015-03-02#,159.29,159.9,157.62,159.63,3483532
#2015-03-03#,159.4,159.4,157.51,158.56,2334873
#2015-03-04#,158.05,159.74,156.81,159.19,3098640
#2015-03-05#,160,161.48,158.857,159.6,2470899
#2015-03-06#,158.5,159.92,154,154.88,4091352
#2015-03-09#,154.85,155.74,152.78,155.01,2134997
#2015-03-10#,152.87,155.625,152.29,153.58,3509639
#2015-03-11#,154.12,154.27,152.42,152.7,2487097
#2015-03-12#,154.26,154.77,152.95,154.25,1889403
#2015-03-13#,153.28,154.75,152.58,154.26,2737945
#2015-03-16#,157.73,163.2,156.74,163.03,5201626
#2015-03-17#,162.25,163.76,161.739,163.07,2620805
#2015-03-18#,162.97,167.599,161.83,166.54,3690084
#2015-03-19#,167.67,169.22,166.97,169.11,3756562
#2015-03-20#,170.4,172.36,168.51,170.1,9040559
#2015-03-23#,168.9,169.21,165.7,166.54,3880023
#2015-03-24#,166.06,168.25,165.4,166.01,2555571
#2015-03-25#,166,166.79,160.57,160.62,4010098
#2015-03-26#,158.84,162.69,157.36,160.55,3146525
#2015-03-27#,161.26,163.445,161,162.59,2438867
#2015-03-30#,164.51,165.82,163.05,164.305,2388057
#2015-03-31#,163.32,164.09,159.72,159.85,3110965
