"Date","Open","High","Low","Close","Volume"
#2015-01-01#,134.87,134.87,132.15,132.25,556047
#2015-01-02#,132.98,133.49,130.71,132.09,622175
#2015-01-05#,130.78,131.3,127.21,127.85,1068604
#2015-01-06#,127.83,128.22,123.48,124.41,1307628
#2015-01-07#,125.75,127.04,124.81,126.62,1271145
#2015-01-08#,128.53,129.37,127.75,128.87,1681386
#2015-01-09#,129.33,129.62,127.26,127.68,843695
#2015-01-12#,127.52,127.69,125.42,126.38,908783
#2015-01-13#,128.13,129.93,126.32,127.3,1177656
#2015-01-14#,124.9,125.66,123.12,124.97,1199916
#2015-01-15#,125.13,125.65,122.73,122.86,889283
#2015-01-16#,122.96,124.74,121.49,124.66,935180
#2015-01-19#,122.96,124.74,121.49,124.66,935180
#2015-01-20#,125,125.87,123.83,125.16,1020628
#2015-01-21#,125.16,126.83,123.84,126.34,1173666
#2015-01-22#,127.19,130.53,125.93,130.23,1185768
#2015-01-23#,130.23,130.5,128.96,129.48,1241656
#2015-01-26#,129.37,131.07,128.7,130.78,1077686
#2015-01-27#,129.05,130.12,127.98,129.01,717523
#2015-01-28#,129.99,129.99,126.285,126.39,1444186
#2015-01-29#,129.06,130.14,126.35,128.26,1637686
#2015-01-30#,127.13,127.81,124.77,124.94,1367885
#2015-02-02#,125.88,128.93,124.63,128.76,1173603
#2015-02-03#,129.81,132.66,129.4,132.52,1338162
#2015-02-04#,132.35,133.24,131.33,131.88,1274150
#2015-02-05#,131.4,133.08,130.75,132.48,916064
#2015-02-06#,133.55,136.445,133.55,134.79,1316497
#2015-02-09#,134.54,134.88,133.51,134.69,857378
#2015-02-10#,136.3,136.46,135.22,136.17,909128
#2015-02-11#,135.94,136.66,135.19,136.24,858598
#2015-02-12#,136.24,137.69,136.16,137.57,755897
#2015-02-13#,137.65,138.19,136.86,137.81,702334
#2015-02-16#,137.65,138.19,136.86,137.81,702334
#2015-02-17#,137.56,138.26,137.07,137.53,914974
#2015-02-18#,137.21,137.28,135.36,135.86,945939
#2015-02-19#,135.5,136.46,135.37,135.85,883239
#2015-02-20#,135.39,136.28,134.3,136.2,1344543
#2015-02-23#,136.37,136.37,134,134.76,899966
#2015-02-24#,134.64,136.75,134.64,135.48,1039906
#2015-02-25#,135.06,135.85,134.77,135.32,571799
#2015-02-26#,135.42,136.05,134.794,135.34,549940
#2015-02-27#,135.33,136.02,133.58,133.63,896166
#2015-03-02#,133.33,135.95,133.33,134.9,898344
