"Date","Open","High","Low","Close","Volume"
#2003-01-01#,3.16,3.68,3.16,3.53,1174600
#2003-01-02#,3.63,3.85,3.55,3.85,716000
#2003-01-03#,3.8,3.84,3.66,3.69,554300
#2003-01-06#,3.75,3.98,3.7,3.89,1632900
#2003-01-07#,4,4.02,3.82,3.85,1157300
#2003-01-08#,3.8,3.85,3.67,3.78,696800
#2003-01-09#,3.85,3.99,3.85,3.9,659100
#2003-01-10#,3.88,4.29,3.8,4.08,1677500
#2003-01-13#,4.2,4.37,4,4.23,1143200
#2003-01-14#,4.33,4.83,4.3,4.83,2809200
#2003-01-15#,4.98,5.04,4.68,5,3722200
#2003-01-16#,4.95,5.24,4.85,5.16,2576700
#2003-01-17#,4.98,4.98,4.45,4.46,1914900
#2003-01-20#,4.98,4.98,4.45,4.46,1914900
#2003-01-21#,4.5,4.7,4.22,4.5,3727700
#2003-01-22#,4.5,4.72,4.31,4.62,1571300
#2003-01-23#,4.65,4.98,4.65,4.85,2343500
#2003-01-24#,4.85,4.89,4.65,4.74,1406600
#2003-01-27#,4.68,4.69,4.45,4.57,2665500
#2003-01-28#,4.95,5.03,4.7,4.95,3665400
#2003-01-29#,4.93,5.24,4.75,5.22,2379400
#2003-01-30#,5.3,5.45,5.12,5.25,3112400
#2003-01-31#,5.2,5.2,4.86,5.08,1907600
#2003-02-03#,5.1,5.19,4.86,4.94,1551800
#2003-02-04#,4.86,4.9,4.64,4.9,2161500
#2003-02-05#,4.91,4.99,4.65,4.78,658300
#2003-02-06#,4.78,4.9,4.65,4.77,727500
#2003-02-07#,4.88,4.95,4.7,4.76,896300
#2003-02-10#,4.77,4.8,4.5,4.64,1186500
#2003-02-11#,4.66,4.67,4.53,4.62,1930400
#2003-02-12#,4.52,4.65,4.45,4.51,1956500
#2003-02-13#,4.45,4.62,4.36,4.61,1048100
#2003-02-14#,4.51,4.81,4.5,4.69,1615500
#2003-02-17#,4.51,4.81,4.5,4.69,1615500
#2003-02-18#,4.74,4.95,4.7,4.88,1073700
#2003-02-19#,4.75,4.86,4.68,4.72,811100
#2003-02-20#,4.75,4.87,4.7,4.78,554000
#2003-02-21#,4.78,4.94,4.72,4.94,865900
#2003-02-24#,5,5.05,4.6,4.65,2204900
#2003-02-25#,4.65,4.75,4.52,4.71,1693700
