"Date","Open","High","Low","Close","Volume"
#2010-01-01#,43.91,43.92,43.41,43.46,324981
#2010-01-04#,43.56,44.99,43.51,44.64,736891
#2010-01-05#,44.71,44.8803,43.51,43.64,652493
#2010-01-06#,43.74,43.83,43.33,43.35,486530
#2010-01-07#,43.19,43.53,43.03,43.46,471218
#2010-01-08#,43.38,43.77,43.16,43.76,381214
#2010-01-11#,43.95,43.9999,43.28,43.93,361160
#2010-01-12#,43.75,43.9121,42.54,42.74,310174
#2010-01-13#,42.72,43.62,42.67,43.04,301191
#2010-01-14#,42.89,43.52,42.89,43.49,253172
#2010-01-15#,43.56,43.84,43.1,43.34,332262
#2010-01-18#,43.56,43.84,43.1,43.34,332262
#2010-01-19#,43.26,44.14,43.01,44.09,338860
#2010-01-20#,44.04,44.09,42.54,42.79,297633
#2010-01-21#,42.88,43.18,41.76,41.835,303197
#2010-01-22#,41.96,42.03,40.72,40.8,299345
#2010-01-25#,41.24,41.31,40.49,40.77,303903
#2010-01-26#,40.76,40.83,40.2801,40.56,252521
#2010-01-27#,40.36,42.21,40.24,42.19,943855
#2010-01-28#,42,42.37,41.59,41.97,456910
#2010-01-29#,42.15,42.47,41.86,41.86,643201
#2010-02-01#,41.97,42.19,41.54,42.19,376137
#2010-02-02#,42.13,42.57,41.86,42.35,267469
#2010-02-03#,42.06,42.67,42.01,42.57,275691
#2010-02-04#,42.19,42.22,40.9,40.97,392460
#2010-02-05#,40.85,41.22,40.26,41.19,429479
#2010-02-08#,41.16,41.16,40.4,40.68,183925
#2010-02-09#,40.94,41.25,40.52,41.05,273816
#2010-02-10#,40.86,41.41,40.7,41.27,362657
#2010-02-11#,41.1,41.45,40.83,41.35,344032
#2010-02-12#,40.9,41.62,40.9,41.59,295587
#2010-02-15#,40.9,41.62,40.9,41.59,295587
#2010-02-16#,42,42.06,41.71,42.03,222506
#2010-02-17#,42,42.88,41.98,42.83,429850
#2010-02-18#,42.93,43.5,42.71,43.36,256307
#2010-02-19#,43.27,43.58,43.1001,43.17,243024
#2010-02-22#,43.24,43.38,42.9,43.18,150159
#2010-02-23#,43.13,43.25,42.7,42.99,276368
#2010-02-24#,43.2,44.36,43.19,44.04,486753
#2010-02-25#,43.1,43.64,42.03,43.62,462706
#2010-02-26#,43.51,43.97,42.74,43.86,498879
#2010-03-01#,43.97,44.3,43.66,44.3,565952
#2010-03-02#,44.22,44.67,44.14,44.62,517500
#2010-03-03#,44.46,45,44.46,44.46,416712
#2010-03-04#,44.66,44.73,43.95,44.23,431649
#2010-03-05#,44.52,45.08,44.22,44.87,252714
#2010-03-08#,44.95,45.24,44.52,44.93,358148
#2010-03-09#,44.65,45.19,44.38,44.66,418493
#2010-03-10#,44.52,45.23,44.52,45.13,389143
#2010-03-11#,44.82,45.31,44.58,45.14,376626
#2010-03-12#,45.47,45.5,44.9,45.17,298739
#2010-03-15#,45,45.29,44.65,45.21,299168
#2010-03-16#,45.17,45.425,44.7,45.03,866076
#2010-03-17#,45.23,45.87,45.21,45.8,470732
#2010-03-18#,45.64,46.49,45.64,46.29,776968
#2010-03-19#,46.23,46.23,44.67,44.89,1051242
#2010-03-22#,44.62,45.13,44.45,44.85,453190
#2010-03-23#,44.92,44.99,44.48,44.76,486634
#2010-03-24#,44.55,44.97,44.2295,44.41,264485
#2010-03-25#,44.83,44.83,43.65,43.66,463111
#2010-03-26#,43.7,43.9375,43.17,43.4,580090
#2010-03-29#,43.62,43.88,43.492,43.8,283355
#2010-03-30#,43.73,43.9,43.4,43.54,340835
#2010-03-31#,43.31,43.75,43.1,43.185,256404
#2010-04-01#,43.12,43.47,42.6023,43.02,426328
#2010-04-02#,43.12,43.47,42.6023,43.02,426328
#2010-04-05#,43.24,44.23,43,44.21,332682
#2010-04-06#,43.91,44.45,43.52,44.28,415980
#2010-04-07#,44.12,44.2,43.48,43.73,275790
#2010-04-08#,43.45,44.16,43.43,43.88,200866
#2010-04-09#,43.88,44.07,43.55,44.03,419518
#2010-04-12#,44.14,44.24,43.74,44.15,364826
#2010-04-13#,43.99,44.04,43.4,43.96,457365
#2010-04-14#,44.04,44.04,43.25,43.52,527610
#2010-04-15#,43.34,44.105,43.14,43.82,440246
#2010-04-16#,43.57,43.99,43.38,43.56,372686
#2010-04-19#,43.34,43.99,43.14,43.77,490366
#2010-04-20#,43.99,44.68,43.76,44.68,247165
#2010-04-21#,44.82,44.87,44.38,44.65,420377
#2010-04-22#,44.25,45.42,43.76,45.39,386958
#2010-04-23#,45.52,45.76,45.12,45.67,305673
#2010-04-26#,45.51,45.74,45.28,45.54,196499
#2010-04-27#,45.3,45.46,44.7225,44.95,469241
#2010-04-28#,45.06,45.5,44.57,44.93,536126
#2010-04-29#,45.09,46.34,44.97,46.04,513463
#2010-04-30#,46,46.48,44.93,44.96,412659
#2010-05-03#,45.02,45.43,44.8,45.42,232355
#2010-05-04#,44.82,45.0125,43.93,44.34,253523
#2010-05-05#,43.98,44.75,43.665,43.815,494471
#2010-05-06#,44.9,46.6,42.27,44.41,1127796
#2010-05-07#,44,44.16,42.29,42.86,870358
#2010-05-10#,43.93,45,43.72,44.98,851673
#2010-05-11#,44.5,45.57,44.475,45.03,573710
#2010-05-12#,45.26,46.35,44.83,46.26,493089
#2010-05-13#,45.98,46.88,45.6901,45.95,497753
#2010-05-14#,45.6,46.15,44.59,44.79,473825
#2010-05-17#,45.05,45.49,44.2315,45.39,424378
#2010-05-18#,45.86,45.95,44.165,44.4,386162
#2010-05-19#,44.13,44.53,43.55,44.16,315941
#2010-05-20#,43.39,43.89,42.4425,42.57,514810
#2010-05-21#,42.2,43.61,41.74,43.52,895092
#2010-05-24#,43.52,43.79,42.84,42.84,378157
#2010-05-25#,41.82,43.21,41.22,43.05,614639
#2010-05-26#,43.1,44.169,42.72,43.37,451345
#2010-05-27#,44.18,44.67,43.93,44.66,305407
#2010-05-28#,44.47,44.58,43.55,43.73,379720
#2010-05-31#,44.47,44.58,43.55,43.73,379720
#2010-06-01#,43.61,44.25,43.1,43.41,402991
#2010-06-02#,43.75,44.16,43.28,44.16,636736
#2010-06-03#,44,44.32,43.59,44.08,811456
#2010-06-04#,43.17,43.96,42.61,42.81,395416
#2010-06-07#,42.79,43.29,41.72,41.84,240971
#2010-06-08#,41.96,42.6695,40.9,41.46,274496
#2010-06-09#,41.8,42.62,41.7,41.93,304560
#2010-06-10#,42.4,43.08,42.25,43.01,290359
#2010-06-11#,42.47,43.45,42.34,43.34,272942
#2010-06-14#,43.58,43.59,42.96,43.12,463983
