"Date","Open","High","Low","Close","Volume"
#2008-01-01#,47.77,47.94,47.32,47.69,1344455
#2008-01-02#,47.57,47.77,46.31,46.44,2552940
#2008-01-03#,46.68,46.68,45.87,46.08,3070300
#2008-01-04#,45.22,46.29,44.44,45.47,2646821
#2008-01-07#,45.75,45.84,44.81,45.24,2458990
#2008-01-08#,45.3,45.69,44.44,44.51,2154400
#2008-01-09#,44.43,45.15,43.74,45.15,2265961
#2008-01-10#,44.9,46.05,44.65,45.51,1939767
#2008-01-11#,45.15,45.8,44.65,45.17,1507093
#2008-01-14#,45.44,45.44,44.43,44.98,1388115
#2008-01-15#,44.34,44.69,43.97,44.06,1478983
#2008-01-16#,44.02,45.15,43.98,44.71,2125008
#2008-01-17#,44.84,44.97,43.23,43.33,2894500
#2008-01-18#,43.67,44,42.54,43.42,3086193
#2008-01-21#,43.67,44,42.54,43.42,3086193
#2008-01-22#,41.55,43.88,41.55,43.37,3116541
#2008-01-23#,42.23,44.05,42.11,43.79,3920367
#2008-01-24#,44.07,44.07,42.94,43.33,3074701
#2008-01-25#,43.49,43.5,42.46,42.63,1705779
#2008-01-28#,42.79,43.6,42.47,43.53,1534114
#2008-01-29#,43.7,43.94,43,43.55,2130136
#2008-01-30#,43.46,44.29,42.58,42.72,3163732
#2008-01-31#,42.13,44.01,41.75,43.33,2423318
#2008-02-01#,43.47,44.88,43.24,44.83,1820590
#2008-02-04#,44.66,44.99,44.28,44.33,1236065
#2008-02-05#,43.45,44,42.93,42.93,1352900
#2008-02-06#,43.14,43.45,42.42,42.86,1595077
#2008-02-07#,42.85,43.97,42.3,43.01,2761106
#2008-02-08#,42.7,42.7,41.44,41.9,2465121
#2008-02-11#,41.8,41.97,40.71,41.44,3815397
#2008-02-12#,41.78,42.33,41.3,42.06,3104315
#2008-02-13#,42.4,42.49,41.48,41.74,3297680
#2008-02-14#,41.67,42.13,40.99,41.6,2338046
#2008-02-15#,41.86,42.62,41.3,42.49,2154009
#2008-02-18#,41.86,42.62,41.3,42.49,2154009
#2008-02-19#,42.89,42.9,41.61,41.96,3251930
#2008-02-20#,41.67,43.1,41.55,42.93,2384379
#2008-02-21#,43.05,43.13,42.27,42.53,3583442
#2008-02-22#,42.47,43.11,42.07,43.11,3339394
#2008-02-25#,42.93,43.5,42.5,43.36,2882313
#2008-02-26#,43.01,43.3,42.55,42.81,2673685
#2008-02-27#,42.54,43.73,42.47,43.41,3072245
#2008-02-28#,43.02,43.23,42.56,42.85,2587890
#2008-02-29#,42.25,42.28,41.33,41.61,3170868
#2008-03-03#,41.47,41.51,40.75,41.28,2134055
#2008-03-04#,40.86,41.73,40.82,41.51,2514293
#2008-03-05#,41.51,41.82,40.61,41.06,2470330
#2008-03-06#,40.89,41.15,40.04,40.12,2157353
#2008-03-07#,39.72,40.66,39.47,40.24,2225457
#2008-03-10#,40.24,40.59,39.89,40.01,2224836
#2008-03-11#,40.56,41.16,39.87,41.09,2306025
#2008-03-12#,41.4,41.92,41.03,41.05,1794746
#2008-03-13#,40.34,41.58,40.235,41.38,1438670
#2008-03-14#,41.51,41.63,39.62,39.94,2538009
#2008-03-17#,38.91,40.06,38.35,39.68,2829758
#2008-03-18#,39.73,41.13,39.33,41.1,3090510
#2008-03-19#,41.83,41.95,40.54,40.54,2383299
#2008-03-20#,40.54,41.36,39.96,41.18,4785927
#2008-03-21#,40.54,41.36,39.96,41.18,4785927
#2008-03-24#,41.02,41.79,40.71,40.88,2148653
#2008-03-25#,40.95,41.28,40.05,40.93,4007358
#2008-03-26#,40.54,41.07,40.14,40.19,2019525
#2008-03-27#,40.3,40.58,39.65,39.65,2382810
#2008-03-28#,39.9,40.29,39.47,39.59,1634597
#2008-03-31#,39.39,40.35,39.3,40.2,1718495
#2008-04-01#,40.73,41.69,40.72,41.52,2778500
#2008-04-02#,41.45,42.94,41.2,42.57,3480142
#2008-04-03#,42.15,42.77,42.15,42.74,2502429
#2008-04-04#,42.91,43.09,42.18,42.71,2571560
#2008-04-07#,42.7,43.69,42.7,43.56,2743155
#2008-04-08#,43.24,44,43.01,43.8,3441474
#2008-04-09#,43.9,44.27,43.63,43.73,2645218
#2008-04-10#,43.73,44.18,43.42,44,1986697
#2008-04-11#,43.48,44.37,43.48,43.83,1965014
#2008-04-14#,43.64,44.09,43.44,43.7,2353254
#2008-04-15#,44.16,44.72,43.85,44.63,2168904
#2008-04-16#,44.91,45.5,44.67,45.45,2400730
#2008-04-17#,45.11,45.59,44.93,45.37,2267081
#2008-04-18#,46.24,46.73,45.67,46.4,2648626
#2008-04-21#,46.06,46.24,45.31,45.67,2758760
#2008-04-22#,45.66,45.98,44.95,45.18,2765422
#2008-04-23#,45.23,46.15,45.23,45.89,2505135
#2008-04-24#,45.9,47.27,45.9,46.67,2482644
#2008-04-25#,46.67,46.8,46,46.64,2221257
#2008-04-28#,46.23,46.71,46.07,46.6,2566640
#2008-04-29#,46.35,46.54,45.71,46,2140954
#2008-04-30#,46.2,46.32,45.38,45.39,2735934
#2008-05-01#,45.66,46.79,45.5,46.79,2839589
#2008-05-02#,47.01,47.5,45.5,46.98,2538967
#2008-05-05#,46.26,46.94,46.11,46.71,1590517
#2008-05-06#,45.85,47.35,45.82,47.19,1717502
#2008-05-07#,47.37,47.39,46.16,46.29,1591701
#2008-05-08#,46.19,46.69,45.97,46.34,1708939
#2008-05-09#,45.79,46.74,45.75,46.3,1186853
#2008-05-12#,46.33,46.85,46.32,46.78,1673310
#2008-05-13#,46.57,47.19,46.57,46.75,1366710
#2008-05-14#,46.78,47.4,46.6,47,1209926
#2008-05-15#,46.84,47.52,46.8,47.49,1790735
#2008-05-16#,47.47,47.47,47.01,47.16,1611090
#2008-05-19#,47.16,47.78,47.04,47.1,1682857
#2008-05-20#,47,47.2,46.61,46.78,1688277
#2008-05-21#,46.9,47.39,46.17,46.17,2585908
#2008-05-22#,45.93,46.6,45.65,46.52,2378547
#2008-05-23#,46.4,46.78,46.3,46.43,1574648
#2008-05-26#,46.4,46.78,46.3,46.43,1574648
#2008-05-27#,46.23,46.87,46.18,46.65,1505897
#2008-05-28#,46,46.54,45.84,46.42,2661860
#2008-05-29#,46.47,47.5,46.23,47.39,1640323
#2008-05-30#,47.15,47.38,46.75,47.19,1815067
#2008-06-02#,47.2,47.2,46.02,46.37,1793580
#2008-06-03#,46.73,46.99,46.29,46.46,2216932
#2008-06-04#,46.37,46.94,46.14,46.68,1836902
#2008-06-05#,46.92,48.17,46.91,48.17,1762170
#2008-06-06#,47.86,48.05,46.5,46.59,2601306
#2008-06-09#,46.69,47.43,46.5,46.82,1942441
#2008-06-10#,46.6,47.5,46.42,47.26,1633623
#2008-06-11#,47,47.23,45.86,45.95,2242520
#2008-06-12#,46.37,47.32,46.37,47.14,2265536
#2008-06-13#,47.6,48,47.19,47.83,2306243
#2008-06-16#,47.79,48.23,47.25,48.17,1920271
#2008-06-17#,48.33,48.57,47.62,47.62,1563172
#2008-06-18#,47.2,47.55,46.95,47.16,1764776
#2008-06-19#,47.23,47.99,46.98,47.91,2713850
#2008-06-20#,47.42,47.8,47.07,47.07,2796257
#2008-06-23#,47.22,47.62,47,47.22,1705540
#2008-06-24#,47.16,47.73,46.9,47.18,2164057
#2008-06-25#,47.13,47.42,46.67,46.8,2772848
#2008-06-26#,46.09,46.47,45.59,45.65,2475494
#2008-06-27#,45.7,46.58,45.64,46.43,2307463
#2008-06-30#,45.65,46.32,45.57,45.94,2114433
#2008-07-01#,45.63,46.92,45.39,46.92,2981939
#2008-07-02#,47.1,47.62,46.65,46.67,1778758
#2008-07-03#,47.22,47.48,46.54,46.65,1167007
#2008-07-04#,47.22,47.48,46.54,46.65,1167007
#2008-07-07#,46.97,47.39,45.88,45.92,3337535
#2008-07-08#,45.64,46.22,45.22,45.95,5384528
#2008-07-09#,46,46.63,45.49,45.57,4509011
#2008-07-10#,45.39,45.79,44.93,45.51,3173922
#2008-07-11#,45.16,46.4,44.75,45.8,2833074
#2008-07-14#,46.17,46.48,45.25,45.41,2582201
#2008-07-15#,44.86,46.44,44.73,45.23,3181215
#2008-07-16#,45.5,46.91,44.75,46.81,3115689
#2008-07-17#,47.15,48.58,46.5,47.66,3546493
#2008-07-18#,47.78,47.78,44.8,45.87,5913600
#2008-07-21#,45.84,45.84,44.56,44.99,2829693
#2008-07-22#,44.58,46.29,44.58,46.16,3490225
#2008-07-23#,46.14,46.36,45.26,46.16,3322022
#2008-07-24#,46.09,46.15,44.29,44.45,3365389
#2008-07-25#,44.89,45,43.61,44.69,2282816
#2008-07-28#,44.48,44.62,43.44,43.5,2711551
#2008-07-29#,43.81,45.11,43.32,45,3366964
#2008-07-30#,44.93,45.68,44.74,45.38,2925420
#2008-07-31#,44.98,46.55,44.88,45.8,2795317
#2008-08-01#,46,46.08,44.26,44.83,3977357
#2008-08-04#,44.6,45.78,44.38,45.27,2125709
#2008-08-05#,46.03,47.02,45.64,46.88,2585075
#2008-08-06#,46.78,47.06,46.14,47,2782354
#2008-08-07#,46.79,47.43,46.37,46.55,3223291
#2008-08-08#,46.6,48,46.43,47.58,3284404
#2008-08-11#,47.4,47.9,47,47.58,3718250
#2008-08-12#,47.23,47.39,46.68,47.07,2862003
#2008-08-13#,46.71,47.19,46.15,46.59,2445296
#2008-08-14#,45.7,47.01,45.7,46.87,1896761
#2008-08-15#,47.5,47.5,46.64,47.4,1770970
#2008-08-18#,47.29,47.41,46.56,46.85,2540311
#2008-08-19#,46.7,47.13,46.31,46.69,3004598
#2008-08-20#,46.93,47,45.9,46.79,2149935
#2008-08-21#,45.95,46.84,45.89,46.7,1406100
#2008-08-22#,46.97,47.94,46.97,47.92,2102944
#2008-08-25#,47.7,47.88,47.13,47.25,1621204
#2008-08-26#,47.4,48.01,47.03,47.97,2382387
#2008-08-27#,47.99,48.05,47.5,47.81,2606333
#2008-08-28#,47.77,48.1,47.66,47.98,2980664
#2008-08-29#,47.68,47.8,47.08,47.49,3162005
#2008-09-01#,47.68,47.8,47.08,47.49,3162005
#2008-09-02#,48.02,48.2,46.94,47.51,2207098
#2008-09-03#,47.44,47.77,47.01,47.65,1872673
#2008-09-04#,47.42,47.52,46.39,46.49,1819418
#2008-09-05#,46.13,46.85,45.64,46.85,1949740
#2008-09-08#,48.48,48.48,46.81,47.76,2836320
#2008-09-09#,47.44,47.79,45.9,45.93,3493500
#2008-09-10#,46.21,46.83,45.59,46.14,2552313
#2008-09-11#,45.32,46.67,45.27,46.58,3696629
#2008-09-12#,46.2,46.61,45.87,46.47,3049391
#2008-09-15#,46.37,47.29,45.41,45.41,3990535
#2008-09-16#,44.6,47.48,44.59,46.75,5512824
#2008-09-17#,45.68,47.59,44.97,45.22,6888749
#2008-09-18#,45.96,47.74,44.75,47.49,6913954
#2008-09-19#,48.52,50,44.4,46.31,7030500
#2008-09-22#,46,47.09,45.65,46.63,2139108
#2008-09-23#,46.7,47.41,46.2,46.67,1992218
#2008-09-24#,46.25,46.82,44.72,45.34,2660498
#2008-09-25#,46.5,47.78,46.25,47.51,3227370
#2008-09-26#,47.75,48,45.95,46.54,2077337
#2008-09-29#,45.1,46.36,43.71,43.71,3187756
#2008-09-30#,44.4,47.5,44.21,44.96,3098927
#2008-10-01#,44.8,44.8,42.53,42.76,2268551
#2008-10-02#,42.49,43.77,41.42,43.38,2479431
#2008-10-03#,44.35,46.47,43.91,44.06,2435439
#2008-10-06#,43.18,45.98,41.63,42.35,3460171
#2008-10-07#,42.26,42.45,38.92,39.18,3600591
#2008-10-08#,49.92,49.92,38,42.42,5080020
#2008-10-09#,42.34,44.19,39.6,39.6,5333202
#2008-10-10#,38.67,41,34.95,39.98,6300774
#2008-10-13#,39.98,42.92,38.87,39.91,4084327
#2008-10-14#,40.928,42.744,39.1,39.97,4315256
#2008-10-15#,39.04,39.8,37.4,37.61,2848746
#2008-10-16#,36.86,38.08,35.39,37.55,4879354
#2008-10-17#,36.95,38.72,36.06,36.91,3545956
#2008-10-20#,37.84,38.67,36.11,37.96,3512144
#2008-10-21#,37.37,38.57,37.19,38.05,4045790
#2008-10-22#,36.8,37.58,35.94,36.75,3599670
#2008-10-23#,36,37.1,34.46,35.59,6678268
#2008-10-24#,32.83,35.87,32.83,34.85,4438752
#2008-10-27#,34.68,35.74,34,34.55,2768868
#2008-10-28#,35.21,37.23,34.65,36.5,3858380
#2008-10-29#,37.57,39.56,37,38.41,6637689
#2008-10-30#,38.58,40.2,37.31,38.1,3999785
#2008-10-31#,38.98,42.5,38.34,42.3,9303935
#2008-11-03#,41.96,41.96,40.72,41.76,2152140
#2008-11-04#,42.35,43.18,42.02,42.8,3071767
#2008-11-05#,42.21,43.42,41.28,41.49,3911998
#2008-11-06#,41.44,42,39.97,40.16,3617747
#2008-11-07#,40.44,40.77,39.29,40.25,2951454
#2008-11-10#,40.79,41.35,39.3,39.77,2246857
#2008-11-11#,39.7,40.87,39.18,40.11,3103686
#2008-11-12#,39.6,40.3,39.37,39.87,3077520
#2008-11-13#,40.35,40.99,39.63,40.6,5432964
#2008-11-14#,40.71,44.29,40.23,42.16,5962021
#2008-11-17#,41.91,42.98,41.32,41.47,3765495
#2008-11-18#,41.49,43.01,41.3,42.84,3884474
#2008-11-19#,41.1,44.87,41.1,42.74,5448231
#2008-11-20#,42.4,45,40.19,40.44,8699499
#2008-11-21#,41.51,42.48,39.63,42.18,7157737
#2008-11-24#,42.45,44.64,41.43,44.19,6692563
#2008-11-25#,44.86,44.87,43.25,44.43,3828143
#2008-11-26#,42.68,45.63,42.68,45.44,3207887
#2008-11-27#,42.68,45.63,42.68,45.44,3207887
#2008-11-28#,45.44,45.71,44.58,45.3,1308393
#2008-12-01#,45.8,46,42.88,43.09,4583108
#2008-12-02#,43.88,44.85,42.89,43.77,4583260
#2008-12-03#,42.58,43.92,42.18,43.8,4754673
#2008-12-04#,43.3,44.11,41.97,42.47,4221954
#2008-12-05#,42.04,44.06,41.26,43.9,5151751
#2008-12-08#,44.33,44.91,43.64,44.31,2800353
#2008-12-09#,43.76,44.56,42.24,42.46,4263352
#2008-12-10#,43.02,43.02,41.32,42.4,2554688
#2008-12-11#,41.76,42.17,40.33,40.58,2853183
#2008-12-12#,39.45,41.04,39.27,40.94,2844756
#2008-12-15#,40.62,41.2,40.02,40.82,1953777
#2008-12-16#,41.33,42.9,40.91,42.87,3257213
