"Date","Open","High","Low","Close","Volume"
#2000-01-03#,17,17,16.3125,16.3438,1195000
#2000-01-04#,15.9375,16.5625,15.9375,16.375,1131400
#2000-01-05#,16.4063,16.6563,16.1875,16.625,1153200
#2000-01-06#,16.75,17.1875,16.6875,16.9063,1161800
#2000-01-07#,17.0938,17.4688,16.9375,17.3125,944200
#2000-01-10#,17.3125,17.3125,16.6563,16.8438,903200
#2000-01-11#,16.7813,16.9063,16.6563,16.7813,792600
#2000-01-12#,16.875,17.0625,16.4688,16.6875,1633800
#2000-01-13#,16.7188,17.125,16.6563,16.9063,747400
#2000-01-14#,16.9688,17.0625,16.5938,16.9375,900200
#2000-01-17#,16.9688,17.0625,16.5938,16.9375,900200
#2000-01-18#,17.0625,18.3438,16.9688,18.2188,1213200
#2000-01-19#,18.1875,18.2188,17.9063,18,1336800
#2000-01-20#,18.125,18.125,17.5313,17.9375,1259800
#2000-01-21#,18.0625,18.4375,17.8438,17.8438,1758600
#2000-01-24#,17.8438,18.0313,17,17.1563,751000
#2000-01-25#,17.2188,17.9375,17.2188,17.5,1513200
#2000-01-26#,17.5313,17.6875,16.6875,16.6875,1437200
#2000-01-27#,16.75,16.8438,16.3438,16.375,1692400
#2000-01-28#,16.3125,16.4375,16.2188,16.4375,1454800
#2000-01-31#,16.4688,16.6875,16.25,16.4063,1006800
#2000-02-01#,16.5313,17.1875,16.375,17.125,1076400
#2000-02-02#,16.875,17.1875,16.125,16.25,1524400
#2000-02-03#,16.2813,16.375,15.8438,15.9063,1138600
#2000-02-04#,15.9375,16.25,15.8438,15.9063,808200
#2000-02-07#,15.8438,16.2188,15.8125,16.0938,476200
#2000-02-08#,16.1875,16.1875,15.375,15.5938,834200
#2000-02-09#,15.875,15.875,14.8125,14.9375,889400
#2000-02-10#,15.0625,15.6875,15.0313,15.5,3156600
#2000-02-11#,15.5938,15.625,14.9688,15.0625,900800
#2000-02-14#,15.0625,15.625,15.0313,15.625,953800
#2000-02-15#,15.6875,16.5,15.6875,16.4375,1342800
#2000-02-16#,16.375,16.5938,16.2188,16.375,966800
#2000-02-17#,16.4063,16.4375,15.8438,15.875,791600
#2000-02-18#,15.8125,15.8438,15,15.1563,539000
#2000-02-21#,15.8125,15.8438,15,15.1563,539000
#2000-02-22#,15.3125,15.3438,15.0625,15.0938,851200
#2000-02-23#,14.9375,15.0313,14.1875,14.4375,1458200
#2000-02-24#,14.4375,14.5938,14,14.2188,3006000
#2000-02-25#,14.1875,14.5625,13.7813,14.5625,1742000
#2000-02-28#,14.5625,15.2188,14.5625,15,1165400
#2000-02-29#,15,15.5313,14.625,15.375,1633000
#2000-03-01#,15.4375,15.75,14.75,15.3438,2731800
#2000-03-02#,15.3125,15.9688,15.125,15.3438,5311200
#2000-03-03#,15.4688,15.4688,14.75,14.75,2319600
#2000-03-06#,14.8125,15.5,14.75,15.125,1555200
#2000-03-07#,15.2813,16.25,15.2813,16.125,3592400
#2000-03-08#,15.8125,17,15.6563,16.2188,3608200
#2000-03-09#,16.2188,16.2188,15.6563,15.9375,1824400
#2000-03-10#,16.0625,16.5313,15.25,15.625,1384800
#2000-03-13#,15.5,16.4375,15.3125,15.8125,1240600
#2000-03-14#,16.1875,16.2188,15.625,16.0313,1604600
#2000-03-15#,15.9063,15.9688,15.5,15.5625,1253200
#2000-03-16#,15.875,16.9375,15.7188,16.5313,2223000
#2000-03-17#,16.5938,16.5938,16.1875,16.5,2925000
#2000-03-20#,16.5625,16.625,16.2188,16.3438,1461800
