"Date","Open","High","Low","Close","Volume"
#2011-01-03#,26.62,26.94,26.605,26.705,1224706
#2011-01-04#,26.71,26.8,26.125,26.175,1766098
#2011-01-05#,26.115,26.1975,25.845,25.965,2447228
#2011-01-06#,25.82,26.18,25.73,25.84,1791016
#2011-01-07#,25.865,26.07,25.83,25.92,1543014
#2011-01-10#,25.83,26.03,25.65,25.955,2038472
#2011-01-11#,26.025,26.22,25.94,26.195,1414412
#2011-01-12#,26.4,26.4595,26.265,26.41,1412764
#2011-01-13#,26.395,26.4775,26.195,26.3,2090866
#2011-01-14#,26.275,26.385,25.96,26.13,4373914
#2011-01-17#,26.275,26.385,25.96,26.13,4373914
#2011-01-18#,26.165,26.845,26.165,26.445,2841548
#2011-01-19#,26.34,26.505,25.27,26.445,5082638
#2011-01-20#,26.57,26.735,26.045,26.2,3613352
#2011-01-21#,26.44,26.78,26.335,26.645,4855020
#2011-01-24#,26.67,27.48,26.5,27.365,4029966
#2011-01-25#,27.32,27.545,27.045,27.545,3598228
#2011-01-26#,27.575,27.75,27.226,27.665,3344422
#2011-01-27#,27.85,28.415,27.845,28.385,3727188
#2011-01-28#,28.355,28.37,27.42,27.51,2990820
#2011-01-31#,27.66,27.7731,27.4004,27.67,2868826
#2011-02-01#,27.835,28.56,27.8,28.445,3279240
#2011-02-02#,28.28,28.74,28.14,28.575,2214508
#2011-02-03#,28.45,28.56,28.25,28.385,1869140
#2011-02-04#,28.26,28.785,28.26,28.76,1504706
#2011-02-07#,28.915,29.4025,28.75,28.79,2177608
#2011-02-08#,28.825,28.8649,28.45,28.51,5384468
#2011-02-09#,28.42,28.815,28.38,28.7,1213760
#2011-02-10#,28.485,29.14,28.475,29.005,1578250
#2011-02-11#,28.8,29.305,28.735,29.26,1049346
#2011-02-14#,29.27,29.27,28.8775,29.06,1472346
#2011-02-15#,28.93,28.99,28.59,28.755,1759166
#2011-02-16#,28.895,28.955,28.59,28.735,2441876
#2011-02-17#,28.675,28.7754,28.505,28.73,2000600
#2011-02-18#,29.025,29.06,28.575,28.695,2366492
#2011-02-21#,29.025,29.06,28.575,28.695,2366492
#2011-02-22#,28.335,28.51,28.0259,28.285,3291196
#2011-02-23#,28.31,28.415,27.98,28.22,3202334
#2011-02-24#,28.19,28.56,28.1,28.355,3245120
#2011-02-25#,28.525,28.72,28.33,28.425,2319580
#2011-02-28#,28.58,28.785,28.425,28.74,1622640
#2011-03-01#,28.705,28.9,28.025,28.135,2521790
#2011-03-02#,28.17,28.695,28.15,28.485,1637126
#2011-03-03#,28.73,29.355,28.7,29.3,3066400
#2011-03-04#,29.215,29.455,28.91,29.235,1369816
#2011-03-07#,29.32,29.555,28.56,28.91,3424842
#2011-03-08#,28.895,29.2,28.615,29.035,1563734
#2011-03-09#,28.895,28.895,28.38,28.865,1983522
#2011-03-10#,28.445,28.545,28.055,28.22,2129984
#2011-03-11#,27.955,28.25,27.545,28.14,2602214
#2011-03-14#,28.005,28.235,27.815,28.16,1613794
#2011-03-15#,27.265,28.11,27.14,27.88,2182836
#2011-03-16#,27.775,27.96,27.06,27.245,2906350
#2011-03-17#,27.705,27.775,27.19,27.405,2780232
#2011-03-18#,27.82,27.855,27.41,27.58,2080928
#2011-03-21#,27.975,28.195,27.91,28.085,1606134
#2011-03-22#,28.04,28.06,27.38,27.535,2686348
#2011-03-23#,27.395,27.485,27.128,27.285,2143606
#2011-03-24#,27.435,27.455,26.715,27.13,5136662
#2011-03-25#,27.21,27.35,27.035,27.195,2706382
#2011-03-28#,27.035,27.345,26.965,26.985,1747286
#2011-03-29#,26.9,27.435,26.805,27.435,2241674
#2011-03-30#,27.48,27.75,27.38,27.63,4312630
#2011-03-31#,27.565,27.65,27.195,27.195,3494590
#2011-04-01#,27.29,27.29,26.03,26.205,8952604
#2011-04-04#,26.225,26.305,25.905,26.145,4982892
#2011-04-05#,26.135,26.2525,26,26.11,3425176
#2011-04-06#,26.25,26.405,26.145,26.285,1622342
#2011-04-07#,26.215,26.42,25.99,26.275,3378068
#2011-04-08#,26.355,26.41,26.125,26.3,2804928
#2011-04-11#,26.255,26.37,25.965,26.105,1678932
#2011-04-12#,25.965,26.0625,25.625,26.035,2433088
#2011-04-13#,26.15,26.475,26.15,26.365,2420978
#2011-04-14#,26.15,26.23,25.88,26.225,2105438
#2011-04-15#,26.245,26.64,26.13,26.515,2359244
#2011-04-18#,26.185,26.19,25.77,25.89,2403542
#2011-04-19#,25.905,25.94,25.635,25.79,2802064
#2011-04-20#,27.17,28.175,27.13,27.46,5895618
#2011-04-21#,27.71,27.71,27.1,27.4,2361912
#2011-04-22#,27.71,27.71,27.1,27.4,2361912
#2011-04-25#,26.605,27.4645,26.605,27.365,2224938
#2011-04-26#,27.5,28.105,27.495,27.8,2143740
#2011-04-27#,27.83,28.115,27.705,28.04,1786624
#2011-04-28#,27.98,28.035,27.825,28.005,1197602
#2011-04-29#,28.02,28.035,27.735,27.955,1237848
#2011-05-02#,28.06,28.145,27.93,28.005,1454912
#2011-05-03#,27.97,28.1,27.5725,27.76,1554302
#2011-05-04#,27.72,27.72,27.19,27.44,1581970
#2011-05-05#,27.285,27.935,27.285,27.56,2230556
#2011-05-06#,27.875,28.16,27.645,27.82,2276768
#2011-05-09#,27.79,28.055,27.665,27.945,1144730
#2011-05-10#,28,28.49,27.865,28.485,1520686
#2011-05-11#,28.415,28.67,27.605,27.775,2423436
#2011-05-12#,27.655,27.8,27.385,27.615,3389444
#2011-05-13#,27.63,27.735,27.345,27.52,1642574
#2011-05-16#,27.415,27.76,27.35,27.525,1791724
#2011-05-17#,27.405,27.44,26.925,27.3,1841620
#2011-05-18#,27.31,27.66,27.25,27.61,1603184
#2011-05-19#,27.705,27.76,27.33,27.45,1416940
#2011-05-20#,27.435,27.46,27.185,27.325,1426338
#2011-05-23#,26.975,26.975,26.585,26.805,1257270
#2011-05-24#,26.86,27,26.365,26.37,1396472
#2011-05-25#,26.33,26.7,26.18,26.56,3750142
#2011-05-26#,26.455,26.805,26.34,26.74,1288010
#2011-05-27#,26.82,27.04,26.77,26.945,973616
#2011-05-30#,26.82,27.04,26.77,26.945,973616
#2011-05-31#,27.13,27.185,26.74,27.03,1743484
#2011-06-01#,27.105,27.24,26.555,26.58,2902984
#2011-06-02#,26.615,26.72,26.47,26.595,1895670
#2011-06-03#,26.23,26.38,26.165,26.255,1779752
#2011-06-06#,26.225,26.365,26.02,26.06,3162872
#2011-06-07#,26.18,26.26,25.8557,26,3438744
#2011-06-08#,25.88,25.965,25.385,25.475,3235538
#2011-06-09#,25.615,25.925,25.3462,25.685,2649978
#2011-06-10#,25.58,25.85,25.45,25.68,3477288
#2011-06-13#,25.675,25.88,25.275,25.335,1643612
#2011-06-14#,25.605,25.81,25.555,25.65,2679602
#2011-06-15#,25.405,25.59,25.295,25.36,2217306
#2011-06-16#,25.36,25.465,24.705,25.005,2191122
#2011-06-17#,25.22,25.325,24.975,25.08,1876366
#2011-06-20#,24.965,25.15,24.875,25.065,1318586
#2011-06-21#,25.215,25.63,25.05,25.435,1918228
#2011-06-22#,25.39,25.64,25.31,25.6,2406392
#2011-06-23#,25.275,25.78,25.11,25.755,2059474
#2011-06-24#,25.675,25.675,25.295,25.415,2685526
#2011-06-27#,25.395,25.62,25.175,25.48,2008092
#2011-06-28#,25.555,25.85,25.535,25.84,1539534
#2011-06-29#,25.98,26.26,25.85,26.095,1933176
#2011-06-30#,26.185,27.04,26.075,26.995,3528208
#2011-07-01#,26.91,27.45,26.755,27.43,2773838
#2011-07-04#,26.91,27.45,26.755,27.43,2773838
#2011-07-05#,27.41,27.42,27.015,27.215,1478694
#2011-07-06#,27.185,27.225,26.91,27.165,1830584
#2011-07-07#,27.455,27.88,27.335,27.775,2155034
#2011-07-08#,27.44,27.455,26.905,27.1,2478086
#2011-07-11#,26.735,26.855,26.28,26.34,1531294
#2011-07-12#,26.22,26.265,25.54,25.565,3096522
#2011-07-13#,25.695,26.08,25.56,25.66,1679648
#2011-07-14#,25.71,25.925,25.06,25.195,2190100
#2011-07-15#,25.29,25.4,25.125,25.385,2307508
#2011-07-18#,25.25,25.325,24.945,25.075,2971402
#2011-07-19#,25.32,25.9,25.275,25.84,2461528
#2011-07-20#,26,26.55,25.035,25.075,3585616
#2011-07-21#,25.17,25.52,25.1,25.28,3907198
#2011-07-22#,25.3,25.525,25.215,25.515,1720188
#2011-07-25#,25.2,25.54,25.195,25.405,1838968
#2011-07-26#,25.43,25.485,25.285,25.43,2857142
#2011-07-27#,25.235,25.235,24.535,24.59,3714452
#2011-07-28#,24.585,24.86,24.225,24.54,2120432
