"Date","Open","High","Low","Close","Volume"
#2017-01-02#,36.53,36.56,35.95,36.11,5091052
#2017-01-03#,36.44,36.79,36.18,36.64,8360626
#2017-01-04#,36.77,37.53,36.64,37.36,7643033
#2017-01-05#,37.5,38.265,37.39,37.94,9814411
#2017-01-06#,37.95,38.19,37.82,37.91,8365085
#2017-01-09#,38.09,38.16,37.37,37.7,5432644
#2017-01-10#,37.67,38.49,37.49,38.38,7640974
#2017-01-11#,38.47,39.28,38.3,39.2,9481844
#2017-01-12#,38.99,39.4,38.56,39.13,7859976
#2017-01-13#,38.68,39.36,38.59,38.95,6372891
#2017-01-16#,38.68,39.36,38.59,38.95,6372891
#2017-01-17#,38.95,39.24,38.67,38.95,5458424
#2017-01-18#,39,39.13,38.71,39.08,4404867
#2017-01-19#,39.05,39.15,38.81,38.86,4611922
#2017-01-20#,39.01,39.25,38.65,38.97,6106829
#2017-01-23#,38.96,39.11,38.49,38.53,5130851
#2017-01-24#,38.56,39.15,38.375,39.1,8364712
#2017-01-25#,39.38,39.59,39.12,39.56,5079952
#2017-01-26#,39.68,39.69,39.32,39.47,3206357
#2017-01-27#,39.68,39.7283,39.41,39.61,5050523
#2017-01-30#,39.57,39.76,39.46,39.61,5838228
#2017-01-31#,39.6,40.28,39.52,40.21,10039985
#2017-02-01#,40.32,40.56,39.15,40.47,10384669
#2017-02-02#,40.46,40.6,40.03,40.47,6112513
#2017-02-03#,40.71,40.73,39.9,40.01,9142796
#2017-02-06#,40.04,40.22,39.65,40.19,8967755
#2017-02-07#,40.22,40.65,39.85,40.05,9390760
#2017-02-08#,40.1,40.12,39.15,39.19,12140740
#2017-02-09#,39.41,39.78,38.93,39.73,15752247
#2017-02-10#,45,47.639,44.93,47.23,51703513
#2017-02-13#,46.04,46.7,45.39,45.7,26382661
#2017-02-14#,45.25,45.84,44.75,44.98,15305660
#2017-02-15#,44.72,45.63,44.47,45.48,11280785
#2017-02-16#,45.37,45.65,45.065,45.39,8534848
#2017-02-17#,45.4,45.44,44.93,45.33,5442092
#2017-02-20#,45.4,45.44,44.93,45.33,5442092
#2017-02-21#,45.41,45.75,45.31,45.34,6674982
#2017-02-22#,45.05,45.425,44.68,45.23,6311594
#2017-02-23#,45.3,45.39,44.6,45.08,5617262
#2017-02-24#,44.94,45.625,44.84,45.55,5992237
#2017-02-27#,45.33,46.07,45.015,45.69,5205717
#2017-02-28#,45.5,45.95,44.945,45.13,9161090
#2017-03-01#,45.47,47.33,45.18,47.14,15286335
