"Date","Open","High","Low","Close","Volume"
#2004-01-01#,47.095,47.144,46.225,46.225,272167
#2004-01-02#,46.225,46.37,45.761,45.771,358822
#2004-01-05#,46.012,46.564,45.771,45.771,946691
#2004-01-06#,45.771,45.983,45.635,45.935,588696
#2004-01-07#,45.935,46.051,45.326,45.5,319321
#2004-01-08#,45.451,45.983,45.258,45.935,236182
#2004-01-09#,45.838,46.66,45.693,46.564,256966
#2004-01-12#,46.66,46.767,45.925,46.37,258414
#2004-01-13#,46.177,46.351,45.751,46.07,279199
#2004-01-14#,46.467,46.515,46.128,46.244,226255
#2004-01-15#,46.37,46.457,46.022,46.39,180962
#2004-01-16#,46.438,46.486,45.674,45.838,149216
#2004-01-19#,46.438,46.486,45.674,45.838,149216
#2004-01-20#,45.674,45.848,45.345,45.442,218396
#2004-01-21#,45.606,45.606,45.181,45.355,248797
#2004-01-22#,45.355,46.186,45.355,45.983,314771
#2004-01-23#,45.935,46.535,45.887,46.138,408871
#2004-01-26#,45.983,46.873,45.983,46.873,154593
#2004-01-27#,46.902,47.618,46.902,47.386,431104
#2004-01-28#,47.386,47.685,47.163,47.434,380124
#2004-01-29#,47.434,47.434,46.999,47.289,192440
#2004-01-30#,47.289,47.482,47.076,47.482,230287
#2004-02-02#,47.482,47.531,47.299,47.482,291401
#2004-02-03#,47.482,48.014,47.424,47.579,546506
#2004-02-04#,47.56,47.56,46.709,47.047,260275
#2004-02-05#,47.144,47.869,47.134,47.869,335142
#2004-02-06#,47.869,49.126,47.656,48.933,397600
#2004-02-09#,48.739,48.894,48.672,48.846,209606
#2004-02-10#,48.546,48.836,48.546,48.826,141461
#2004-02-11#,48.788,49.31,48.662,49.233,185512
#2004-02-12#,48.933,48.943,48.701,48.933,296054
#2004-02-13#,48.885,48.962,48.266,48.604,272788
#2004-02-16#,48.885,48.962,48.266,48.604,272788
#2004-02-17#,48.691,49.02,48.662,49.02,167830
#2004-02-18#,49.271,49.32,48.981,49.03,189338
#2004-02-19#,49.146,49.281,48.894,48.914,253244
#2004-02-20#,49.049,49.049,48.701,48.788,138048
#2004-02-23#,48.933,48.943,48.73,48.914,230908
#2004-02-24#,49.03,49.155,48.836,49.068,224393
#2004-02-25#,49.097,49.465,48.836,49.416,174861
#2004-02-26#,49.561,49.658,49.175,49.223,230287
#2004-02-27#,49.32,49.387,48.72,48.72,245075
#2004-03-01#,48.962,49.706,48.933,49.513,205366
#2004-03-02#,49.513,50.451,49.513,50.325,276924
#2004-03-03#,50.287,51.06,50.093,50.983,310014
#2004-03-04#,50.983,51.428,50.896,51.389,451682
#2004-03-05#,51.35,51.737,51.205,51.737,199058
#2004-03-08#,51.815,51.815,51.515,51.592,300397
#2004-03-09#,51.66,51.815,51.08,51.815,206400
#2004-03-10#,51.863,52.124,50.915,51.012,424899
#2004-03-11#,51.022,51.215,50.799,50.799,297088
#2004-03-12#,50.819,51.06,50.819,50.848,146735
#2004-03-15#,50.848,50.973,50.751,50.886,195439
#2004-03-16#,51.08,51.196,50.944,51.022,147045
#2004-03-17#,51.157,52.076,51.06,51.998,321389
#2004-03-18#,51.998,52.298,51.863,52.269,341553
#2004-03-19#,52.511,52.859,52.463,52.666,262240
#2004-03-22#,52.801,52.811,52.114,52.114,213742
#2004-03-23#,52.201,52.269,52.153,52.269,248694
#2004-03-24#,52.269,52.511,51.573,51.573,143839
#2004-03-25#,51.689,52.463,51.689,52.463,202367
#2004-03-26#,52.463,52.463,51.263,51.35,266893
#2004-03-29#,51.689,51.834,51.35,51.757,265653
#2004-03-30#,51.157,51.641,50.867,51.641,272064
#2004-03-31#,51.544,51.834,51.534,51.815,200920
#2004-04-01#,51.902,52.26,51.882,52.231,261103
#2004-04-02#,52.231,52.666,51.998,52.211,282922
#2004-04-05#,52.211,52.26,50.422,50.712,520034
#2004-04-06#,50.819,50.877,49.059,49.223,1142544
#2004-04-07#,49.513,51.167,48.952,49.871,544851
#2004-04-08#,49.997,50.132,49.32,49.706,442685
#2004-04-09#,49.997,50.132,49.32,49.706,442685
#2004-04-12#,49.32,49.32,46.709,48.024,982263
#2004-04-13#,48.024,48.914,46.854,47.482,789512
#2004-04-14#,46.902,48.353,46.815,47.289,731398
#2004-04-15#,47.337,48.894,47.337,48.759,522929
#2004-04-16#,49.001,49.813,48.575,49.416,529961
#2004-04-19#,49.426,50.277,48.914,50.277,391292
#2004-04-20#,50.277,50.277,48.372,48.372,597382
#2004-04-21#,47.869,48.672,47.821,48.546,402460
#2004-04-22#,48.691,49.697,48.691,49.078,468434
#2004-04-23#,49.175,49.175,48.498,48.594,291815
#2004-04-26#,48.594,49.252,48.488,48.739,363579
#2004-04-27#,48.498,49.078,48.498,48.885,317459
#2004-04-28#,48.855,49.001,48.546,48.546,152939
#2004-04-29#,48.691,48.952,47.56,47.946,255415
#2004-04-30#,49.078,49.233,47.985,47.995,543921
#2004-05-03#,48.111,48.643,47.869,48.623,1002944
#2004-05-04#,48.623,49.658,48.546,48.972,594900
#2004-05-05#,49.465,50.19,49.136,49.175,345173
#2004-05-06#,49.175,49.445,48.478,49.397,401116
#2004-05-07#,49.397,49.416,48.324,48.362,534821
#2004-05-10#,48.121,48.556,46.999,48.198,621993
#2004-05-11#,48.353,49.213,48.353,48.353,326249
#2004-05-12#,48.353,48.469,47.811,48.391,419522
#2004-05-13#,48.633,49.049,48.498,48.894,471433
#2004-05-14#,48.991,49.997,48.933,49.474,268134
#2004-05-17#,49.233,50.403,48.826,50.161,430070
#2004-05-18#,50.161,50.935,49.842,50.935,362959
#2004-05-19#,50.335,51.592,49.706,49.948,553538
#2004-05-20#,50.383,50.799,50.113,50.77,246729
#2004-05-21#,50.886,51.244,50.577,50.722,265963
#2004-05-24#,50.964,51.35,50.79,51.109,178377
#2004-05-25#,51.06,51.689,50.78,51.67,273718
#2004-05-26#,51.689,52.704,51.428,52.608,496871
#2004-05-27#,53.285,53.323,52.279,52.559,214570
#2004-05-28#,52.463,52.936,52.337,52.656,389948
#2004-05-31#,52.463,52.936,52.337,52.656,389948
#2004-06-01#,52.656,52.666,51.689,51.834,248694
#2004-06-02#,51.931,52.443,51.863,52.443,345379
#2004-06-03#,52.656,52.849,52.076,52.424,176206
#2004-06-04#,52.472,52.84,52.221,52.26,114368
#2004-06-07#,52.26,52.695,52.027,52.54,168657
#2004-06-08#,52.54,53.188,52.366,53.101,282094
#2004-06-09#,53.043,53.43,52.888,52.936,146114
#2004-06-10#,52.994,53.236,52.588,52.83,164417
#2004-06-11#,52.994,53.236,52.588,52.83,164417
#2004-06-14#,52.637,52.646,51.776,52.405,435033
#2004-06-15#,52.608,53.333,52.608,53.333,301018
#2004-06-16#,53.381,53.604,52.946,53.41,273408
#2004-06-17#,53.352,54.126,53.198,54.01,343828
#2004-06-18#,54.01,54.339,53.952,54.058,218189
#2004-06-21#,54.3,54.638,54.3,54.445,226772
#2004-06-22#,54.522,54.919,54.213,54.329,193578
#2004-06-23#,54.329,54.571,54.107,54.397,307946
#2004-06-24#,54.397,54.842,54.348,54.735,320458
#2004-06-25#,54.59,55.606,54.59,55.606,517242
#2004-06-28#,55.431,55.896,55.364,55.751,514967
#2004-06-29#,55.054,55.064,54.194,54.223,483014
#2004-06-30#,54.3,54.987,53.942,54.658,468330
#2004-07-01#,54.445,55.054,54.049,54.987,676282
#2004-07-02#,55.315,55.751,54.967,55.364,350860
#2004-07-05#,55.315,55.751,54.967,55.364,350860
#2004-07-06#,55.364,55.46,54.542,55.325,260896
#2004-07-07#,55.412,55.992,55.315,55.992,308877
#2004-07-08#,56.07,56.07,55.277,55.277,389121
#2004-07-09#,55.557,55.809,54.842,55.635,247970
#2004-07-12#,55.489,56.079,55.354,56.021,201230
#2004-07-13#,56.021,56.021,55.383,55.422,203505
#2004-07-14#,55.509,56.089,55.46,56.089,319528
#2004-07-15#,56.186,56.563,55.77,55.992,560363
#2004-07-16#,56.234,56.457,55.944,55.992,230081
#2004-07-19#,56.137,56.553,55.838,56.553,271443
#2004-07-20#,57.104,57.781,56.544,56.563,753217
#2004-07-21#,56.747,57.182,56.389,56.524,560466
#2004-07-22#,56.399,56.544,55.122,55.122,281370
#2004-07-23#,55.025,55.567,54.909,55.006,276407
#2004-07-26#,54.861,55.315,54.784,55.151,347448
#2004-07-27#,55.238,55.712,55.199,55.267,303500
#2004-07-28#,55.412,56.302,54.929,56.166,217051
#2004-07-29#,56.089,56.776,55.973,56.108,256553
#2004-07-30#,56.108,56.379,55.712,56.282,313013
#2004-08-02#,56.089,57.607,56.021,57.588,322630
#2004-08-03#,57.588,58.023,57.269,57.54,226668
#2004-08-04#,57.443,57.975,57.201,57.975,290470
#2004-08-05#,57.975,58.168,57.443,57.443,368956
#2004-08-06#,57.453,58.062,56.205,56.766,428932
#2004-08-09#,57.25,57.54,56.853,57.395,185822
#2004-08-10#,57.588,57.636,57.327,57.578,322837
#2004-08-11#,57.578,57.588,57.298,57.54,121193
#2004-08-12#,57.54,57.559,57.017,57.153,232459
#2004-08-13#,57.046,57.211,56.863,56.94,354583
#2004-08-16#,57.008,57.578,57.008,57.346,191096
