"Date","Open","High","Low","Close","Volume"
#2014-01-01#,50.46,50.54,50.1,50.19,467073
#2014-01-02#,50.09,50.19,49.445,49.61,645964
#2014-01-03#,49.73,49.85,49.42,49.55,770037
#2014-01-06#,49.79,50,49.33,49.43,976423
#2014-01-07#,49.51,49.78,49.34,49.62,1210236
#2014-01-08#,49.75,49.87,49.26,49.46,1169923
#2014-01-09#,49.85,50.64,49.85,49.88,1555126
#2014-01-10#,50.46,51.138,50.43,50.88,1614618
#2014-01-13#,50.58,51.12,50.19,50.36,841182
#2014-01-14#,50.39,51.27,50.38,51.27,809229
#2014-01-15#,51.28,51.37,50.97,51.26,674033
#2014-01-16#,51.32,51.32,50.54,51.23,1041594
#2014-01-17#,51.31,51.335,50.89,51.15,591947
#2014-01-20#,51.31,51.335,50.89,51.15,591947
#2014-01-21#,51.53,51.6253,50.84,51.31,644816
#2014-01-22#,51.5,52.17,51.4,52.14,1018885
#2014-01-23#,51.7,51.76,50.7,51.24,988296
#2014-01-24#,50.78,50.99,49.11,49.13,1039830
#2014-01-27#,49.17,49.21,48.37,48.91,1196860
#2014-01-28#,48.91,49.35,48.81,49.27,656688
#2014-01-29#,48.8,49.76,48.65,48.93,912376
#2014-01-30#,49.51,49.85,48.72,49.72,879465
#2014-01-31#,48.36,49.51,47.9035,49.27,1352731
#2014-02-03#,49.44,49.9,47.74,47.81,1273573
#2014-02-04#,48.11,48.3,47.41,47.58,1080880
#2014-02-05#,47.19,47.36,46.25,46.99,1383813
#2014-02-06#,46.93,47.63,46.84,47.58,785794
#2014-02-07#,47.85,48.06,47.32,47.89,983462
#2014-02-10#,47.98,49.15,47.82,49.06,1266134
#2014-02-11#,49.25,49.5,47.83,49.24,926702
#2014-02-12#,49.29,49.71,49.11,49.26,1147978
#2014-02-13#,48.96,49.5,48.75,49.45,748682
#2014-02-14#,49.41,49.71,49.19,49.4,608523
#2014-02-17#,49.41,49.71,49.19,49.4,608523
#2014-02-18#,49.49,49.63,49.195,49.52,445898
#2014-02-19#,49.49,50.05,49.15,49.24,643921
#2014-02-20#,49.34,49.5,48.91,49.3,628148
#2014-02-21#,49.4,49.4,48.86,48.89,593209
#2014-02-24#,48.97,49.17,48.64,48.79,818989
#2014-02-25#,48.8,49.07,48.43,48.84,672910
#2014-02-26#,49.09,49.76,49.09,49.51,707189
#2014-02-27#,49.38,49.58,48.91,49.11,803153
#2014-02-28#,49.13,50.06,48.95,49.82,975875
#2014-03-03#,49.05,49.67,48.99,49.4,746719
#2014-03-04#,51.17,52.1,50.78,51.79,1517590
#2014-03-05#,51.4,51.56,50.6,51.06,1408624
#2014-03-06#,51.23,51.395,50.89,51.09,715396
#2014-03-07#,51.38,51.81,51.25,51.56,837061
#2014-03-10#,51.5,51.53,50.65,51.21,859504
#2014-03-11#,51.4,51.48,50.55,50.58,855429
#2014-03-12#,50.34,50.87,50.27,50.67,1058758
#2014-03-13#,50.97,51.16,50.24,50.28,791994
#2014-03-14#,50.17,50.95,50.17,50.48,781143
#2014-03-17#,50.65,50.98,50.37,50.48,846916
#2014-03-18#,50.58,51.112,50.58,50.94,444676
#2014-03-19#,50.86,51.28,50.29,50.55,903100
#2014-03-20#,50.6399,50.9,50.2,50.87,423559
#2014-03-21#,51.03,51.55,50.97,51.15,790630
#2014-03-24#,51.26,51.62,50.27,50.57,725847
#2014-03-25#,51,51.06,50.155,50.47,576307
#2014-03-26#,50.76,50.9,49.54,49.54,571034
#2014-03-27#,49.53,49.65,48.94,49.55,865563
#2014-03-28#,49.61,50.42,49.58,49.98,574068
#2014-03-31#,50.37,50.77,50.165,50.67,727345
#2014-04-01#,50.93,51.15,50.56,51.11,532987
#2014-04-02#,51.17,51.73,51.1,51.65,535177
#2014-04-03#,51.63,51.8,51.41,51.73,651674
#2014-04-04#,51.95,52.24,50.8238,51.13,520548
#2014-04-07#,51,51.17,50.24,50.49,778157
#2014-04-08#,50.58,51.01,50.3,50.66,805213
#2014-04-09#,50.9,51.27,50.4,51.2,742822
#2014-04-10#,51.14,51.25,49.15,49.17,1537761
#2014-04-11#,48.89,49.31,48.4902,48.63,783555
#2014-04-14#,49.09,49.48,48.78,49.16,552045
#2014-04-15#,49.24,49.62,48.44,49.55,671678
#2014-04-16#,49.95,50.59,49.8,50.24,700583
#2014-04-17#,50.08,50.895,50,50.68,521688
#2014-04-18#,50.08,50.895,50,50.68,521688
#2014-04-21#,50.76,51.11,50.57,50.98,665483
#2014-04-22#,51.05,51.92,50.98,51.76,910460
#2014-04-23#,48.94,49.85,48.31,49.46,2270648
#2014-04-24#,49.53,49.83,48.418,49.01,1197873
#2014-04-25#,48.94,49.01,48.4,48.62,635422
#2014-04-28#,49.01,49.55,48.09,48.58,889599
#2014-04-29#,48.71,48.91,48.22,48.49,752026
#2014-04-30#,48.49,48.7,48.1,48.66,811228
#2014-05-01#,48.65,48.81,48.19,48.48,700686
#2014-05-02#,48.46,48.97,48.28,48.39,518738
#2014-05-05#,48.32,48.8157,48.2301,48.45,636801
#2014-05-06#,48.35,48.51,47.88,47.9,779611
