"Date","Open","High","Low","Close","Volume"
#2004-01-01#,84.71,85.51,84.69,85.21,504500
#2004-01-02#,85.1,86,83.85,84.18,925100
#2004-01-05#,84.22,84.36,82.6,83.2,1596900
#2004-01-06#,82.7,85.22,82.7,84.93,1388900
#2004-01-07#,84.8,85.29,83.78,84.6,1132000
#2004-01-08#,84.68,85.3,84.01,84.41,909900
#2004-01-09#,84.4,85.71,83.68,83.86,908700
#2004-01-12#,83.87,84.26,82.83,83.9,907000
#2004-01-13#,85.65,85.84,84.22,85.62,1046900
#2004-01-14#,85.63,85.8,84.95,85,504600
#2004-01-15#,85.05,86.2,84.17,85.55,1223600
#2004-01-16#,85.7,85.87,84.59,84.67,747800
#2004-01-19#,85.7,85.87,84.59,84.67,747800
#2004-01-20#,84.68,84.68,83.54,84.23,1176000
#2004-01-21#,84.6,86.18,84.25,86.05,1045800
#2004-01-22#,85.8,86.89,85.31,86.48,719300
#2004-01-23#,86.25,86.7,85.45,85.74,457000
#2004-01-26#,85.45,86.01,84.5,85.51,668500
#2004-01-27#,85.61,86.31,85.61,85.9,523100
#2004-01-28#,86.1,86.34,83.77,84,653400
#2004-01-29#,84,84.87,83.74,84.73,598800
#2004-01-30#,84.6,85.23,84.05,84.32,711900
#2004-02-02#,84.33,85.93,83.92,84.6,868300
#2004-02-03#,84.2,85.73,83.57,85.31,727000
#2004-02-04#,85.1,86.59,85.02,86.25,919400
#2004-02-05#,86.4,87.25,86.28,86.69,998000
#2004-02-06#,86.94,89.02,86.72,88.62,718100
#2004-02-09#,88.75,90.48,87.8,89.8,1051600
#2004-02-10#,89.7,89.95,88.89,89.66,695400
#2004-02-11#,89.65,91.42,89.55,91.25,604000
#2004-02-12#,91,91,90.12,90.39,571500
#2004-02-13#,90.29,90.69,88.26,88.84,1205500
#2004-02-16#,90.29,90.69,88.26,88.84,1205500
#2004-02-17#,88.04,89.7,88,89.15,1218300
#2004-02-18#,89.15,89.9,88.9,89.35,591900
#2004-02-19#,89.35,89.85,88.85,88.96,990600
#2004-02-20#,89.35,91.02,89.3,90.3,1030300
#2004-02-23#,90.55,91,90.05,90.33,472900
#2004-02-24#,89.83,90.1,88.52,88.79,1204700
