"Date","Open","High","Low","Close","Volume"
#2012-01-02#,23.1,23.5,23.07,23.37,4122209
#2012-01-03#,23.7,23.88,23.54,23.68,5432547
#2012-01-04#,23.64,23.64,22.95,23.23,7836978
#2012-01-05#,23.2,23.785,22.85,23.44,8464198
#2012-01-06#,23.58,24.6,23.56,24.22,8873823
#2012-01-09#,24.28,24.675,23.96,24.62,6951974
#2012-01-10#,24.81,24.96,24.39,24.72,7090729
#2012-01-11#,24.59,25.03,24.46,24.81,4682901
#2012-01-12#,24.86,24.99,24.54,24.76,3791458
#2012-01-13#,24.61,24.7,23.98,24.29,4295773
#2012-01-16#,24.61,24.7,23.98,24.29,4295773
#2012-01-17#,24.49,24.75,24.38,24.46,3510860
#2012-01-18#,24.46,25.21,24.32,25.17,4546065
#2012-01-19#,25.16,25.38,25.06,25.1,4611894
#2012-01-20#,25.16,25.44,24.97,25,4286962
#2012-01-23#,24.96,25.78,24.95,25.69,5514695
#2012-01-24#,25.59,25.61,25.11,25.36,4197572
#2012-01-25#,25.27,25.81,24.85,25.71,4581189
#2012-01-26#,25.79,25.99,24.935,25.02,6562394
#2012-01-27#,25.07,25.49,24.89,25.44,3981391
#2012-01-30#,25.18,25.465,24.96,25.38,3745212
#2012-01-31#,24.55,24.6,23.68,23.95,9746232
#2012-02-01#,24.13,24.37,23.98,24.18,6653238
#2012-02-02#,24.18,24.47,24.12,24.3,3742364
#2012-02-03#,24.55,24.63,23.8,23.86,8449705
#2012-02-06#,23.78,24.72,23.76,24.67,6574070
#2012-02-07#,24.54,25.42,24.44,25.38,7672311
#2012-02-08#,25.29,25.75,25.24,25.4,6505008
#2012-02-09#,25.5,25.59,25.04,25.35,4519637
#2012-02-10#,25.15,25.295,24.92,25.08,3456128
#2012-02-13#,25.22,25.45,25.02,25.21,2733353
#2012-02-14#,25.25,25.5,25.14,25.49,2780342
#2012-02-15#,25.58,25.7,25.175,25.35,3686232
#2012-02-16#,25.3,25.9,25.28,25.87,3626200
#2012-02-17#,25.92,26.05,25.69,25.71,3311273
#2012-02-20#,25.92,26.05,25.69,25.71,3311273
#2012-02-21#,25.93,26.29,25.85,25.91,5444092
#2012-02-22#,25.9,26.07,25.05,25.08,5707007
#2012-02-23#,25.03,25.6,25.03,25.19,3938834
#2012-02-24#,25.18,25.33,24.92,24.99,2821639
#2012-02-27#,24.91,25.25,24.66,25.01,3013282
#2012-02-28#,24.98,25.61,24.75,25.54,3951303
#2012-02-29#,25.57,25.675,24.66,24.7,5794419
#2012-03-01#,24.84,25.08,24.59,24.7,4097933
#2012-03-02#,24.62,24.74,24.28,24.31,3271853
#2012-03-05#,24.22,24.78,24.02,24.64,3848644
#2012-03-06#,24.3,24.49,23.98,24.06,3884859
#2012-03-07#,24.07,24.64,23.92,24.39,5401711
#2012-03-08#,24.55,24.7,24.33,24.55,2507046
#2012-03-09#,24.46,24.89,24.41,24.77,3224145
#2012-03-12#,24.72,24.8,24.45,24.56,2788485
#2012-03-13#,24.77,24.84,24.48,24.59,4513813
#2012-03-14#,24.55,24.64,23.73,23.92,7229375
#2012-03-15#,23.93,25.27,23.39,25.2,10099304
#2012-03-16#,25.18,25.65,24.92,25.52,10234188
#2012-03-19#,25.35,26.31,25.31,26.12,8536194
#2012-03-20#,25.89,26.4,25.47,26.29,6833749
#2012-03-21#,26.29,27.35,26.2701,27.14,13474551
#2012-03-22#,26.98,27.55,26.75,26.96,7781767
#2012-03-23#,27.25,27.95,26.83,27.51,8408892
#2012-03-26#,27.69,27.75,27.1,27.37,7478228
#2012-03-27#,27.46,27.5,26.88,26.93,6918084
#2012-03-28#,27.02,27.3,26.525,26.62,9788671
#2012-03-29#,25.36,25.48,23.96,24.77,30392258
#2012-03-30#,24.53,24.57,23.61,23.68,16863232
#2012-04-02#,23.24,23.8,22.8,23.64,11183991
#2012-04-03#,23.37,23.9099,23.3,23.55,8254082
#2012-04-04#,23.36,23.9804,22.76,22.95,10274966
#2012-04-05#,22.74,22.94,22.43,22.65,6948277
#2012-04-06#,22.74,22.94,22.43,22.65,6948277
#2012-04-09#,22.31,22.74,22.07,22.65,6961218
#2012-04-10#,22.48,23.74,21.21,21.32,29623211
#2012-04-11#,21.29,22.14,21.21,21.96,13638478
#2012-04-12#,21.93,22.55,21.81,22.24,19379371
#2012-04-13#,22.2,22.465,21.93,22.04,18356034
#2012-04-16#,22.05,22.07,21.57,21.85,7236612
#2012-04-17#,21.89,22.02,21.72,21.92,5924529
#2012-04-18#,22.24,22.43,21.98,22.06,6275168
#2012-04-19#,22.06,22.3,21.89,22,4412939
#2012-04-20#,21.94,22,21.39,21.47,9820408
#2012-04-23#,21.26,21.945,21.13,21.75,7599222
#2012-04-24#,21.48,21.83,21.239,21.7,6761977
#2012-04-25#,21.91,22.18,21.81,22.08,4790170
#2012-04-26#,22.09,22.22,21.95,22.11,4800234
#2012-04-27#,22.23,22.33,21.85,22.33,5019261
#2012-04-30#,22.33,22.42,21.93,22.07,3474817
#2012-05-01#,22.06,22.69,21.99,22.45,5557932
#2012-05-02#,22.27,22.28,21.98,22.1,3989776
#2012-05-03#,22.18,22.2,21.48,21.59,8957993
#2012-05-04#,21.58,21.59,20.78,20.82,5938712
#2012-05-07#,20.66,20.95,20.56,20.62,5193610
#2012-05-08#,20.47,20.5,19.8,20.12,7819864
#2012-05-09#,19.9,20.395,19.79,20.1,6044495
#2012-05-10#,20.18,20.2,19.88,19.94,7003742
#2012-05-11#,19.47,19.85,19.23,19.28,7506173
#2012-05-14#,19.14,19.7,19.02,19.56,7975481
#2012-05-15#,19.64,19.65,19.05,19.12,4722107
#2012-05-16#,19.24,19.49,18.92,18.92,5436294
#2012-05-17#,18.97,18.97,18.42,18.44,10735347
#2012-05-18#,18.55,18.66,17.84,18.02,9787374
#2012-05-21#,17.66,18.29,17.53,18.17,10084238
#2012-05-22#,18.8,18.86,17.94,18.46,22900400
#2012-05-23#,18.27,18.61,17.96,18.57,7263459
#2012-05-24#,18.75,19.025,18.56,18.82,8255638
#2012-05-25#,18.68,19.25,18.68,19.17,5635006
#2012-05-28#,18.68,19.25,18.68,19.17,5635006
#2012-05-29#,19.25,19.4,19.05,19.28,6079796
#2012-05-30#,19.15,19.44,19,19.2,5738814
#2012-05-31#,19.14,19.1978,18.59,18.72,6425197
#2012-06-01#,18.29,18.6,18.18,18.3,7511259
#2012-06-04#,18.32,18.43,17.92,18.22,8967300
#2012-06-05#,18.19,19.25,18.18,19.17,9721845
#2012-06-06#,19.27,19.9,19.25,19.89,6675850
#2012-06-07#,19.07,20.32,18.1875,19.7,32894784
#2012-06-08#,19.54,20.34,19.4,19.98,10549005
#2012-06-11#,20.13,20.44,19.48,19.5,9073497
#2012-06-12#,19.62,20.09,19.495,20.04,6904321
#2012-06-13#,19.88,20.04,19.29,19.4,9880311
#2012-06-14#,19.72,19.93,19.56,19.81,6645865
#2012-06-15#,19.83,20.04,19.79,20.03,6382972
#2012-06-18#,19.85,20.06,19.655,19.8,4565164
#2012-06-19#,20.34,20.905,20.1,20.23,11344232
#2012-06-20#,20.29,20.44,20.08,20.31,5529065
#2012-06-21#,20.44,20.54,19.31,19.48,8106992
#2012-06-22#,19.59,19.79,19.18,19.19,6438214
#2012-06-25#,19,19.05,18.47,18.51,6737178
#2012-06-26#,18.63,21.59,18.39,19.37,17381005
#2012-06-27#,19.27,19.92,18.87,19.8,9559519
