"Date","Open","High","Low","Close","Volume"
#2003-01-01#,6.4075,6.4475,6.3313,6.3988,2172800
#2003-01-02#,6.425,6.6238,6.425,6.6138,3182400
#2003-01-03#,6.5875,6.6749,6.5763,6.6325,3096000
#2003-01-06#,6.6638,6.7738,6.6638,6.765,3459200
#2003-01-07#,6.765,6.7663,6.6613,6.675,2223200
#2003-01-08#,6.685,6.71,6.5525,6.575,1747200
#2003-01-09#,6.5313,6.535,6.4013,6.4338,4806400
#2003-01-10#,6.3813,6.5113,6.3375,6.4763,2527200
#2003-01-13#,6.5313,6.6275,6.5088,6.57,3441600
#2003-01-14#,6.5188,6.55,6.4825,6.5313,3087200
#2003-01-15#,6.5438,6.555,6.475,6.505,2386400
#2003-01-16#,6.525,6.5913,6.525,6.58,2152800
#2003-01-17#,6.57,6.6575,6.56,6.5988,2857600
#2003-01-20#,6.57,6.6575,6.56,6.5988,2857600
#2003-01-21#,6.6238,6.635,6.5288,6.5463,3704800
#2003-01-22#,6.5463,6.5688,6.4813,6.4925,3972800
#2003-01-23#,6.53,6.5625,6.4625,6.5313,2292000
#2003-01-24#,6.4813,6.5063,6.4013,6.4075,1959200
#2003-01-27#,6.3775,6.4188,6.0688,6.1188,6087200
#2003-01-28#,6.1438,6.21,6.105,6.17,3014400
#2003-01-29#,6.4,6.675,6.39,6.5913,9689600
#2003-01-30#,6.575,6.65,6.5,6.5063,4484800
#2003-01-31#,6.5063,6.6125,6.4663,6.5625,3194400
#2003-02-03#,6.5125,6.6188,6.4975,6.5588,3091200
#2003-02-04#,6.525,6.6113,6.4663,6.5938,2661600
#2003-02-05#,6.5938,6.7963,6.5888,6.6863,5101600
#2003-02-06#,6.6688,6.6838,6.5225,6.6125,4434400
#2003-02-07#,6.65,6.6613,6.5238,6.565,2619200
#2003-02-10#,6.565,6.6,6.4575,6.5588,2600000
#2003-02-11#,6.5563,6.605,6.4688,6.4888,2062400
#2003-02-12#,6.485,6.5225,6.3913,6.425,2900000
#2003-02-13#,6.425,6.5063,6.4,6.495,3205600
#2003-02-14#,6.4825,6.5613,6.4313,6.5563,2235200
#2003-02-17#,6.4825,6.5613,6.4313,6.5563,2235200
#2003-02-18#,6.6,6.7063,6.5875,6.7063,2868800
#2003-02-19#,6.7063,6.7375,6.6513,6.6738,3008800
#2003-02-20#,6.6688,6.675,6.5688,6.6138,2724800
#2003-02-21#,6.6138,6.635,6.5375,6.6288,2412000
#2003-02-24#,6.6375,6.6413,6.5138,6.5388,1836000
#2003-02-25#,6.5188,6.56,6.365,6.5463,4273600
#2003-02-26#,6.525,6.5625,6.5,6.5125,2527200
#2003-02-27#,6.51,6.55,6.4213,6.5025,3287200
#2003-02-28#,6.515,6.66,6.515,6.66,3056800
#2003-03-03#,6.6675,6.76,6.6275,6.7025,5357600
#2003-03-04#,6.7013,6.7025,6.6288,6.6463,3902400
#2003-03-05#,6.6475,6.6475,6.4188,6.5163,6345600
#2003-03-06#,6.475,6.5038,6.3788,6.3913,4912000
#2003-03-07#,6.3563,6.4888,6.3125,6.4775,2885600
#2003-03-10#,6.4313,6.4313,6.1938,6.2438,4614400
#2003-03-11#,6.255,6.3375,6.2375,6.2625,3757600
#2003-03-12#,6.25,6.3213,6.2163,6.26,4691200
#2003-03-13#,6.3625,6.5513,6.3288,6.545,4700800
#2003-03-14#,6.5375,6.625,6.4788,6.5138,4359200
#2003-03-17#,6.5138,6.7088,6.4063,6.7088,4964800
#2003-03-18#,6.715,6.875,6.6288,6.755,5444800
#2003-03-19#,6.7813,6.8388,6.77,6.8388,3531200
#2003-03-20#,6.84,6.84,6.735,6.775,5476000
#2003-03-21#,6.9313,6.9913,6.815,6.9838,5399200
#2003-03-24#,6.9838,7.01,6.8375,6.9738,4479200
#2003-03-25#,6.9738,7.1063,6.8788,7.0188,4549600
#2003-03-26#,7.0188,7.0188,6.9125,6.9638,3200000
#2003-03-27#,6.9638,7.0625,6.9125,7.025,3452000
#2003-03-28#,7,7.0888,6.99,7.0713,2884800
#2003-03-31#,7.0125,7.025,6.9063,6.9625,4684000
#2003-04-01#,6.9625,7.125,6.8975,7.1138,5748800
#2003-04-02#,7.1625,7.325,7.1625,7.2888,5736000
#2003-04-03#,7.3438,7.3438,7.2175,7.2213,2978400
#2003-04-04#,7.2388,7.2788,7.1413,7.1775,2809600
#2003-04-07#,7.275,7.4025,7.1213,7.145,5442400
#2003-04-08#,7.145,7.1788,7.0863,7.1425,2667200
#2003-04-09#,7.1425,7.1963,7.025,7.0625,2567200
#2003-04-10#,7.0638,7.1063,7.0013,7.09,2438400
#2003-04-11#,7.15,7.2288,7.1475,7.1513,2996000
#2003-04-14#,7.1688,7.2225,7.1325,7.1825,2702400
#2003-04-15#,7.1825,7.195,7.0938,7.1913,2678400
#2003-04-16#,7.1788,7.18,6.99,7.0138,3232000
#2003-04-17#,7.0138,7.0238,6.94,7.0025,5037600
#2003-04-18#,7.0138,7.0238,6.94,7.0025,5037600
#2003-04-21#,7.0375,7.0875,6.8538,6.9125,4411200
#2003-04-22#,6.875,7.0788,6.8413,7.0388,3214400
#2003-04-23#,7.0075,7.0363,6.8838,7.0238,4234400
#2003-04-24#,7.0238,7.1588,6.975,7.1063,5380000
#2003-04-25#,7.125,7.125,7,7,3253600
#2003-04-28#,6.975,7.1713,6.975,7.1275,2778400
#2003-04-29#,7.135,7.1688,6.9875,7.0613,2943200
#2003-04-30#,7.0613,7.105,7,7.02,2128000
