"Date","Open","High","Low","Close","Volume"
#2008-01-01#,27.03,27.24,26.5184,26.52,11545629
#2008-01-02#,26.5,26.5,25.81,26.13,19336818
#2008-01-03#,26.16,26.3,26.04,26.11,14894057
#2008-01-04#,25.94,26.07,25.69,25.75,17167876
#2008-01-07#,25.86,26.26,25.78,26.04,17433145
#2008-01-08#,26.44,26.97,26.37,26.64,22037607
#2008-01-09#,27.33,27.37,26.92,27.08,25932186
#2008-01-10#,26.93,27.2,26.8,26.93,17401488
#2008-01-11#,26.71,27.01,26.43,26.48,15933068
#2008-01-14#,26.74,27.03,26.47,26.99,19814924
#2008-01-15#,26.8,27.21,26.07,26.1,22598869
#2008-01-16#,26.01,26.47,25.7,25.82,21315568
#2008-01-17#,25.95,25.95,24.79,24.86,21189650
#2008-01-18#,24.82,25.05,24.36,24.48,27540868
#2008-01-21#,24.82,25.05,24.36,24.48,27540868
#2008-01-22#,22.61,23.66,22.61,22.89,46592499
#2008-01-23#,22.59,22.92,22.25,22.59,29652621
#2008-01-24#,22.81,23.38,22.67,23.35,34283113
#2008-01-25#,23.41,23.73,22.49,22.97,33258871
#2008-01-28#,23.1,23.69,23.1,23.59,17261408
#2008-01-29#,23.76,23.91,23.58,23.61,10072334
#2008-01-30#,23.69,23.72,23,23.26,12928243
#2008-01-31#,22.99,23.5,21.75,23.02,28147901
#2008-02-01#,23.15,24.19,23.15,23.96,25097111
#2008-02-04#,23.96,24.13,23.9,24.03,10847963
#2008-02-05#,23.96,24.07,23.25,23.43,20098461
#2008-02-06#,23.64,24.02,23.5,23.82,16539472
#2008-02-07#,23.74,23.9,23.25,23.34,16646753
#2008-02-08#,23.23,23.96,22.9,23.07,10162088
#2008-02-11#,23.07,23.85,22.77,22.95,10543011
#2008-02-12#,23.05,23.34,22.95,23.19,10318413
#2008-02-13#,23.32,23.94,23.3,23.86,11287570
#2008-02-14#,23.89,23.9,23.15,23.21,8052567
#2008-02-15#,23.11,23.45,23.01,23.3,8260122
#2008-02-18#,23.11,23.45,23.01,23.3,8260122
#2008-02-19#,23.59,23.59,23.09,23.16,8136978
#2008-02-20#,23.01,23.13,22.82,23.06,11021938
#2008-02-21#,23.18,23.28,22.61,22.76,11594096
#2008-02-22#,22.81,23,21.98,22.53,18976544
#2008-02-25#,22.45,23.21,22.45,23.19,12484194
#2008-02-26#,23.03,23.49,22.97,23.37,11784676
#2008-02-27#,23.22,23.44,23.1,23.2,8253778
#2008-02-28#,23.08,23.14,22.81,22.91,13598096
#2008-02-29#,22.98,22.98,22.56,22.61,16328022
#2008-03-03#,22.65,22.65,22.21,22.39,14027831
#2008-03-04#,22.23,22.24,22,22.14,18336416
#2008-03-05#,22.28,22.52,21.94,22.19,19803280
#2008-03-06#,22.13,22.14,21.75,21.77,15520922
#2008-03-07#,21.7,22.05,21.43,21.88,16735789
#2008-03-10#,21.86,21.91,21.26,21.33,12049565
#2008-03-11#,21.77,21.77,21.53,21.73,18775723
#2008-03-12#,21.74,21.77,21.3,21.36,16038926
#2008-03-13#,21.14,21.7,20.9,21.41,11773668
#2008-03-14#,21.61,21.61,20.5,20.64,20513358
#2008-03-17#,20.05,21,20.05,20.46,19190830
#2008-03-18#,20.81,21.36,20.63,21.35,16251816
#2008-03-19#,21.41,22.25,21.35,21.46,13355333
#2008-03-20#,21.6,21.72,21.19,21.46,12431673
#2008-03-21#,21.6,21.72,21.19,21.46,12431673
#2008-03-24#,21.5,21.6,21.21,21.27,9910583
#2008-03-25#,21.27,21.66,21.27,21.6,11125809
#2008-03-26#,21.6,21.62,21.01,21.2,13325728
#2008-03-27#,21.29,21.6,21.25,21.3,8318320
#2008-03-28#,21.42,21.74,21.4,21.48,10059651
#2008-03-31#,21.51,21.68,21.04,21.3,13150223
#2008-04-01#,21.53,22.18,21.43,22.18,16415663
#2008-04-02#,21.99,22,21.63,21.66,14974127
#2008-04-03#,21.57,21.96,21.57,21.89,10267260
#2008-04-04#,21.9,22.36,21.87,22.19,7980179
#2008-04-07#,22.39,22.39,21.97,22,13952857
#2008-04-08#,22.11,22.23,21.77,21.84,14508637
#2008-04-09#,21.9,21.9,21.4,21.51,9699028
#2008-04-10#,21.56,22.32,21.56,22.09,20040855
#2008-04-11#,21.86,22.03,21.65,21.7,8096340
#2008-04-14#,21.7,21.88,21.44,21.55,10005189
#2008-04-15#,21.73,21.73,21.26,21.45,9427884
#2008-04-16#,21.6,22.02,21.54,21.98,14612160
#2008-04-17#,21.87,22.02,21.28,21.59,9746438
#2008-04-18#,21.81,22.13,21.71,22.1,9984986
#2008-04-21#,22.05,22.22,21.65,21.84,9990865
#2008-04-22#,21.79,21.79,21.23,21.32,10586073
#2008-04-23#,21.49,21.55,21.15,21.43,17267231
#2008-04-24#,21.58,22.44,21.58,22.21,15174880
#2008-04-25#,22.39,22.55,21.88,22.15,11458234
#2008-04-28#,22.15,22.39,22.01,22.16,13460573
#2008-04-29#,22.18,22.29,21.8,21.92,8017926
#2008-04-30#,21.92,22.45,21.82,21.97,14593184
#2008-05-01#,21.98,23.2,21.97,22.94,16879852
#2008-05-02#,23.14,23.38,23,23.35,10090032
#2008-05-05#,23.48,23.48,23.05,23.25,8687674
#2008-05-06#,23.6,23.6,22.9,23.18,13127300
#2008-05-07#,23.23,23.25,22.7,22.76,13580421
#2008-05-08#,22.8,22.92,22.69,22.79,9267798
#2008-05-09#,22.15,22.17,21.63,21.71,28890381
#2008-05-12#,21.9,22,21.55,21.63,20599199
#2008-05-13#,21.7,21.82,21.45,21.6,19699177
