"Date","Open","High","Low","Close","Volume"
#2004-01-01#,20.4031,20.5431,20.3486,20.5354,1535400
#2004-01-02#,20.5821,20.5976,20.2163,20.2319,1974700
#2004-01-05#,20.4109,20.6054,20.3019,20.5821,2225700
#2004-01-06#,20.5821,20.7221,20.3797,20.4731,1975500
#2004-01-07#,20.3875,20.4965,20.2319,20.4965,1434200
#2004-01-08#,20.3019,20.5665,20.2786,20.5276,1464800
#2004-01-09#,20.442,20.6365,20.4342,20.4809,1331100
#2004-01-12#,20.6287,20.6287,20.263,20.4809,1929000
#2004-01-13#,20.5431,20.6054,20.3097,20.3797,1438500
#2004-01-14#,20.4498,20.5276,20.3175,20.3408,1610700
#2004-01-15#,20.4186,20.4575,20.2864,20.3642,1223900
#2004-01-16#,20.3642,20.4575,20.3019,20.372,1344000
#2004-01-19#,20.3642,20.4575,20.3019,20.372,1344000
#2004-01-20#,20.4653,20.4965,20.3097,20.3097,1211300
#2004-01-21#,20.372,20.5042,20.3253,20.4264,1379600
#2004-01-22#,20.4264,20.4731,20.3175,20.4264,1136000
#2004-01-23#,20.4965,20.6287,20.4342,20.5431,1279200
#2004-01-26#,20.5743,20.5821,20.3253,20.4264,1993900
#2004-01-27#,20.4264,20.4653,20.2474,20.3953,2600600
#2004-01-28#,20.3642,20.3642,20.0529,20.0763,1733100
#2004-01-29#,20.1619,20.2864,19.9518,20.0607,2076800
#2004-01-30#,20.0763,20.2474,19.9984,20.1852,1224600
#2004-02-02#,20.1385,20.3253,20.0218,20.1774,1403400
#2004-02-03#,20.2085,20.2864,20.1074,20.1619,1477700
#2004-02-04#,20.084,20.193,19.9907,20.1307,1298800
#2004-02-05#,20.0918,20.2008,20.0451,20.1463,1011800
#2004-02-06#,20.1307,20.2474,20.0607,20.2397,1060300
#2004-02-09#,20.1774,20.2319,19.9984,20.2008,1034700
#2004-02-10#,20.2008,20.3253,20.0763,20.3175,945600
#2004-02-11#,20.3175,20.4498,20.2319,20.4109,1503400
#2004-02-12#,20.3019,20.512,20.2319,20.3642,1146400
#2004-02-13#,20.3642,20.4109,20.2008,20.3564,1166400
#2004-02-16#,20.3642,20.4109,20.2008,20.3564,1166400
#2004-02-17#,20.4809,20.6988,20.4264,20.6521,1253200
#2004-02-18#,20.7143,20.8077,20.5665,20.621,1232700
#2004-02-19#,20.6676,20.7688,20.5665,20.6521,1217700
#2004-02-20#,20.7377,20.7922,20.4575,20.6132,1057200
#2004-02-23#,20.6599,20.7766,20.3953,20.761,1540700
#2004-02-24#,20.761,20.7999,20.5821,20.7532,1587100
#2004-02-25#,20.7688,20.8933,20.6443,20.8388,1127500
#2004-02-26#,20.8777,20.9322,20.7299,20.8777,1050900
#2004-02-27#,20.512,21.2046,20.512,21.1579,1716900
#2004-03-01#,21.3446,21.3835,21.0256,21.2435,1605500
#2004-03-02#,21.2046,21.3913,21.1034,21.3524,1436500
#2004-03-03#,21.3602,21.4691,21.2668,21.4458,1356000
#2004-03-04#,21.4458,21.5314,21.3602,21.4302,1147000
#2004-03-05#,21.4458,21.7493,21.3291,21.4536,1213100
#2004-03-08#,21.3991,21.5936,21.2668,21.3135,1111400
#2004-03-09#,21.3524,21.6248,21.2124,21.6014,1523100
#2004-03-10#,21.5547,21.7882,21.5158,21.5781,1653300
#2004-03-11#,21.5003,21.547,20.9556,21.0567,1670800
#2004-03-12#,21.1812,21.4302,21.0334,21.3524,1323800
#2004-03-15#,21.259,21.3213,20.8311,20.87,1250400
#2004-03-16#,20.9167,21.0412,20.3097,20.5743,2259500
#2004-03-17#,20.5431,20.7532,20.5431,20.6676,1219800
#2004-03-18#,20.6676,20.7532,20.5042,20.6132,1382400
#2004-03-19#,20.5821,20.6521,20.3875,20.4109,1365900
#2004-03-22#,20.3486,20.3642,20.0373,20.1229,1474300
#2004-03-23#,20.1307,20.4264,19.9673,20.2552,1451500
#2004-03-24#,20.2552,20.3253,20.0373,20.0373,1151100
#2004-03-25#,20.2319,20.8233,20.2319,20.7299,1958900
#2004-03-26#,20.6599,20.8622,20.5665,20.7143,1551300
#2004-03-29#,20.7377,21.01,20.6599,20.9478,1168400
#2004-03-30#,20.9478,20.9478,20.7999,20.8855,929600
#2004-03-31#,20.9556,21.1112,20.7999,20.9633,1195400
#2004-04-01#,20.9633,21.1968,20.9478,21.1423,1184100
#2004-04-02#,21.3057,21.3991,21.0878,21.3758,1542900
#2004-04-05#,21.3758,21.4769,21.2435,21.4769,1095400
#2004-04-06#,21.4147,21.7104,21.3291,21.7104,1763900
#2004-04-07#,21.6326,21.8271,21.5781,21.7026,1462700
#2004-04-08#,21.7648,21.9127,21.6559,21.9049,2208400
#2004-04-09#,21.7648,21.9127,21.6559,21.9049,2208400
#2004-04-12#,21.9438,21.9905,21.866,21.9205,2599900
#2004-04-13#,21.9438,22.0994,21.9438,21.9672,1964800
#2004-04-14#,21.9438,22.2006,21.796,22.2006,2030800
#2004-04-15#,22.1539,22.3718,22.1306,22.3018,2324300
#2004-04-16#,22.4107,22.5274,22.3095,22.4263,1743100
#2004-04-19#,22.4107,22.5663,22.3485,22.5586,1126900
#2004-04-20#,22.5586,22.6364,22.4807,22.5119,2872800
#2004-04-21#,22.3796,22.7297,22.2784,22.6286,1986300
#2004-04-22#,22.613,22.8465,22.5586,22.8076,1731000
#2004-04-23#,22.7609,22.862,22.613,22.7998,1185700
#2004-04-26#,22.7998,22.8698,22.7453,22.8076,1351700
#2004-04-27#,22.8153,22.9788,22.7453,22.8076,1553900
#2004-04-28#,22.8076,22.8076,22.5119,22.5508,2207900
#2004-04-29#,22.3951,22.6364,22.3874,22.5741,1509800
#2004-04-30#,22.5586,22.7142,22.4807,22.4807,1623600
#2004-05-03#,22.4807,22.8231,22.4029,22.7687,1603600
#2004-05-04#,22.7687,22.8153,22.613,22.7297,1619200
#2004-05-05#,22.7064,22.8076,22.6441,22.7531,1186500
#2004-05-06#,22.6519,22.8854,22.5897,22.8309,1426900
#2004-05-07#,22.8387,22.8698,22.6986,22.7453,1212000
#2004-05-10#,22.9009,22.9009,22.3329,22.4263,1704100
#2004-05-11#,22.4107,22.4263,22.1617,22.3951,1428300
#2004-05-12#,22.3018,22.3018,21.8115,22.2239,1497700
#2004-05-13#,22.2317,22.2551,21.9127,22.0683,1055700
#2004-05-14#,21.9749,22.294,21.9205,22.2006,1062300
#2004-05-17#,21.8271,22.0216,21.7571,21.8193,1834800
#2004-05-18#,21.9438,21.9827,21.8115,21.9127,1341000
#2004-05-19#,21.9438,22.0216,21.687,21.7337,1120300
#2004-05-20#,21.7104,21.7804,21.5547,21.617,1123500
#2004-05-21#,21.6326,21.6637,21.4769,21.5236,1479300
#2004-05-24#,21.6403,21.8349,21.5003,21.7882,1715100
#2004-05-25#,21.7804,22.0138,21.5236,21.9905,1219800
#2004-05-26#,21.9983,22.0839,21.8115,22.0761,982600
#2004-05-27#,22.2084,22.2473,21.936,21.9672,1346900
#2004-05-28#,22.0216,22.0216,21.7804,21.8816,2208800
#2004-05-31#,22.0216,22.0216,21.7804,21.8816,2208800
#2004-06-01#,21.9438,21.9516,21.6403,21.7415,1989100
#2004-06-02#,21.7415,21.7493,21.4302,21.6637,1976700
#2004-06-03#,21.687,21.7181,21.508,21.547,1283000
#2004-06-04#,21.5936,21.7104,21.5236,21.7026,1155900
#2004-06-07#,21.7726,21.8582,21.6948,21.7493,1300000
#2004-06-08#,21.7493,21.8816,21.5936,21.8738,1276200
