"Date","Open","High","Low","Close","Volume"
#2004-01-01#,45.1363,45.3948,43.7864,43.9156,6421500
#2004-01-02#,43.1401,43.4417,42.6016,42.8529,5674300
#2004-01-05#,42.8529,43.4633,42.8529,43.4633,4719900
#2004-01-06#,43.1904,43.4705,43.0468,43.2981,1993800
#2004-01-07#,43.2622,43.9444,43.212,43.6212,2271600
#2004-01-08#,43.6284,43.7577,43.2622,43.5566,2538400
#2004-01-09#,43.1904,43.6571,43.0971,43.1186,2127300
#2004-01-12#,43.1186,43.1832,42.3,42.4867,2667700
#2004-01-13#,42.3647,42.616,42.1421,42.458,2689400
#2004-01-14#,42.5442,43.0827,42.379,42.8314,2871000
#2004-01-15#,42.6519,43.2622,42.4508,43.0827,1999900
#2004-01-16#,43.1114,43.3986,42.7524,43.0612,2065200
#2004-01-19#,43.1114,43.3986,42.7524,43.0612,2065200
#2004-01-20#,42.7237,43.0827,42.3647,42.6519,3313000
#2004-01-21#,42.4724,43.0253,42.4724,42.975,2921100
#2004-01-22#,43.1042,45.9046,43.1042,45.3445,5938900
#2004-01-23#,45.3445,45.6605,44.1454,45.6461,3973900
#2004-01-26#,45.8974,46.6227,45.7395,46.2421,3264800
#2004-01-27#,46.1703,46.2421,45.84,45.9477,2159900
#2004-01-28#,45.9764,46.0554,45.2297,45.4164,2258200
#2004-01-29#,45.3086,46.1703,45.2225,45.9549,2159800
#2004-01-30#,45.8831,46.1057,45.5241,46.0339,1974500
#2004-02-02#,46.0411,47.2402,45.8113,46.716,2704300
#2004-02-03#,46.716,47.2402,46.278,47.1827,1650300
#2004-02-04#,46.8524,47.1038,46.2277,46.637,2736000
#2004-02-05#,46.8524,47.032,45.8472,46.0411,1638800
#2004-02-06#,46.1129,46.5293,46.0411,46.3283,1196900
#2004-02-09#,46.3139,46.3139,45.6677,45.6892,1523000
#2004-02-10#,45.8113,46.3929,45.7682,46.3929,1171200
#2004-02-11#,46.278,47.3192,46.1416,47.2115,2007600
#2004-02-12#,47.2115,47.3838,46.5652,46.6729,1365700
#2004-02-13#,46.1344,47.0822,45.9549,46.9601,1732100
#2004-02-16#,46.1344,47.0822,45.9549,46.9601,1732100
#2004-02-17#,46.9673,47.2115,46.7088,47.0248,829000
#2004-02-18#,47.1038,47.2402,46.6227,46.6586,971200
#2004-02-19#,46.9961,47.2545,46.3139,46.3211,1941000
#2004-02-20#,46.3857,46.7088,46.1918,46.515,1267800
#2004-02-23#,46.3139,46.3211,45.7467,45.9549,1646900
#2004-02-24#,45.9549,46.6011,45.6892,46.1631,1030400
#2004-02-25#,46.4001,46.637,46.0913,46.5365,997500
#2004-02-26#,46.5293,46.6658,46.2636,46.5293,943100
#2004-02-27#,46.4934,47.0176,46.4934,46.8381,1213200
#2004-03-01#,46.8381,47.2617,46.5796,47.154,1118600
#2004-03-02#,47.0391,47.6997,46.8524,47.391,2195900
#2004-03-03#,47.391,47.8218,47.3551,47.7644,1219700
#2004-03-04#,47.7141,48.2167,47.4412,48.0803,1412600
#2004-03-05#,47.8505,48.7481,47.7931,48.3675,2112000
#2004-03-08#,48.3316,48.8271,48.267,48.3962,1536600
#2004-03-09#,48.3819,48.3891,47.391,47.9367,2563100
#2004-03-10#,47.829,48.0947,47.6782,47.7931,2343700
#2004-03-11#,47.7931,48.5111,47.7069,47.8649,2569500
#2004-03-12#,47.8721,47.9654,47.6208,47.9295,2183600
#2004-03-15#,47.75,47.8721,47.2402,47.312,1685700
#2004-03-16#,47.4269,47.5274,46.7088,47.1827,1720300
#2004-03-17#,47.4197,47.4197,46.9314,47.1756,1314100
#2004-03-18#,47.1756,47.3192,46.6514,47.0966,1564900
