"Date","Open","High","Low","Close","Volume"
#2005-01-03#,42.95,42.95,42.22,42.33,892900
#2005-01-04#,42.34,42.63,42.22,42.22,902800
#2005-01-05#,42.23,42.64,42.05,42.19,1673100
#2005-01-06#,42.18,43.11,41.38,42.66,2674000
#2005-01-07#,42.75,42.83,42.28,42.5,1405800
#2005-01-10#,42.2,42.56,42.13,42.18,978400
#2005-01-11#,42,42.9,41.93,42.54,1279600
#2005-01-12#,42.54,42.76,41.97,42.76,1532000
#2005-01-13#,42.74,42.89,42.28,42.39,1354500
#2005-01-14#,42.4,43,42.31,42.5,1199600
#2005-01-17#,42.4,43,42.31,42.5,1199600
#2005-01-18#,42.5,43.66,42.22,43.52,2344800
#2005-01-19#,43.69,44.21,43.31,43.85,2893700
#2005-01-20#,43.63,43.91,43.03,43.68,2168000
#2005-01-21#,43.56,43.57,42.74,42.83,1449400
#2005-01-24#,42.4,42.84,41.75,42.23,1182500
#2005-01-25#,42.26,42.75,42.26,42.6,1162900
#2005-01-26#,42.61,43.21,42.54,43.17,1196500
#2005-01-27#,42.97,43.24,42.65,42.75,610900
#2005-01-28#,42.76,42.85,41.93,42.13,1035200
#2005-01-31#,42.5,43.44,42.41,43.4,1537600
#2005-02-01#,43.65,44.07,43.2,43.87,1007100
#2005-02-02#,43.87,44.11,43.56,44,1494300
#2005-02-03#,44.76,44.97,44.4,44.52,1781000
#2005-02-04#,44.2,46.06,44.2,45.98,1670400
#2005-02-07#,45.7,46.14,45.68,45.99,1466400
#2005-02-08#,45.7,45.9,45.55,45.65,1384100
#2005-02-09#,45.77,46.1,45.5,45.79,1290400
#2005-02-10#,46,46.22,45.5,46.06,1118900
#2005-02-11#,46.06,47.7,46.02,47.25,2201600
#2005-02-14#,47.04,47.14,46.41,46.81,934600
#2005-02-15#,46.55,46.9,46.4,46.84,1186500
#2005-02-16#,46.48,46.74,45.65,45.91,1619400
#2005-02-17#,45.92,45.92,45.26,45.26,1382600
#2005-02-18#,45.08,45.23,44.75,44.91,1283300
#2005-02-21#,45.08,45.23,44.75,44.91,1283300
#2005-02-22#,44.5,44.89,44.05,44.05,1358600
#2005-02-23#,44.3,44.88,44.05,44.48,524600
#2005-02-24#,44.48,44.92,44.3,44.67,695600
#2005-02-25#,44.52,45.11,44.39,44.98,858700
#2005-02-28#,44.65,44.84,44.24,44.46,1000300
#2005-03-01#,44.3,45.22,44.2,44.84,817800
#2005-03-02#,44.45,45.16,44.41,45.05,730800
#2005-03-03#,45.48,45.63,45.07,45.22,797400
#2005-03-04#,45.35,45.83,45.3,45.62,838600
#2005-03-07#,45.55,46.29,45.55,45.84,534600
#2005-03-08#,45.59,45.85,45.03,45.74,1261300
#2005-03-09#,45.74,45.95,45.24,45.42,869000
#2005-03-10#,45.27,45.49,44.96,45.47,932000
#2005-03-11#,45.2,45.81,44.76,45.63,892200
#2005-03-14#,45.55,45.7,44.95,45.43,1464800
#2005-03-15#,45.3,45.31,44.21,44.33,1923700
#2005-03-16#,44.34,44.78,44.1,44.62,1716800
#2005-03-17#,44.62,44.62,43.45,43.89,2012500
#2005-03-18#,43.76,44,42.54,43.05,1777500
#2005-03-21#,43.04,43.04,42.45,42.83,1134600
#2005-03-22#,42.83,42.94,41.86,41.86,1297600
#2005-03-23#,41.99,42.41,41.85,41.85,1650600
#2005-03-24#,41.98,42.31,41.7,41.7,730100
#2005-03-25#,41.98,42.31,41.7,41.7,730100
#2005-03-28#,41.71,42.46,41.5,42.25,1241500
#2005-03-29#,42.09,42.48,42.04,42.16,1452800
#2005-03-30#,42.25,42.28,41.55,42,1464400
#2005-03-31#,41.91,41.91,40.96,41.27,1716300
#2005-04-01#,41.27,41.52,38.36,39.93,4739300
#2005-04-04#,40.06,41.72,39.77,41.25,3750900
#2005-04-05#,41.5,41.55,40.97,41.15,1565800
#2005-04-06#,41.45,41.6,41.18,41.31,909400
#2005-04-07#,41.31,41.51,41.17,41.29,1239100
#2005-04-08#,41.3,41.4,40,40.2,1913100
#2005-04-11#,40.4,40.4,40,40.25,1221900
#2005-04-12#,40.25,40.93,40.25,40.84,2064400
#2005-04-13#,40.6,40.81,39.99,40.06,1108800
#2005-04-14#,40.06,40.13,39.22,39.35,2160100
#2005-04-15#,39.15,39.96,39.09,39.29,1793200
#2005-04-18#,39.55,39.7,38.96,39.29,1054500
#2005-04-19#,39.28,39.68,39.08,39.52,869700
#2005-04-20#,39.4,39.5,38.59,38.7,1077200
#2005-04-21#,38.85,40,38.76,39.86,1668900
#2005-04-22#,39.9,40.21,39.68,40.02,1645800
#2005-04-25#,40,40.37,39.6,39.79,1391800
#2005-04-26#,39.8,40.37,39.62,39.62,1142400
#2005-04-27#,39.99,42.06,39.91,41.49,2597000
#2005-04-28#,41.65,42.3,41.4,41.66,1577900
#2005-04-29#,42.05,43.04,41.85,42.96,1862700
#2005-05-02#,43.2,43.7,42.47,42.95,1699100
#2005-05-03#,43,43.45,42.87,42.99,948900
#2005-05-04#,43.3,44.26,43.15,44.15,1184100
#2005-05-05#,43.95,44.09,42.98,43.49,1244200
#2005-05-06#,43.51,43.81,43.32,43.38,622900
#2005-05-09#,43.39,43.78,43.31,43.73,657000
#2005-05-10#,43.33,43.41,42.6,42.65,986900
#2005-05-11#,42.6,42.794,41.894,42.62,1707100
#2005-05-12#,42.76,42.92,42.39,42.54,1174200
#2005-05-13#,42.6,42.6,41.35,41.81,750200
#2005-05-16#,41.91,42.8,41.81,42.62,588900
#2005-05-17#,42.63,43.63,42.43,43.51,800000
