"Date","Open","High","Low","Close","Volume"
#2006-01-02#,26.79,26.99,26.601,26.91,826600
#2006-01-03#,26.91,26.97,26.41,26.9,918200
#2006-01-04#,26.97,27.59,26.96,27.46,1504900
#2006-01-05#,27.41,27.8,27.38,27.79,1601500
#2006-01-06#,27.79,28.2,27.79,28.12,1422100
#2006-01-09#,28.1,29.06,28.1,29.01,3552800
#2006-01-10#,29,29,28.33,28.78,1357100
#2006-01-11#,28.83,29.25,28.83,29.19,1087900
#2006-01-12#,29.2,29.34,29,29.14,1145900
#2006-01-13#,29.1,29.25,29,29.12,912700
#2006-01-16#,29.1,29.25,29,29.12,912700
#2006-01-17#,28.9,28.95,28.38,28.54,1172100
#2006-01-18#,28.45,29.59,28.2,29.52,1777400
#2006-01-19#,29.52,29.97,29.51,29.86,916100
#2006-01-20#,30,30.03,29.61,29.69,1235700
#2006-01-23#,29.8,29.82,29.39,29.47,856600
#2006-01-24#,29.489,30.73,29.44,30.5,1272000
#2006-01-25#,30.56,30.65,29.96,30.1,784500
#2006-01-26#,29.94,30.17,29.72,30.12,792300
#2006-01-27#,30.12,30.22,30,30.14,425900
#2006-01-30#,30,30.5,29.99,30.46,552100
#2006-01-31#,30.71,31.7,30.71,31.63,1663800
#2006-02-01#,31.653,32.39,31.45,32.31,1382800
#2006-02-02#,32.31,32.31,31.79,31.88,798600
#2006-02-03#,31.8,31.86,31.08,31.16,864800
#2006-02-06#,31.26,32.06,31.26,31.75,904600
#2006-02-07#,32,32.77,31.75,32,986800
#2006-02-08#,31.9,32.23,31.5,32,1260400
#2006-02-09#,32.05,32.05,30.86,31,824900
#2006-02-10#,31.04,31.15,30.7,30.85,1266700
#2006-02-13#,30.7,30.9,30.2,30.2,1137300
#2006-02-14#,30.35,30.57,29.16,29.41,2149800
#2006-02-15#,29.6,29.88,29.5501,29.61,876000
#2006-02-16#,29.62,30.51,29.47,30.51,1106500
#2006-02-17#,30.51,30.6,30.3,30.34,934900
#2006-02-20#,30.51,30.6,30.3,30.34,934900
#2006-02-21#,30.35,30.63,30.33,30.5,1780200
#2006-02-22#,30.5,30.76,30.13,30.76,1348500
#2006-02-23#,30.69,30.93,30.44,30.89,713300
#2006-02-24#,30.84,31.45,30.84,31.29,1065500
#2006-02-27#,31.29,31.8,31.28,31.57,957400
#2006-02-28#,31.6,31.7,30.95,31.35,763500
#2006-03-01#,31.35,31.39,29.83,29.89,3207800
#2006-03-02#,29.98,30.87,29.9,30.83,1009600
#2006-03-03#,30.83,31.23,30.52,30.75,729500
#2006-03-06#,30.74,31.25,30.67,30.94,912600
#2006-03-07#,30.9,30.9,30,30.19,1007300
#2006-03-08#,30.09,30.37,29.55,30.29,1298000
#2006-03-09#,30.3,31.04,30.14,30.35,949300
#2006-03-10#,30.15,30.5,30.15,30.19,939200
#2006-03-13#,30.25,30.29,29.68,29.71,1351800
#2006-03-14#,29.7,30.24,29.63,30.2,1010900
#2006-03-15#,31.15,31.15,29.3,29.36,1818800
#2006-03-16#,29.4,29.88,29.18,29.25,1180900
#2006-03-17#,29.4,29.44,29.08,29.1,975300
#2006-03-20#,29.16,29.8,29.06,29.76,993800
#2006-03-21#,29.6,29.97,29.22,29.25,817000
#2006-03-22#,29.4,29.7,29.1,29.12,959200
#2006-03-23#,29.02,29.1,28.65,28.8,2075700
#2006-03-24#,28.75,29.68,28.75,29.5,1650600
#2006-03-27#,29.4,29.43,29.15,29.27,529400
#2006-03-28#,29,29.16,28.54,28.58,782600
#2006-03-29#,28.5,28.55,28.09,28.42,2453900
#2006-03-30#,28.03,28.79,27.83,27.98,1762600
#2006-03-31#,27.96,28.45,27.92,28.35,1494400
#2006-04-03#,28.25,28.8,28.25,28.74,1371800
#2006-04-04#,28.74,28.91,28,28.32,908700
#2006-04-05#,28.29,28.56,27.45,28.53,2244800
#2006-04-06#,28.53,30.13,28.4,30.02,3842200
#2006-04-07#,30.1,30.45,29.5,29.94,1202500
