"Date","Open","High","Low","Close","Volume"
#2001-01-01#,4.07,4.313,4.047,4.063,23835200
#2001-01-02#,4.148,4.188,3.828,4.047,18024800
#2001-01-03#,3.875,3.969,3.492,3.75,44732000
#2001-01-04#,3.813,3.828,3.063,3.164,27531200
#2001-01-05#,3.266,3.313,2.953,3.086,31571200
#2001-01-08#,2.992,3.063,2.688,2.977,17223200
#2001-01-09#,2.928,2.977,2.344,2.578,76913600
#2001-01-10#,2.734,3.148,2.563,3.117,99801600
#2001-01-11#,3.195,3.375,2.906,3.164,44619200
#2001-01-12#,3.234,3.625,3.125,3.367,27130400
#2001-01-15#,3.234,3.625,3.125,3.367,27130400
#2001-01-16#,3.453,3.508,3.234,3.297,9094400
#2001-01-17#,3.422,3.469,3.109,3.109,22096000
#2001-01-18#,3.227,3.375,3.031,3.352,22551200
#2001-01-19#,3.422,3.469,3.242,3.281,12958400
#2001-01-22#,3.273,3.484,3.25,3.414,9963200
#2001-01-23#,3.449,3.969,3.328,3.938,21276000
#2001-01-24#,3.938,4.156,3.859,4.039,16736000
#2001-01-25#,4.117,4.117,3.469,3.5,17436800
#2001-01-26#,3.414,3.734,3.289,3.617,13840800
#2001-01-29#,3.707,3.781,3.469,3.703,6144800
#2001-01-30#,3.805,3.898,3.695,3.758,7828000
#2001-01-31#,3.691,3.719,3.352,3.469,14248000
#2001-02-01#,3.574,3.672,3.438,3.469,14466400
#2001-02-02#,3.508,3.594,3.211,3.344,12920800
#2001-02-05#,3.375,3.406,3.188,3.242,7201600
#2001-02-06#,3.125,3.5,3.117,3.453,6980800
#2001-02-07#,3.398,3.453,3.156,3.352,6700800
#2001-02-08#,3.375,3.375,3.219,3.32,5042400
#2001-02-09#,3.313,3.336,3.211,3.305,5102400
#2001-02-12#,3.336,3.563,3.313,3.43,9375200
#2001-02-13#,3.531,3.578,3.328,3.344,8368800
#2001-02-14#,3.328,3.578,3.313,3.453,8071200
#2001-02-15#,3.523,3.586,3.375,3.383,7877600
#2001-02-16#,3.297,3.453,3.25,3.305,3826400
#2001-02-19#,3.297,3.453,3.25,3.305,3826400
#2001-02-20#,3.313,3.398,3.266,3.359,4991200
#2001-02-21#,3.281,3.422,3.266,3.266,3949600
#2001-02-22#,3.258,3.281,2.938,3,16721600
#2001-02-23#,2.805,3.219,2.742,3.125,8692000
#2001-02-26#,3.227,3.406,3.211,3.336,6440000
#2001-02-27#,3.336,3.359,3.008,3.227,5984000
#2001-02-28#,3.234,3.406,3.125,3.266,3449600
#2001-03-01#,3.219,3.227,3.031,3.156,4779200
#2001-03-02#,3.234,3.398,3.172,3.32,4472800
#2001-03-05#,3.375,3.383,3.135,3.18,4655200
#2001-03-06#,3.211,3.438,3.211,3.266,4180800
#2001-03-07#,3.359,3.375,3.289,3.344,4228800
#2001-03-08#,3.336,3.5,3.086,3.094,8473600
#2001-03-09#,3.07,3.188,2.953,3.055,6891200
#2001-03-12#,2.938,2.969,2.609,2.703,8218400
#2001-03-13#,2.75,2.828,2.617,2.734,11815200
#2001-03-14#,2.578,2.797,2.547,2.727,9869600
#2001-03-15#,2.75,2.797,2.695,2.695,10746400
#2001-03-16#,2.66,2.688,2.328,2.336,5422400
#2001-03-19#,2.344,2.68,2.313,2.57,5384000
#2001-03-20#,2.609,2.664,2.406,2.508,9731200
#2001-03-21#,2.688,2.688,2.422,2.438,21837600
#2001-03-22#,2.414,2.469,2.117,2.367,19102400
#2001-03-23#,2.313,2.688,2.297,2.602,16706400
#2001-03-26#,2.684,3.094,2.672,3.094,17420800
#2001-03-27#,3.055,3.063,2.875,2.977,7232800
#2001-03-28#,2.977,3.141,2.922,3.125,12831200
#2001-03-29#,3.117,3.359,2.992,3.18,14798400
#2001-03-30#,3.25,3.313,3,3.125,11952000
#2001-04-02#,3.094,3.107,2.625,2.781,13435200
#2001-04-03#,2.594,2.695,2.219,2.352,41403200
#2001-04-04#,2.164,2.266,2.109,2.172,36592800
#2001-04-05#,2.273,2.359,2.227,2.281,17208800
#2001-04-06#,2.25,2.398,2.156,2.328,12618400
#2001-04-09#,2.331,2.43,2.305,2.383,11020000
#2001-04-10#,2.425,2.478,2.344,2.388,13064000
#2001-04-11#,2.495,2.533,2.25,2.28,9824000
#2001-04-12#,2.244,2.463,2.219,2.44,8552000
#2001-04-13#,2.244,2.463,2.219,2.44,8552000
#2001-04-16#,2.448,2.456,2.345,2.393,9299200
#2001-04-17#,2.381,2.481,2.326,2.375,6731200
#2001-04-18#,2.5,2.75,2.423,2.463,10654400
#2001-04-19#,2.475,2.575,2.434,2.559,19458400
#2001-04-20#,2.481,2.506,2.399,2.406,10159200
#2001-04-23#,2.385,2.391,2.25,2.276,8917600
#2001-04-24#,2.281,2.305,1.89,2.003,31907200
#2001-04-25#,1.999,2.163,1.923,2.114,37310400
#2001-04-26#,2.213,2.353,1.8,1.901,103380000
#2001-04-27#,1.975,2.031,1.938,1.991,41214400
#2001-04-30#,2.05,2.275,2.013,2.209,40352800
#2001-05-01#,2.186,2.225,2.113,2.144,17125600
#2001-05-02#,2.199,2.21,2.01,2.086,18364000
#2001-05-03#,2.063,2.064,1.975,2.009,13107200
#2001-05-04#,1.959,2.119,1.923,2.096,14176000
#2001-05-07#,2.168,2.344,2.159,2.3,38520800
#2001-05-08#,2.426,2.55,2.345,2.468,32212800
#2001-05-09#,2.524,2.563,2.411,2.5,23335200
#2001-05-10#,2.536,2.553,2.378,2.385,12476800
#2001-05-11#,2.401,2.51,2.331,2.413,7684000
#2001-05-14#,2.35,2.388,2.225,2.325,12555200
#2001-05-15#,2.373,2.401,2.3,2.333,15763200
#2001-05-16#,2.353,2.531,2.29,2.434,22202400
#2001-05-17#,2.539,2.819,2.508,2.801,35972800
#2001-05-18#,2.741,2.896,2.736,2.874,20011200
#2001-05-21#,2.913,3.094,2.838,2.994,14461600
#2001-05-22#,3.13,3.131,2.939,3.089,17292800
#2001-05-23#,3.131,3.175,2.938,3.081,14640000
#2001-05-24#,3.07,3.372,3.025,3.338,16728000
#2001-05-25#,3.3,3.505,3.175,3.504,18788800
#2001-05-28#,3.3,3.505,3.175,3.504,18788800
#2001-05-29#,3.519,3.809,3.429,3.644,25992000
#2001-05-30#,3.519,3.634,3.438,3.506,22772800
#2001-05-31#,3.493,3.725,3.476,3.546,18181600
#2001-06-01#,3.725,4.03,3.695,3.843,25073600
#2001-06-04#,4.006,4.199,3.933,4.125,28422400
#2001-06-05#,4.246,4.56,4.188,4.321,39687200
#2001-06-06#,4.381,4.401,4.025,4.164,38162400
#2001-06-07#,4.375,4.375,4.108,4.213,34844800
#2001-06-08#,4.238,4.273,3.879,4.106,16612800
#2001-06-11#,4.106,4.106,3.788,3.968,14295200
#2001-06-12#,3.799,4.034,3.681,3.993,28548000
#2001-06-13#,4.044,4.213,3.938,3.954,10940000
#2001-06-14#,3.924,4.104,3.824,3.988,14364800
#2001-06-15#,3.906,3.906,3.578,3.863,15737600
#2001-06-18#,3.837,3.984,3.731,3.886,9340000
#2001-06-19#,3.98,4.06,3.838,3.851,9424000
#2001-06-20#,3.843,4.075,3.769,3.875,14104000
#2001-06-21#,3.725,3.75,3.288,3.4,75072800
#2001-06-22#,3.413,3.684,3.338,3.359,19342400
#2001-06-25#,3.439,3.48,3.125,3.238,15756800
#2001-06-26#,3.211,3.413,3.194,3.389,8508800
#2001-06-27#,3.431,3.431,3.15,3.343,9442400
#2001-06-28#,3.414,3.606,3.406,3.518,13158400
#2001-06-29#,3.6,3.656,3.45,3.606,7174400
#2001-07-02#,3.625,3.645,3.485,3.543,5130400
#2001-07-03#,3.568,3.588,3.496,3.573,2581600
#2001-07-04#,3.568,3.588,3.496,3.573,2581600
#2001-07-05#,3.566,3.594,3.506,3.506,2118400
#2001-07-06#,3.481,3.498,3.31,3.325,4532800
#2001-07-09#,3.38,3.688,3.378,3.561,15889600
#2001-07-10#,3.61,3.675,3.363,3.473,11471200
#2001-07-11#,3.381,3.469,3.113,3.195,14870400
#2001-07-12#,3.261,3.466,3.236,3.44,6864800
#2001-07-13#,3.444,3.673,3.313,3.338,13147200
#2001-07-16#,3.38,3.416,3.22,3.266,5622400
#2001-07-17#,3.269,3.409,3.269,3.274,7602400
#2001-07-18#,3.276,3.495,3.269,3.428,6725600
#2001-07-19#,3.435,3.585,3.434,3.455,7593600
#2001-07-20#,3.435,3.578,3.425,3.508,7947200
#2001-07-23#,3.538,3.645,3.501,3.586,4933600
#2001-07-24#,3.59,3.613,3.25,3.331,10982400
#2001-07-25#,3.344,3.373,3.05,3.131,17084800
#2001-07-26#,3.068,3.524,3.068,3.4,18422400
#2001-07-27#,3.444,3.639,3.441,3.476,5731200
#2001-07-30#,3.494,3.523,3.341,3.36,5152000
#2001-07-31#,3.335,3.415,3.265,3.273,5730400
#2001-08-01#,3.356,3.48,3.23,3.423,8395200
#2001-08-02#,3.463,3.519,3.319,3.445,2968000
#2001-08-03#,3.445,3.475,3.291,3.419,3849600
#2001-08-06#,3.381,3.463,3.361,3.463,4184800
#2001-08-07#,3.413,3.45,3.298,3.331,4025600
#2001-08-08#,3.376,3.41,3.208,3.213,2580800
#2001-08-09#,3.214,3.256,3.044,3.241,8436000
#2001-08-10#,3.219,3.231,3.119,3.219,3253600
#2001-08-13#,3.219,3.225,3.061,3.113,6343200
#2001-08-14#,3.16,3.183,3.075,3.134,4917600
#2001-08-15#,3.125,3.169,3.02,3.028,4330400
#2001-08-16#,2.963,3.011,2.729,2.95,15105600
#2001-08-17#,2.906,3.105,2.825,2.968,4206400
#2001-08-20#,2.966,2.968,2.583,2.728,16100800
#2001-08-21#,2.73,2.815,2.631,2.693,8800800
#2001-08-22#,2.84,3.15,2.825,3.111,21817600
#2001-08-23#,3.101,3.375,3.1,3.304,8939200
#2001-08-24#,3.338,3.55,3.306,3.49,7954400
#2001-08-27#,3.483,3.511,3.325,3.438,5184800
#2001-08-28#,3.5,3.688,3.494,3.511,13843200
#2001-08-29#,3.526,3.594,3.375,3.559,12461600
#2001-08-30#,3.558,3.575,3.385,3.454,7278400
#2001-08-31#,3.38,3.531,3.38,3.476,4965600
#2001-09-03#,3.38,3.531,3.38,3.476,4965600
#2001-09-04#,3.524,3.683,3.45,3.529,10813600
#2001-09-05#,3.531,3.549,3.306,3.44,5685600
#2001-09-06#,3.45,3.514,3.326,3.425,5456800
#2001-09-07#,3.411,3.494,3.313,3.426,4840000
#2001-09-10#,3.416,3.516,3.35,3.469,7753600
#2001-09-11#,3.416,3.516,3.35,3.469,8800
#2001-09-12#,3.416,3.516,3.35,3.469,8800
#2001-09-13#,3.416,3.516,3.35,3.469,8800
#2001-09-14#,3.416,3.516,3.35,3.469,8800
#2001-09-17#,3.309,3.375,3.131,3.151,5409600
#2001-09-18#,3.22,3.256,2.973,3.013,6549600
#2001-09-19#,3.013,3.031,2.689,2.828,11210400
#2001-09-20#,2.711,2.891,2.656,2.869,12473600
#2001-09-21#,2.8,2.811,2.563,2.665,8713600
#2001-09-24#,2.781,2.844,2.653,2.681,7980800
#2001-09-25#,2.663,2.969,2.661,2.969,8649600
#2001-09-26#,2.986,3.026,2.888,2.951,3685600
#2001-09-27#,2.945,3.329,2.894,3.329,9050400
#2001-09-28#,3.281,3.463,3.28,3.304,12559200
#2001-10-01#,3.215,3.263,3.031,3.08,8886400
#2001-10-02#,3.066,3.325,3.066,3.124,11277600
#2001-10-03#,3.109,3.45,3.069,3.4,6212000
#2001-10-04#,3.406,3.413,3.188,3.209,11616800
#2001-10-05#,3.183,3.201,2.938,2.998,11837600
#2001-10-08#,2.983,3.179,2.931,3.065,10116000
#2001-10-09#,3.088,3.155,3.009,3.096,6180000
#2001-10-10#,3.079,3.324,3.005,3.259,11028000
#2001-10-11#,3.323,3.563,3.323,3.425,10637600
#2001-10-12#,3.424,3.5,3.251,3.491,7370400
#2001-10-15#,3.48,3.856,3.45,3.848,18161600
#2001-10-16#,3.95,4.2,3.883,4.039,29316000
#2001-10-17#,4.036,4.038,3.694,3.718,15996000
#2001-10-18#,3.721,3.801,3.673,3.773,9841600
#2001-10-19#,3.749,3.869,3.669,3.799,9050400
#2001-10-22#,3.76,3.905,3.701,3.766,13016800
#2001-10-23#,3.793,3.843,3.563,3.666,11624800
#2001-10-24#,3.656,3.795,3.625,3.645,9516000
#2001-10-25#,3.594,4.121,3.591,4.015,22990400
#2001-10-26#,4.011,4.299,3.996,4.18,17702400
#2001-10-29#,4.196,4.263,4.074,4.143,7453600
#2001-10-30#,4.089,4.089,3.844,4.006,5776000
#2001-10-31#,4.063,4.249,4.026,4.115,10424800
#2001-11-01#,4.208,4.374,4.118,4.328,17402400
#2001-11-02#,4.349,4.47,4.246,4.323,10188800
#2001-11-05#,4.336,4.748,4.325,4.568,23696000
#2001-11-06#,4.575,4.65,4.406,4.545,14468800
#2001-11-07#,4.561,4.681,4.481,4.538,9590400
#2001-11-08#,4.563,4.703,4.404,4.499,10313600
#2001-11-09#,4.446,4.463,4.323,4.373,8348000
#2001-11-12#,4.374,4.455,4.194,4.43,13024000
#2001-11-13#,4.506,4.766,4.5,4.766,18990400
#2001-11-14#,4.855,4.86,4.55,4.624,20897600
#2001-11-15#,4.719,4.72,4.469,4.624,12825600
#2001-11-16#,4.631,4.645,4.475,4.489,13415200
#2001-11-19#,4.569,4.781,4.466,4.738,13547200
#2001-11-20#,4.731,4.818,4.616,4.715,10278400
#2001-11-21#,4.723,4.775,4.553,4.606,6992000
#2001-11-22#,4.723,4.775,4.553,4.606,6992000
#2001-11-23#,4.592,4.789,4.59,4.788,3981600
#2001-11-26#,4.784,4.791,4.616,4.671,9484800
#2001-11-27#,4.636,4.813,4.636,4.709,11051200
#2001-11-28#,4.699,4.7,4.219,4.395,24225600
#2001-11-29#,4.406,4.488,4.375,4.444,9216800
#2001-11-30#,4.47,4.553,4.21,4.361,15616800
#2001-12-03#,4.385,4.391,4.206,4.233,5651200
#2001-12-04#,4.251,4.373,4.035,4.13,12172800
#2001-12-05#,4.181,4.325,4.124,4.298,11285600
#2001-12-06#,4.33,4.625,4.324,4.5,15438400
#2001-12-07#,4.464,4.465,3.825,3.938,47166400
#2001-12-10#,4.006,4.2,3.895,3.975,36424000
#2001-12-11#,4.138,4.165,3.788,3.918,28587200
#2001-12-12#,3.869,3.919,3.753,3.776,15324000
#2001-12-13#,3.726,3.916,3.716,3.875,10966400
#2001-12-14#,3.9,3.9,3.689,3.845,10483200
#2001-12-17#,3.831,3.93,3.761,3.878,16807200
