"Date","Open","High","Low","Close","Volume"
#2016-01-01#,40.75,41.29,40.472,40.81,2020126
#2016-01-04#,40.06,40.95,39.83,40.5,3262529
#2016-01-05#,40.38,40.658,39.15,39.23,2690027
#2016-01-06#,38.65,38.71,35.265,35.84,4711819
#2016-01-07#,35.31,36.66,33.69,34.14,5010640
#2016-01-08#,34.4,35.1,33.71,33.82,4130097
#2016-01-11#,34.01,34.07,32.26,32.45,3657080
#2016-01-12#,33.13,33.38,31.68,32.54,4327736
#2016-01-13#,32.87,33.41,31.56,31.76,5147153
#2016-01-14#,31.97,33.15,31.17,32.62,3893073
#2016-01-15#,31.63,32.46,30.92,31.57,4766316
#2016-01-18#,31.63,32.46,30.92,31.57,4766316
#2016-01-19#,32.04,32.14,29.88,30.25,3758273
#2016-01-20#,29.88,29.88,26.1,29.22,10964749
#2016-01-21#,29.18,31.11,29.12,30.27,5881736
#2016-01-22#,31.11,32.03,29.66,29.96,6338744
#2016-01-25#,29.49,29.55,28.24,28.6,4118867
#2016-01-26#,28.47,29.85,28,29.49,4090399
#2016-01-27#,29.85,30.97,28.98,30.06,4075511
#2016-01-28#,30.22,30.5,29.4,30.33,3438081
#2016-01-29#,30.38,30.85,29.72,30,4995811
#2016-02-01#,29.91,30.64,28.97,30.24,3907892
#2016-02-02#,30.1,30.1,28.74,29.45,3132845
#2016-02-03#,29.77,30.23,28.21,30.05,5209404
#2016-02-04#,30.2,30.83,29.6,30.59,5454128
#2016-02-05#,30.34,30.68,29.42,29.97,4216796
#2016-02-08#,29.2,29.39,26.7401,28.01,5207070
#2016-02-09#,27.72,29.74,27.4,28.47,4988249
#2016-02-10#,28.38,29.04,27.76,27.83,2537728
#2016-02-11#,26.9136,29.42,26.29,29.04,5154675
#2016-02-12#,29.81,30.64,28.98,30,6065909
#2016-02-15#,29.81,30.64,28.98,30,6065909
#2016-02-16#,30.46,31.69,29.69,31.14,6133309
#2016-02-17#,31.29,32.286,30.82,31.7,5982839
#2016-02-18#,33,34.49,32.73,34.37,7372716
#2016-02-19#,34.19,34.19,32.81,33,5569757
#2016-02-22#,33.34,34.04,33.13,33.54,3942592
#2016-02-23#,33.05,33.45,32.1,32.13,3902279
#2016-02-24#,31.84,31.98,30.04,31.75,5881596
#2016-02-25#,32.13,33.65,31.57,33.16,4092744
#2016-02-26#,33.53,35.13,33.53,34.95,5623303
#2016-02-29#,35.08,37.14,34.93,36.46,6216727
#2016-03-01#,37,37.72,35.83,36.25,3387442
#2016-03-02#,35,35.93,34.39,34.74,5036705
#2016-03-03#,35.26,36.39,34.855,36.19,3969740
#2016-03-04#,36.43,36.93,34.51,34.59,6190579
#2016-03-07#,34.78,37.08,34.6,36.88,5204715
#2016-03-08#,36.64,37.02,35.225,35.26,3753135
#2016-03-09#,35.53,36.19,34.7,35.42,3198911
#2016-03-10#,35.38,35.42,32.89,33.64,4271436
#2016-03-11#,34.61,36.635,34.455,35.64,4947102
#2016-03-14#,35.48,36.22,35.19,35.54,3345242
#2016-03-15#,35.44,35.48,33.13,33.63,3641955
#2016-03-16#,33.42,34.17,32.83,34.15,3973039
#2016-03-17#,34.48,35.19,33.99,35.05,3742761
#2016-03-18#,35.25,35.93,34.54,34.99,3921106
#2016-03-21#,34.82,35.48,34.7,35.06,2339707
#2016-03-22#,34.63,34.71,33.915,33.93,3007195
#2016-03-23#,33.76,33.7885,32.88,32.97,3035322
#2016-03-24#,32.44,32.44,31.45,31.94,4183539
#2016-03-25#,32.44,32.44,31.45,31.94,4183539
#2016-03-28#,31.48,32.33,30.85,31.79,3901398
#2016-03-29#,31.47,32.27,30.77,31.91,2598282
#2016-03-30#,32.05,32.4,31.62,31.98,2715619
#2016-03-31#,31.91,32.18,30.8,31.34,4166261
#2016-04-01#,30.87,32.28,29.9,32.13,3874573
#2016-04-04#,31.89,32.32,31.08,31.21,2445498
#2016-04-05#,30.04,31.34,29.67,30.11,4790629
#2016-04-06#,29.63,30.14,28.7,29.32,4996914
#2016-04-07#,29.1,29.65,28.75,29.19,5144519
#2016-04-08#,29.56,30.57,29.54,29.77,3354542
#2016-04-11#,30.15,30.75,29.815,30.15,3028913
#2016-04-12#,30.19,30.75,29.51,30.54,3270678
#2016-04-13#,30.85,31.46,30.55,31.22,4429605
#2016-04-14#,30.59,30.94,30.15,30.59,4094749
#2016-04-15#,30.44,31.37,30.1,31.03,3523824
#2016-04-18#,30.65,31.65,30.5,31.37,2510164
#2016-04-19#,31.32,33.88,31.28,33.7,4677212
#2016-04-20#,33.92,35.2,33.47,34.87,6447003
#2016-04-21#,35,35.84,34.19,34.24,3664416
#2016-04-22#,34.49,35.03,33.05,33.24,3580047
#2016-04-25#,33.2,33.99,33.05,33.17,2275387
#2016-04-26#,33.21,34.095,33.0711,33.69,2267118
#2016-04-27#,33.67,33.84,32.49,33.79,3060238
#2016-04-28#,33.12,35.17,32.69,34.32,3609594
#2016-04-29#,34.13,34.56,32.71,33.07,2902850
#2016-05-02#,33.16,33.48,32.21,33.34,2476240
#2016-05-03#,32.95,33.03,31.19,31.67,3431470
#2016-05-04#,31.15,32.2,30.8,32.11,5012596
#2016-05-05#,31,32.04,30.025,30.79,7510871
#2016-05-06#,30.49,31.76,30.45,31,2945356
#2016-05-09#,30.98,31.15,30.32,30.41,2339793
#2016-05-10#,30.39,30.81,28.88,30.5,5296118
#2016-05-11#,30.05,30.29,29.12,29.46,3785139
#2016-05-12#,30.29,30.42,27.58,27.85,5469780
#2016-05-13#,27.92,28.26,27.15,27.65,4671716
#2016-05-16#,27.79,28.8,27.78,28.62,3367896
#2016-05-17#,28.35,29.235,28.3,29.12,3500493
#2016-05-18#,29.07,29.735,28.36,28.58,3720868
#2016-05-19#,28.63,29.22,28.23,28.74,3459606
#2016-05-20#,28.8,29.04,28.32,28.59,4374979
#2016-05-23#,30.06,30.76,29.5,29.85,8479361
#2016-05-24#,29.51,29.6,27.38,27.61,12225649
#2016-05-25#,28,29.7,27.9,29.52,7885337
#2016-05-26#,29.96,30.15,28.86,28.96,6052372
#2016-05-27#,28.9,29.36,27.521,27.7,6984072
#2016-05-30#,28.9,29.36,27.521,27.7,6984072
#2016-05-31#,27.7,27.74,27,27.66,6090892
#2016-06-01#,27.33,27.73,27,27.64,3921014
#2016-06-02#,27.64,28.2729,27.5001,27.98,6262357
#2016-06-03#,27.93,28.7,27.61,28.61,4223257
#2016-06-06#,29.45,31.16,29.2,31.15,7725732
#2016-06-07#,31.39,32.42,31.3,31.96,6240712
#2016-06-08#,31.97,32.08,30.58,31.08,3669507
#2016-06-09#,30.59,30.59,29.47,29.79,4885963
#2016-06-10#,29.4,30.03,28.83,29.23,4878762
#2016-06-13#,29.43,30.07,28.58,28.62,3452254
#2016-06-14#,28.58,29.17,27.4301,27.73,4068007
#2016-06-15#,27.82,28.33,27.25,27.68,4606264
#2016-06-16#,27.4,27.8,26.55,27.59,4312964
#2016-06-17#,27.65,28.73,27.63,28.35,6613152
#2016-06-20#,28.54,29.25,27.91,27.96,3462664
#2016-06-21#,27.87,28.045,27.15,27.31,4617895
#2016-06-22#,27.5,27.77,26.965,27.02,3786093
#2016-06-23#,27.19,27.66,26.83,27.64,4862538
#2016-06-24#,26.54,26.62,24.755,25.43,11112214
#2016-06-27#,24.94,24.97,23.15,23.48,7578734
#2016-06-28#,23.86,24.48,23.6,24.06,6589519
#2016-06-29#,24.47,24.63,23.96,24.34,5769321
#2016-06-30#,24.36,24.835,23.63,24.1,4517829
#2016-07-01#,23.92,24.42,23.76,24.22,4839441
#2016-07-04#,23.92,24.42,23.76,24.22,4839441
