"Date","Open","High","Low","Close","Volume"
#2002-01-01#,30.7333,31.3,30.6167,30.8833,1201500
#2002-01-02#,30.8333,30.8333,30.0667,30.7033,1578900
#2002-01-03#,30.62,30.7,30.1033,30.5133,1184100
#2002-01-04#,30.5667,30.83,30.4333,30.7467,1570500
#2002-01-07#,30.6333,30.7967,30.4333,30.5,1362600
#2002-01-08#,30.3833,30.4167,29.8333,30.3333,1881300
#2002-01-09#,30.4167,31.45,30.4,31.07,1790100
#2002-01-10#,30.8333,31.0833,30.5833,30.8333,1708800
#2002-01-11#,30.7,31.2667,30.45,31.0667,1528800
#2002-01-14#,31.0667,31.5233,30.9333,31.1633,1507200
#2002-01-15#,31.1833,31.5,30.8667,31.4667,1610700
#2002-01-16#,31.4,31.6733,31.17,31.3333,1415400
#2002-01-17#,31.2,31.3333,30.8833,31.1767,1253400
#2002-01-18#,31.05,31.3167,30.7667,31.0433,1777200
#2002-01-21#,31.05,31.3167,30.7667,31.0433,1777200
#2002-01-22#,30.9967,30.9967,30.4167,30.5867,1429500
#2002-01-23#,30.6167,30.6667,30.33,30.5333,2843400
#2002-01-24#,30.4667,31.0333,30.4,31.0333,1786800
#2002-01-25#,31.0333,31.26,30.7667,31.1333,1839900
#2002-01-28#,30.5167,30.5467,29.7667,30.2833,3066600
#2002-01-29#,30.15,30.45,29.5333,29.81,1875000
#2002-01-30#,29.55,29.83,29.33,29.6833,2959200
#2002-01-31#,29.6667,30.6667,29.6533,30.6667,2100900
#2002-02-01#,30.4167,31.05,30.3667,31.05,2255700
#2002-02-04#,31.0167,31.02,30.0133,30.04,1475100
#2002-02-05#,30.05,30.4667,29.8333,29.8733,1678800
#2002-02-06#,29.8967,30.0333,29.7633,29.8567,1540200
#2002-02-07#,29.8567,30.05,29.6667,29.8933,1830600
#2002-02-08#,30.3,30.8,29.6667,30.3167,3315900
#2002-02-11#,29.9167,30.75,29.9167,30.5,1702200
#2002-02-12#,30.6833,31.07,30.25,30.4,1336500
#2002-02-13#,30.6667,31.7,30.54,31.3833,2391300
#2002-02-14#,31.3833,31.6667,31.15,31.5367,1449600
#2002-02-15#,31.5367,31.6667,30.95,31.23,1545000
#2002-02-18#,31.5367,31.6667,30.95,31.23,1545000
#2002-02-19#,31.2333,31.5667,30.6333,30.7167,1716600
#2002-02-20#,30.7167,31.2533,30.24,31.2267,1605600
#2002-02-21#,30.8667,31.3333,30.8667,31.0167,1574100
#2002-02-22#,30.9667,30.9967,30.6333,30.7667,1341300
#2002-02-25#,30.5667,30.9667,30.5667,30.8333,1565700
#2002-02-26#,30.8833,31.55,30.8667,31.26,2250900
#2002-02-27#,31.3333,31.8233,31,31.2933,1872900
#2002-02-28#,31.5,32.4,29.25,29.9,15949200
#2002-03-01#,30.5,31.5,30.25,31.5,7626900
#2002-03-04#,31.6633,32.75,31.3333,31.7667,3923100
#2002-03-05#,31.7667,32.6833,31.67,32.15,2607000
#2002-03-06#,32.3,32.6667,32.0833,32.37,2200200
#2002-03-07#,32.3667,32.3667,31.6,32.0833,1813800
#2002-03-08#,32.3333,32.8,32.15,32.1933,2267700
#2002-03-11#,32.1333,32.3567,32.05,32.25,1355400
#2002-03-12#,32.1667,32.35,32.0833,32.35,1233900
#2002-03-13#,32.35,32.35,31.8667,32.1267,2104200
#2002-03-14#,31.9667,32.2333,31.7667,32.0433,1652100
#2002-03-15#,32.0433,32.1033,31.9167,32,1823100
#2002-03-18#,32.0667,32.1,31.9,32.0967,1496400
#2002-03-19#,32.1167,32.4167,32.0633,32.2333,2219700
#2002-03-20#,32.2333,33.1667,32.2,32.9333,3828300
#2002-03-21#,32.7833,33.3333,32.7367,33.1333,2119800
#2002-03-22#,32.9667,33.0867,32.8333,32.97,2764200
#2002-03-25#,32.8333,33.1333,32.7667,32.8367,1380600
#2002-03-26#,32.8367,33.1667,32.6267,32.9233,1466400
#2002-03-27#,32.8333,33.4333,32.8033,33.27,1305900
#2002-03-28#,33.25,33.84,33.23,33.7967,1252500
#2002-03-29#,33.25,33.84,33.23,33.7967,1252500
#2002-04-01#,33.4633,34.01,33.4067,34.01,1932300
#2002-04-02#,33.8333,34.9167,33.8333,34.8467,2505000
#2002-04-03#,34.79,35.28,34.5533,35.05,3359100
#2002-04-04#,34.8333,35.5133,34.8333,35.3,2145900
#2002-04-05#,35.1667,35.6333,35.1267,35.2967,2081700
#2002-04-08#,35,35.4933,34.9833,35.3467,2149800
#2002-04-09#,35.3267,35.4333,35.0667,35.0933,2003400
#2002-04-10#,35.25,36.2667,35.1333,36.1133,3393300
#2002-04-11#,36.2167,36.3633,35.9167,36.0033,1978200
#2002-04-12#,36.0033,36.5833,35.88,36.4333,2532900
#2002-04-15#,36.3333,36.3667,35.49,35.6233,1847100
#2002-04-16#,35.6267,35.9,35.4,35.83,1915500
#2002-04-17#,35.83,36.5833,35.7833,36.15,2127900
#2002-04-18#,36.2333,36.5333,36.05,36.2267,2288700
#2002-04-19#,36.23,36.4433,35.9333,36.0467,2325600
#2002-04-22#,36.2,36.3167,35.9,36.0633,1993500
#2002-04-23#,36.05,36.0533,35.33,35.33,1779300
#2002-04-24#,35.0967,35.49,34.9767,35.0167,2686800
#2002-04-25#,35.0167,36.07,35.0167,35.7767,5194500
#2002-04-26#,35.6333,36.08,35.5,35.82,1545000
#2002-04-29#,35.82,36.08,35.57,35.6667,1660500
#2002-04-30#,35.75,36.6833,35.5333,36.3333,3678900
#2002-05-01#,36.5333,37,36.0433,36.9433,2164200
#2002-05-02#,36.3333,36.53,34.6667,34.6667,8746800
#2002-05-03#,34.83,35.16,33.9533,34.72,3310500
#2002-05-06#,34.5833,35.1,33.5833,33.6267,2514600
#2002-05-07#,33.5833,33.8667,32.9167,33.0933,2451600
#2002-05-08#,33.5333,34.33,32.9333,34.1333,2625900
#2002-05-09#,34.0167,35.0333,34.0033,34.2,1931100
#2002-05-10#,34.5,34.9067,34.1,34.1533,1477800
#2002-05-13#,34.1567,34.6267,34.1167,34.38,2066400
#2002-05-14#,34.6667,35.06,34.0833,34.7233,2439000
#2002-05-15#,34.8333,35.2133,34.6167,34.7933,1954500
#2002-05-16#,34.8667,35.21,33.9333,34.38,3132900
#2002-05-17#,34.6667,35.1,34.6433,34.8467,2884200
#2002-05-20#,34.5833,34.8633,34.1667,34.66,1992300
#2002-05-21#,34.66,34.9667,33.9167,33.9167,2047800
#2002-05-22#,33.85,34.5333,33.85,34.3333,1404300
#2002-05-23#,34.55,34.8,34.5033,34.7167,1308900
#2002-05-24#,34.6833,35,34.5333,34.9367,1056000
#2002-05-27#,34.6833,35,34.5333,34.9367,1056000
#2002-05-28#,34.94,35.0333,34.5067,35,1617300
#2002-05-29#,34.9333,35.3267,34.8667,35.0167,1405800
#2002-05-30#,34.9667,35.65,34.9333,35.31,1592700
#2002-05-31#,35.3333,35.7333,35.2333,35.35,2002200
#2002-06-03#,35.3533,35.6533,35.1667,35.2167,2069700
#2002-06-04#,35.15,35.1833,34.3233,34.52,2819400
#2002-06-05#,34.45,34.75,34.3033,34.6167,2184900
#2002-06-06#,34.6733,34.73,34.1767,34.5,1823700
#2002-06-07#,34.5,34.8333,34.0833,34.1,3600300
#2002-06-10#,34.0667,34.3333,33.8667,34.0733,2355900
#2002-06-11#,34.6,34.7667,34.2167,34.3533,2377500
#2002-06-12#,34.3533,35,34.2,34.82,2242200
#2002-06-13#,34.5,34.8533,34.14,34.1467,1449300
#2002-06-14#,34.1467,34.1467,32.9333,32.97,3936600
#2002-06-17#,33.2,34.1167,33.1833,34.05,1873500
#2002-06-18#,34,34.4333,33.7133,34.3067,1797000
#2002-06-19#,34,34.2467,33.56,33.56,1710600
#2002-06-20#,33.3667,33.61,32.8867,33.0833,3173400
#2002-06-21#,32.9167,33.33,32.5967,32.7833,3113400
#2002-06-24#,32.5,32.9167,32.0333,32.2333,3250800
#2002-06-25#,32.2333,32.7667,32.2,32.3267,3145200
#2002-06-26#,32.33,32.33,31.6167,32.16,2733300
#2002-06-27#,32.2333,32.8333,32.0667,32.6567,1835700
#2002-06-28#,32.62,33.2,32.4367,32.4733,2880600
#2002-07-01#,32.5,32.65,31.99,32.04,2523300
#2002-07-02#,31.9667,32.3167,31.38,31.4667,3026100
#2002-07-03#,31.4333,31.96,31.4333,31.7867,1949400
#2002-07-04#,31.4333,31.96,31.4333,31.7867,1949400
#2002-07-05#,32,32.75,31.9,32.5433,867300
#2002-07-08#,32.5,32.8,32.1333,32.2633,1572900
#2002-07-09#,32.2167,32.5,30.9467,30.9667,1524300
#2002-07-10#,31.05,31.6133,29.9,29.9433,3826500
#2002-07-11#,29.9433,30.6,29.4,29.8333,4150200
#2002-07-12#,30,30,29.45,29.75,3768600
#2002-07-15#,29.75,29.75,28.0333,29.4333,4641900
#2002-07-16#,29.3,29.5,28.6,28.7767,3300600
#2002-07-17#,28.8,29.3167,28.1833,28.4433,3083400
#2002-07-18#,28.6667,29.25,27.4933,27.6,3359400
#2002-07-19#,27.6,27.9133,27.25,27.3867,3171300
#2002-07-22#,27.3867,28.3333,26.3367,26.4633,3675300
#2002-07-23#,26.4,26.9567,25.6167,25.8133,3607200
#2002-07-24#,25.3333,27.6667,25.0167,27.3,4249800
#2002-07-25#,27.5,27.9833,26.4733,27.0933,3739800
#2002-07-26#,27.6667,27.9833,26.95,27.5833,4830000
#2002-07-29#,27.75,28.8667,27.7033,28.7767,2817300
#2002-07-30#,28.5,29.5833,28.1167,28.6267,4965300
#2002-07-31#,28.6267,30,28.5167,30,4057500
#2002-08-01#,30,30,28.9167,29.16,3913500
#2002-08-02#,28.8667,28.87,27.6833,27.9833,6292800
#2002-08-05#,27.5,27.5033,26.45,26.4867,4718100
#2002-08-06#,26.7,27.2333,26.3,26.55,3411900
#2002-08-07#,26.8333,26.9833,25.8,26.2633,3711300
#2002-08-08#,26.5833,27.4167,26.35,27.3733,3770100
#2002-08-09#,27.3733,27.9633,26.9667,27.7967,2545500
#2002-08-12#,27.6667,27.8667,27.1667,27.6467,1560900
#2002-08-13#,27.2667,27.6633,26.5833,26.72,1916700
#2002-08-14#,26.8,27.41,26.2167,27.4,2282400
#2002-08-15#,27.5,28,27.2,27.76,2243100
#2002-08-16#,27.8,28.1867,27.5733,27.85,2774700
#2002-08-19#,27.8833,28.66,27.7667,28.5933,1614600
#2002-08-20#,28.5167,28.5767,28.0267,28.3767,1472400
#2002-08-21#,28.6667,29.1,27.9967,28.8333,1944300
#2002-08-22#,28.8333,29.7167,28.6,29.5833,2418000
#2002-08-23#,29.3833,29.4167,28.99,29.0267,1578900
#2002-08-26#,29.2667,29.5067,28.8367,29.44,1592400
#2002-08-27#,29.44,29.5833,28.6867,28.7667,1968900
