"Date","Open","High","Low","Close","Volume"
#2003-01-01#,7.7867,7.96,7.7667,7.8567,22106250
#2003-01-02#,7.81,8.3767,7.8067,8.2667,29033760
#2003-01-03#,8.21,8.25,8.0333,8.1667,23056992
#2003-01-06#,8.2367,8.7633,8.1867,8.6567,33365853
#2003-01-07#,8.5,8.7433,8.45,8.63,28438485
#2003-01-08#,8.5733,8.6833,8.3833,8.4633,28208328
#2003-01-09#,8.4967,9,8.4867,8.8967,24158121
#2003-01-10#,8.7333,9.29,8.6833,9.16,26079534
#2003-01-13#,9.2067,9.3433,8.9833,9.18,30177675
#2003-01-14#,9.17,9.4767,9.1167,9.46,29444028
#2003-01-15#,9.3933,9.47,9.2833,9.4633,41747142
#2003-01-16#,9.43,9.5167,9.2267,9.3067,28289400
#2003-01-17#,9.1667,9.22,8.9533,8.98,24637077
#2003-01-20#,9.1667,9.22,8.9533,8.98,24637077
#2003-01-21#,8.9467,9.067,8.6633,8.6767,23920188
#2003-01-22#,8.4967,8.91,8.4833,8.6867,20759301
#2003-01-23#,8.6567,9.2067,8.6467,9.09,22079361
#2003-01-24#,9.0933,9.0967,8.6233,8.7,22403877
#2003-01-27#,8.62,8.9167,8.4933,8.6133,20727288
#2003-01-28#,8.68,8.9537,8.6,8.8167,24349563
#2003-01-29#,8.68,9.31,8.56,9.17,37825365
#2003-01-30#,9.03,9.0333,8.6933,8.7167,36816582
#2003-01-31#,8.59,9.0667,8.5867,8.8767,25325403
#2003-02-03#,8.8833,8.9133,8.6433,8.6833,29144925
#2003-02-04#,8.64,8.66,8.25,8.33,26003394
#2003-02-05#,8.4133,8.7733,8.2567,8.47,23140899
#2003-02-06#,8.3833,8.8267,8.3307,8.8,26468163
#2003-02-07#,8.8233,8.9233,8.41,8.4433,20137521
#2003-02-10#,8.4967,8.6667,8.3533,8.48,21253668
#2003-02-11#,8.5333,8.9133,8.38,8.43,25603386
#2003-02-12#,8.38,8.4467,8.15,8.1567,26774568
#2003-02-13#,8.19,8.42,8.11,8.2767,22915101
#2003-02-14#,8.3033,8.6867,8.1333,8.6867,25307031
#2003-02-17#,8.3033,8.6867,8.1333,8.6867,25307031
#2003-02-18#,8.7333,9.0133,8.7,8.9967,19702884
#2003-02-19#,8.93,8.9333,8.59,8.7433,17600136
#2003-02-20#,8.81,8.9667,8.6233,8.6633,20241984
#2003-02-21#,8.7733,9.02,8.5633,8.9267,22807380
#2003-02-24#,8.9833,9.1133,8.48,8.49,33077931
