"Date","Open","High","Low","Close","Volume"
#2018-01-01#,177.73,177.92,176.5,176.64,553257
#2018-01-02#,177.51,178.22,176.3,177.06,1047432
#2018-01-03#,177.34,179.2,176.87,179.01,932839
#2018-01-04#,179.62,181.85,179.23,181.75,1433782
#2018-01-05#,182.02,182.3,180.11,181.46,1123036
#2018-01-08#,181.13,182.38,180.26,182.12,1435286
#2018-01-09#,182.48,183.34,181.66,181.96,1610437
#2018-01-10#,181.86,182.18,180.07,180.56,911228
#2018-01-11#,181.24,184.51,180.65,183.9,1217415
#2018-01-12#,183.89,185.1,183.5,184.18,1470025
#2018-01-15#,183.89,185.1,183.5,184.18,1470025
#2018-01-16#,184.81,184.905,181.39,182.55,1449667
#2018-01-17#,182.74,184.339,182.4,183.69,1049385
#2018-01-18#,183.37,185.275,183.3,183.72,873672
#2018-01-19#,187.16,189.57,186.67,189.08,1807950
#2018-01-22#,188.8,189.6,187.602,189.58,1237635
#2018-01-23#,189.99,190.34,188.02,188.43,1031291
#2018-01-24#,189.22,191.02,188.06,188.35,1352846
#2018-01-25#,189.98,189.98,186.65,189.4,1430314
#2018-01-26#,190.28,192.53,189.11,192.5,1120172
#2018-01-29#,192.05,194.18,190.07,190.81,1289475
#2018-01-30#,189.22,189.24,185.458,187.25,1427489
#2018-01-31#,188.9,191.21,187.32,188,1466809
#2018-02-01#,187.67,190.25,185.94,189.17,927590
#2018-02-02#,188.29,189,184.02,184.31,1574525
#2018-02-05#,183.24,187.36,179.01,179.01,2188531
#2018-02-06#,173.6,180.87,169.24,174.83,3500785
#2018-02-07#,175.9,179.67,172.565,172.74,2542207
#2018-02-08#,172.85,173.5,165.7,165.73,2393303
#2018-02-09#,168.88,168.88,159.36,164.05,2808729
#2018-02-12#,165.53,167.595,164.49,165.77,1912307
#2018-02-13#,165.46,166.03,164.1,165.63,1176351
#2018-02-14#,164.23,166.83,163.1,166,1933612
#2018-02-15#,167.55,167.98,163.34,165.02,1881211
#2018-02-16#,164.93,167.56,164.39,165.6,1421771
#2018-02-19#,164.93,167.56,164.39,165.6,1421771
#2018-02-20#,166.34,167.83,165.27,166.82,1540730
#2018-02-21#,167.51,169.21,166.24,166.28,1602935
#2018-02-22#,166.22,168.72,166.04,167.02,1151524
#2018-02-23#,168.45,169.79,167.55,169.53,1775575
#2018-02-26#,170.48,172.12,169.23,171.64,1386484
#2018-02-27#,171.72,173.32,170.04,170.06,1528807
#2018-02-28#,171.08,172.01,167.6,168.17,1747538
#2018-03-01#,168,168.4,160.18,160.89,2848120
#2018-03-02#,159.94,160.14,154.58,158.94,3081048
#2018-03-05#,158,161.14,157.4,160.94,1937213
#2018-03-06#,162.4,163.86,160.53,160.65,1609853
#2018-03-07#,158.34,160.66,157.13,159.25,2416740
#2018-03-08#,159.46,160.6,157.99,159.2,1987434
#2018-03-09#,160.51,163.52,159.83,162.37,1646715
#2018-03-12#,162.36,162.7,159.081,160.06,1694584
#2018-03-13#,161,162.98,159.92,160.35,1768449
#2018-03-14#,161.22,161.6,159.09,159.61,1185826
#2018-03-15#,159.93,160.97,159.15,160.16,1090157
#2018-03-16#,160.21,163.73,159.74,162.57,4145018
#2018-03-19#,162.85,163.22,158.45,159.61,2374913
#2018-03-20#,160.26,162.48,159.76,161,1189224
#2018-03-21#,160.93,163.07,160.25,161.48,1553571
#2018-03-22#,159.74,160.28,157.53,157.55,2015333
#2018-03-23#,158.17,159.19,155.27,155.42,1468068
#2018-03-26#,159.13,161.12,156.945,160.72,1550588
#2018-03-27#,161.13,162.229,158.36,158.75,1905908
#2018-03-28#,158.45,161.66,158.45,159.67,1554559
#2018-03-29#,160.77,163.71,160.77,162.09,1495691
#2018-03-30#,160.77,163.71,160.77,162.09,1495691
#2018-04-02#,161.51,162,156,158.73,1300829
#2018-04-03#,159.48,160.63,157.55,160.1,1475240
#2018-04-04#,155.58,161.29,155.58,160.95,1476691
#2018-04-05#,162.15,163.64,161.52,162.42,1910001
#2018-04-06#,161.31,161.95,156.2,157.9,1397945
#2018-04-09#,158.02,159.61,156.28,156.5,1306930
#2018-04-10#,158.89,162.84,158.56,161.92,1704170
#2018-04-11#,160.48,161.725,158.42,158.86,1341953
#2018-04-12#,160,162.77,159.6,161.79,1464476
#2018-04-13#,162.99,163.85,161.87,162.39,1123865
#2018-04-16#,164.43,167.895,164.1,166.67,1774210
#2018-04-17#,168.44,169.27,167.16,167.47,1252351
#2018-04-18#,168.48,172.08,167.71,170.83,1719459
#2018-04-19#,170.61,171.27,168.19,169.52,1598321
#2018-04-20#,169.92,170.225,168,168.77,825674
#2018-04-23#,168.95,170.04,167.95,169.02,1070744
#2018-04-24#,170.47,171.9,157.21,161.33,2623338
#2018-04-25#,160.85,163.35,159.4,162.14,1672572
#2018-04-26#,162.25,163.34,160.21,161.99,1229290
#2018-04-27#,161.48,162.9,159.22,160.82,2119208
#2018-04-30#,161.72,163.46,159.07,159.86,1950089
#2018-05-01#,153.94,155,149.1,153.28,4037319
#2018-05-02#,150.27,151.55,145.47,146.12,3582934
#2018-05-03#,144.63,145.43,140.6,143.55,3231563
#2018-05-04#,142.43,145.47,142.04,144.55,2146919
#2018-05-07#,145.32,146.71,144.84,144.96,2078214
#2018-05-08#,145.43,147.74,144.58,145.99,1380276
#2018-05-09#,146.23,147.633,145.21,146.52,1292040
#2018-05-10#,146.87,147.28,145.37,146.12,1325752
#2018-05-11#,146.16,148.99,145.5,146.25,1516277
#2018-05-14#,146.3,147.2,144.36,144.87,1434713
#2018-05-15#,144.01,146.52,143.78,146.44,1498585
#2018-05-16#,146.52,147.97,146.52,147.18,1084924
