"Date","Open","High","Low","Close","Volume"
#2011-01-03#,15.81,15.83,15.72,15.8,3048303
#2011-01-04#,15.79,15.91,15.68,15.83,2851338
#2011-01-05#,15.81,15.85,15.72,15.77,2444382
#2011-01-06#,15.74,15.77,15.57,15.61,3604950
#2011-01-07#,15.67,15.74,15.52,15.68,5801882
#2011-01-10#,15.59,15.74,15.48,15.74,3210876
#2011-01-11#,15.76,15.77,15.62,15.63,3714897
#2011-01-12#,15.73,15.82,15.66,15.77,2998947
#2011-01-13#,15.78,15.83,15.71,15.77,2160878
#2011-01-14#,15.77,15.8,15.63,15.7,2404245
#2011-01-17#,15.77,15.8,15.63,15.7,2404245
#2011-01-18#,15.74,15.79,15.65,15.74,2894273
#2011-01-19#,15.77,15.84,15.7,15.82,2886871
#2011-01-20#,15.82,16.208,15.82,15.94,4982551
#2011-01-21#,16.04,16.06,15.89,15.9,5661786
#2011-01-24#,15.9,16.1,15.84,16.09,7374902
#2011-01-25#,16.02,16.15,16.01,16.15,3148373
#2011-01-26#,16.12,16.16,16.05,16.11,1780159
#2011-01-27#,16.13,16.2,16.06,16.15,2717435
#2011-01-28#,16.16,16.17,15.92,16.03,3912776
#2011-01-31#,16.09,16.26,16,16.15,4689469
#2011-02-01#,16.23,16.27,16.17,16.25,3182526
#2011-02-02#,16.2,16.26,16.07,16.07,2436620
#2011-02-03#,16.08,16.19,16.01,16.16,8150953
#2011-02-04#,16.19,16.2,16,16.14,6956025
#2011-02-07#,16.18,16.35,16.15,16.34,10423505
#2011-02-08#,16.31,16.345,16.22,16.24,2291308
#2011-02-09#,16.17,16.19,16.01,16.1,2947264
#2011-02-10#,16.09,16.21,16.02,16.13,2291341
#2011-02-11#,16.04,16.29,16.03,16.19,2858158
#2011-02-14#,16.04,16.04,15.82,15.88,3246629
#2011-02-15#,15.83,16.01,15.8,15.96,3311961
#2011-02-16#,16,16.055,15.86,15.92,2156352
#2011-02-17#,15.86,15.94,15.83,15.91,2038700
#2011-02-18#,15.9,15.91,15.805,15.9,2833694
#2011-02-21#,15.9,15.91,15.805,15.9,2833694
#2011-02-22#,15.76,15.9,15.72,15.78,2085035
#2011-02-23#,15.76,15.825,15.54,15.54,4143160
#2011-02-24#,15.53,15.65,15.4,15.47,4854605
#2011-02-25#,15.55,15.69,15.47,15.68,3380601
#2011-02-28#,15.7,15.97,15.6,15.86,4046649
#2011-03-01#,15.84,16.1,15.63,15.64,5873963
#2011-03-02#,15.36,15.78,15.35,15.76,5699609
#2011-03-03#,15.82,15.97,15.77,15.92,4605731
#2011-03-04#,15.9,15.95,15.7,15.88,3500113
#2011-03-07#,15.91,16.09,15.8,15.82,3305697
#2011-03-08#,15.83,16.13,15.81,16.1,2934561
#2011-03-09#,16.04,16.25,16.04,16.24,2952985
#2011-03-10#,16.15,16.19,15.94,16.02,4925776
#2011-03-11#,16.07,16.15,15.99,16.1,2865054
#2011-03-14#,15.99,16.01,15.67,15.75,9339503
#2011-03-15#,15.4,15.72,15.4,15.58,6699184
#2011-03-16#,15.52,15.58,15.24,15.32,5611687
#2011-03-17#,15.53,15.53,15.09,15.2,10244552
#2011-03-18#,15.28,16.73,15.18,16.67,28390392
#2011-03-21#,17.02,17.2201,16.86,17.1,13796154
#2011-03-22#,17.12,17.21,16.87,16.89,6194382
#2011-03-23#,16.9,17.02,16.79,16.96,5099705
#2011-03-24#,17.02,17.195,16.92,17.17,3925252
#2011-03-25#,17.16,17.37,17.08,17.13,3854140
#2011-03-28#,17.23,17.45,17.14,17.17,3354555
#2011-03-29#,17.19,17.32,17.08,17.29,2497222
#2011-03-30#,17.4,17.76,17.33,17.68,3857778
#2011-03-31#,17.66,17.75,17.56,17.56,2982134
#2011-04-01#,17.72,17.88,17.67,17.75,2221544
#2011-04-04#,18.05,18.05,17.79,17.91,3301213
#2011-04-05#,17.81,17.92,17.63,17.68,3032045
#2011-04-06#,17.77,17.83,17.66,17.71,2418932
#2011-04-07#,17.72,17.72,17.48,17.49,3974007
#2011-04-08#,17.6,17.7,17.37,17.5,2967155
#2011-04-11#,17.48,17.5,17.21,17.32,3790926
#2011-04-12#,17.23,17.27,17.1,17.23,3880365
#2011-04-13#,17.28,17.52,17.275,17.32,4280810
#2011-04-14#,17.17,17.735,17.17,17.64,5047768
#2011-04-15#,17.77,17.93,17.5975,17.88,4858600
#2011-04-18#,17.73,17.83,17.51,17.82,4155123
#2011-04-19#,17.84,17.9,17.74,17.81,4321440
#2011-04-20#,18,18.16,17.88,18.11,3993891
#2011-04-21#,18.16,18.28,18.08,18.28,3637543
#2011-04-22#,18.16,18.28,18.08,18.28,3637543
#2011-04-25#,18.17,18.3,18.14,18.26,2554194
#2011-04-26#,18.25,18.3,18.15,18.27,4513562
#2011-04-27#,18.26,18.398,18.22,18.34,4361007
#2011-04-28#,18.35,18.49,18.21,18.46,4593046
#2011-04-29#,18.5,18.62,18.38,18.6,2140248
#2011-05-02#,18.68,18.77,18.52,18.59,3463163
#2011-05-03#,18.54,18.74,18.47,18.65,3334648
#2011-05-04#,18.6,18.71,18.36,18.49,3903560
#2011-05-05#,18.54,18.83,18.365,18.6,5852828
