"Date","Open","High","Low","Close","Volume"
#2004-01-01#,48,48.05,47.13,47.13,136300
#2004-01-02#,47.25,47.68,46.84,47.23,111600
#2004-01-05#,46.5,47.11,45.75,46.4,382800
#2004-01-06#,45.95,47.16,45.93,46.9,191200
#2004-01-07#,46.95,46.95,45.9,46.55,315200
#2004-01-08#,46.7,47.26,46.55,47.25,182100
#2004-01-09#,47.25,47.54,46.64,46.65,130000
#2004-01-12#,46.85,47.38,46.55,47.12,111800
#2004-01-13#,47.3,48.04,47.3,48.04,166800
#2004-01-14#,48.04,48.48,47.99,48.25,190800
#2004-01-15#,48.31,48.72,47.99,48.4,169100
#2004-01-16#,48.7,49,48.4,48.65,116600
#2004-01-19#,48.7,49,48.4,48.65,116600
#2004-01-20#,48.65,48.82,47.91,48.03,287600
#2004-01-21#,48.03,48.38,48,48.17,298100
#2004-01-22#,48.25,48.72,48.04,48.25,98500
#2004-01-23#,48.25,48.92,47.94,48.84,189500
#2004-01-26#,48.84,49.15,48,49.06,124500
#2004-01-27#,49.15,49.35,48,48,189000
#2004-01-28#,48.2,48.31,47.05,47.1,137200
#2004-01-29#,47.1,48.03,46.9,48.01,129000
#2004-01-30#,48.15,48.64,47.77,48.4,131100
#2004-02-02#,48.6,49.32,48.33,48.6,123100
#2004-02-03#,48.75,48.79,48.01,48.08,94100
#2004-02-04#,48.25,48.25,47.02,47.03,312500
#2004-02-05#,47.06,47.3,46.82,46.85,265800
#2004-02-06#,46.85,48.9,46.75,48.87,175100
#2004-02-09#,48.8,48.96,47.65,47.65,182400
#2004-02-10#,47.85,48.99,47.8,48.99,239500
#2004-02-11#,48.55,49.31,48.53,48.74,192400
#2004-02-12#,48.7,48.9,48.2,48.31,239200
#2004-02-13#,48.5,48.6,47.65,47.69,158600
#2004-02-16#,48.5,48.6,47.65,47.69,158600
#2004-02-17#,48,49.04,47.81,48.53,227400
#2004-02-18#,48.43,48.68,48.03,48.32,205000
#2004-02-19#,48.33,48.41,47.35,47.35,139900
#2004-02-20#,47.36,47.65,46.66,47.38,128600
#2004-02-23#,47.2,47.2,46.23,46.5,171300
#2004-02-24#,46.35,46.97,46.31,46.9,227000
#2004-02-25#,46.85,47.6,46.71,47.53,325500
#2004-02-26#,47.54,47.54,47.09,47.44,193800
#2004-02-27#,47.44,47.48,46.99,47.31,197700
#2004-03-01#,47.31,47.31,46.65,47.23,274700
#2004-03-02#,47.23,49.23,47.23,48.75,424400
#2004-03-03#,51.5,54.47,51.5,53.48,1907100
#2004-03-04#,53.49,54.77,53.22,54.42,733100
#2004-03-05#,54,54.73,53.55,54.31,663700
#2004-03-08#,54.3,55.6,54.27,55.19,371800
#2004-03-09#,55.05,55.61,53.92,54.27,421500
#2004-03-10#,54.2,54.7,53.62,53.68,477400
#2004-03-11#,53.58,53.95,52.74,52.74,276400
#2004-03-12#,52.54,53.24,52.15,53.24,548800
#2004-03-15#,53.19,53.28,52.02,52.24,172400
#2004-03-16#,52.24,52.7,51.95,52.55,208300
#2004-03-17#,52.75,53.47,52.75,53.33,160900
#2004-03-18#,53.3,53.3,51.95,52.17,255300
#2004-03-19#,52.17,52.17,51.05,51.55,232000
#2004-03-22#,51.57,51.73,49.62,50.25,306300
#2004-03-23#,50.35,51.19,50.02,50.98,272200
#2004-03-24#,50.8,50.9,49.94,50.29,241300
#2004-03-25#,50.4,51.8,50.4,51.62,244800
#2004-03-26#,51.62,52.1,51.57,51.9,193100
#2004-03-29#,52,52.89,52,52.6,247900
#2004-03-30#,52.6,53.69,52.22,53.48,265700
#2004-03-31#,53.65,54.16,53.52,54,240500
#2004-04-01#,53.97,54.2,53.03,53.48,276300
#2004-04-02#,53.85,54.13,53.24,53.97,227600
#2004-04-05#,54.07,54.6,53.69,54.4,143200
#2004-04-06#,55.39,55.39,53.52,53.6,127200
#2004-04-07#,53.75,54.47,53.12,54.19,121000
#2004-04-08#,54.55,54.59,53.18,53.27,104000
#2004-04-09#,54.55,54.59,53.18,53.27,104000
#2004-04-12#,53.37,54.63,53.24,54.32,213600
#2004-04-13#,54.52,54.58,52.52,52.73,160500
#2004-04-14#,52.6,53.61,52.4,53,106400
#2004-04-15#,53.1,53.16,52.22,52.6,144900
#2004-04-16#,52.6,53.35,52.35,53,137700
#2004-04-19#,53.01,53.2,52.4,53.05,135600
#2004-04-20#,53.05,53.8,52.9,53,260200
#2004-04-21#,53.12,54.01,53.08,53.85,119400
#2004-04-22#,53.95,54.9,53.77,54.9,161400
#2004-04-23#,54.98,54.98,53.46,54.05,158400
#2004-04-26#,54.05,54.49,53.67,53.91,144600
#2004-04-27#,53.91,54.45,53.7,54.45,179900
#2004-04-28#,54.25,54.25,52.84,53.51,265200
#2004-04-29#,53.51,54.23,53.49,53.95,284200
#2004-04-30#,54.2,54.46,53.7,54,239900
#2004-05-03#,54,54.78,53.72,54.18,290800
#2004-05-04#,54.18,55.85,54,55.64,392300
#2004-05-05#,55.79,57.49,55.79,56.92,466400
#2004-05-06#,57,57,55.25,56.11,386700
#2004-05-07#,56.2,56.42,54.95,54.95,277700
#2004-05-10#,54.5,54.5,52.58,54,330600
#2004-05-11#,54.17,54.66,54.05,54.32,311000
#2004-05-12#,54.32,54.6,52.9,54.57,266200
