"Date","Open","High","Low","Close","Volume"
#2007-01-01#,52.78,53.39,52.66,52.87,1574217
#2007-01-02#,52.78,53.39,52.66,52.87,1574217
#2007-01-03#,53.35,54.09,52.43,52.84,3896011
#2007-01-04#,53.44,54.22,53.02,54.07,3988582
#2007-01-05#,54.15,54.24,53.11,53.41,3545123
#2007-01-08#,53.17,53.81,53.12,53.63,2978110
#2007-01-09#,53.63,54.16,53.6,54.03,3212859
#2007-01-10#,53.67,54.43,53.46,54.41,3842654
#2007-01-11#,54.41,55.42,54.22,55.32,3429500
#2007-01-12#,54.99,56.06,54.99,55.95,3538864
#2007-01-15#,54.99,56.06,54.99,55.95,3538864
#2007-01-16#,55.9,56.24,55.7,56.24,3041971
#2007-01-17#,56,56.79,55.93,56.68,4804724
#2007-01-18#,56.68,57.25,56.46,56.9,3676537
#2007-01-19#,56.66,56.98,56.42,56.77,2818486
#2007-01-22#,56.62,56.74,55.89,56.34,3358037
#2007-01-23#,56.37,57.14,56.12,56.44,2775461
#2007-01-24#,56.5,57.18,56.48,57.06,2026362
#2007-01-25#,56.83,56.97,55.58,55.73,2537374
#2007-01-26#,55.85,55.85,55.14,55.36,1843240
#2007-01-29#,54.995,55.89,54.66,55.27,3074060
#2007-01-30#,55.58,55.83,54.98,55.3,2177466
#2007-01-31#,55.49,56.52,55.03,56.16,3101270
#2007-02-01#,56.25,56.88,56.09,56.39,2177159
#2007-02-02#,56.51,56.72,55.8,56.01,2224316
#2007-02-05#,56,56.7,55.86,56.21,3319277
#2007-02-06#,56.53,57.04,56.41,56.57,1675461
#2007-02-07#,56.62,57.45,56.62,57.13,2986939
#2007-02-08#,56.04,57.09,55.68,56.62,5392457
#2007-02-09#,56.78,56.88,55.85,55.98,2522788
#2007-02-12#,56.68,56.7,55.64,55.8,2442939
#2007-02-13#,56.14,56.62,55.9,56.46,2346769
#2007-02-14#,56.51,57.15,56.34,57.05,2246277
#2007-02-15#,56.89,57.9,56.76,57.9,3241554
#2007-02-16#,57.72,58.1,57.57,57.8,3756584
#2007-02-19#,57.72,58.1,57.57,57.8,3756584
#2007-02-20#,57.97,58.7,57.6,58.28,3535244
#2007-02-21#,58.09,58.28,57.82,58.18,1881978
#2007-02-22#,58.33,58.33,57.55,58.09,2099605
#2007-02-23#,58.1,58.19,57.27,57.47,3151961
#2007-02-26#,57.92,58.07,56.97,57.4,2733212
#2007-02-27#,56.94,57.12,55.36,55.4,4853094
#2007-02-28#,55.8,56.25,55.05,55.89,5120135
#2007-03-01#,55.1,56.39,54.77,56,4399455
#2007-03-02#,55.5,56.74,55.5,55.75,4694389
