"Date","Open","High","Low","Close","Volume"
#2003-01-01#,23.37,23.55,23,23.47,577700
#2003-01-02#,23.63,24.25,23.53,24.18,1119000
#2003-01-03#,24.06,24.2,23.95,24.12,835500
#2003-01-06#,24.2,24.48,24.11,24.21,825900
#2003-01-07#,24.08,24.2,23.74,23.9,625100
#2003-01-08#,23.95,24.1,23.75,23.89,479700
#2003-01-09#,24,24.28,23.85,24.28,737400
#2003-01-10#,23.99,24.2,23.89,24.16,561100
#2003-01-13#,24.21,24.71,24.16,24.54,784400
#2003-01-14#,24.45,24.7,24.45,24.7,581800
#2003-01-15#,24.95,24.95,24.4,24.51,950000
#2003-01-16#,24.76,24.99,24.7,24.85,554500
#2003-01-17#,24.95,24.96,24.25,24.33,1799100
#2003-01-20#,24.95,24.96,24.25,24.33,1799100
#2003-01-21#,24.58,24.66,24.25,24.34,707100
#2003-01-22#,24.2,24.76,24.19,24.64,849000
#2003-01-23#,24.6,24.96,24.34,24.42,868600
#2003-01-24#,24.47,24.59,23.51,23.78,1356900
#2003-01-27#,23.78,24,23.59,23.89,968600
#2003-01-28#,23.89,23.99,23.47,23.88,815200
#2003-01-29#,23.89,23.89,23.32,23.8,1340200
#2003-01-30#,23.78,23.9,23.24,23.4,1172400
#2003-01-31#,23.15,24.22,23.15,23.97,1365300
#2003-02-03#,24.22,24.3,23.73,23.87,751400
#2003-02-04#,24.15,24.16,23.45,23.77,1774100
#2003-02-05#,23.77,23.91,23.46,23.68,931700
#2003-02-06#,23.58,23.65,23.3,23.44,738500
#2003-02-07#,23.45,23.5,23.13,23.26,812400
#2003-02-10#,23.26,23.41,23,23.3,714200
#2003-02-11#,23.3,23.3,22.37,22.53,1629400
#2003-02-12#,22.53,22.54,21.76,21.87,3658000
#2003-02-13#,21.88,21.99,21.4,21.65,1723100
#2003-02-14#,21.7,21.88,21.6,21.86,1626200
#2003-02-17#,21.7,21.88,21.6,21.86,1626200
#2003-02-18#,21.86,21.99,21.54,21.61,1258400
#2003-02-19#,21.62,21.68,21.19,21.33,1540900
#2003-02-20#,21.34,21.34,20.85,20.98,1423500
#2003-02-21#,21.18,21.18,20.8,21.06,1593300
#2003-02-24#,21.07,21.07,20.67,20.67,866900
#2003-02-25#,20.5,20.82,20.36,20.78,895700
#2003-02-26#,20.79,20.82,20.44,20.49,564200
#2003-02-27#,20.5,20.83,20.45,20.8,1107000
#2003-02-28#,20.8,21.05,20.63,20.74,978000
#2003-03-03#,20.94,21.09,20.64,20.69,727300
#2003-03-04#,20.69,20.74,20.35,20.37,692000
#2003-03-05#,20.4,20.42,20.02,20.37,754900
#2003-03-06#,20.28,20.39,20.13,20.31,1001900
#2003-03-07#,20.21,20.43,20.03,20.4,707500
#2003-03-10#,20.25,20.4,19.95,19.99,642300
#2003-03-11#,20.17,20.45,20.08,20.27,1039900
#2003-03-12#,20.27,20.5,20.19,20.43,769500
#2003-03-13#,20.53,20.71,20.33,20.66,764800
#2003-03-14#,20.73,20.95,20.49,20.65,811000
#2003-03-17#,20.69,21.68,20.58,21.68,1350500
#2003-03-18#,21.68,21.76,21.25,21.68,1028400
#2003-03-19#,21.76,22.01,21.71,21.88,843500
#2003-03-20#,21.89,22,21.32,21.78,1134700
#2003-03-21#,22.1,22.35,21.81,22.35,1014500
#2003-03-24#,22.3,22.31,21.27,21.29,969200
#2003-03-25#,21.34,21.92,21.26,21.64,991700
#2003-03-26#,21.85,21.85,21.5,21.7,728300
#2003-03-27#,21.6,22.12,21.26,21.84,937000
#2003-03-28#,21.64,21.73,21.2,21.29,1042100
#2003-03-31#,21.05,21.32,20.71,21,948000
#2003-04-01#,21.1,21.48,20.95,21.48,1056600
#2003-04-02#,21.68,22.15,21.6,22.04,831300
#2003-04-03#,22.05,22.08,21.5,21.56,1046800
#2003-04-04#,21.62,21.8,21.41,21.73,1004700
#2003-04-07#,21.88,22.01,21.51,21.54,733400
#2003-04-08#,21.59,21.85,21.51,21.72,781900
#2003-04-09#,21.49,21.85,21.22,21.26,746700
#2003-04-10#,21.37,21.4,21.17,21.34,907500
#2003-04-11#,21.57,21.72,21.21,21.26,565600
#2003-04-14#,21.27,21.74,21.27,21.73,619800
#2003-04-15#,21.73,22.02,21.69,22.02,1239800
#2003-04-16#,22.05,22.07,21.44,21.63,751200
#2003-04-17#,21.58,22.01,21.58,21.98,615700
#2003-04-18#,21.58,22.01,21.58,21.98,615700
#2003-04-21#,22,22.1,21.62,21.69,569500
#2003-04-22#,21.62,22.19,21.46,22.19,541600
#2003-04-23#,22.19,22.19,21.84,22.15,581800
#2003-04-24#,21.85,22.1,21.8,21.88,492900
#2003-04-25#,21.97,22.1,21.72,21.86,603400
#2003-04-28#,21.84,22.36,21.84,22.24,665200
#2003-04-29#,22.32,22.41,21.94,22.22,670000
#2003-04-30#,22.23,22.25,21.85,22.03,894900
#2003-05-01#,21.85,22.01,21.35,21.94,1262300
#2003-05-02#,21.95,22.2,21.86,22.01,1259900
#2003-05-05#,22.02,22.07,21.7,21.86,669400
#2003-05-06#,21.89,22.03,21.69,22,1252400
#2003-05-07#,21.96,21.98,21.75,21.88,873600
#2003-05-08#,21.63,21.7,21.4,21.54,823000
#2003-05-09#,21.54,21.75,21.45,21.64,1828900
#2003-05-12#,21.6,22.01,21.59,22.01,1068000
#2003-05-13#,22.01,22.02,21.82,21.93,1331500
#2003-05-14#,21.99,22.02,21.68,21.9,1020100
#2003-05-15#,21.9,21.98,21.77,21.88,774800
#2003-05-16#,21.82,21.85,21.45,21.45,1364500
#2003-05-19#,22.4,23.03,22.3,22.95,6693300
#2003-05-20#,22.98,23.38,22.76,23.2,3788600
#2003-05-21#,23.19,24.02,22.94,24,3033200
#2003-05-22#,24.01,24.53,23.97,24.51,2070300
#2003-05-23#,24.55,24.79,24.46,24.71,1734100
#2003-05-26#,24.55,24.79,24.46,24.71,1734100
#2003-05-27#,24.71,24.9,24.49,24.63,2064800
#2003-05-28#,24.63,24.79,24.35,24.51,1866400
#2003-05-29#,24.52,24.6,24.25,24.44,1827400
#2003-05-30#,24.58,25.01,24.48,24.95,1933400
#2003-06-02#,24.95,24.95,24.58,24.7,1240300
#2003-06-03#,24.75,25.17,24.65,25.17,1181900
#2003-06-04#,25.11,25.7,24.97,25.65,1301300
#2003-06-05#,25.57,25.68,25.36,25.6,932000
#2003-06-06#,25.95,25.95,25.37,25.45,882400
#2003-06-09#,25.5,25.69,25.3,25.45,654700
#2003-06-10#,25.55,25.6,25.03,25.24,994700
#2003-06-11#,25.3,25.66,25.22,25.64,586200
#2003-06-12#,25.7,26,25.52,25.98,973000
#2003-06-13#,25.9,25.93,25.62,25.8,851100
#2003-06-16#,25.87,26.39,25.85,26.39,1009200
#2003-06-17#,26.38,26.43,26.01,26.1,822900
#2003-06-18#,26,26.17,25.32,25.71,2490600
#2003-06-19#,25.71,25.71,25.28,25.42,1118400
#2003-06-20#,25.42,25.67,25.27,25.6,1502200
#2003-06-23#,25.5,25.55,24.72,24.82,1165800
#2003-06-24#,24.9,25.08,24.7,25.02,753200
#2003-06-25#,24.95,25.16,24.6,24.64,827200
#2003-06-26#,24.7,24.7,24.45,24.53,765000
#2003-06-27#,24.47,24.57,24.23,24.32,1117900
#2003-06-30#,24.37,24.51,24.16,24.5,1230700
#2003-07-01#,24.25,24.63,23.95,24.58,1113800
#2003-07-02#,24.43,24.8,24.36,24.74,770600
#2003-07-03#,24.74,24.79,24.28,24.32,679800
#2003-07-04#,24.74,24.79,24.28,24.32,679800
#2003-07-07#,24.33,24.8,24.28,24.73,1027600
#2003-07-08#,24.72,25.05,24.55,25.05,938100
#2003-07-09#,25.01,25.04,24.56,24.74,838300
#2003-07-10#,24.74,24.74,24.33,24.57,824700
#2003-07-11#,24.62,24.82,24.5,24.68,544900
#2003-07-14#,24.87,24.88,24.44,24.55,643100
#2003-07-15#,24.55,24.74,24.38,24.69,711600
#2003-07-16#,24.84,25,24.62,25,1046800
