"Date","Open","High","Low","Close","Volume"
#2019-01-01#,15.33,15.43,14.95,15.15,14358794
#2019-01-02#,15.03,15.5364,14.57,15.44,10764276
#2019-01-03#,15.4,15.9,15.2,15.51,15131353
#2019-01-04#,15.8,16.19,15.77,15.95,14930318
#2019-01-07#,16.04,16.62,15.975,16.3,21000077
#2019-01-08#,16.46,16.74,16.38,16.72,10723422
#2019-01-09#,16.72,16.75,16.035,16.17,17285781
#2019-01-10#,16.16,16.24,15.855,16,13777900
#2019-01-11#,16.04,16.355,15.85,16.27,12742370
#2019-01-14#,16.2,16.53,16.2,16.22,15267518
#2019-01-15#,16.21,16.44,16.12,16.19,11461167
#2019-01-16#,16.21,16.44,15.915,15.99,19379615
#2019-01-17#,15.95,15.99,15.22,15.34,19253294
#2019-01-18#,15.48,16.06,15.41,15.83,16137107
#2019-01-21#,15.48,16.06,15.41,15.83,16137107
#2019-01-22#,15.73,15.8,15.25,15.39,12759441
#2019-01-23#,15.48,15.64,15.13,15.21,10900226
#2019-01-24#,14.48,14.8,14.37,14.71,20353120
#2019-01-25#,14.79,15.11,14.48,14.99,17039045
#2019-01-28#,14.91,15.29,14.8073,15.09,14333858
#2019-01-29#,15.11,15.33,14.95,15,10048552
#2019-01-30#,15.01,15.13,14.46,14.98,11729833
#2019-01-31#,15.05,15.355,14.8346,15.32,11275698
#2019-02-01#,15.33,15.57,15.21,15.25,16533412
#2019-02-04#,15.33,15.33,14.95,15.03,12370985
#2019-02-05#,14.49,14.99,14.47,14.58,28680501
#2019-02-06#,14.6,14.87,14.26,14.35,14971860
#2019-02-07#,14.2,14.22,13.88,14.12,17017964
#2019-02-08#,14.03,14.235,13.97,14.21,11214655
#2019-02-11#,14.26,14.33,14,14.11,15233487
#2019-02-12#,14.3,14.6,14.24,14.55,12343234
#2019-02-13#,14.56,14.74,14.475,14.7,23909616
#2019-02-14#,12.97,13.73,12.74,12.78,86421861
#2019-02-15#,12.89,13.94,12.89,13.74,36191484
#2019-02-18#,12.89,13.94,12.89,13.74,36191484
#2019-02-19#,14,14.41,13.84,14.1,19618425
#2019-02-20#,13.85,14.18,13.83,13.9,14258903
#2019-02-21#,13.83,13.88,13.26,13.33,17023659
#2019-02-22#,13.61,13.67,13.34,13.44,12510248
#2019-02-25#,13.54,13.57,13.12,13.17,16674783
#2019-02-26#,12.91,13.09,12.8,12.98,23853559
#2019-02-27#,12.95,13.16,12.89,13.1,11770257
#2019-02-28#,13.05,13.19,12.93,13.19,14081338
#2019-03-01#,13.18,13.2,12.88,12.97,15583312
#2019-03-04#,12.74,12.9,11.66,12.15,43411400
#2019-03-05#,12.11,12.15,11.82,11.97,23572032
#2019-03-06#,11.95,12,11.52,11.56,18259836
#2019-03-07#,11.77,12.38,11.7,12.11,25780582
#2019-03-08#,12.02,12.31,11.92,12.3,15539234
#2019-03-11#,12,12.51,11.97,12.34,16095775
#2019-03-12#,12.37,12.43,12.1,12.22,14372394
#2019-03-13#,12.1,12.26,12.05,12.1,15287381
#2019-03-14#,12.03,12.19,11.895,11.92,12602425
#2019-03-15#,12.02,12.15,11.91,12.09,25034924
#2019-03-18#,12.09,12.17,11.98,12.07,8572853
#2019-03-19#,12.09,12.12,11.85,11.91,11126497
#2019-03-20#,11.86,12.07,11.76,11.9,12736169
#2019-03-21#,11.85,12.17,11.78,12.11,14863595
#2019-03-22#,12.12,12.33,12.11,12.17,14364381
#2019-03-25#,12.19,12.32,12,12.02,12217156
#2019-03-26#,12.05,12.33,12.03,12.3,10949223
#2019-03-27#,12.25,12.35,12.12,12.12,8022039
#2019-03-28#,12.13,12.1915,12.02,12.05,6127238
#2019-03-29#,12.13,12.19,11.87,11.99,9491234
#2019-04-01#,12.07,12.425,12.06,12.37,12138252
#2019-04-02#,12.39,12.535,12.12,12.13,13310350
#2019-04-03#,12.25,12.4,12.24,12.37,8722748
#2019-04-04#,12.37,12.52,12.37,12.39,6916909
#2019-04-05#,12.42,12.69,12.405,12.55,16273713
#2019-04-08#,12.51,12.57,12.37,12.53,8558357
#2019-04-09#,12.44,12.45,12.31,12.39,7873249
#2019-04-10#,12.41,12.57,12.325,12.55,8055140
#2019-04-11#,12.55,12.71,12.47,12.59,7849734
#2019-04-12#,12.63,12.63,12.1,12.12,11889948
#2019-04-15#,12.15,12.2,11.93,11.97,11415169
#2019-04-16#,12,12.25,11.85,12.25,15016190
#2019-04-17#,12.2,12.29,12.06,12.11,6889135
#2019-04-18#,12.07,12.17,11.95,12.14,9396111
#2019-04-19#,12.07,12.17,11.95,12.14,9396111
#2019-04-22#,12.13,12.13,11.79,11.88,16563109
#2019-04-23#,11.91,11.96,11.64,11.87,13112830
#2019-04-24#,11.8,11.93,11.51,11.59,12004680
#2019-04-25#,11.54,11.7,11.4,11.43,10754381
#2019-04-26#,11.5,11.84,11.46,11.62,12893223
#2019-04-29#,11.64,11.77,11.55,11.66,8129615
#2019-04-30#,11.67,11.68,11.4,11.42,10898456
#2019-05-01#,11.39,11.54,11.34,11.36,8711414
#2019-05-02#,11.39,11.5,11.28,11.42,10071169
#2019-05-03#,11.46,11.72,11.43,11.68,7848048
#2019-05-06#,11.51,11.66,11.48,11.52,9629505
#2019-05-07#,11.47,11.5,11.29,11.41,16329270
#2019-05-08#,11.48,11.73,11.36,11.43,16355768
#2019-05-09#,11.01,11.05,10.28,10.86,27458850
#2019-05-10#,10.84,11.24,10.71,10.89,11189708
#2019-05-13#,10.68,10.77,10.435,10.51,19390551
#2019-05-14#,10.7,11.04,10.62,11,14838660
#2019-05-15#,10.88,10.97,10.77,10.95,11889773
#2019-05-16#,11.06,11.11,10.63,10.65,14660604
#2019-05-17#,10.55,10.73,10.5,10.59,10552695
#2019-05-20#,10.52,10.57,10.06,10.13,18718740
#2019-05-21#,10.22,10.36,10.04,10.23,10598946
#2019-05-22#,10.15,10.2,9.91,9.96,12410493
#2019-05-23#,9.87,9.89,9.64,9.66,13638878
#2019-05-24#,9.86,10.19,9.82,10.11,15554032
#2019-05-27#,9.86,10.19,9.82,10.11,15554032
#2019-05-28#,10.17,10.31,10.11,10.13,17096948
#2019-05-29#,10.13,10.45,10.12,10.39,19413675
#2019-05-30#,10.44,10.855,10.4,10.7,28062558
#2019-05-31#,10.42,10.73,10.31,10.45,18338643
#2019-06-03#,10.41,10.45,10.06,10.34,16522103
#2019-06-04#,10.37,10.44,10.02,10.35,12599604
#2019-06-05#,10.35,10.35,9.98,10.17,10917180
#2019-06-06#,10.15,10.5,10.13,10.48,10865584
#2019-06-07#,10.53,10.62,10.38,10.54,8047034
#2019-06-10#,10.54,10.675,10.29,10.33,11059223
#2019-06-11#,10.39,10.87,10.35,10.67,12742187
#2019-06-12#,10.62,10.84,10.52,10.77,12741884
