"Date","Open","High","Low","Close","Volume"
#2005-01-03#,19.5489,19.74,18.8721,19.1906,2319253
#2005-01-04#,19.2782,19.4295,18.466,18.9198,3149591
#2005-01-05#,18.8004,18.8959,18.1952,18.2828,2489874
#2005-01-06#,18.4182,18.7128,18.1315,18.1634,2717232
#2005-01-07#,18.3147,18.5217,17.9723,18.3385,2180680
#2005-01-10#,18.4022,18.6809,18.0519,18.1235,2148933
#2005-01-11#,18.0121,18.3545,17.6936,18.1713,2174465
#2005-01-12#,18.1952,18.3306,17.7493,18.2191,1358242
#2005-01-13#,18.0439,18.1793,17.7254,17.813,1650040
#2005-01-14#,17.813,17.9882,17.7334,17.9484,1612107
#2005-01-17#,17.813,17.9882,17.7334,17.9484,1612107
#2005-01-18#,17.9245,18.243,17.8687,18.1235,1523878
#2005-01-19#,18.1554,18.4182,17.805,17.8767,2231847
#2005-01-20#,17.8528,18.0997,17.6936,17.7413,975846
#2005-01-21#,17.805,18.0758,17.375,17.4547,1782502
#2005-01-24#,17.4387,17.9006,17.3989,17.5343,1849021
#2005-01-25#,17.9723,18.0121,17.7732,17.813,1826813
#2005-01-26#,17.9165,18.2669,17.8528,18.1156,3760896
#2005-01-27#,18.0837,18.6411,18.0758,18.4341,2884948
#2005-01-28#,18.5217,18.6332,16.4832,17.1999,8466198
#2005-01-31#,17.4706,17.5184,16.9689,17.0804,2520094
#2005-02-01#,17.1282,17.9165,17.0486,17.4865,3329147
#2005-02-02#,17.5502,17.8767,17.391,17.7254,1974775
#2005-02-03#,17.5263,17.7015,17.1919,17.4308,1709237
#2005-02-04#,17.3273,17.6139,17.2078,17.5423,1720165
#2005-02-07#,17.606,17.6458,17.375,17.4786,1265659
#2005-02-08#,17.4387,17.6219,17.1999,17.4865,1808884
#2005-02-09#,17.4786,17.5104,16.8813,17.1919,2120029
#2005-02-10#,17.2317,17.4786,16.8893,17.1202,1472985
#2005-02-11#,17.1202,17.2221,16.8813,17.0884,1723317
#2005-02-14#,17.0326,17.1202,16.7858,16.8734,2161024
#2005-02-15#,16.8415,17.5821,16.8336,17.3432,2847675
#2005-02-16#,17.2397,17.4228,17.1361,17.2556,1801167
#2005-02-17#,17.2158,17.383,16.9689,17.1043,2089513
#2005-02-18#,17.1202,17.2158,16.7858,17.1521,1484974
#2005-02-21#,17.1202,17.2158,16.7858,17.1521,1484974
#2005-02-22#,16.9371,17.0963,16.746,16.7778,1730960
#2005-02-23#,16.8017,17.0486,16.6186,16.8654,1569193
#2005-02-24#,16.8017,17.3113,16.738,17.2078,1595513
#2005-02-25#,17.2476,17.6219,17.1998,17.5263,2006227
#2005-02-28#,17.5343,17.9563,17.3591,17.9165,3736141
#2005-03-01#,17.9245,18.1474,17.9245,18.0917,2327450
#2005-03-02#,17.9085,18.7526,17.8608,18.7367,5176478
#2005-03-03#,18.7128,18.8959,18.3147,18.3943,2738948
#2005-03-04#,18.5934,18.6093,18.0519,18.2987,1741298
#2005-03-07#,18.3226,18.8561,18.1634,18.7367,3817554
#2005-03-08#,18.6013,19.1109,18.5376,18.9358,2793880
#2005-03-09#,18.8004,19.1117,18.7128,18.8004,1910042
#2005-03-10#,18.9119,19.0791,18.5934,18.9517,2709065
#2005-03-11#,18.9517,18.9517,18.4421,18.6332,2632364
#2005-03-14#,18.5615,18.9597,18.5456,18.9198,2014031
#2005-03-15#,18.9597,19.1985,18.7606,18.9517,3090158
#2005-03-16#,18.9119,19.0791,18.6013,18.7128,3026121
#2005-03-17#,18.7287,18.7447,18.0837,18.3624,2624940
#2005-03-18#,18.3624,18.4898,18.2191,18.4898,2463446
#2005-03-21#,18.4182,18.7606,18.4182,18.7208,1721442
#2005-03-22#,18.7208,18.8322,18.5058,18.5297,2396506
#2005-03-23#,18.4341,18.7367,18.4182,18.5456,1387853
#2005-03-24#,18.5934,18.9915,18.4978,18.8402,2390953
#2005-03-25#,18.5934,18.9915,18.4978,18.8402,2390953
#2005-03-28#,18.8084,19.0074,18.7208,18.7845,1954898
#2005-03-29#,18.6889,18.7526,18.2271,18.3784,2073147
#2005-03-30#,18.4341,18.8721,18.3306,18.8402,1047973
#2005-03-31#,18.9358,19.0632,18.6491,18.9676,1379266
#2005-04-01#,19.0632,19.3896,18.3784,18.4739,2284271
#2005-04-04#,18.3784,18.5137,18.1554,18.1793,2486986
#2005-04-05#,18.2908,18.3943,18.1156,18.3147,1864796
#2005-04-06#,18.3226,18.7845,18.3226,18.3545,1673457
