"Date","Open","High","Low","Close","Volume"
#2006-01-02#,26.6,26.88,26.39,26.42,4792000
#2006-01-03#,26.67,26.7,26.06,26.35,7877900
#2006-01-04#,26.51,26.58,26.3,26.35,4739200
#2006-01-05#,26.58,27.43,26.54,26.99,8426800
#2006-01-06#,27.06,27.17,26.78,27.14,5625300
#2006-01-09#,26.89,27.07,26.81,26.95,4788900
#2006-01-10#,26.76,27.22,26.67,27.14,4759000
#2006-01-11#,27.41,27.42,26.86,27.07,6085400
#2006-01-12#,27.11,27.24,26.87,27,3863600
#2006-01-13#,26.96,27.13,26.55,26.75,3603800
#2006-01-16#,26.96,27.13,26.55,26.75,3603800
#2006-01-17#,26.59,27,26.53,26.86,4117300
#2006-01-18#,27,27.3,26.902,27.2,6251400
#2006-01-19#,27,27.56,27,27.43,4506000
#2006-01-20#,27.34,27.36,26.78,27.13,5017400
#2006-01-23#,27,27.14,26.43,26.96,7655300
#2006-01-24#,27,27.54,26.97,27.36,7704200
#2006-01-25#,27.59,27.88,27.18,27.38,5383200
#2006-01-26#,27.77,27.83,27.44,27.61,7599100
#2006-01-27#,28.48,28.5,27.92,28.07,6950800
#2006-01-30#,28.2,28.35,27.85,27.86,6519100
#2006-01-31#,27.89,28.02,27.62,27.76,4906600
#2006-02-01#,27.735,27.93,27.45,27.78,5363400
#2006-02-02#,28.1,28.81,28.1,28.71,7969700
#2006-02-03#,28.46,29.4,28.45,29.23,8860200
#2006-02-06#,29.19,29.25,28.27,28.69,4207200
#2006-02-07#,28.657,28.7,28.24,28.35,3295700
#2006-02-08#,28.23,28.52,27.85,28.2,3619900
#2006-02-09#,28.164,28.5,27.8,27.87,3193700
#2006-02-10#,27.83,28.08,27.64,27.9,2534900
#2006-02-13#,27.87,28.1,27.7,27.91,1870400
#2006-02-14#,27.93,28.63,27.72,28.61,3558700
#2006-02-15#,28.51,29.14,28.28,28.98,3189500
#2006-02-16#,29.02,29.29,28.79,29.1,3364700
#2006-02-17#,29,29.01,28.38,28.6,4616800
#2006-02-20#,29,29.01,28.38,28.6,4616800
#2006-02-21#,28.554,28.81,28.03,28.18,3190400
#2006-02-22#,28.131,28.56,28.1,28.46,3192100
#2006-02-23#,28.38,28.71,28.36,28.5,2944800
#2006-02-24#,28.5,28.51,28,28.21,2487600
#2006-02-27#,28.13,28.97,28.12,28.84,2699400
#2006-02-28#,28.6,28.79,28.3,28.33,2535400
#2006-03-01#,28.5,29.19,28.44,29.06,3493600
#2006-03-02#,29.06,29.74,28.87,29.08,4247900
#2006-03-03#,29.07,29.31,28.64,28.7,2749500
#2006-03-06#,28.75,28.92,28.32,28.47,2234600
#2006-03-07#,28.3,28.95,28.1357,28.92,4109900
#2006-03-08#,29.1,30.26,29,30.07,8475300
#2006-03-09#,30.24,30.98,29.95,30.12,7825600
#2006-03-10#,30.29,30.54,29.94,30.4,3184900
#2006-03-13#,30.33,30.73,30.01,30.06,2502400
#2006-03-14#,30.082,30.73,30.02,30.57,4394100
#2006-03-15#,29.5,30.11,29.4,29.71,9215900
#2006-03-16#,29.88,30.18,29.5,29.6,4774700
#2006-03-17#,29.55,29.73,29.5,29.6,4739000
#2006-03-20#,29.74,29.99,29.65,29.83,3393900
#2006-03-21#,29.97,29.97,29.45,29.62,3254300
#2006-03-22#,28.4,29.66,28.4,29.47,3293100
#2006-03-23#,29.57,29.81,29.47,29.49,2746200
#2006-03-24#,29.41,29.51,29.02,29.05,3445800
#2006-03-27#,29.51,29.95,29.51,29.77,4595600
#2006-03-28#,30.02,30.02,29.4,29.68,2871700
#2006-03-29#,29.85,30.22,29.66,30.06,3205600
#2006-03-30#,30.01,30.09,29.75,29.8,4056800
#2006-03-31#,29.94,30.38,29.69,29.87,3058300
#2006-04-03#,29.97,30,29.44,29.5,4515200
#2006-04-04#,29.58,29.81,29.42,29.77,2911700
#2006-04-05#,29.85,30.07,29.68,29.69,2936400
#2006-04-06#,30.48,31.28,30.2,31.25,7649200
#2006-04-07#,31.2,31.89,30.85,31.18,5375400
#2006-04-10#,31.14,31.18,30.71,30.84,3366300
#2006-04-11#,30.83,31,30.23,30.31,3766900
#2006-04-12#,30.16,30.59,30.15,30.19,2970200
#2006-04-13#,29.69,31.02,29.69,30.67,2591000
#2006-04-14#,29.69,31.02,29.69,30.67,2591000
#2006-04-17#,30.53,30.6,29.87,30.3,2114700
#2006-04-18#,30.35,30.85,30.29,30.45,2827000
#2006-04-19#,30.4,30.5,29.92,29.99,4330200
#2006-04-20#,29.95,30,29.65,29.7,4889500
