"Date","Open","High","Low","Close","Volume"
#2013-01-01#,78.73,80.92,78.59,80.56,734224
#2013-01-02#,80.87,82.66,79.67,81.96,1444831
#2013-01-03#,81.66,85.23,80.991,83.63,1777380
#2013-01-04#,83.46,84.49,83.1,83.78,1026269
#2013-01-07#,82.76,83.9,81.41,83.6,1366184
#2013-01-08#,83.44,85.04,82.34,85.02,1286784
#2013-01-09#,85,85.33,84.14,84.8,973195
#2013-01-10#,85.41,86.95,85.41,86.4,1482142
#2013-01-11#,86.27,86.89,85.07,85.83,804448
#2013-01-14#,85.77,86.85,85.2,86.41,890887
#2013-01-15#,85.66,87.78,85.36,87.46,974059
#2013-01-16#,86.96,87.46,86.17,87.01,868418
#2013-01-17#,87.85,88.79,86.82,88.3,864990
#2013-01-18#,87.85,89.21,87.52,89.2,1013919
#2013-01-21#,87.85,89.21,87.52,89.2,1013919
#2013-01-22#,89.13,90.75,89.09,90.64,757499
#2013-01-23#,90.24,90.684,88.76,89.45,837155
#2013-01-24#,89.47,91.46,89.47,90.35,812853
#2013-01-25#,90.81,91.96,90.56,91.9,644129
#2013-01-28#,92,92,90.3,90.53,590844
#2013-01-29#,90.46,91.68,90.39,91.54,1125944
#2013-01-30#,92.25,96.51,91.13,91.49,783367
#2013-01-31#,90.74,91.63,89.47,91.22,656801
#2013-02-01#,91.36,91.83,90.35,91.38,617368
#2013-02-04#,90.42,90.84,89.88,90.46,429687
#2013-02-05#,91.06,91.37,89.89,90.67,834775
#2013-02-06#,90.6,92.08,90.42,92.08,580015
#2013-02-07#,92.26,92.78,91.05,91.82,522472
#2013-02-08#,93.74,97.87,93.63,96.15,1521147
#2013-02-11#,96.13,96.62,95.08,96.52,638630
#2013-02-12#,96.53,96.97,95.615,96.16,857633
#2013-02-13#,96.07,96.15,93.82,93.96,1413661
#2013-02-14#,94.13,96.94,93.65,96.45,1373550
#2013-02-15#,96.07,96.55,94.95,96.44,1225489
#2013-02-18#,96.07,96.55,94.95,96.44,1225489
#2013-02-19#,96.72,97.85,96.66,97.79,654167
#2013-02-20#,97.84,97.98,94.47,94.67,1082843
#2013-02-21#,95.54,95.54,90.56,92.85,1358901
#2013-02-22#,93.55,96.4,93.55,94.75,1442080
#2013-02-25#,95.24,95.41,90.11,90.21,1364327
#2013-02-26#,90.79,91.25,87.05,89.07,1684041
#2013-02-27#,89.23,90.758,88.81,89.5,989781
#2013-02-28#,89.74,90.63,89.1,89.96,1182193
#2013-03-01#,89.12,89.24,87.715,88.39,1304471
#2013-03-04#,88.13,89.275,87.17,88.22,1235714
#2013-03-05#,89.09,89.6,88.26,88.89,922884
#2013-03-06#,89.22,89.3625,87.71,87.93,793584
#2013-03-07#,88.63,91.385,88.29,90.92,1035514
#2013-03-08#,91.25,92.82,90.16,92.5,791984
#2013-03-11#,91.96,92.29,90.55,91.36,667127
#2013-03-12#,91.73,91.99,90.8,91.48,791084
#2013-03-13#,91.34,95.39,91.01,94.09,1519866
#2013-03-14#,94.18,97,94.15,96.82,1226111
#2013-03-15#,96.7,97.95,95.9,96.19,1111357
#2013-03-18#,94.99,97.27,94.535,96.38,1061297
#2013-03-19#,96.39,96.475,92.53,93.01,722114
#2013-03-20#,94.02,95.64,93.86,94.7,883042
#2013-03-21#,94.23,94.99,93.33,93.45,585958
#2013-03-22#,94.11,95.07,93.55,94.93,1156030
#2013-03-25#,95.46,97.47,95.1,97.16,1336399
#2013-03-26#,97.75,98.84,97.02,98.69,1407482
#2013-03-27#,97.74,99.39,97.28,98.36,1358908
#2013-03-28#,98.18,98.87,97.29,97.43,659939
#2013-03-29#,98.18,98.87,97.29,97.43,659939
#2013-04-01#,97.49,97.62,95.76,97.35,514006
#2013-04-02#,97.51,97.51,93.4101,94.02,970526
