"Date","Open","High","Low","Close","Volume"
#2014-01-01#,64.4,64.855,64.34,64.69,1386279
#2014-01-02#,64.61,64.64,63.441,63.58,2284519
#2014-01-03#,63.58,63.87,63.14,63.51,1739149
#2014-01-06#,63.64,63.81,63.25,63.52,1889039
#2014-01-07#,63.81,64.74,63.7,64.69,2196588
#2014-01-08#,64.53,65.13,64.28,64.76,2935745
#2014-01-09#,65.5,66.435,65.16,66.32,2961565
#2014-01-10#,66.77,67.82,66.64,67.78,3385042
#2014-01-13#,67.77,68.47,67.01,67.17,2851997
#2014-01-14#,67.2,67.43,66.82,67.11,1750644
#2014-01-15#,67.1,67.16,66.56,66.63,1613725
#2014-01-16#,66.24,66.55,65.85,66.48,1779506
#2014-01-17#,66.32,66.55,66.05,66.29,1947635
#2014-01-20#,66.32,66.55,66.05,66.29,1947635
#2014-01-21#,66.49,66.94,66.375,66.88,2775189
#2014-01-22#,66.88,67.24,66.79,67.12,2148338
#2014-01-23#,66.72,67,66.07,66.4,2643542
#2014-01-24#,66.09,66.82,65.86,65.93,2475718
#2014-01-27#,65.96,66.75,65.85,66.42,2171743
#2014-01-28#,66.42,66.64,66.06,66.26,2380455
#2014-01-29#,66.08,66.46,65.87,66.28,2646219
#2014-01-30#,66.45,67.17,66.325,67.05,2184335
#2014-01-31#,65.62,68.45,65.08,67.91,4436940
#2014-02-03#,67.84,68.86,66.92,67.12,3096271
#2014-02-04#,67.13,67.3516,65.76,65.85,3507338
#2014-02-05#,65.6,65.845,65.061,65.7,2684091
#2014-02-06#,65.65,66.1,65.11,65.93,1734952
#2014-02-07#,66.08,66.98,65.95,66.93,2147644
#2014-02-10#,67.27,68.57,66.93,68.49,3972415
#2014-02-11#,68.69,69.59,68.36,69.14,3114006
#2014-02-12#,69,69.52,68.76,69.36,1846598
#2014-02-13#,69.06,70.75,69,70.69,2736155
#2014-02-14#,70.49,71.171,70.1,71.11,2383064
#2014-02-17#,70.49,71.171,70.1,71.11,2383064
#2014-02-18#,71.15,71.3099,70.68,70.86,2094941
#2014-02-19#,70.82,71.73,70.47,70.64,2125137
#2014-02-20#,70.73,71.73,70.6125,71.5,2031970
#2014-02-21#,71.6,72.07,71.32,71.39,1549200
#2014-02-24#,71.4,72.22,71.27,71.29,1514408
#2014-02-25#,71.39,71.96,71.11,71.26,1894751
#2014-02-26#,70.95,71.02,69.6,69.76,2633920
#2014-02-27#,69.76,70.13,69.25,69.58,1652573
#2014-02-28#,69.47,69.81,69.09,69.4,4112456
#2014-03-03#,68.97,69.45,68.39,68.59,2861747
#2014-03-04#,69.3,69.5216,68.855,69.29,2891654
#2014-03-05#,69.26,69.3,68.35,68.52,2721251
#2014-03-06#,68.75,68.9,67.79,67.97,2294647
#2014-03-07#,67.89,68.505,67.59,68.44,3006848
#2014-03-10#,68.31,68.66,67.97,68.35,2016924
#2014-03-11#,68.43,68.43,67.75,68.05,2222988
#2014-03-12#,68.01,69.01,67.85,68.98,2711219
#2014-03-13#,69.04,69.68,68.86,69.5,3369841
#2014-03-14#,69.42,70.09,69.13,69.89,4787478
#2014-03-17#,70.23,70.65,69.6799,70.6,3800674
#2014-03-18#,70.6,70.87,70.205,70.5,2411051
#2014-03-19#,70.64,71.23,69.38,69.83,3163460
#2014-03-20#,70.08,70.08,68.97,69.77,2537618
#2014-03-21#,70.82,70.96,69.93,70.06,4528681
#2014-03-24#,70.04,70.39,69.45,69.77,2236149
#2014-03-25#,69.95,70.21,69.52,70.07,1658345
#2014-03-26#,70.13,70.97,69.97,70.36,2189541
#2014-03-27#,70.42,71.02,70.08,70.95,1823557
#2014-03-28#,70.82,71.13,70.6,71.09,1866519
#2014-03-31#,71.28,71.52,70.24,70.99,2850459
#2014-04-01#,70.85,71.1623,70.04,70.4,2418527
#2014-04-02#,70.4,70.72,69.89,70.28,1818430
#2014-04-03#,70.47,70.57,69.66,69.77,2319919
#2014-04-04#,70,70.725,69.55,69.62,2602539
#2014-04-07#,69.62,69.92,69.18,69.19,2503831
#2014-04-08#,69.3,70.655,68.7851,70.48,3601111
#2014-04-09#,70.42,70.53,69.35,70.3,2687705
#2014-04-10#,70.18,70.65,69.24,69.58,3408868
#2014-04-11#,69.53,69.93,69.24,69.42,2285426
#2014-04-14#,69.73,70.52,69.4,70.23,1865544
#2014-04-15#,70.22,70.59,69.77,70.57,2149432
#2014-04-16#,70.8,71.53,70.52,71.53,1799309
#2014-04-17#,71.23,71.69,70.64,70.67,1831158
#2014-04-18#,71.23,71.69,70.64,70.67,1831158
#2014-04-21#,70.88,71.34,70.374,70.73,1235393
#2014-04-22#,70.82,71.05,70.4,70.87,1603008
#2014-04-23#,70.79,71.56,70.72,71.06,1733054
#2014-04-24#,71.11,71.77,70.61,71.52,1489895
#2014-04-25#,71.52,72.38,71.49,72.33,1689219
#2014-04-28#,72.33,72.84,71.915,72.74,1864620
#2014-04-29#,72.71,72.8099,72.12,72.46,2323830
#2014-04-30#,72.9,73.75,72.181,72.54,2745272
#2014-05-01#,72.58,73,71.79,72.48,1572129
#2014-05-02#,72.13,72.238,70.47,70.86,1906793
#2014-05-05#,70.71,71.26,70.6,71.16,1621818
#2014-05-06#,70.96,71.16,70.48,70.64,1895174
