"Date","Open","High","Low","Close","Volume"
#2016-01-01#,51,51.08,50.35,50.69,5911392
#2016-01-04#,49.42,49.42,48.3,48.66,12323161
#2016-01-05#,49.31,49.75,47.04,48.57,14557218
#2016-01-06#,47.79,49.3,47.63,48.93,10375888
#2016-01-07#,48.39,48.68,46.74,47,11301098
#2016-01-08#,47.48,48.95,46.49,46.61,10850321
#2016-01-11#,46.99,47.29,45.57,46.74,12096434
#2016-01-12#,47.07,47.475,45.82,46.96,12163429
#2016-01-13#,47.5,47.5,44.54,44.94,10964540
#2016-01-14#,45.03,45.75,44.02,45.34,11554970
#2016-01-15#,43.88,45.36,43.45,44.5,16408571
#2016-01-18#,43.88,45.36,43.45,44.5,16408571
#2016-01-19#,45.8,46.75,45.19,45.96,16014707
#2016-01-20#,46.09,46.76,42.54,45.69,21927463
#2016-01-21#,46.65,47.12,45.37,46.52,12817428
#2016-01-22#,47.09,47.49,46.528,46.76,9419541
#2016-01-25#,47.59,47.62,45.85,45.94,8602648
#2016-01-26#,46.49,46.9,45.63,46.11,8685686
#2016-01-27#,46.36,46.995,44.62,44.72,10669716
#2016-01-28#,44.84,45,42.52,43.2,13996878
#2016-01-29#,43.14,44.34,42.42,44.29,12820096
#2016-02-01#,44.73,45.58,44.01,45.21,8618232
#2016-02-02#,45.19,45.52,43.32,43.61,8994040
#2016-02-03#,43.97,44.15,42.1075,43.8,10049136
#2016-02-04#,43.78,44.37,43.36,44.04,9444045
#2016-02-05#,44.14,44.55,41.67,42.01,14205999
#2016-02-08#,41.31,41.6,40.05,40.77,15450855
#2016-02-09#,40.35,42.485,40.03,41.98,12082562
#2016-02-10#,42.63,43.7767,42.47,43.27,11356188
#2016-02-11#,42.62,43.52,42.14,42.7,10019508
#2016-02-12#,43,43.1399,42.14,42.99,7552684
#2016-02-15#,43,43.1399,42.14,42.99,7552684
#2016-02-16#,43.49,44.67,43.09,44.58,8128796
#2016-02-17#,44.98,46.27,44.95,46.1,10338394
#2016-02-18#,46.4,46.68,45.98,46.46,10946832
#2016-02-19#,46.46,47.145,46.24,46.72,10578696
#2016-02-22#,47.2,48.91,47,48.82,12748761
#2016-02-23#,48.47,49.45,48.45,48.95,9411450
#2016-02-24#,48.45,49.05,47.79,48.94,9236804
#2016-02-25#,49.08,49.45,48.67,49.2,7524775
#2016-02-26#,49.35,49.45,47.7,47.86,12282757
