"Date","Open","High","Low","Close","Volume"
#2019-01-01#,34.74,35.03,33.68,34.66,3171239
#2019-01-02#,34.15,35.56,34.08,35.27,4761791
#2019-01-03#,35.14,35.82,34.61,35.13,5165360
#2019-01-04#,35.56,36.87,35.4,36.75,5266153
#2019-01-07#,36.79,38.115,36.65,37.4,7494614
#2019-01-08#,37.96,38.01,36.88,37.25,4636659
#2019-01-09#,38.11,39.97,37.29,39.58,11907756
#2019-01-10#,39.37,39.63,38.66,39.11,7247423
#2019-01-11#,39.11,40.13,38.84,39.6,5860571
#2019-01-14#,39.3,39.42,38.37,38.42,8318176
#2019-01-15#,38.51,39.01,38.01,38.48,4851891
#2019-01-16#,38.43,38.525,37.67,37.85,4578407
#2019-01-17#,37.48,37.96,37.305,37.61,4774071
#2019-01-18#,37.71,37.805,37.03,37.18,5066909
#2019-01-21#,37.71,37.805,37.03,37.18,5066909
#2019-01-22#,37,37.12,36.21,36.42,4879939
#2019-01-23#,37.14,37.66,36.71,37.3,6362992
#2019-01-24#,37.31,38.47,37.26,38.3,9170404
#2019-01-25#,38.57,39.21,36.405,37.3,15999113
#2019-01-28#,36.53,37.46,36.17,36.39,10156982
#2019-01-29#,35.87,36.74,34.96,36.68,12026747
#2019-01-30#,36.7,37.64,36.05,37.59,8642223
#2019-01-31#,37.65,38.9901,37,38.45,11125247
#2019-02-01#,38.55,39.2,37.95,37.99,8082986
#2019-02-04#,37.9,38.21,37.48,37.73,4819890
#2019-02-05#,37.7,38.43,37.61,38.35,4130208
#2019-02-06#,38.21,38.33,37.305,37.53,6524368
#2019-02-07#,37.3,38.47,37.3,38.45,7052327
#2019-02-08#,37.97,38.25,37.16,37.72,4938510
#2019-02-11#,37.65,37.84,37.2349,37.76,3668328
#2019-02-12#,38.25,40.67,38.08,40.61,10439704
#2019-02-13#,40.72,41.14,39.395,40.17,8436209
#2019-02-14#,39.64,40.11,39.08,39.8,7735985
#2019-02-15#,39.92,40.22,39.56,39.97,7585356
#2019-02-18#,39.92,40.22,39.56,39.97,7585356
#2019-02-19#,40,40.86,39.7901,40.43,5214483
#2019-02-20#,40.24,40.52,39.56,39.87,4491467
#2019-02-21#,39.35,40.28,39.2,40.27,4712507
#2019-02-22#,40.49,41.035,40.17,40.84,5142506
#2019-02-25#,41.05,41.477,40.66,40.79,8061602
#2019-02-26#,40.49,41.13,40.07,40.6,4340062
#2019-02-27#,40.63,40.72,39.58,40.04,5262171
#2019-02-28#,39.57,40.16,38.8,38.89,7972945
#2019-03-01#,39.17,39.28,37.81,38.78,7778283
#2019-03-04#,39.04,40.05,38.965,39.99,8170273
#2019-03-05#,39.99,40,38.855,39.15,6496230
#2019-03-06#,39.11,39.39,38.8,39.15,4687846
#2019-03-07#,39.34,40.61,39.32,40.56,7782830
#2019-03-08#,40.34,40.97,40.09,40.4,6110256
#2019-03-11#,40.38,41.24,40.28,41.1,4606005
#2019-03-12#,41.25,41.47,40.8,41.4,4085225
#2019-03-13#,41.4,41.77,40.92,40.95,4468516
#2019-03-14#,40.86,41.04,40.56,40.8,4036005
#2019-03-15#,41.1,41.53,40.71,40.76,4179285
#2019-03-18#,40.67,41,40.275,40.46,3598609
#2019-03-19#,40.46,40.66,39.48,39.58,4494831
#2019-03-20#,39.46,39.9,38.38,39.21,7140447
#2019-03-21#,39.4,40.84,39.3,40.54,7053648
#2019-03-22#,40.47,41.44,40.28,40.93,5385617
#2019-03-25#,40.79,42.245,40.79,41.96,8423988
#2019-03-26#,41.92,42.04,40.9,41.59,5675384
#2019-03-27#,42.14,43.36,41.91,42.54,6669352
#2019-03-28#,42.55,42.74,41.35,41.67,4367384
#2019-03-29#,41.85,42.32,41.32,41.38,7049130
#2019-04-01#,41.57,41.85,40.89,41.71,5622855
#2019-04-02#,41.73,41.845,41.38,41.7,3603765
#2019-04-03#,42,42.555,41.65,41.89,4155396
#2019-04-04#,41.73,43,41.73,42.81,5878960
#2019-04-05#,42.96,43.6,42.77,43.55,5736399
#2019-04-08#,43.48,43.8,43.25,43.7,3187079
#2019-04-09#,43.52,43.8,43.235,43.4,3837324
#2019-04-10#,43.54,43.995,43.52,43.93,3492778
#2019-04-11#,43.8,44.96,43.66,44.85,6245498
#2019-04-12#,44.94,45.4,44.69,45.35,10711897
#2019-04-15#,45.57,45.68,45.125,45.42,7150069
#2019-04-16#,45.58,45.855,45.45,45.69,6133073
#2019-04-17#,45.62,45.95,45.47,45.77,5424429
#2019-04-18#,45.8,46.51,45.6,46.42,7803381
#2019-04-19#,45.8,46.51,45.6,46.42,7803381
#2019-04-22#,46,46.35,45.195,45.66,5696281
#2019-04-23#,46.12,46.62,45.81,46.4,5908725
#2019-04-24#,46.42,47.02,46.17,46.67,5190470
#2019-04-25#,43.92,44.96,43.64,44.45,9968888
#2019-04-26#,44.29,44.33,43.66,44,5502047
#2019-04-29#,43.87,44.14,43.57,43.95,2931118
#2019-04-30#,44.03,44.53,43.73,44.31,3827698
#2019-05-01#,44.61,45.63,44.29,44.35,3982441
#2019-05-02#,44.37,45.14,43.91,44.38,4019795
#2019-05-03#,44.61,44.79,44.08,44.13,3625631
#2019-05-06#,43.56,44.13,43.29,44.13,3530170
#2019-05-07#,43.96,44.1,43.325,43.75,2771656
#2019-05-08#,43.77,43.93,43.21,43.23,1988980
#2019-05-09#,43.14,43.68,42.52,43.62,2727256
#2019-05-10#,43.28,43.73,42.82,43.52,2427125
#2019-05-13#,42.92,43.33,42.595,43.23,2919777
#2019-05-14#,43.21,44.47,43.17,43.98,4342266
#2019-05-15#,43.76,44.25,43.54,44.05,3396662
#2019-05-16#,44.39,45.115,44.25,44.96,4488947
#2019-05-17#,44.51,45.31,44.5,44.54,3616224
#2019-05-20#,44.4,44.74,43.26,43.36,4117845
#2019-05-21#,43.36,43.96,43.17,43.8,3155604
#2019-05-22#,43.14,44.2,43.14,43.76,4597906
#2019-05-23#,43.54,44.38,43.32,43.62,4316765
#2019-05-24#,43.79,44.68,43.78,44.63,2661468
#2019-05-27#,43.79,44.68,43.78,44.63,2661468
#2019-05-28#,44.67,44.89,44.11,44.11,3204320
#2019-05-29#,44.02,44.02,43.16,43.48,4599099
#2019-05-30#,43.4,44.26,43.34,43.96,2894373
#2019-05-31#,43.69,43.82,42.37,42.76,4806935
#2019-06-03#,42.69,43.71,42.55,43.27,3647676
#2019-06-04#,43.72,44.48,43.47,44.41,3368881
#2019-06-05#,44.69,44.82,43.96,44.63,2660472
#2019-06-06#,44.82,45.62,44.76,45.17,2189072
#2019-06-07#,45.24,46.14,45.16,45.6,2693096
#2019-06-10#,45.79,46.21,45.08,45.49,2002520
#2019-06-11#,45.72,45.72,44.34,44.87,3120476
#2019-06-12#,44.93,45.605,44.8873,45.04,3689450
#2019-06-13#,45.27,45.825,45.11,45.46,3765370
#2019-06-14#,45.36,46.0788,45.04,45.96,2816488
#2019-06-17#,45.99,46.1,45.28,45.96,2314365
#2019-06-18#,46.09,46.47,45.32,45.84,2524514
#2019-06-19#,45.64,45.76,43.89,44.85,5037739
#2019-06-20#,45.54,45.99,44.955,45.69,3763836
#2019-06-21#,45.66,45.66,44.48,44.66,4407499
#2019-06-24#,44.77,45.235,44.19,44.28,3859774
#2019-06-25#,45.21,45.3,42.06,42.57,8529072
#2019-06-26#,42.44,42.55,41.41,42.06,7103594
#2019-06-27#,42.71,43.41,42.31,43.22,4364155
#2019-06-28#,43.11,44,43.07,43.13,7192497
#2019-07-01#,43.73,44.13,43.3,43.62,5487236
#2019-07-02#,43.75,44.21,43.54,44.12,2748512
#2019-07-03#,44.14,44.57,43.97,44.35,1312002
#2019-07-04#,44.14,44.57,43.97,44.35,1312002
#2019-07-05#,43.99,44.116,42.925,43.48,2445152
#2019-07-08#,43.4,44.16,43.17,44.09,2202184
#2019-07-09#,43.91,44.24,43.665,43.91,3432615
#2019-07-10#,44.55,44.93,44.26,44.66,3482513
#2019-07-11#,44.81,44.9,43.8,44.41,2459550
#2019-07-12#,44.68,45.8,44.65,45.49,3541020
#2019-07-15#,45.56,45.86,45.05,45.22,2563383
#2019-07-16#,45.11,45.61,45.04,45.44,3163010
#2019-07-17#,45.66,46.04,45.14,45.2,1725975
#2019-07-18#,45.21,45.86,44.79,45.24,2561899
#2019-07-19#,45.42,45.54,44.92,45,2211719
#2019-07-22#,45.21,45.26,44.71,44.76,1780430
#2019-07-23#,44.85,45.03,43.17,43.61,5319283
#2019-07-24#,43.6,44.17,43.37,43.9,2845070
#2019-07-25#,44.12,44.84,44,44.5,5065947
#2019-07-26#,44.57,44.89,44.18,44.5,3405876
