"Date","Open","High","Low","Close","Volume"
#2012-01-02#,35.857,35.9555,35.6221,35.6524,1653905
#2012-01-03#,36.4103,37.0621,36.4027,36.721,2771465
#2012-01-04#,36.6756,36.7135,36.2655,36.6528,2333220
#2012-01-05#,36.3724,36.8575,36.001,36.8272,3456482
#2012-01-06#,36.7438,36.9029,36.3042,36.6301,2072032
#2012-01-09#,36.6225,36.865,36.3042,36.8196,2136707
#2012-01-10#,37.1455,37.7973,37.0698,37.6988,3502518
#2012-01-11#,37.5775,38.199,37.4941,38.0929,3016866
#2012-01-12#,38.2748,38.5779,38.0815,38.5021,2769897
#2012-01-13#,38.1156,38.3278,37.9261,38.2672,2532384
#2012-01-16#,38.1156,38.3278,37.9261,38.2672,2532384
#2012-01-17#,38.6462,38.9872,38.3885,38.5249,2474286
#2012-01-18#,38.4112,39.1388,38.3657,39.0933,2771457
#2012-01-19#,39.2449,39.2525,38.8659,39.0478,2056713
#2012-01-20#,39.0933,39.2222,38.8053,38.9114,3004490
#2012-01-23#,38.9569,39.3965,38.9342,39.3359,3564214
#2012-01-24#,39.0554,40.0862,38.9266,40.018,4332388
#2012-01-25#,39.8588,40.3211,39.6087,40.1923,2892866
#2012-01-26#,40.2681,40.3136,39.73,39.8967,3345830
#2012-01-27#,39.5784,39.8739,39.4874,39.6087,2964631
#2012-01-30#,39.3359,39.7376,39.0327,39.7376,3358028
#2012-01-31#,39.6011,40.3211,39.3359,39.7982,4331491
#2012-02-01#,40.018,40.6243,39.874,40.1392,4958545
#2012-02-02#,40.1696,40.4424,39.8512,39.9043,2763683
#2012-02-03#,40.3969,40.45,39.9725,40.071,3119555
#2012-02-06#,39.8058,40.1544,39.7906,40.0331,1474330
#2012-02-07#,39.7754,39.9952,39.5178,39.7451,1806043
#2012-02-08#,39.6921,39.783,39.3359,39.442,3734084
#2012-02-09#,39.5026,39.7679,39.351,39.6466,4872374
#2012-02-10#,39.2828,39.3965,38.8887,39.0554,4208688
#2012-02-13#,39.4116,39.5026,39.1085,39.3434,3771686
#2012-02-14#,39.1767,39.3738,38.919,39.207,2872371
#2012-02-15#,39.2525,39.3283,38.7453,38.8205,3117343
#2012-02-16#,38.8432,39.7603,38.6992,39.7072,3165240
#2012-02-17#,39.8285,39.9498,39.5481,39.7376,2387248
#2012-02-20#,39.8285,39.9498,39.5481,39.7376,2387248
#2012-02-21#,40.0331,40.3666,39.8892,40.3363,2926689
#2012-02-22#,40.2378,40.3969,40.0331,40.2529,2274324
#2012-02-23#,40.2833,40.6319,39.9725,40.5334,2889883
#2012-02-24#,40.5106,40.55,40.2605,40.4121,2082958
#2012-02-27#,40.2681,40.6016,40.018,40.3136,2641753
#2012-02-28#,40.2908,40.6016,40.1165,40.45,2535913
#2012-02-29#,40.4576,40.7077,39.9877,40.0407,4718481
#2012-03-01#,40.0635,40.3818,39.8437,40.0786,2728223
#2012-03-02#,40.0407,40.594,39.8891,40.4348,2710730
#2012-03-05#,40.2302,40.3363,40.0104,40.2833,2281206
#2012-03-06#,39.4723,40.0331,39.4723,39.5632,3141011
#2012-03-07#,39.783,39.8209,39.442,39.7982,2545604
#2012-03-08#,40.1544,40.3515,40.0256,40.1771,1749788
#2012-03-09#,40.2529,40.6546,40.1317,40.4348,1991366
#2012-03-12#,40.5485,40.7683,40.3136,40.6622,2001589
#2012-03-13#,40.9199,41.5338,40.8146,41.5111,2778170
#2012-03-14#,41.5338,41.6096,41.1473,41.2913,1968759
#2012-03-15#,41.314,41.6627,41.1397,41.6475,1788292
#2012-03-16#,41.6854,41.8142,41.4504,41.6854,4093360
#2012-03-19#,41.5641,41.7839,41.4656,41.6248,1666002
#2012-03-20#,41.3292,41.4201,41.1018,41.3671,2079609
#2012-03-21#,41.3974,41.5869,41.189,41.4353,1375246
#2012-03-22#,41.0563,41.4125,40.6395,41.2685,3032237
#2012-03-23#,41.3671,41.405,40.882,41.2079,2331106
#2012-03-26#,41.4656,41.7081,41.3064,41.6854,2349038
#2012-03-27#,41.7385,42.0265,41.6702,41.9052,2225703
#2012-03-28#,41.8597,41.9431,41.2079,41.5111,2536365
#2012-03-29#,41.1094,41.7915,41.0487,41.7081,2435223
#2012-03-30#,41.9431,42.4812,41.8067,42.4433,3643372
#2012-04-02#,42.4433,42.7844,42.1383,42.4964,2651638
#2012-04-03#,42.4357,42.5494,41.981,42.322,2656100
#2012-04-04#,41.8673,41.9886,41.7233,41.8749,2120193
#2012-04-05#,41.6399,41.9734,41.6096,41.7763,2389202
#2012-04-06#,41.6399,41.9734,41.6096,41.7763,2389202
#2012-04-09#,41.2534,41.602,41.0866,41.3747,2155268
#2012-04-10#,41.458,41.5262,39.8361,40.0407,4283054
#2012-04-11#,40.6167,40.9995,40.5182,40.8517,2931953
#2012-04-12#,40.8441,41.4732,40.7986,41.2989,2119663
#2012-04-13#,41.1094,41.3519,40.8062,40.8365,2037340
#2012-04-16#,41.0715,41.2761,40.7835,40.9578,2013573
#2012-04-17#,41.2079,41.746,41.0563,41.5262,2199940
#2012-04-18#,41.261,41.5717,41.2382,41.4504,2089660
#2012-04-19#,40.3742,41.0639,39.8209,40.1696,6178291
