"Date","Open","High","Low","Close","Volume"
#2002-01-01#,101.34,101.47,99.66,99.8,1706300
#2002-01-02#,100.48,100.9,99.4,100.85,2843500
#2002-01-03#,100.8,101.99,100.63,101.95,1465800
#2002-01-04#,102.36,102.95,102.02,102.82,2288900
#2002-01-07#,102.87,103.14,101.89,102.14,2485200
#2002-01-08#,102.09,102.25,101.3,101.74,5034200
#2002-01-09#,101.95,102.99,100.72,100.86,3587500
#2002-01-10#,100.95,101.16,100.4,100.9,2766300
#2002-01-11#,100.92,101.1,99.85,100.07,2473600
#2002-01-14#,99.74,99.86,98.91,99.15,3472000
#2002-01-15#,99.35,99.98,98.72,99.5,2979800
#2002-01-16#,98.6,99,97.05,97.14,5160600
#2002-01-17#,97.849,98.75,97.52,98.23,3494300
#2002-01-18#,97.48,98.38,97,97.9,3446800
#2002-01-21#,97.48,98.38,97,97.9,3446800
#2002-01-22#,98.34,98.55,97,97.23,1925600
#2002-01-23#,97.45,97.83,96.88,97.4,3672900
#2002-01-24#,97.94,98.66,97.76,98.08,3954400
#2002-01-25#,97.66,99.06,97.57,98.48,3244800
#2002-01-28#,98.86,99.04,98.01,98.88,1713400
#2002-01-29#,98.95,99.21,96.1,96.19,4651500
#2002-01-30#,96.5,97.88,95.3,97.84,6106800
#2002-01-31#,98.05,99.31,97.79,99.24,3945600
#2002-02-01#,99.11,99.56,98.64,99.28,3651500
#2002-02-04#,99.1,99.1,96.78,97,6935100
#2002-02-05#,96.55,97.84,96.1,96.8,5755800
#2002-02-06#,97.03,97.48,96.15,96.63,4406700
#2002-02-07#,96.73,97.6,96.15,96.17,2955300
#2002-02-08#,96.6,97.72,95.85,97.62,4380000
#2002-02-11#,97.6,99.11,97.34,98.85,2169100
#2002-02-12#,98.46,99.24,98.2,98.79,1341100
#2002-02-13#,99.16,100.19,98.996,100.05,3350100
#2002-02-14#,100.4,100.79,99.75,100.3,6437000
#2002-02-15#,100.1,100.18,99.03,99.15,3843500
#2002-02-18#,100.1,100.18,99.03,99.15,3843500
#2002-02-19#,98.6,98.9,97.37,97.52,3716300
#2002-02-20#,97.97,99.92,97.4,99.82,7177100
#2002-02-21#,99.37,100.46,98.35,98.38,10841500
#2002-02-22#,98.5,100.25,98.049,99.98,8244600
#2002-02-25#,100.06,101.94,99.98,101.61,8931500
#2002-02-26#,101.75,102.1,100.35,101.12,12740300
#2002-02-27#,101.9,102.7,100.65,101.65,7881200
#2002-02-28#,101.85,102.61,101.1,101.1,5257900
#2002-03-01#,101.79,104,101.24,103.84,8306600
#2002-03-04#,104.2,106.25,104.08,105.92,8199400
#2002-03-05#,105.35,106.2,104.34,104.78,10713000
#2002-03-06#,104.64,106.3,104.6,105.93,7636800
#2002-03-07#,106.49,106.5,104.85,105.62,7721200
#2002-03-08#,106.49,106.89,105.5,105.99,6329200
#2002-03-11#,105.75,106.72,105.33,106.11,4434500
#2002-03-12#,105.28,106.65,105.13,106.63,7747000
#2002-03-13#,105.97,106.18,104.9,105.32,9755200
#2002-03-14#,105.33,105.79,104.96,105.38,5410700
#2002-03-15#,105.5,106.18,105.17,106.15,9864900
#2002-03-18#,106.35,106.78,105.27,105.65,4858000
#2002-03-19#,106.4,106.85,106,106.69,9935600
#2002-03-20#,105.93,105.93,104.93,104.94,5363300
#2002-03-21#,105,106.06,103.61,104.57,10392900
#2002-03-22#,104.76,105.04,103.96,104.23,4597900
#2002-03-25#,104.19,104.59,102.84,103,5864700
#2002-03-26#,102.86,104.428,102.8,103.77,4583800
#2002-03-27#,103.55,104.65,103.4,104.3,5929100
#2002-03-28#,104.6,105.12,103.7,103.71,4062300
#2002-03-29#,104.6,105.12,103.7,103.71,4062300
#2002-04-01#,103.36,103.9,102.67,103.36,6331300
#2002-04-02#,102.98,103.354,102.68,103.16,3131400
#2002-04-03#,103.56,103.56,101.45,102.34,7807100
#2002-04-04#,101.95,102.78,101.63,102.23,9099300
#2002-04-05#,103.02,103.48,102.24,102.94,7602400
#2002-04-08#,101.3,102.76,101.1,102.7,4378600
#2002-04-09#,103.17,103.228,102.06,102.27,7859800
#2002-04-10#,102.42,104.13,102.36,103.9,7545100
#2002-04-11#,103.43,103.82,101.62,101.75,4404200
#2002-04-12#,102.4,102.55,101.51,101.99,5885900
#2002-04-15#,102.22,102.44,100.75,101.02,5137300
#2002-04-16#,102.27,103.23,102.018,103.14,2599000
#2002-04-17#,103.42,103.42,102,102.41,2513800
#2002-04-18#,102.4,102.75,100.622,101.98,5821200
#2002-04-19#,102.85,102.91,102.2,102.6,2326300
#2002-04-22#,102.2,102.46,101.11,101.38,3830400
#2002-04-23#,101.55,101.89,100.72,101.12,4236100
#2002-04-24#,101.12,101.74,100.25,100.25,2849700
#2002-04-25#,100,100.6,99.3,100.5,4996200
#2002-04-26#,100.9,100.976,98.75,98.84,4243900
#2002-04-29#,99.35,99.5,98.13,98.2,4587300
#2002-04-30#,98.67,100.2,98.279,99.49,3800000
#2002-05-01#,99.64,101.06,98.35,100.94,8628500
#2002-05-02#,100.69,101.35,100.41,101.06,2519700
#2002-05-03#,100.73,100.89,99.45,99.96,4595200
#2002-05-06#,99.96,100.34,97.96,98.1,4681600
#2002-05-07#,98.84,99.39,98.08,98.2,5486400
#2002-05-08#,99.89,101.68,99.81,101.28,4824500
