"Date","Open","High","Low","Close","Volume"
#2018-01-01#,21.35,21.55,21.14,21.17,2186210
#2018-01-02#,21.48,22.1,21.23,21.83,3740873
#2018-01-03#,21.88,21.99,21.38,21.48,2841126
#2018-01-04#,21.55,21.605,20.73,20.89,3700661
#2018-01-05#,20.94,20.98,20.45,20.79,2826829
#2018-01-08#,20.71,21.16,20.59,21.13,2596617
#2018-01-09#,21.15,21.37,20.415,20.5,2602184
#2018-01-10#,20.39,21.92,20.03,21.69,6690683
#2018-01-11#,21.76,22.78,21.74,22.71,4482920
#2018-01-12#,22.81,23.03,22.48,23,2806910
#2018-01-15#,22.81,23.03,22.48,23,2806910
#2018-01-16#,23.21,23.57,23,23.2,4772946
#2018-01-17#,23.22,23.77,22.945,23.4,3528066
#2018-01-18#,23.47,24.375,23.29,24.23,4190576
#2018-01-19#,24.17,24.45,23.7687,24.43,3376282
#2018-01-22#,24.48,25.26,24.32,25.09,3955821
#2018-01-23#,24.9,24.99,24.15,24.5,2530649
#2018-01-24#,24.59,24.865,24.32,24.67,3227654
#2018-01-25#,24.73,24.78,24.27,24.44,2214078
#2018-01-26#,24.44,24.83,24.29,24.82,1583654
#2018-01-29#,24.74,24.91,24.445,24.7,2572601
#2018-01-30#,24.66,24.89,23.72,23.87,3204614
#2018-01-31#,23.91,24.35,23.64,23.86,1870159
#2018-02-01#,23.69,24.365,23.69,24.17,3017124
#2018-02-02#,24.07,24.13,22.53,22.8,3897540
#2018-02-05#,22.69,22.8,21.69,21.71,3698785
#2018-02-06#,21.34,22.89,21.06,22.66,4187492
#2018-02-07#,22.69,23.26,21.78,21.95,2650823
#2018-02-08#,22.11,22.64,21.58,21.58,4047723
#2018-02-09#,21.58,21.76,20.29,21.39,5478171
#2018-02-12#,21.65,22.25,21.52,21.87,2532720
#2018-02-13#,21.75,22.34,21.67,22.27,1430704
#2018-02-14#,22.13,22.74,22.02,22.68,1829513
#2018-02-15#,22.89,22.89,22.46,22.82,1391872
#2018-02-16#,22.74,22.91,22.51,22.65,1778939
#2018-02-19#,22.74,22.91,22.51,22.65,1778939
#2018-02-20#,22.57,23.43,22.57,23.04,2503519
#2018-02-21#,23.02,23.27,22.84,22.89,1978062
#2018-02-22#,23.04,23.1,22.56,22.6,2641651
#2018-02-23#,22.69,22.88,22.39,22.74,1955243
#2018-02-26#,22.9,23.89,22.7,23.83,3376795
#2018-02-27#,23.68,25.27,23,24.75,10158792
#2018-02-28#,23.75,23.82,22.89,22.98,21477758
#2018-03-01#,22.95,23.3,22.4,22.7,7639971
#2018-03-02#,22.65,23.22,22.46,23.15,11290209
#2018-03-05#,23,23.34,22.76,23.01,7409542
#2018-03-06#,23.11,23.3,22.7,22.86,16387209
#2018-03-07#,22.71,22.71,21.455,22.39,10476978
#2018-03-08#,22.51,22.6,22.07,22.46,5059444
#2018-03-09#,22.67,22.86,22.335,22.49,6655562
#2018-03-12#,22.54,22.89,22.53,22.62,5122046
#2018-03-13#,22.76,23,22.33,22.45,5826586
#2018-03-14#,22.44,22.54,22.09,22.25,5106231
#2018-03-15#,22.05,22.24,21.475,21.61,8913321
#2018-03-16#,21.62,21.89,21.54,21.58,7538971
#2018-03-19#,21.55,21.66,21.02,21.24,5534347
#2018-03-20#,21.23,21.31,20.11,20.31,5607031
#2018-03-21#,20.22,20.65,20.195,20.5,6909290
#2018-03-22#,20.28,20.55,19.8,19.88,6533281
#2018-03-23#,19.97,20.03,19.42,19.42,4746019
#2018-03-26#,19.74,19.975,19.3,19.89,8365874
#2018-03-27#,19.89,20.32,19.64,19.73,5693104
#2018-03-28#,19.88,20.07,19.18,19.27,4535990
#2018-03-29#,19.27,19.71,19.08,19.52,8062517
#2018-03-30#,19.27,19.71,19.08,19.52,8062517
#2018-04-02#,19.63,20.085,19.36,19.57,7426191
#2018-04-03#,19.7,20.19,19.449,20.17,4550388
#2018-04-04#,19.83,20.72,19.81,20.66,2915599
#2018-04-05#,20.71,20.835,20.52,20.73,4601869
#2018-04-06#,20.67,21.1,20.55,20.73,3982367
#2018-04-09#,20.86,20.97,20.58,20.67,2350138
#2018-04-10#,20.86,20.95,20.65,20.68,4209750
#2018-04-11#,20.61,20.66,20.35,20.55,3030741
#2018-04-12#,20.65,21.4,20.54,21.35,6226310
#2018-04-13#,21.38,21.48,20.9,21.04,3303215
#2018-04-16#,21.1,21.53,20.67,21.49,3006434
#2018-04-17#,21.72,22.06,21.55,21.96,5260507
#2018-04-18#,22.04,22.26,21.71,21.74,2866991
#2018-04-19#,21.73,21.99,21.51,21.63,2197299
#2018-04-20#,21.74,21.96,21.225,21.46,3521922
#2018-04-23#,21.48,22.255,21.24,22.14,4784618
#2018-04-24#,22.51,22.95,22.235,22.35,4195039
#2018-04-25#,22.31,22.63,21.78,22.56,3971520
#2018-04-26#,22.59,22.71,22.33,22.64,5188932
#2018-04-27#,22.69,22.77,22.22,22.5,11457558
#2018-04-30#,22.62,22.62,22.18,22.22,4275030
#2018-05-01#,22.58,22.65,22.1985,22.55,3360893
#2018-05-02#,22.48,22.85,22.26,22.28,4781992
