"Date","Open","High","Low","Close","Volume"
#2015-01-01#,59.4084,59.5456,57.8667,57.8909,1541556
#2015-01-02#,58.2299,58.6497,57.3582,58.1008,1696819
#2015-01-05#,57.342,58.6739,55.7963,56.0748,4102898
#2015-01-06#,56.2685,56.3734,55.1626,55.8084,2529259
#2015-01-07#,56.5026,56.7609,55.6147,56.2685,2417990
#2015-01-08#,56.8981,57.455,56.3734,57.4147,1648848
#2015-01-09#,57.4066,57.568,56.1716,56.212,1935059
#2015-01-12#,56.3734,56.4299,54.7268,55.4855,1858145
#2015-01-13#,55.873,56.4783,54.9851,55.8165,2250759
#2015-01-14#,55.0254,55.768,54.7106,55.5178,2354161
#2015-01-15#,55.8487,56.6398,55.2918,55.3644,2312500
#2015-01-16#,55.3321,56.3169,55.0109,56.1555,2745016
#2015-01-19#,55.3321,56.3169,55.0109,56.1555,2745016
#2015-01-20#,56.4622,56.7851,55.9133,56.6075,1850243
#2015-01-21#,56.2846,58.0201,56.2846,57.8748,2386464
#2015-01-22#,56.9384,58.1976,56.9384,58.1492,1885136
#2015-01-23#,57.5842,57.9635,56.2523,56.3088,2044311
#2015-01-26#,56.5187,57.7395,56.4864,57.2775,2117577
#2015-01-27#,56.1474,57.7375,55.1384,57.0272,2939635
#2015-01-28#,57.1887,57.1887,55.203,55.3725,2271901
#2015-01-29#,55.3079,56.8819,54.9851,56.6156,2551811
#2015-01-30#,55.9698,56.7205,55.4823,56.5348,3914401
#2015-02-02#,56.1151,58.5205,54.977,58.4236,3919451
#2015-02-03#,60.2237,60.3044,59.255,59.5941,3944926
#2015-02-04#,59.0613,59.2429,58.1492,58.3268,2122495
#2015-02-05#,58.7949,58.9645,58.3106,58.7062,1370038
#2015-02-06#,58.6739,58.9725,58.0281,58.2057,1371974
#2015-02-09#,58.0846,59.0532,58.0201,58.9483,1728637
#2015-02-10#,59.1097,59.2454,57.9232,58.4721,1139805
#2015-02-11#,58.2057,58.4761,57.5115,58.1815,948617
#2015-02-12#,58.577,59.2228,58.3026,59.1501,1113824
#2015-02-13#,59.2147,60.1914,59.0855,60.0622,2138980
#2015-02-16#,59.2147,60.1914,59.0855,60.0622,2138980
#2015-02-17#,59.8201,60.0541,58.9887,59.9654,1513381
#2015-02-18#,59.8443,60.1672,59.2631,59.6102,2037756
#2015-02-19#,59.2228,60.0461,58.916,59.9734,1954653
#2015-02-20#,59.6667,60.264,58.6739,60.1349,1365280
#2015-02-23#,59.8039,60.0783,59.134,59.5053,995481
#2015-02-24#,59.4245,59.9976,59.2793,59.7797,923923
#2015-02-25#,59.4003,59.6828,58.912,59.2712,889846
#2015-02-26#,59.1501,59.4326,58.3268,58.5367,1353855
#2015-02-27#,58.4801,58.9725,58.0685,58.1573,1317085
#2015-03-02#,57.7375,58.6739,57.3097,58.4479,1471052
#2015-03-03#,58.1169,58.7627,57.6891,58.2219,1629954
#2015-03-04#,57.9636,58.0766,57.2694,57.8183,1155536
#2015-03-05#,57.8183,58.5124,57.5438,58.4882,1761404
#2015-03-06#,57.8183,58.2138,56.8981,57.0757,1308418
#2015-03-09#,57.2532,58.0685,57.2532,57.8828,1156531
#2015-03-10#,57.3824,57.3824,56.6398,56.6398,1293203
#2015-03-11#,56.7931,57.0111,56.3815,56.89,1166780
#2015-03-12#,57.2371,58.1815,57.1483,58.0604,1307799
#2015-03-13#,57.8748,57.8908,56.89,57.5115,1486757
#2015-03-16#,57.6488,57.8425,57.2936,57.6084,1775752
#2015-03-17#,57.3501,57.3501,55.5662,55.986,2437633
#2015-03-18#,55.7761,58.3914,55.4613,58.1976,2118981
