"Date","Open","High","Low","Close","Volume"
#2014-01-01#,63.57,63.63,63.2,63.37,789063
#2014-01-02#,63.36,65.16,63.19,64.78,2901903
#2014-01-03#,64.71,65,64.405,64.47,1241023
#2014-01-06#,65.08,65.5975,64.67,64.8,2101957
#2014-01-07#,64.88,65.42,64.6208,65.2,1168297
#2014-01-08#,65.15,65.56,64.99,65.44,1246766
#2014-01-09#,65.84,66.15,65.28,65.64,1262290
#2014-01-10#,65.85,65.85,64.39,64.74,1895652
#2014-01-13#,64.7,65.129,64.34,64.47,1480055
#2014-01-14#,65.11,65.2,64.52,64.97,607749
#2014-01-15#,65,65,64.28,64.48,1176064
#2014-01-16#,64.58,64.965,64.42,64.65,1526053
#2014-01-17#,64.9,65.24,64.37,64.83,1971499
#2014-01-20#,64.9,65.24,64.37,64.83,1971499
#2014-01-21#,65.39,65.55,64.78,65.24,1973436
#2014-01-22#,65.21,66.76,65.21,66.49,1813684
#2014-01-23#,66.08,66.2299,65.19,65.59,1444725
#2014-01-24#,65.19,65.37,63.956,64.2,1228533
#2014-01-27#,64.11,64.27,63.5,63.97,1042836
#2014-01-28#,64,64.54,64,64.32,725578
#2014-01-29#,64,64.54,63.51,63.9,751395
#2014-01-30#,64.46,64.98,64.32,64.91,813474
#2014-01-31#,64.15,65.35,64.07,64.93,1173268
#2014-02-03#,64.94,64.95,63.05,63.05,1512288
#2014-02-04#,63.4,63.4,62.52,62.74,1593698
#2014-02-05#,62.73,63.46,62.54,63.2,1226466
#2014-02-06#,63.37,63.88,63.24,63.74,699308
#2014-02-07#,63.8,64.27,63.5,63.62,1377897
#2014-02-10#,63.73,64.231,63.5,63.84,3039157
#2014-02-11#,63.79,64.38,63.15,64.33,3993862
#2014-02-12#,67.93,68.84,66.3,66.35,4429462
#2014-02-13#,65.88,66.28,65.02,66.25,2441057
#2014-02-14#,66.1,66.71,65.96,66.37,1050279
#2014-02-17#,66.1,66.71,65.96,66.37,1050279
#2014-02-18#,66.69,67.09,66.15,66.83,1253055
#2014-02-19#,66.73,67,65.84,66.07,1551660
#2014-02-20#,65.99,66.17,65.39,65.78,1181321
#2014-02-21#,65.95,66.21,65.11,66.13,1683105
#2014-02-24#,66.05,68.83,66.04,67.5,2738218
#2014-02-25#,67.37,67.46,66.12,66.95,2928449
#2014-02-26#,66.96,68.08,66.71,67.5,1618330
#2014-02-27#,68.22,68.7,67.77,68.02,1085307
#2014-02-28#,68.38,70,68.25,68.73,1968224
#2014-03-03#,68.27,68.855,67.63,68.37,1957456
#2014-03-04#,68.8,69.25,68.3,68.75,2944357
#2014-03-05#,68.77,68.83,68.1501,68.37,888454
#2014-03-06#,68.55,69.425,68.43,68.75,1201462
#2014-03-07#,69.12,69.18,68.41,68.78,1100882
#2014-03-10#,68.75,68.7688,67.93,68.46,820480
#2014-03-11#,68.53,69.41,68.4,68.69,798736
#2014-03-12#,68.3,68.602,68.07,68.32,663956
#2014-03-13#,68.38,68.5,67.9,68.12,993375
#2014-03-14#,68.15,68.37,67.53,68.2,921935
#2014-03-17#,68.4,69.2955,68.4,68.48,587743
#2014-03-18#,68.55,69.38,68.53,69.23,744079
#2014-03-19#,69.21,70.14,69.02,69.79,1215470
#2014-03-20#,69.69,70.37,69.54,69.8,1047138
#2014-03-21#,70.29,70.68,69.61,69.81,1523254
#2014-03-24#,70.01,70.26,68.201,68.46,744245
#2014-03-25#,68.75,69.45,68.33,68.61,1296456
#2014-03-26#,68.93,70.03,68.88,68.9,2135227
#2014-03-27#,68.9,68.91,67.76,68.39,1635992
#2014-03-28#,68.48,69.68,68.18,68.45,1060283
#2014-03-31#,69.1,69.3,68.52,68.85,1368669
#2014-04-01#,69,69.55,68.71,69.34,3219841
#2014-04-02#,69.45,69.84,68.67,69.08,1283111
#2014-04-03#,68.84,69.61,68.76,69.56,3242544
#2014-04-04#,70.05,70.1,68.03,68.07,1850120
#2014-04-07#,68.11,68.45,66.81,67.35,2135523
#2014-04-08#,68.39,68.92,67.61,68.46,2643513
#2014-04-09#,68.81,69.265,68.24,69.22,1155892
#2014-04-10#,69.2,69.46,67.526,67.95,1744853
#2014-04-11#,67.58,67.92,66.87,67.3,1247308
#2014-04-14#,67.46,67.86,67.15,67.82,1242115
#2014-04-15#,68.23,68.58,67.5,68.41,1441168
#2014-04-16#,67.95,69.18,67.95,69.16,1208910
#2014-04-17#,69.13,69.96,68.7,69.51,1413105
#2014-04-18#,69.13,69.96,68.7,69.51,1413105
#2014-04-21#,69.47,69.88,69.11,69.62,790855
#2014-04-22#,69.56,69.88,69.28,69.54,594015
#2014-04-23#,69.41,69.6,68.7,69.42,787393
#2014-04-24#,69.59,70,69.25,69.38,785447
#2014-04-25#,69.44,69.98,69.05,69.56,724617
#2014-04-28#,69.88,69.88,68.73,69.24,1050451
#2014-04-29#,69.54,69.75,68.95,69.71,755997
#2014-04-30#,69.57,69.87,68.77,69.3,1082864
#2014-05-01#,69.39,70.47,69.07,69.93,1350496
#2014-05-02#,68.5,68.5,67.08,67.39,2628684
#2014-05-05#,67,67.53,66.6,67.12,1373497
#2014-05-06#,66.95,67.33,66.79,67.19,1613061
#2014-05-07#,67.25,67.83,67.06,67.78,748994
#2014-05-08#,67.8,68.17,67.11,67.33,880380
#2014-05-09#,67.22,67.81,67.08,67.75,535144
#2014-05-12#,67.82,68.24,67.81,68.08,804405
#2014-05-13#,68.18,68.5,67.76,67.89,558300
#2014-05-14#,67.76,67.89,67.27,67.68,429348
#2014-05-15#,67.5,67.9,67.2,67.73,794629
#2014-05-16#,67.86,68.095,67.17,67.53,1261937
#2014-05-19#,67.46,67.78,67.28,67.47,903279
#2014-05-20#,67.47,67.62,67.23,67.52,906282
#2014-05-21#,67.62,68.57,67.59,68.35,541436
#2014-05-22#,68.35,68.35,67.83,68.16,622299
#2014-05-23#,68.25,69.12,68.1,68.79,650406
#2014-05-26#,68.25,69.12,68.1,68.79,650406
#2014-05-27#,69,69.5,68.94,69.35,733586
#2014-05-28#,69.42,69.46,68.76,69.2,773667
#2014-05-29#,69.4,70.17,69.21,69.9,926992
#2014-05-30#,69.88,70.71,69.87,70.59,1722167
#2014-06-02#,70.81,71.43,70.42,71.21,1100637
#2014-06-03#,71.21,71.7,70.83,71.47,906066
#2014-06-04#,71.44,71.87,71.31,71.71,614186
#2014-06-05#,71.64,72.37,71.48,72.06,427225
#2014-06-06#,72.23,72.28,71.71,71.91,467908
#2014-06-09#,71.96,72.07,71.68,71.93,539921
#2014-06-10#,71.71,71.85,71.29,71.69,604804
#2014-06-11#,71.23,71.47,70.73,71.08,648531
#2014-06-12#,71.13,71.21,70.66,70.94,502749
#2014-06-13#,70.88,70.88,70.42,70.79,473971
#2014-06-16#,70.7,70.94,70.28,70.77,1063857
#2014-06-17#,70.55,70.78,70.01,70.18,972231
#2014-06-18#,70.14,70.5098,69.83,70.42,865588
#2014-06-19#,70.49,71.72,70.3,71.58,1055751
#2014-06-20#,71.8,71.94,71.13,71.83,1014567
#2014-06-23#,71.68,71.68,71.26,71.53,481858
#2014-06-24#,71.55,71.85,71.12,71.39,712934
