"Date","Open","High","Low","Close","Volume"
#2002-01-01#,116.83,116.9,116.67,116.84,"#N/A N/A"
#2002-01-02#,116.91,116.97,115.55,115.79,"#N/A N/A"
#2002-01-03#,115.81,116.33,115.54,116.11,"#N/A N/A"
#2002-01-04#,116.2,116.53,115.97,116.33,"#N/A N/A"
#2002-01-07#,116.25,117.07,115.85,116.33,"#N/A N/A"
#2002-01-08#,116.55,117.17,116.53,116.83,"#N/A N/A"
#2002-01-09#,116.78,117.35,116.65,117.01,"#N/A N/A"
#2002-01-10#,117.03,117.06,116.64,116.88,"#N/A N/A"
#2002-01-11#,116.83,116.93,116.6,116.64,"#N/A N/A"
#2002-01-14#,116.62,116.71,116.34,116.64,"#N/A N/A"
#2002-01-15#,116.5,117.46,116.37,117.29,"#N/A N/A"
#2002-01-16#,117.29,117.69,117.22,117.59,"#N/A N/A"
#2002-01-17#,117.56,118,117.43,117.85,"#N/A N/A"
#2002-01-18#,117.89,118.11,117.47,117.64,"#N/A N/A"
#2002-01-21#,117.41,117.79,117.39,117.67,"#N/A N/A"
#2002-01-22#,117.73,118.18,117.63,117.7,"#N/A N/A"
#2002-01-23#,117.66,118.59,117.42,118.43,"#N/A N/A"
#2002-01-24#,118.51,118.72,118.34,118.64,"#N/A N/A"
#2002-01-25#,118.54,119.99,118.44,119.85,"#N/A N/A"
#2002-01-28#,119.67,120.51,119.61,120.04,"#N/A N/A"
#2002-01-29#,119.92,120.13,119.43,119.62,"#N/A N/A"
#2002-01-30#,119.53,119.91,119.12,119.76,"#N/A N/A"
#2002-01-31#,119.67,120.38,119.41,120.21,"#N/A N/A"
#2002-02-01#,120.23,120.4,119.62,119.69,"#N/A N/A"
#2002-02-04#,119.7,119.93,118.75,118.95,"#N/A N/A"
#2002-02-05#,118.92,119.63,118.74,119.41,"#N/A N/A"
#2002-02-06#,119.4,119.79,119.12,119.52,"#N/A N/A"
#2002-02-07#,119.47,119.78,118.98,119.16,"#N/A N/A"
#2002-02-08#,119.15,119.22,118.78,118.98,"#N/A N/A"
#2002-02-11#,119.34,119.37,118.14,118.44,"#N/A N/A"
#2002-02-12#,118.42,118.63,118.1,118.25,"#N/A N/A"
#2002-02-13#,118.25,118.91,118.2,118.83,"#N/A N/A"
#2002-02-14#,118.85,119.03,118.34,118.4,"#N/A N/A"
#2002-02-15#,118.39,118.93,118.38,118.55,"#N/A N/A"
#2002-02-18#,118.53,118.84,118.66,118.81,"#N/A N/A"
#2002-02-19#,118.81,119.37,118.15,118.33,"#N/A N/A"
#2002-02-20#,118.38,119.1,118.09,118.93,"#N/A N/A"
#2002-02-21#,118.97,119.21,118.76,119.16,"#N/A N/A"
#2002-02-22#,119.01,119.25,118.26,118.48,"#N/A N/A"
#2002-02-25#,118.54,119.14,118.46,119.13,"#N/A N/A"
#2002-02-26#,119.1,120.04,118.79,119.82,"#N/A N/A"
#2002-02-27#,119.83,119.93,119.46,119.53,"#N/A N/A"
#2002-02-28#,119.52,119.79,119.06,119.16,"#N/A N/A"
#2002-03-01#,119.1,119.61,119.03,119.4,"#N/A N/A"
#2002-03-04#,119.47,119.49,118.6,118.81,"#N/A N/A"
#2002-03-05#,118.76,119.23,118.45,118.57,"#N/A N/A"
#2002-03-06#,118.55,118.8,117.85,117.96,"#N/A N/A"
#2002-03-07#,117.9,117.99,116.76,116.8,"#N/A N/A"
#2002-03-08#,117.09,118.13,117.04,117.99,"#N/A N/A"
#2002-03-11#,117.92,118.06,117.54,117.78,"#N/A N/A"
#2002-03-12#,117.79,118.43,117.65,117.8,"#N/A N/A"
#2002-03-13#,117.96,118.32,117.75,117.96,"#N/A N/A"
#2002-03-14#,118.04,118.07,117.05,117.29,"#N/A N/A"
#2002-03-15#,117.32,117.43,116.82,117.18,"#N/A N/A"
#2002-03-18#,117.29,117.87,117.28,117.46,"#N/A N/A"
#2002-03-19#,117.47,117.86,117.2,117.6,"#N/A N/A"
#2002-03-20#,117.6,117.94,117.09,117.22,"#N/A N/A"
#2002-03-21#,117.07,117.65,117.05,117.52,"#N/A N/A"
#2002-03-22#,117.44,118.24,117.41,118.05,"#N/A N/A"
#2002-03-25#,118.06,118.28,117.92,118.1,"#N/A N/A"
#2002-03-26#,118.13,118.54,117.77,118.14,"#N/A N/A"
#2002-03-27#,118.19,118.6,118.09,118.54,"#N/A N/A"
#2002-03-28#,118.55,118.8,118.33,118.62,"#N/A N/A"
#2002-03-29#,118.66,118.75,118.48,118.62,"#N/A N/A"
#2002-04-01#,118.58,118.75,117.62,117.77,"#N/A N/A"
#2002-04-02#,117.8,118.13,117.64,117.92,"#N/A N/A"
#2002-04-03#,117.9,118.08,117.44,117.68,"#N/A N/A"
#2002-04-04#,117.66,118.08,117.12,117.94,"#N/A N/A"
#2002-04-05#,117.92,118,117.47,117.69,"#N/A N/A"
#2002-04-08#,117.64,118.26,117.57,118.2,"#N/A N/A"
#2002-04-09#,118.19,118.35,117.52,117.56,"#N/A N/A"
#2002-04-10#,117.52,117.71,117.26,117.56,"#N/A N/A"
#2002-04-11#,117.52,117.8,117.18,117.37,"#N/A N/A"
#2002-04-12#,117.39,117.92,117.38,117.74,"#N/A N/A"
#2002-04-15#,117.55,117.79,117.04,117.73,"#N/A N/A"
#2002-04-16#,117.76,117.78,117.18,117.37,"#N/A N/A"
#2002-04-17#,117.33,117.38,116.53,116.6,"#N/A N/A"
#2002-04-18#,116.48,116.81,116.21,116.39,"#N/A N/A"
#2002-04-19#,116.36,116.68,116.19,116.29,"#N/A N/A"
#2002-04-22#,116.35,116.73,116.27,116.44,"#N/A N/A"
#2002-04-23#,116.43,116.78,116.38,116.57,"#N/A N/A"
#2002-04-24#,116.58,116.7,116.03,116.15,"#N/A N/A"
#2002-04-25#,116.1,116.19,115.32,115.45,"#N/A N/A"
#2002-04-26#,115.49,115.68,114.97,115.04,"#N/A N/A"
#2002-04-29#,115.2,115.2,114.72,114.89,"#N/A N/A"
#2002-04-30#,114.94,115.39,114.82,115.19,"#N/A N/A"
#2002-05-01#,115.22,115.34,114.25,114.54,"#N/A N/A"
#2002-05-02#,114.48,115.02,114.28,114.87,"#N/A N/A"
#2002-05-03#,114.83,114.93,113.5,113.59,"#N/A N/A"
#2002-05-06#,113.45,113.96,113.44,113.66,"#N/A N/A"
#2002-05-07#,113.54,114.31,113.39,113.92,"#N/A N/A"
#2002-05-08#,113.97,115.09,113.95,114.91,"#N/A N/A"
#2002-05-09#,114.97,115.06,114.27,114.52,"#N/A N/A"
#2002-05-10#,114.42,114.55,113.91,113.92,"#N/A N/A"
#2002-05-13#,113.93,114.37,113.64,114.15,"#N/A N/A"
#2002-05-14#,114.15,115.24,114.14,115.09,"#N/A N/A"
#2002-05-15#,115.04,115.32,114.03,114.12,"#N/A N/A"
#2002-05-16#,114.08,114.47,113.84,114.13,"#N/A N/A"
#2002-05-17#,114.18,114.2,112.91,113,"#N/A N/A"
#2002-05-20#,113.1,113.25,112.74,112.82,"#N/A N/A"
#2002-05-21#,112.93,113.38,112.66,112.8,"#N/A N/A"
#2002-05-22#,112.9,113.02,112.16,112.33,"#N/A N/A"
#2002-05-23#,112.32,113.17,112.18,112.79,"#N/A N/A"
#2002-05-24#,112.85,113.35,112.63,112.8,"#N/A N/A"
#2002-05-27#,112.9,112.94,112.73,112.82,"#N/A N/A"
#2002-05-28#,112.83,112.94,111.93,112.1,"#N/A N/A"
#2002-05-29#,112.17,112.29,111.43,111.62,"#N/A N/A"
#2002-05-30#,111.66,111.7,110.88,111.17,"#N/A N/A"
#2002-05-31#,111.32,112.17,110.99,111.81,"#N/A N/A"
#2002-06-03#,111.78,112.04,110.98,111.3,"#N/A N/A"
#2002-06-04#,110.99,111.25,110.62,111.09,"#N/A N/A"
#2002-06-05#,111.29,111.77,111.07,111.35,"#N/A N/A"
#2002-06-06#,111.33,111.9,110.67,110.83,"#N/A N/A"
#2002-06-07#,110.69,111.12,110.56,110.99,"#N/A N/A"
#2002-06-10#,111.12,111.47,110.66,111.1,"#N/A N/A"
#2002-06-11#,111.04,111.46,110.54,110.68,"#N/A N/A"
#2002-06-12#,110.71,111.17,110.5,111,"#N/A N/A"
#2002-06-13#,111.16,111.46,110.67,111.15,"#N/A N/A"
#2002-06-14#,111.05,111.18,110.26,110.76,"#N/A N/A"
#2002-06-17#,110.66,111.13,110.66,110.8,"#N/A N/A"
#2002-06-18#,110.8,110.87,110.1,110.2,"#N/A N/A"
#2002-06-19#,110.14,110.16,109.54,109.67,"#N/A N/A"
#2002-06-20#,109.61,109.8,108.68,108.94,"#N/A N/A"
#2002-06-21#,108.89,109.01,107.96,108.19,"#N/A N/A"
#2002-06-24#,108.06,108.47,107.25,108.2,"#N/A N/A"
#2002-06-25#,108.14,108.53,107.4,107.57,"#N/A N/A"
#2002-06-26#,107.37,107.42,105.89,106.56,"#N/A N/A"
#2002-06-27#,106.93,107.03,106.22,106.37,"#N/A N/A"
#2002-06-28#,106.38,106.84,105.37,106.11,"#N/A N/A"
#2002-07-01#,106.15,106.65,105.67,106.51,"#N/A N/A"
#2002-07-02#,106.16,107.22,106.12,106.8,"#N/A N/A"
#2002-07-03#,106.56,107.44,106.54,107.05,"#N/A N/A"
#2002-07-04#,107.08,107.44,106.98,107.19,"#N/A N/A"
#2002-07-05#,107.2,107.74,107.19,107.74,"#N/A N/A"
#2002-07-08#,107.69,107.75,106.16,106.21,"#N/A N/A"
#2002-07-09#,106.05,106.36,105.58,105.65,"#N/A N/A"
#2002-07-10#,105.8,106.38,105.44,106.08,"#N/A N/A"
#2002-07-11#,106.08,106.49,105.52,105.91,"#N/A N/A"
#2002-07-12#,106.07,106.25,105.66,105.89,"#N/A N/A"
#2002-07-15#,105.77,105.98,104.39,104.67,"#N/A N/A"
#2002-07-16#,104.87,104.88,103.94,104.49,"#N/A N/A"
#2002-07-17#,104.16,104.96,103.87,104.42,"#N/A N/A"
#2002-07-18#,104.57,104.98,104.33,104.47,"#N/A N/A"
#2002-07-19#,104.31,104.41,103.54,104.06,"#N/A N/A"
#2002-07-22#,104.36,104.87,104.1,104.75,"#N/A N/A"
#2002-07-23#,104.65,106.82,104.64,106.66,"#N/A N/A"
#2002-07-24#,106.31,106.51,105.39,105.52,"#N/A N/A"
#2002-07-25#,105.61,105.71,104.88,105.12,"#N/A N/A"
#2002-07-26#,104.84,106.69,104.73,106.61,"#N/A N/A"
#2002-07-29#,106.56,107.41,106.41,107.1,"#N/A N/A"
#2002-07-30#,107.04,107.34,106.37,106.8,"#N/A N/A"
#2002-07-31#,106.91,107.51,106.66,107.41,"#N/A N/A"
