"Date","Open","High","Low","Close","Volume"
#2007-01-01#,50.5,51.4,50.21,50.36,2645526
#2007-01-02#,50.5,51.4,50.21,50.36,2645526
#2007-01-03#,50.76,52.7,49.69,51.05,8245591
#2007-01-04#,51.65,53.98,51.5,53.67,7842604
#2007-01-05#,53.3,53.63,52.35,53.07,5808767
#2007-01-08#,53.2,53.21,52.01,52.88,2694865
#2007-01-09#,53.04,53.71,52.38,52.7,2146308
#2007-01-10#,52.62,53.88,52.3,53.68,2422751
#2007-01-11#,54.43,54.43,52.2,52.47,3771691
#2007-01-12#,52.35,52.41,51.28,51.76,5586504
#2007-01-15#,52.35,52.41,51.28,51.76,5586504
#2007-01-16#,51.91,52.27,50.85,50.97,3527780
#2007-01-17#,50.48,50.68,49.15,49.48,8711548
#2007-01-18#,50.49,50.8,50.04,50.1,6766284
#2007-01-19#,50.43,51.4,49.81,50.34,4773476
#2007-01-22#,50.49,50.5,48.73,49.47,4974931
#2007-01-23#,49.29,50.51,48.67,49.76,2851276
#2007-01-24#,49.91,50.78,49.8,50.34,3111705
#2007-01-25#,49.52,50.07,48.63,48.86,4129667
#2007-01-26#,49.15,49.28,47.96,48.22,5013252
#2007-01-29#,48.3,49.58,48.21,48.94,3231091
#2007-01-30#,49.65,49.78,48.83,49.31,3284964
#2007-01-31#,49.4,50.17,48.69,50,3367462
#2007-02-01#,50.82,51.11,50.25,50.54,7087866
#2007-02-02#,54.06,54.39,50.85,51.13,14154689
#2007-02-05#,50.41,50.54,49.61,50.04,4794931
#2007-02-06#,49.96,50.21,49.14,50.11,3811744
#2007-02-07#,50.25,50.81,49.5,50.11,3116045
#2007-02-08#,50.25,50.59,49.7,50.03,2365174
#2007-02-09#,50.25,50.25,49.46,49.48,2821684
#2007-02-12#,49.73,50.21,49.37,49.71,2217185
#2007-02-13#,49.54,50,49.33,49.92,1902486
#2007-02-14#,50,51.15,49.7,50.48,3212899
#2007-02-15#,50.27,50.4,49.7,50.11,2066572
#2007-02-16#,49.88,50.48,49.85,50.01,2467744
#2007-02-19#,49.88,50.48,49.85,50.01,2467744
#2007-02-20#,51.21,52.28,50.57,51.8,5224613
#2007-02-21#,52.8,52.9,51.4,52.55,4751843
#2007-02-22#,52.8395,53.17,52.43,53.04,3268721
#2007-02-23#,52.88,53.35,52.32,53.19,3029218
#2007-02-26#,53.49,53.8,51.65,51.96,3815079
#2007-02-27#,51.3,53.14,50.2,50.64,7187058
#2007-02-28#,50.305,51.32,50.1,50.42,3739733
#2007-03-01#,49.75,50.64,48.42,49.81,3823799
#2007-03-02#,49.28,49.96,49.09,49.1,3237156
#2007-03-05#,48.82,49.68,48.5,48.95,3185292
#2007-03-06#,49.27,49.9,48.7,49.64,3716673
#2007-03-07#,49.5,50.42,49.1,50.18,4567500
#2007-03-08#,50.5,51.26,49.95,50.32,3493459
#2007-03-09#,50.9,51.23,50.24,50.83,3054747
#2007-03-12#,50.79,51.54,50.7,50.99,1698784
#2007-03-13#,50.43,51.24,49.55,49.55,2973556
#2007-03-14#,49.5,50.24,49.03,50.23,2161087
#2007-03-15#,50.41,50.57,49.88,49.99,2240295
#2007-03-16#,49.72,49.81,48.74,48.92,4680895
#2007-03-19#,48.99,49.34,48.65,48.98,3046222
#2007-03-20#,48.95,49.47,48.77,49.33,1800979
#2007-03-21#,49.25,50.86,49.01,50.66,3318618
#2007-03-22#,50.99,50.99,49.66,50.26,3360949
#2007-03-23#,50.2,50.83,50.13,50.13,1553260
#2007-03-26#,49.97,50.4,49.3,50.34,2430247
#2007-03-27#,51.01,52.24,50.61,51.31,4300317
#2007-03-28#,50.81,52.03,50.81,51.79,3910539
#2007-03-29#,52.19,52.2,50.32,51.29,3633400
#2007-03-30#,51.3,51.3,50.12,50.36,2516558
#2007-04-02#,50.58,51.379,50.31,51.32,2553466
#2007-04-03#,51.45,52.18,51.26,51.43,2403547
#2007-04-04#,51.27,51.96,51.11,51.59,1628334
#2007-04-05#,51.38,52.05,51.28,51.94,1131075
#2007-04-06#,51.38,52.05,51.28,51.94,1131075
#2007-04-09#,52.21,52.24,51.49,51.5,1720040
#2007-04-10#,51.37,53,51.28,52.95,3305893
#2007-04-11#,52.9,53.4,52.66,53.07,3954771
#2007-04-12#,52.86,53.26,52.54,53.13,3100370
#2007-04-13#,52.81,53.55,52.66,53.44,3486370
#2007-04-16#,53.46,54.44,53.3632,53.91,2492530
#2007-04-17#,54,54.36,53.56,54.36,2878550
#2007-04-18#,54.22,54.67,53.6,54.26,3317312
#2007-04-19#,53.92,54.09,51.53,51.86,7470626
#2007-04-20#,51.95,52.25,51.01,51.81,5665143
#2007-04-23#,51.63,52.58,51.52,52.07,2480420
#2007-04-24#,52.43,52.8,51.9,52.23,3907077
#2007-04-25#,52.4,52.59,51.91,52.47,3198813
#2007-04-26#,51.92,52.5,51.736,52.35,2699695
#2007-04-27#,52.15,52.83,51.82,51.99,2467090
#2007-04-30#,51.9,52.03,50.39,50.41,3318189
#2007-05-01#,50.35,50.42,49.38,49.95,6025419
#2007-05-02#,50,51.74,49.954,51.38,5847398
#2007-05-03#,51.38,52.09,50.85,51.26,2895684
#2007-05-04#,51.62,52.1,51.36,51.65,2386597
#2007-05-07#,51.52,51.88,51.03,51.37,1730878
#2007-05-08#,51.79,52.94,51.3,52.94,6465996
#2007-05-09#,51.3,51.64,50.22,50.65,9404765
#2007-05-10#,50.5,50.65,49.6,49.9,4799475
#2007-05-11#,49.97,50.249,49.72,50.07,3040225
#2007-05-14#,50.35,50.85,49.57,49.77,3820766
#2007-05-15#,50.04,50.07,48.64,48.7,4926479
#2007-05-16#,48.869,49.34,48.48,49.14,5848181
#2007-05-17#,48.9,49.07,48.18,48.41,4254508
#2007-05-18#,48.45,49.1,48,48.58,4185217
#2007-05-21#,48.34,49.5,48.34,49.21,2295401
#2007-05-22#,49.27,49.43,48.61,48.95,3745098
#2007-05-23#,48.95,48.95,48.15,48.21,2707303
#2007-05-24#,48.01,48.15,46.27,46.62,8498935
#2007-05-25#,46.88,47.91,46.8,47.87,5137875
#2007-05-28#,46.88,47.91,46.8,47.87,5137875
#2007-05-29#,47.888,48.87,47.79,48.45,5314724
#2007-05-30#,48.01,49.44,47.86,49.33,4757058
#2007-05-31#,49.5,49.56,48.47,48.87,3430369
#2007-06-01#,48.95,49.28,48.4,48.44,2200421
#2007-06-04#,48.52,49.6799,48.15,49.51,3965068
#2007-06-05#,49.21,50.25,48.7,50.1,3971884
#2007-06-06#,49.9,50.5,49.68,50.22,4420108
#2007-06-07#,49.47,50.04,48.12,48.45,4595354
#2007-06-08#,48.03,49.31,48.02,49.13,3941248
#2007-06-11#,49.11,49.3,48.52,48.87,2906478
#2007-06-12#,48.76,48.8,47.73,47.83,4405412
#2007-06-13#,47.88,49.15,47.53,49.09,3177932
#2007-06-14#,48.99,49.67,48.86,49.06,2846795
#2007-06-15#,49.69,50.52,48.9,50.49,6378947
#2007-06-18#,50.2,50.41,49.669,49.71,2955367
#2007-06-19#,49.67,49.8,48.81,48.98,3749026
#2007-06-20#,49.14,49.14,47.95,48.01,4176342
#2007-06-21#,47.93,48.59,47.45,48,3956203
#2007-06-22#,48.25,48.85,48.01,48.57,2804977
#2007-06-25#,48.41,48.62,47.33,47.46,4287330
#2007-06-26#,47.56,47.82,47.17,47.54,4032050
#2007-06-27#,47.07,47.77,47,47.73,2188768
#2007-06-28#,47.49,48.11,47.49,47.6,2569010
#2007-06-29#,47.52,48.12,47.07,47.32,3089166
#2007-07-02#,47.95,48.59,47.69,48.17,2280726
#2007-07-03#,48.2,48.74,47.97,48.74,1340495
#2007-07-04#,48.2,48.74,47.97,48.74,1340495
#2007-07-05#,48.65,51.36,48.649,50.9,7021780
#2007-07-06#,50.3,51.11,50.09,50.9,3696203
#2007-07-09#,51.6,51.63,49.79,50.3501,4418562
#2007-07-10#,50.12,51.07,49.33,49.44,3852945
#2007-07-11#,49.45,49.78,49.01,49.6,3136102
#2007-07-12#,49.51,49.68,48.49,48.84,5694402
#2007-07-13#,48.6,49.09,48.07,48.25,3580654
#2007-07-16#,48.01,48.55,47.87,48.09,3169692
#2007-07-17#,48.09,49.57,48.02,49.47,4992344
#2007-07-18#,49.41,50.06,48.69,50.06,5284550
#2007-07-19#,50.06,52.23,50.06,52.02,7119429
#2007-07-20#,51.98,52.1,51.4,51.87,5012330
#2007-07-23#,51.92,52.6,51.71,51.85,2992498
#2007-07-24#,51.09,51.5254,50.44,50.94,5184180
#2007-07-25#,51.07,51.75,50.81,51.66,3380475
#2007-07-26#,50.83,51.15,49.76,50.65,5794665
#2007-07-27#,50.78,50.87,49.83,49.83,4630148
#2007-07-30#,49.74,50.18,49.24,49.61,3690603
#2007-07-31#,50.11,50.11,48.64,48.64,4069540
#2007-08-01#,48.53,49.55,47.54,48.1,6922600
#2007-08-02#,48.79,51.96,48.55,51.56,9785284
#2007-08-03#,51.85,52.3,49.98,50.04,5578287
#2007-08-06#,51.19,52.85,50.85,52.84,5557804
#2007-08-07#,52.86,54.57,51.87,54.18,5203583
