"Date","Open","High","Low","Close","Volume"
#2004-01-01#,43.23,43.33,43,43.01,642900
#2004-01-02#,43.06,43.19,42.87,42.98,1145200
#2004-01-05#,42.98,43.08,42.29,42.7,1703000
#2004-01-06#,42.55,42.71,42.31,42.68,888400
#2004-01-07#,42.68,42.9,42.6,42.9,1064900
#2004-01-08#,42.9,43.15,42.61,42.83,920400
#2004-01-09#,42.83,42.98,42.57,42.88,808500
#2004-01-12#,42.78,42.92,42.52,42.79,908000
#2004-01-13#,42.79,43.15,42.79,43.02,860800
#2004-01-14#,43.03,43.19,42.96,43.06,451900
#2004-01-15#,43.15,43.18,42.72,42.85,593700
#2004-01-16#,42.85,43.03,42.75,42.84,508800
#2004-01-19#,42.85,43.03,42.75,42.84,508800
#2004-01-20#,42.8,43.17,42.7,43.17,407100
#2004-01-21#,43.17,43.89,42.88,43.89,793300
#2004-01-22#,43.39,44.1,43.16,43.36,839000
#2004-01-23#,43.3,43.32,42.75,43.25,1426800
#2004-01-26#,43.25,43.25,42.48,42.64,1014000
#2004-01-27#,42.65,42.65,42.21,42.28,1434000
#2004-01-28#,42.45,43.52,42.35,43.4,2564500
#2004-01-29#,43.4,43.95,43,43.79,1572700
#2004-01-30#,43.8,43.86,43.49,43.83,1023300
#2004-02-02#,43.84,44.12,43.77,44.08,1303500
#2004-02-03#,44.08,44.49,43.95,44.47,1011700
#2004-02-04#,44.45,44.45,43.75,43.85,1631000
#2004-02-05#,44.25,44.3,43.54,43.57,1304700
#2004-02-06#,43.65,43.79,43.4,43.43,1102900
#2004-02-09#,42.5,43.77,42.45,42.96,1179900
#2004-02-10#,42.97,43.2,42.9,43.16,1212900
#2004-02-11#,43.2,43.63,42.9,43.63,1274900
#2004-02-12#,43.45,43.59,43.29,43.48,773600
#2004-02-13#,43.53,43.63,43.17,43.34,752000
#2004-02-16#,43.53,43.63,43.17,43.34,752000
#2004-02-17#,43.37,43.49,43.18,43.48,592700
#2004-02-18#,43.56,43.82,43.44,43.82,1069700
#2004-02-19#,44,44.2,43.94,44.14,1370300
#2004-02-20#,44.14,44.14,43.44,43.57,720300
#2004-02-23#,43.57,43.77,43.29,43.55,553500
#2004-02-24#,43.55,43.65,43.1,43.65,841100
#2004-02-25#,43.65,43.78,43.5,43.51,716100
#2004-02-26#,43.55,43.72,43.32,43.63,667000
#2004-02-27#,42.94,44.22,42.94,44.17,1507100
#2004-03-01#,44.17,44.63,44.02,44.47,746000
#2004-03-02#,44.55,44.95,44.25,44.55,988400
#2004-03-03#,44.63,44.78,44.22,44.64,855400
#2004-03-04#,44.56,44.86,44.47,44.72,692800
#2004-03-05#,44.77,44.9925,44.64,44.9,1009700
#2004-03-08#,44.91,45.01,44.65,44.69,625000
#2004-03-09#,44.64,44.64,44.22,44.46,1005200
#2004-03-10#,44.65,44.9,44.23,44.33,1056500
#2004-03-11#,44.22,44.61,43.57,43.57,1021500
#2004-03-12#,43.55,43.8,43.42,43.8,653900
#2004-03-15#,43.85,43.98,43.6,43.86,586500
#2004-03-16#,44.15,44.37,44,44.17,810100
#2004-03-17#,44.42,44.94,44.38,44.94,727200
#2004-03-18#,44.7,44.75,44.16,44.51,799700
#2004-03-19#,44.35,44.63,44.12,44.12,535500
#2004-03-22#,44.1,44.25,43.6,43.68,830800
#2004-03-23#,43.69,44.13,43.61,43.98,797600
#2004-03-24#,44.04,44.3,43.84,43.95,535300
#2004-03-25#,44.05,44.16,43.9,44.11,463100
#2004-03-26#,43.98,44.3,43.84,43.91,449800
#2004-03-29#,44.1,44.1,43.71,43.99,672900
#2004-03-30#,43.99,44.37,43.75,44.37,638300
#2004-03-31#,44.2,44.28,43.99,44.1,745800
#2004-04-01#,44.2,44.25,44.08,44.14,894400
#2004-04-02#,44.15,44.15,43.73,43.87,995600
#2004-04-05#,43.87,44.2,43.7,44.19,603300
#2004-04-06#,44.03,44.19,43.84,43.89,541200
#2004-04-07#,43.82,43.98,43.3,43.31,1283400
#2004-04-08#,43.32,43.5,43.05,43.4,702900
#2004-04-09#,43.32,43.5,43.05,43.4,702900
#2004-04-12#,43.23,43.48,42.62,42.71,1429700
#2004-04-13#,42.7,42.7,41.65,42.15,1751100
#2004-04-14#,42.05,42.28,41.64,41.9,1485400
#2004-04-15#,42.12,42.3,41.98,42.19,1196200
#2004-04-16#,42.19,42.37,42.07,42.33,956400
#2004-04-19#,42.15,42.2,41.91,42.03,523500
#2004-04-20#,41.95,42.3,41.69,41.69,676400
#2004-04-21#,41.75,41.94,41.4,41.74,867300
#2004-04-22#,41.75,42.71,41.44,42.37,1907400
