"Date","Open","High","Low","Close","Volume"
#2012-01-02#,37.88,38.14,37.86,37.94,33434305
#2012-01-03#,38.98,39.27,38.89,39.1,72559330
#2012-01-04#,38.74,38.97,38.6,38.882,46225621
#2012-01-05#,38.64,38.83,38.33,38.71,54383344
#2012-01-06#,38.67,38.67,38.2,38.225,50333046
#2012-01-09#,38.58,38.7,38.37,38.615,45818417
#2012-01-10#,39.5,39.68,39.36,39.458,59619910
#2012-01-11#,39.23,39.51,39.12,39.49,47747921
#2012-01-12#,39.69,39.75,39.38,39.65,43329957
#2012-01-13#,39.36,39.38,38.94,39.29,57208138
#2012-01-16#,39.36,39.38,38.94,39.29,57208138
#2012-01-17#,40.14,40.25,39.88,40.04,70478522
#2012-01-18#,40.25,41.07,40.15,41.05,72679711
#2012-01-19#,41.26,41.48,41.14,41.41,68479148
#2012-01-20#,41.31,41.49,41.12,41.38,43401381
#2012-01-23#,41.58,41.98,41.51,41.78,62224853
#2012-01-24#,41.4,41.84,41.23,41.835,39864793
#2012-01-25#,41.52,42.42,41.39,42.31,64939163
#2012-01-26#,42.61,42.76,41.98,42.14,68097871
#2012-01-27#,42.16,42.51,42.14,42.36,51984118
#2012-01-30#,41.51,41.89,41.35,41.75,43109826
#2012-01-31#,42.27,42.55,41.83,42.11,69525227
#2012-02-01#,42.75,43.25,42.67,43.045,82804242
#2012-02-02#,43.25,43.549,43.14,43.16,71522822
#2012-02-03#,43.73,43.94,43.48,43.88,72001272
#2012-02-06#,43.29,43.51,43.2,43.505,40208682
#2012-02-07#,43.31,43.68,43.04,43.6,47240315
#2012-02-08#,43.87,44.1,43.71,43.91,53168381
#2012-02-09#,43.971,44,43.61,43.89,44004414
#2012-02-10#,42.94,43,42.74,42.915,62255394
#2012-02-13#,43.63,43.665,43.29,43.615,47448778
#2012-02-14#,43.32,43.45,42.98,43.26,42653732
#2012-02-15#,43.78,43.79,43.28,43.38,51795385
#2012-02-16#,43.21,43.88,43.08,43.845,52445048
#2012-02-17#,44.01,44.1,43.78,43.93,50694369
#2012-02-20#,44.01,44.1,43.78,43.93,50694369
#2012-02-21#,44.05,44.08,43.68,43.75,46318450
#2012-02-22#,43.81,43.895,43.66,43.825,40181783
#2012-02-23#,43.74,43.852,43.49,43.75,36443722
#2012-02-24#,43.96,44.26,43.932,44.19,37876994
#2012-02-27#,43.57,43.91,43.38,43.75,42999296
#2012-02-28#,44.03,44.37,43.92,44.36,40977645
#2012-02-29#,44.64,44.91,44.21,44.33,72110402
#2012-03-01#,44.48,44.865,44.42,44.75,51045600
#2012-03-02#,44.6,44.75,44.42,44.64,32352394
#2012-03-05#,44.23,44.24,43.68,43.87,50657377
#2012-03-06#,42.75,42.8,42.22,42.405,103961384
#2012-03-07#,42.75,42.95,42.55,42.91,45234172
#2012-03-08#,43.57,43.89,43.4,43.81,40674391
#2012-03-09#,43.81,44.04,43.69,43.79,36487673
#2012-03-12#,43.49,43.55,43.15,43.31,31492209
#2012-03-13#,43.74,44.53,43.62,44.49,61339029
#2012-03-14#,44.26,44.37,43.675,43.79,59777877
#2012-03-15#,44.03,44.18,43.76,44.14,35061474
#2012-03-16#,44.07,44.25,43.931,44.09,36520074
#2012-03-19#,43.71,44.1,43.65,43.92,30002545
#2012-03-20#,43.16,43.274,42.9,43.16,53828804
#2012-03-21#,43.18,43.34,42.94,43.235,49696802
#2012-03-22#,42.81,42.84,42.38,42.58,73056194
#2012-03-23#,42.63,42.95,42.42,42.9,31696015
#2012-03-26#,43.18,43.67,43.1,43.655,67483850
#2012-03-27#,43.65,43.7,43.38,43.42,35628386
#2012-03-28#,43.21,43.3,42.51,42.69,55594249
#2012-03-29#,42.22,42.68,41.91,42.64,53901098
#2012-03-30#,43.05,43.06,42.63,42.945,48515730
#2012-04-02#,42.9,43.73,42.79,43.545,62062889
#2012-04-03#,43.61,43.75,43,43.29,58379333
#2012-04-04#,42.56,42.635,42.24,42.51,49772899
#2012-04-05#,42.52,43.85,42.5,42.74,45579532
#2012-04-06#,42.52,43.85,42.5,42.74,45579532
#2012-04-09#,42.09,42.31,41.97,42.11,42343170
#2012-04-10#,41.97,42.09,41.17,41.295,81354057
#2012-04-11#,41.88,42,41.64,41.735,45581359
#2012-04-12#,41.95,42.82,41.94,42.81,64008718
#2012-04-13#,42.58,42.7,42.045,42.16,64221088
#2012-04-16#,42.46,42.51,41.762,41.945,62839858
#2012-04-17#,42.17,42.53,41.98,42.43,51806548
#2012-04-18#,42.06,42.35,41.99,42.23,40456357
#2012-04-19#,42.15,42.48,41.82,42.045,42080919
#2012-04-20#,42.31,42.55,42.26,42.325,43456809
#2012-04-23#,41.57,41.61,41.07,41.52,63094133
#2012-04-24#,41.63,41.88,41.53,41.61,50571917
#2012-04-25#,41.95,42.01,41.729,41.985,45740356
#2012-04-26#,41.84,42.31,41.795,42.25,35723285
#2012-04-27#,42.275,42.4,42.05,42.31,37980403
#2012-04-30#,42.31,42.32,42.07,42.215,39795774
#2012-05-01#,42.25,42.88,42.14,42.5,37660548
#2012-05-02#,42.37,42.49,42.15,42.415,35379896
#2012-05-03#,42.44,42.47,41.91,42.1,45672483
#2012-05-04#,41.87,41.94,41.29,41.36,58481672
#2012-05-07#,41.29,41.57,41.24,41.51,44096261
#2012-05-08#,41.13,41.14,40.42,40.85,66821302
#2012-05-09#,40.11,40.6,39.87,40.32,86836649
#2012-05-10#,40.735,40.74,40.42,40.49,48343209
#2012-05-11#,40.01,40.52,39.93,39.965,56289922
#2012-05-14#,39.27,39.34,39.05,39.06,63050493
#2012-05-15#,39.09,39.23,38.57,38.72,61529086
#2012-05-16#,38.51,38.75,38.12,38.17,82694073
#2012-05-17#,38.15,38.23,37.61,37.65,74324866
#2012-05-18#,37.76,37.86,37.17,37.29,75162388
#2012-05-21#,37.5,38.24,37.46,38.18,62510033
#2012-05-22#,38.14,38.41,37.54,37.78,52848019
#2012-05-23#,37.385,37.55,36.69,37.52,72030282
#2012-05-24#,37.63,37.64,36.97,37.33,57707607
#2012-05-25#,37.18,37.365,37.05,37.15,47690727
#2012-05-28#,37.18,37.365,37.05,37.15,47690727
#2012-05-29#,38.145,38.36,37.87,38.2,71175713
#2012-05-30#,37.47,37.655,37.3,37.54,80092458
#2012-05-31#,37.605,37.89,37.22,37.7,66536864
#2012-06-01#,36.93,37.12,36.64,36.69,79957507
#2012-06-04#,36.75,36.99,36.57,36.85,57107128
#2012-06-05#,36.855,37.05,36.65,36.945,58858384
#2012-06-06#,37.36,38.08,37.35,38.025,55300733
#2012-06-07#,38.84,38.92,38.13,38.26,49636180
#2012-06-08#,37.69,37.99,37.55,37.93,39734288
#2012-06-11#,38.27,38.31,37.35,37.385,51801803
#2012-06-12#,37.91,38.19,37.725,38.16,54033563
#2012-06-13#,38.1,38.455,37.93,38.02,43926825
#2012-06-14#,37.97,38.42,37.77,38.285,46465242
#2012-06-15#,38.47,39,38.38,38.99,63027448
#2012-06-18#,38.74,39.17,38.64,39.07,37552800
#2012-06-19#,39.4,39.945,39.34,39.7,50142509
