"Date","Open","High","Low","Close","Volume"
#2016-01-01#,48.28,48.8,47.82,47.83,3326287
#2016-01-04#,47.32,47.34,46.52,47.3,4949326
#2016-01-05#,47.58,47.67,46.63,46.99,3656417
#2016-01-06#,46.29,46.66,45.92,46.45,5420434
#2016-01-07#,45.6,45.8,44.5299,44.61,6162036
#2016-01-08#,44.99,45.11,44.01,44.1,5405251
#2016-01-11#,44.18,44.36,43.25,43.8,4296700
#2016-01-12#,44.28,44.76,43.63,44.22,4136893
#2016-01-13#,44.57,44.73,43.16,43.26,4621868
#2016-01-14#,43.53,44.13,42.86,43.83,4280643
#2016-01-15#,42.7,43.3384,42.17,43.09,6386900
#2016-01-18#,42.7,43.3384,42.17,43.09,6386900
#2016-01-19#,43.61,43.7,42.555,43.14,4097019
#2016-01-20#,42.31,42.97,41.25,42.64,5907250
#2016-01-21#,42.35,43.39,41.79,42.94,4323754
#2016-01-22#,43.89,43.97,42.44,43.17,4686522
#2016-01-25#,42.99,43.1,42.18,42.29,4471399
#2016-01-26#,42.68,43.49,42.539,43.1,6502379
#2016-01-27#,43.11,44.31,42.68,43.38,7135309
#2016-01-28#,44.11,44.67,43.57,44.6,4906098
#2016-01-29#,44.77,45.98,44.62,45.98,7578033
#2016-02-01#,45.4,45.75,45.04,45.5,4527222
#2016-02-02#,45,47.19,44.84,45.84,6788710
#2016-02-03#,46.2,46.47,44.75,46.09,6058037
#2016-02-04#,46.32,48.29,46.2,46.87,7855602
#2016-02-05#,46.64,47.2,46.39,46.91,3919984
#2016-02-08#,46.45,47.3325,45.975,47.06,5171753
#2016-02-09#,46.5,47.31,46.2,46.91,4920223
#2016-02-10#,46.43,46.69,45.69,45.77,4447411
#2016-02-11#,44.85,45.81,44.7,45.43,4030491
#2016-02-12#,45.47,46.29,45.36,46.02,4250594
#2016-02-15#,45.47,46.29,45.36,46.02,4250594
#2016-02-16#,46.72,46.82,45.82,46.62,4602718
#2016-02-17#,47.05,48.21,46.98,47.76,3753605
#2016-02-18#,48.03,48.775,47.93,48.34,5215704
#2016-02-19#,48.19,48.31,47.61,48.06,4399689
#2016-02-22#,48.5,49.47,48.49,49.28,3814106
#2016-02-23#,49.21,49.57,48.34,48.46,2764917
#2016-02-24#,47.8,48.415,47.18,48.36,3140911
#2016-02-25#,48.38,48.65,47.915,48.63,2258649
#2016-02-26#,48.98,49.805,48.83,49.38,4070579
#2016-02-29#,49.4,49.52,48.8,48.83,4165403
#2016-03-01#,49.49,50.3246,49.15,49.97,2843581
#2016-03-02#,49.89,50.43,49.58,50.41,3561428
#2016-03-03#,50.41,50.845,50.25,50.79,2496690
#2016-03-04#,50.8,51.5,50.6296,51.26,3612025
#2016-03-07#,51.1,51.925,51,51.91,3122825
#2016-03-08#,51.44,51.9,50.64,50.73,5065566
#2016-03-09#,50.94,51.13,50,50.06,4737155
#2016-03-10#,50.52,50.63,49.8,50.55,4765455
#2016-03-11#,50.88,51.46,50.74,51.26,3484903
#2016-03-14#,50.9,51.42,50.86,51.24,2748806
#2016-03-15#,50.69,50.84,50.07,50.79,3040780
#2016-03-16#,51,51.6,50.63,51.45,3033689
#2016-03-17#,51.66,55.19,51.56,54.74,12089211
#2016-03-18#,54.95,55,54.22,54.64,12733228
#2016-03-21#,54.68,55.05,54.54,54.99,4917435
#2016-03-22#,54.6,55.54,54.5711,55.32,3535660
#2016-03-23#,54.98,55.08,54.44,54.6,3780532
#2016-03-24#,54.17,54.46,53.84,54.39,3722945
#2016-03-25#,54.17,54.46,53.84,54.39,3722945
#2016-03-28#,54.42,54.615,53.96,54.33,3011174
#2016-03-29#,54.09,54.53,53.63,54.45,3343595
#2016-03-30#,55,55.09,54.295,54.56,2225906
#2016-03-31#,54.54,54.71,54.135,54.38,2941383
#2016-04-01#,53.11,54.78,53.0303,54.75,3539413
#2016-04-04#,54.78,54.84,53.5565,54.11,4260681
#2016-04-05#,54.04,54.21,53.18,53.51,3198757
#2016-04-06#,53.74,53.75,52.6,53.22,4489591
#2016-04-07#,52.99,53.63,52.79,52.87,4587097
#2016-04-08#,53.49,54.4,53.37,53.84,3714528
#2016-04-11#,53.93,54.52,53.78,53.78,4324949
#2016-04-12#,53.87,54.9,53.79,54.53,3385152
#2016-04-13#,54.99,55.51,54.58,55.47,4258999
#2016-04-14#,55.74,55.74,54.97,55.07,2440289
#2016-04-15#,55.13,55.59,55.006,55.32,3483875
#2016-04-18#,54.82,55.36,54.45,55.22,3458904
#2016-04-19#,55.59,56.1,55.22,55.65,3705465
#2016-04-20#,55.92,55.99,55.03,55.07,3682504
#2016-04-21#,55.11,55.52,55.06,55.17,2719272
#2016-04-22#,55.35,55.9023,55.1,55.47,3579065
#2016-04-25#,55.4,55.63,55,55.31,3416365
#2016-04-26#,55.63,56.15,55.55,56.11,3170778
#2016-04-27#,56.23,56.82,55.96,56.29,4200641
#2016-04-28#,56.11,56.11,54.81,55.02,3572378
#2016-04-29#,54.94,55.3092,54.36,54.63,4193233
#2016-05-02#,54.5,55.27,54.2,55.21,4255697
#2016-05-03#,55.48,55.73,54.18,54.67,4960241
#2016-05-04#,54.3,54.47,52.37,52.78,5742425
#2016-05-05#,53.13,53.4,52.53,52.98,3993060
#2016-05-06#,52.95,53.385,52.66,53.31,2409610
#2016-05-09#,53.35,53.36,52.385,52.62,2938101
#2016-05-10#,52.77,53.52,52.65,53.5,2745039
#2016-05-11#,53.29,53.47,52.74,52.86,3624487
#2016-05-12#,53.21,53.44,52.58,52.91,2790479
#2016-05-13#,52.73,52.92,51.65,51.81,3276829
#2016-05-16#,52,52.98,51.96,52.81,4127317
#2016-05-17#,52.75,53.14,52.135,52.35,2802365
#2016-05-18#,51.92,52,50.54,50.8,6519118
#2016-05-19#,50.54,50.58,49.48,50.14,6088640
#2016-05-20#,50.45,50.85,50.35,50.65,2439042
#2016-05-23#,50.57,50.96,50.22,50.69,3818521
#2016-05-24#,50.84,51.3992,50.64,51.17,2461107
#2016-05-25#,51.28,52.25,51.18,52.09,2853278
#2016-05-26#,52.19,52.46,51.86,52.02,1857502
#2016-05-27#,52.19,52.2157,51.91,52.2,1663461
#2016-05-30#,52.19,52.2157,51.91,52.2,1663461
#2016-05-31#,52.23,52.4563,51.6,52.02,3519362
#2016-06-01#,51.79,52.18,51.34,52.16,2483264
#2016-06-02#,52.05,52.31,51.56,52.24,3189660
#2016-06-03#,52.18,52.34,51.5704,52.3,2543727
#2016-06-06#,52.56,53.54,52.48,53.48,3596856
#2016-06-07#,53.71,54.01,53.45,53.53,3272212
#2016-06-08#,53.75,54.04,53.48,53.82,3013630
#2016-06-09#,53.23,53.72,53.11,53.59,2946805
#2016-06-10#,53.26,53.32,52.285,52.73,3241062
#2016-06-13#,52.23,52.425,51.63,51.63,3720213
#2016-06-14#,51.6,52.075,51.5,52.02,2805089
#2016-06-15#,52.29,52.47,51.87,51.96,2456906
#2016-06-16#,51.56,52.25,51.11,52.12,2233784
#2016-06-17#,52.12,52.6,51.99,52.44,3628146
#2016-06-20#,53.29,53.87,53.27,53.36,3798051
#2016-06-21#,53.34,53.54,52.75,53.15,3120139
#2016-06-22#,52.79,53.035,52.485,52.59,3683962
#2016-06-23#,53.19,53.685,52.99,53.67,2650546
#2016-06-24#,51.94,52.1324,50.58,50.83,9501081
#2016-06-27#,50.38,50.4,48.4481,49.23,5972459
#2016-06-28#,50.01,50.02,49.105,49.73,5218965
#2016-06-29#,50.39,50.79,49.77,50.66,3314031
#2016-06-30#,50.9,52.16,50.71,52.16,4271712
#2016-07-01#,51.97,52.487,51.79,52.2,2732074
#2016-07-04#,51.97,52.487,51.79,52.2,2732074
#2016-07-05#,52.04,52.05,50.705,51.05,3098602
#2016-07-06#,51.73,51.86,50.5501,51.67,2743970
#2016-07-07#,51.75,52.45,51.74,52.37,4177929
#2016-07-08#,52.79,53.5,52.77,53.44,3703828
#2016-07-11#,53.7,54.155,53.52,53.89,3091739
#2016-07-12#,54.09,55.14,54.08,55.03,4558533
#2016-07-13#,55.2,55.27,54.78,55.23,3179288
#2016-07-14#,55.71,56.25,55.6,56.05,6207412
#2016-07-15#,56.17,56.27,55.78,56.23,4355413
#2016-07-18#,55.94,56.28,55.65,56.19,2976794
#2016-07-19#,56.03,56.355,55.9,56.34,2440471
#2016-07-20#,56.38,56.5,56.12,56.18,3672120
#2016-07-21#,56.18,56.4,55.381,55.49,3509403
#2016-07-22#,55.41,55.86,55.07,55.81,3575865
#2016-07-25#,55.7,55.79,55.42,55.61,2043152
#2016-07-26#,55.47,56.2,55.47,56.18,2072140
#2016-07-27#,56.4,56.72,55.84,56.04,3046767
#2016-07-28#,55.85,56.045,55.39,55.83,2354751
#2016-07-29#,55.77,56.035,55.21,55.9,4482421
#2016-08-01#,55.63,56,55.11,55.78,4359888
#2016-08-02#,53.88,54.09,52.95,53.03,7589188
#2016-08-03#,52.56,53.06,52.315,52.91,6769201
#2016-08-04#,52.96,53.46,52.85,53.03,3551905
#2016-08-05#,53.37,53.835,53.27,53.79,3000845
#2016-08-08#,54.11,55.05,54.0345,54.31,4468990
#2016-08-09#,54.45,54.8,54,54.33,3106533
#2016-08-10#,53.81,53.97,53.31,53.44,2529144
#2016-08-11#,53.67,54.11,53.51,54.03,2261245
#2016-08-12#,53.98,54.05,53.71,53.97,2251968
#2016-08-15#,54.06,54.84,54.06,54.71,2945170
#2016-08-16#,54.59,54.83,54.33,54.57,2073374
#2016-08-17#,54.68,54.995,54.5855,54.9,2160485
#2016-08-18#,54.74,54.845,54.39,54.67,2410720
#2016-08-19#,52.28,53.2,52.0728,52.98,8071575
#2016-08-22#,52.85,53.02,52.58,52.92,4287959
#2016-08-23#,53.15,54.06,53.05,53.98,4983321
#2016-08-24#,53.89,54.26,53.69,53.89,3320919
#2016-08-25#,53.64,54.11,53.51,54.09,2795540
#2016-08-26#,54.27,54.6,53.51,53.73,2614538
#2016-08-29#,53.73,54.05,53.58,53.73,2659710
#2016-08-30#,53.73,53.91,53.23,53.47,2228385
#2016-08-31#,53.36,53.4,52.6,52.68,4561458
#2016-09-01#,53.01,53.01,52.18,52.66,4259234
#2016-09-02#,52.99,53.16,52.75,52.91,2162276
