"Date","Open","High","Low","Close","Volume"
#2010-01-01#,49.41,49.875,48.65,48.65,1999228
#2010-01-04#,49.675,50.22,49.62,50.19,4109932
#2010-01-05#,49.505,50,48.895,49.575,4449868
#2010-01-06#,49.42,49.845,48.835,49.74,3650214
#2010-01-07#,49.445,49.525,48.72,49.275,4496644
#2010-01-08#,48.865,49.645,48.145,49.525,5911260
#2010-01-11#,49.79,49.905,48.51,49.07,3030656
#2010-01-12#,47.88,48.55,47.58,47.71,4477002
#2010-01-13#,47.59,49.08,47.025,48.88,4303598
#2010-01-14#,48.8375,49.355,48.725,49,3175628
#2010-01-15#,49,49.445,48.345,48.435,5931034
#2010-01-18#,49,49.445,48.345,48.435,5931034
#2010-01-19#,48.16,48.795,48.035,48.675,4412176
#2010-01-20#,47.91,48.265,47.625,48.165,4049566
#2010-01-21#,48.285,48.785,47.65,48.295,6386350
#2010-01-22#,48.135,48.595,46.885,47.025,5838070
#2010-01-25#,47.43,48.07,47.31,47.485,2796360
#2010-01-26#,46.98,47.535,46.22,46.57,3936664
#2010-01-27#,46.115,46.91,45.05,46.195,6554224
#2010-01-28#,46.505,46.67,44.785,45.755,5443144
#2010-01-29#,45.885,47.015,44.685,45.21,6351454
#2010-02-01#,45.63,47.83,45.625,47.775,4457488
#2010-02-02#,47.92,48.61,47.13,48.515,3776038
#2010-02-03#,48.08,49.1098,48.03,48.6,4281042
#2010-02-04#,47.885,48.02,46.39,46.45,4853100
#2010-02-05#,46.45,46.69,45.01,46.43,5978508
#2010-02-08#,46.27,46.875,45.445,45.79,4260554
#2010-02-09#,46.515,47.65,46.19,47.27,5327734
#2010-02-10#,45.315,45.495,43.39,44.12,15979508
#2010-02-11#,43.96,45.575,43.885,45.53,7156354
#2010-02-12#,44.74,45.62,44.3,45.49,5836968
#2010-02-15#,44.74,45.62,44.3,45.49,5836968
#2010-02-16#,46.325,46.935,46.135,46.41,5396328
#2010-02-17#,46.55,46.635,46.095,46.43,4310490
#2010-02-18#,46.21,47.41,46.0525,47.17,4983536
#2010-02-19#,46.935,47.52,46.495,47.32,3841086
#2010-02-22#,47.61,47.61,45.9,46.055,3793306
#2010-02-23#,45.7,45.975,44.8,44.955,4299838
#2010-02-24#,45.705,46.49,45.41,46.34,5405310
#2010-02-25#,45.33,46.665,44.975,46.61,3998730
#2010-02-26#,46.77,47.19,46.2,47.025,3510048
#2010-03-01#,47.235,47.775,47.115,47.325,4078302
#2010-03-02#,47.58,48.045,47.26,47.415,3815442
#2010-03-03#,47.73,48.16,47.39,47.91,4738474
#2010-03-04#,48.02,48.47,47.415,47.6,4888720
#2010-03-05#,47.975,48.735,47.63,48.69,5520188
#2010-03-08#,48.57,49.11,48.5,48.685,4479680
#2010-03-09#,48.26,49.64,48.26,49.025,5116742
#2010-03-10#,48.945,49.69,48.71,49.42,4033502
#2010-03-11#,49.31,49.595,48.69,48.89,4581890
#2010-03-12#,49.42,49.465,48.535,48.79,2114382
#2010-03-15#,48.66,48.745,47.679,48.445,3561462
#2010-03-16#,48.745,48.745,47.985,48.24,3621604
#2010-03-17#,48.385,48.77,47.625,47.905,5742226
#2010-03-18#,48.025,48.195,46.175,46.64,6340156
#2010-03-19#,46.91,47.18,45.17,45.85,8416268
#2010-03-22#,45.38,46.315,44.795,45.75,6130484
#2010-03-23#,45.865,47.125,45.755,47.07,5594708
#2010-03-24#,46.575,47.225,46.0475,46.285,4117774
#2010-03-25#,46.645,46.955,44.56,44.71,6803196
#2010-03-26#,44.835,44.835,43.765,44.795,7181548
#2010-03-29#,45.805,46.545,45.78,46.48,6187696
#2010-03-30#,46.46,46.845,46.11,46.67,4418570
#2010-03-31#,46.75,47.005,46.34,46.47,6341518
#2010-04-01#,47.015,47.805,47.005,47.79,4849610
#2010-04-02#,47.015,47.805,47.005,47.79,4849610
#2010-04-05#,48.08,49.065,47.8,48.885,6429154
#2010-04-06#,48.805,49.305,48.5488,48.69,5366348
#2010-04-07#,50.21,52.62,49.94,51.87,16481168
#2010-04-08#,51.965,53.89,51.87,53.48,14025676
#2010-04-09#,53.665,54.095,52.335,52.385,6304084
#2010-04-12#,52.29,53.65,51.955,53.59,6823580
#2010-04-13#,53.48,54.2008,52.585,53.69,7185650
#2010-04-14#,54.415,54.72,53.655,54.645,5540956
#2010-04-15#,54.69,55.475,54.35,55.25,4230800
#2010-04-16#,54.78,55.18,53.65,53.735,6579906
#2010-04-19#,53.23,54.2,53.15,53.995,5201436
#2010-04-20#,54.44,55.835,54.44,55.755,5422618
#2010-04-21#,55.655,56.11,55.225,55.935,3976956
#2010-04-22#,55.485,56.61,54.93,56.505,4489206
#2010-04-23#,56.075,56.93,55.535,56.86,5312766
#2010-04-26#,56.975,57.29,56.075,56.24,4169010
#2010-04-27#,56.025,56.52,54.175,54.315,4669522
#2010-04-28#,54.695,55.195,54.035,54.71,4351090
#2010-04-29#,55.095,55.805,54.595,55.63,4683050
#2010-04-30#,55.77,57.475,55.28,56.06,7072174
#2010-05-03#,56.41,57.45,55.52,56.78,5916950
#2010-05-04#,54.675,55.27,52.715,55.12,8398990
#2010-05-05#,54,54.47,52.135,52.585,6752716
#2010-05-06#,52.2,52.735,48.285,51.185,9516826
#2010-05-07#,50.91,52.28,49.465,50.42,7443410
#2010-05-10#,51.335,53.885,50.785,53.245,6382654
#2010-05-11#,52.49,52.705,51.925,52.37,7711526
#2010-05-12#,52.5,54.37,52.5,54.19,6905878
#2010-05-13#,54.055,55.055,53.8,54.04,5215522
#2010-05-14#,53.47,53.81,51.705,53.045,3995914
#2010-05-17#,53.08,53.645,50.48,51.615,6259072
#2010-05-18#,52.495,52.96,51.235,51.42,5912634
#2010-05-19#,51.26,52.115,49.795,51.115,5388892
#2010-05-20#,49.82,49.89,48.015,48.145,5676784
#2010-05-21#,47.19,50.33,46.64,50.295,8270338
#2010-05-24#,49.815,50.535,48.63,48.68,5724574
#2010-05-25#,46.75,49.465,46.715,49.355,6506958
#2010-05-26#,50.01,50.945,49.7,49.87,6588590
#2010-05-27#,50.985,53.36,50.725,53.255,8044136
#2010-05-28#,53.015,53.785,51.925,52.42,6427296
#2010-05-31#,53.015,53.785,51.925,52.42,6427296
#2010-06-01#,51.795,52.495,50.295,50.415,6682036
#2010-06-02#,51.05,53.9,50.435,53.875,8104600
#2010-06-03#,53.735,54.955,52.56,54.865,7267904
#2010-06-04#,53.9,55.295,50.965,51.495,12654026
#2010-06-07#,51.78,53.1,49.69,50.57,10244558
#2010-06-08#,51.255,52.895,50.55,52.68,8279242
#2010-06-09#,53.09,54.27,51.545,51.905,6417528
#2010-06-10#,52.91,54.435,52.91,54.385,6912954
#2010-06-11#,53.995,54.955,53.475,54.93,4578828
#2010-06-14#,55.47,56.08,54.32,54.475,6218608
#2010-06-15#,55.305,55.515,54.425,55.18,6059076
#2010-06-16#,54.72,55.71,54.365,55.195,3496980
#2010-06-17#,55.21,55.57,54.26,55.03,5131000
#2010-06-18#,55,55.275,54.49,55.11,6053572
#2010-06-21#,56,56.95,54.76,55.305,6071970
#2010-06-22#,55.305,55.675,52.9065,53.225,6003736
#2010-06-23#,53.285,53.96,52.63,53.42,5379912
#2010-06-24#,52.91,54.11,51.99,52.295,5616152
#2010-06-25#,53.12,54.985,52.305,54.89,14345960
#2010-06-28#,54.47,54.785,52.47,52.71,6190472
#2010-06-29#,51.665,51.88,49.765,50.12,8281008
#2010-06-30#,50.13,50.675,49.025,49.185,7376348
#2010-07-01#,49.26,49.99,47.89,49.54,6529704
#2010-07-02#,49.345,50.325,48.785,49.17,5203038
#2010-07-05#,49.345,50.325,48.785,49.17,5203038
#2010-07-06#,50.17,51.35,49.385,49.925,5190122
#2010-07-07#,50.06,51.91,49.615,51.9,5457688
#2010-07-08#,52.44,53.4,51.875,53.11,7048104
#2010-07-09#,52.945,53.445,52.125,52.785,3729734
#2010-07-12#,52.65,53.3,52.34,52.77,3225314
#2010-07-13#,53.495,54.16,53.255,53.405,5246418
#2010-07-14#,53.055,54.235,52.58,53.32,4206576
#2010-07-15#,53.5,53.5,51.965,53.095,4244314
#2010-07-16#,52.56,52.765,50.565,51.14,6213280
#2010-07-19#,51.34,51.76,50.335,51.005,4603446
#2010-07-20#,50.24,52.245,50.005,52.075,5762778
#2010-07-21#,52.265,52.32,50.765,51.21,4824978
#2010-07-22#,51.925,52.37,51.385,51.6,4220586
#2010-07-23#,51.395,51.605,50.295,51.165,4672274
#2010-07-26#,51.105,52.21,51.105,51.86,3420028
#2010-07-27#,51.93,51.97,49.555,50.28,6074918
#2010-07-28#,50.465,50.93,50.01,50.28,3330532
#2010-07-29#,50.865,51.01,49.735,50.29,3649412
#2010-07-30#,49.79,50.49,48.57,48.75,7647792
#2010-08-02#,49.655,51.425,49.53,51.255,5239144
#2010-08-03#,51.15,51.425,50.6,50.85,4207332
#2010-08-04#,51.03,51.875,50.76,51.5,3199008
#2010-08-05#,51.125,51.45,50.56,51.22,3538682
#2010-08-06#,48.225,49.865,47.625,49.63,13764834
#2010-08-09#,50.085,50.3,49.055,49.97,5257160
#2010-08-10#,49.4,50.705,49.245,50.35,9591306
#2010-08-11#,49.295,49.59,48.365,48.575,4957418
#2010-08-12#,47.695,48.93,47.515,47.68,5922210
#2010-08-13#,47.655,47.965,46.855,47.085,8138208
#2010-08-16#,46.745,47.095,46.055,47.045,5392772
#2010-08-17#,47.535,47.8,46.895,47.58,4893540
#2010-08-18#,47.385,47.5,45.98,46.675,6057136
#2010-08-19#,46.495,46.795,45.56,45.76,5907328
#2010-08-20#,45.63,45.85,45.215,45.71,5652270
#2010-08-23#,45.815,46.475,45.695,45.865,3983200
#2010-08-24#,45.15,45.24,43.77,44.305,7086380
#2010-08-25#,43.955,43.99,42.71,43.73,7513446
#2010-08-26#,44.04,44.51,43.09,43.31,4586108
#2010-08-27#,43.775,44.805,42.9,44.7,4312856
#2010-08-30#,44.62,44.965,43.765,43.78,4549616
#2010-08-31#,43.575,44.16,42.955,43.435,5759194
#2010-09-01#,44.14,45.03,43.645,44.97,6198174
#2010-09-02#,45.04,45.04,44.22,44.745,3262358
#2010-09-03#,45.165,45.69,44.895,45.165,4177644
