"Date","Open","High","Low","Close","Volume"
#2019-01-01#,95.57,95.87,92.11,92.33,31612912
#2019-01-02#,95.57,95.87,92.11,92.33,31612912
#2019-01-03#,95.57,95.87,92.11,92.33,31612912
#2019-01-04#,95.57,95.87,92.11,92.33,31612912
#2019-01-07#,95.57,95.87,92.11,92.33,31612912
#2019-01-08#,95.57,95.87,92.11,92.33,31612912
#2019-01-09#,95.57,95.87,92.11,92.33,31612912
#2019-01-10#,95.57,95.87,92.11,92.33,31612912
#2019-01-11#,95.57,95.87,92.11,92.33,31612912
#2019-01-14#,95.57,95.87,92.11,92.33,31612912
#2019-01-15#,95.57,95.87,92.11,92.33,31612912
#2019-01-16#,95.57,95.87,92.11,92.33,31612912
#2019-01-17#,95.57,95.87,92.11,92.33,31612912
#2019-01-18#,95.57,95.87,92.11,92.33,31612912
#2019-01-21#,95.57,95.87,92.11,92.33,31612912
#2019-01-22#,95.57,95.87,92.11,92.33,31612912
#2019-01-23#,95.57,95.87,92.11,92.33,31612912
#2019-01-24#,95.57,95.87,92.11,92.33,31612912
#2019-01-25#,95.57,95.87,92.11,92.33,31612912
#2019-01-28#,95.57,95.87,92.11,92.33,31612912
#2019-01-29#,95.57,95.87,92.11,92.33,31612912
#2019-01-30#,95.57,95.87,92.11,92.33,31612912
#2019-01-31#,95.57,95.87,92.11,92.33,31612912
#2019-02-01#,95.57,95.87,92.11,92.33,31612912
#2019-02-04#,95.57,95.87,92.11,92.33,31612912
#2019-02-05#,95.57,95.87,92.11,92.33,31612912
#2019-02-06#,95.57,95.87,92.11,92.33,31612912
#2019-02-07#,95.57,95.87,92.11,92.33,31612912
#2019-02-08#,95.57,95.87,92.11,92.33,31612912
#2019-02-11#,95.57,95.87,92.11,92.33,31612912
#2019-02-12#,95.57,95.87,92.11,92.33,31612912
#2019-02-13#,95.57,95.87,92.11,92.33,31612912
#2019-02-14#,95.57,95.87,92.11,92.33,31612912
#2019-02-15#,95.57,95.87,92.11,92.33,31612912
#2019-02-18#,95.57,95.87,92.11,92.33,31612912
#2019-02-19#,95.57,95.87,92.11,92.33,31612912
#2019-02-20#,95.57,95.87,92.11,92.33,31612912
#2019-02-21#,95.57,95.87,92.11,92.33,31612912
#2019-02-22#,95.57,95.87,92.11,92.33,31612912
#2019-02-25#,95.57,95.87,92.11,92.33,31612912
#2019-02-26#,95.57,95.87,92.11,92.33,31612912
#2019-02-27#,95.57,95.87,92.11,92.33,31612912
#2019-02-28#,95.57,95.87,92.11,92.33,31612912
#2019-03-01#,95.57,95.87,92.11,92.33,31612912
#2019-03-04#,95.57,95.87,92.11,92.33,31612912
#2019-03-05#,95.57,95.87,92.11,92.33,31612912
#2019-03-06#,95.57,95.87,92.11,92.33,31612912
#2019-03-07#,95.57,95.87,92.11,92.33,31612912
#2019-03-08#,95.57,95.87,92.11,92.33,31612912
#2019-03-11#,95.57,95.87,92.11,92.33,31612912
#2019-03-12#,95.57,95.87,92.11,92.33,31612912
#2019-03-13#,95.57,95.87,92.11,92.33,31612912
#2019-03-14#,95.57,95.87,92.11,92.33,31612912
#2019-03-15#,95.57,95.87,92.11,92.33,31612912
#2019-03-18#,95.57,95.87,92.11,92.33,31612912
#2019-03-19#,95.57,95.87,92.11,92.33,31612912
#2019-03-20#,95.57,95.87,92.11,92.33,31612912
#2019-03-21#,95.57,95.87,92.11,92.33,31612912
#2019-03-22#,95.57,95.87,92.11,92.33,31612912
#2019-03-25#,95.57,95.87,92.11,92.33,31612912
#2019-03-26#,95.57,95.87,92.11,92.33,31612912
#2019-03-27#,95.57,95.87,92.11,92.33,31612912
#2019-03-28#,95.57,95.87,92.11,92.33,31612912
#2019-03-29#,95.57,95.87,92.11,92.33,31612912
#2019-04-01#,95.57,95.87,92.11,92.33,31612912
#2019-04-02#,95.57,95.87,92.11,92.33,31612912
#2019-04-03#,95.57,95.87,92.11,92.33,31612912
#2019-04-04#,95.57,95.87,92.11,92.33,31612912
#2019-04-05#,95.57,95.87,92.11,92.33,31612912
#2019-04-08#,95.57,95.87,92.11,92.33,31612912
#2019-04-09#,95.57,95.87,92.11,92.33,31612912
#2019-04-10#,95.57,95.87,92.11,92.33,31612912
#2019-04-11#,95.57,95.87,92.11,92.33,31612912
#2019-04-12#,95.57,95.87,92.11,92.33,31612912
#2019-04-15#,95.57,95.87,92.11,92.33,31612912
#2019-04-16#,95.57,95.87,92.11,92.33,31612912
#2019-04-17#,95.57,95.87,92.11,92.33,31612912
#2019-04-18#,95.57,95.87,92.11,92.33,31612912
#2019-04-19#,95.57,95.87,92.11,92.33,31612912
#2019-04-22#,95.57,95.87,92.11,92.33,31612912
#2019-04-23#,95.57,95.87,92.11,92.33,31612912
#2019-04-24#,95.57,95.87,92.11,92.33,31612912
#2019-04-25#,95.57,95.87,92.11,92.33,31612912
#2019-04-26#,95.57,95.87,92.11,92.33,31612912
#2019-04-29#,95.57,95.87,92.11,92.33,31612912
#2019-04-30#,95.57,95.87,92.11,92.33,31612912
#2019-05-01#,95.57,95.87,92.11,92.33,31612912
#2019-05-02#,95.57,95.87,92.11,92.33,31612912
#2019-05-03#,95.57,95.87,92.11,92.33,31612912
#2019-05-06#,95.57,95.87,92.11,92.33,31612912
#2019-05-07#,95.57,95.87,92.11,92.33,31612912
#2019-05-08#,95.57,95.87,92.11,92.33,31612912
#2019-05-09#,95.57,95.87,92.11,92.33,31612912
#2019-05-10#,95.57,95.87,92.11,92.33,31612912
#2019-05-13#,95.57,95.87,92.11,92.33,31612912
#2019-05-14#,95.57,95.87,92.11,92.33,31612912
#2019-05-15#,95.57,95.87,92.11,92.33,31612912
#2019-05-16#,95.57,95.87,92.11,92.33,31612912
#2019-05-17#,95.57,95.87,92.11,92.33,31612912
#2019-05-20#,95.57,95.87,92.11,92.33,31612912
#2019-05-21#,95.57,95.87,92.11,92.33,31612912
#2019-05-22#,95.57,95.87,92.11,92.33,31612912
#2019-05-23#,95.57,95.87,92.11,92.33,31612912
#2019-05-24#,95.57,95.87,92.11,92.33,31612912
#2019-05-27#,95.57,95.87,92.11,92.33,31612912
