"Date","Open","High","Low","Close","Volume"
#2010-01-01#,32,32.025,31.795,31.81,1685290
#2010-01-04#,32.105,32.57,31.94,32.16,2347502
#2010-01-05#,32.225,32.225,31.615,31.97,2946532
#2010-01-06#,31.775,32.005,31.54,31.83,4187932
#2010-01-07#,31.685,32.32,31.615,32.3,2992882
#2010-01-08#,32.105,33.045,31.965,33.025,2768084
#2010-01-11#,33.06,34.65,33.06,34.535,5802264
#2010-01-12#,34.23,34.775,33.985,34.095,3667868
#2010-01-13#,34.13,34.5,33.865,34.445,3168742
#2010-01-14#,34.32,34.695,34.25,34.505,2061426
#2010-01-15#,34.515,34.56,33.845,33.875,3069522
#2010-01-18#,34.515,34.56,33.845,33.875,3069522
#2010-01-19#,34.035,35.075,34.035,34.9,4370918
#2010-01-20#,34.385,34.53,33.865,34.195,2905338
#2010-01-21#,34.07,34.395,33.24,33.37,3435362
#2010-01-22#,33.315,33.56,32.84,32.94,3770644
#2010-01-25#,33.965,34,32.245,32.29,8599888
#2010-01-26#,32.43,32.62,31.79,32.065,4987686
#2010-01-27#,32.06,32.23,30.955,31.66,6130500
#2010-01-28#,31.855,31.855,31,31.265,3252974
#2010-01-29#,31.4,31.59,30.5455,30.62,4108100
#2010-02-01#,30.82,32.225,30.74,32.185,5818636
#2010-02-02#,32.1,32.61,32.04,32.575,3712074
#2010-02-03#,32.48,32.87,32.31,32.385,2240836
#2010-02-04#,31.84,31.84,30.905,30.96,3923480
#2010-02-05#,30.9,31.225,30.415,31,4306854
#2010-02-08#,31.105,31.6,30.825,30.99,4361842
#2010-02-09#,31.375,32.205,31.065,31.93,5204758
#2010-02-10#,31.965,32.115,31.455,31.765,2352688
#2010-02-11#,31.74,32.455,31.5,32.42,2612680
#2010-02-12#,31.98,32.61,31.635,32.51,3581792
#2010-02-15#,31.98,32.61,31.635,32.51,3581792
#2010-02-16#,32.91,33.385,32.47,33.32,3749784
#2010-02-17#,33.43,33.71,33.065,33.52,3524342
#2010-02-18#,33.49,33.91,33.445,33.805,2185372
#2010-02-19#,33.735,34.01,33.57,33.86,3417776
#2010-02-22#,34.035,34.035,33.605,33.715,2424842
#2010-02-23#,33.655,33.86,33.06,33.185,2576890
#2010-02-24#,33.215,33.52,33.11,33.405,2153618
#2010-02-25#,32.715,33.52,32.2901,33.475,4099592
#2010-02-26#,33.9,34.65,33.565,34.06,4776016
#2010-03-01#,34.07,35,34.045,35,3980758
#2010-03-02#,35.225,35.345,34.905,35.01,2890168
#2010-03-03#,35.925,36.29,35.5,35.77,4760932
#2010-03-04#,35.825,36.125,35.48,35.77,4150426
#2010-03-05#,36.32,36.675,36.065,36.57,3531764
#2010-03-08#,36.65,36.69,36.205,36.3,1560086
#2010-03-09#,36.205,36.39,36.005,36.21,2566124
#2010-03-10#,36.39,36.405,35.955,36.23,3626982
#2010-03-11#,36.165,36.27,35.65,36.27,3034998
#2010-03-12#,36.51,37.21,36.51,37.21,4880410
#2010-03-15#,37.225,37.315,36.625,36.98,2474078
#2010-03-16#,37.06,37.36,36.945,37.285,1813532
#2010-03-17#,37.35,37.865,37.195,37.45,2647328
#2010-03-18#,37.425,37.7125,37.29,37.55,1321674
#2010-03-19#,37.655,37.985,36.97,37.075,4379648
#2010-03-22#,36.78,37.925,36.72,37.83,3088030
#2010-03-23#,37.965,38.205,37.62,38.16,2793850
#2010-03-24#,38.14,38.14,37.37,37.41,2633120
#2010-03-25#,37.76,37.871,37.17,37.23,3441808
#2010-03-26#,37.32,37.65,37.0368,37.285,2520886
#2010-03-29#,37.425,38.105,37.425,38.045,2686038
#2010-03-30#,38.165,38.47,38.015,38.21,2243308
#2010-03-31#,38.17,38.25,37.765,37.885,2522238
#2010-04-01#,38.105,38.435,37.84,38.025,2888412
#2010-04-02#,38.105,38.435,37.84,38.025,2888412
#2010-04-05#,38.055,38.655,38.055,38.445,2395746
#2010-04-06#,38.405,38.87,38.1425,38.83,2558220
#2010-04-07#,38.64,39.435,38.64,39.22,6604910
#2010-04-08#,39.07,39.48,38.73,39.245,5373242
#2010-04-09#,39.35,40.335,39.35,40.105,5262876
#2010-04-12#,40.105,40.455,39.875,39.965,4460612
#2010-04-13#,39.775,39.895,39.355,39.69,4362036
#2010-04-14#,39.9,40.02,39.56,39.955,3437872
#2010-04-15#,39.95,40.6,39.8325,40.16,3450516
