"Date","Open","High","Low","Close","Volume"
#2016-01-01#,1.0862,1.0867,1.0854,1.0856,"#N/A N/A"
#2016-01-04#,1.0858,1.0946,1.0781,1.0831,"#N/A N/A"
#2016-01-05#,1.0831,1.0839,1.0711,1.0748,"#N/A N/A"
#2016-01-06#,1.0748,1.0799,1.0716,1.0781,"#N/A N/A"
#2016-01-07#,1.0781,1.094,1.0771,1.0932,"#N/A N/A"
#2016-01-08#,1.0932,1.0934,1.0803,1.0922,"#N/A N/A"
#2016-01-11#,1.0909,1.097,1.0848,1.0859,"#N/A N/A"
#2016-01-12#,1.0859,1.09,1.082,1.0858,"#N/A N/A"
#2016-01-13#,1.0858,1.0888,1.0805,1.0877,"#N/A N/A"
#2016-01-14#,1.0877,1.0943,1.0835,1.0865,"#N/A N/A"
#2016-01-15#,1.0865,1.0985,1.0855,1.0916,"#N/A N/A"
#2016-01-18#,1.0919,1.0942,1.0869,1.0892,"#N/A N/A"
#2016-01-19#,1.0892,1.0939,1.086,1.0908,"#N/A N/A"
#2016-01-20#,1.0908,1.0976,1.0877,1.089,"#N/A N/A"
#2016-01-21#,1.089,1.0921,1.0778,1.0874,"#N/A N/A"
#2016-01-22#,1.0874,1.0877,1.0789,1.0796,"#N/A N/A"
#2016-01-25#,1.08,1.0857,1.079,1.0849,"#N/A N/A"
#2016-01-26#,1.0849,1.0874,1.0819,1.087,"#N/A N/A"
#2016-01-27#,1.087,1.0917,1.0851,1.0893,"#N/A N/A"
#2016-01-28#,1.0893,1.0968,1.087,1.094,"#N/A N/A"
#2016-01-29#,1.094,1.0949,1.081,1.0831,"#N/A N/A"
#2016-02-01#,1.0834,1.0913,1.0815,1.0888,"#N/A N/A"
#2016-02-02#,1.0888,1.094,1.0886,1.0919,"#N/A N/A"
#2016-02-03#,1.0919,1.1146,1.0904,1.1105,"#N/A N/A"
#2016-02-04#,1.1105,1.1239,1.107,1.1209,"#N/A N/A"
#2016-02-05#,1.1209,1.1246,1.1109,1.1158,"#N/A N/A"
#2016-02-08#,1.1158,1.1216,1.1087,1.1193,"#N/A N/A"
#2016-02-09#,1.1193,1.1338,1.1162,1.1293,"#N/A N/A"
#2016-02-10#,1.1293,1.1311,1.1161,1.1292,"#N/A N/A"
#2016-02-11#,1.1292,1.1376,1.1274,1.1323,"#N/A N/A"
#2016-02-12#,1.1323,1.1334,1.1214,1.1256,"#N/A N/A"
#2016-02-15#,1.1261,1.1261,1.1128,1.1156,"#N/A N/A"
#2016-02-16#,1.1156,1.1193,1.1124,1.1144,"#N/A N/A"
#2016-02-17#,1.1144,1.1179,1.1106,1.1128,"#N/A N/A"
#2016-02-18#,1.1128,1.115,1.1071,1.1107,"#N/A N/A"
#2016-02-19#,1.1107,1.1139,1.1067,1.113,"#N/A N/A"
#2016-02-22#,1.1124,1.1135,1.1003,1.103,"#N/A N/A"
#2016-02-23#,1.103,1.1053,1.099,1.102,"#N/A N/A"
#2016-02-24#,1.102,1.1046,1.0957,1.1013,"#N/A N/A"
#2016-02-25#,1.1013,1.105,1.0987,1.1018,"#N/A N/A"
#2016-02-26#,1.1018,1.1068,1.0912,1.0934,"#N/A N/A"
#2016-02-29#,1.0932,1.0963,1.0859,1.0873,"#N/A N/A"
#2016-03-01#,1.0873,1.0894,1.0834,1.0868,"#N/A N/A"
#2016-03-02#,1.0868,1.0881,1.0826,1.0868,"#N/A N/A"
#2016-03-03#,1.0868,1.0973,1.0854,1.0957,"#N/A N/A"
#2016-03-04#,1.0957,1.1043,1.0904,1.1005,"#N/A N/A"
#2016-03-07#,1.101,1.1026,1.094,1.1014,"#N/A N/A"
#2016-03-08#,1.1014,1.1058,1.0994,1.1011,"#N/A N/A"
#2016-03-09#,1.1011,1.1035,1.0946,1.0999,"#N/A N/A"
#2016-03-10#,1.0999,1.1218,1.0822,1.1177,"#N/A N/A"
#2016-03-11#,1.1178,1.121,1.108,1.1156,"#N/A N/A"
#2016-03-14#,1.1151,1.1176,1.1078,1.1103,"#N/A N/A"
#2016-03-15#,1.1103,1.1125,1.1072,1.1109,"#N/A N/A"
#2016-03-16#,1.1109,1.1242,1.1058,1.1224,"#N/A N/A"
#2016-03-17#,1.1224,1.1342,1.1206,1.1318,"#N/A N/A"
#2016-03-18#,1.1318,1.1337,1.1256,1.127,"#N/A N/A"
#2016-03-21#,1.1273,1.1288,1.1235,1.1241,"#N/A N/A"
#2016-03-22#,1.1241,1.126,1.1189,1.1217,"#N/A N/A"
#2016-03-23#,1.1217,1.1224,1.116,1.1181,"#N/A N/A"
#2016-03-24#,1.1181,1.1188,1.1144,1.1174,"#N/A N/A"
#2016-03-25#,1.1175,1.1181,1.1154,1.1167,"#N/A N/A"
#2016-03-28#,1.1164,1.122,1.1153,1.1196,"#N/A N/A"
#2016-03-29#,1.1196,1.1303,1.1169,1.1291,"#N/A N/A"
#2016-03-30#,1.1291,1.1365,1.1284,1.1338,"#N/A N/A"
#2016-03-31#,1.1338,1.1412,1.131,1.138,"#N/A N/A"
#2016-04-01#,1.138,1.1438,1.1335,1.1391,"#N/A N/A"
#2016-04-04#,1.1393,1.1413,1.1358,1.1391,"#N/A N/A"
#2016-04-05#,1.1391,1.1405,1.1336,1.1384,"#N/A N/A"
#2016-04-06#,1.1384,1.1432,1.1327,1.1399,"#N/A N/A"
#2016-04-07#,1.1399,1.1454,1.1338,1.1378,"#N/A N/A"
#2016-04-08#,1.1378,1.1419,1.1349,1.1399,"#N/A N/A"
#2016-04-11#,1.14,1.1447,1.1372,1.1408,"#N/A N/A"
#2016-04-12#,1.1408,1.1465,1.1346,1.1386,"#N/A N/A"
#2016-04-13#,1.1386,1.1391,1.1268,1.1274,"#N/A N/A"
#2016-04-14#,1.1274,1.1295,1.1234,1.1268,"#N/A N/A"
#2016-04-15#,1.1268,1.1317,1.1246,1.1284,"#N/A N/A"
#2016-04-18#,1.1309,1.1332,1.1274,1.1313,"#N/A N/A"
#2016-04-19#,1.1313,1.1385,1.1304,1.1358,"#N/A N/A"
#2016-04-20#,1.1358,1.1388,1.1291,1.1297,"#N/A N/A"
#2016-04-21#,1.1297,1.1398,1.127,1.1288,"#N/A N/A"
#2016-04-22#,1.1288,1.1309,1.1218,1.1222,"#N/A N/A"
#2016-04-25#,1.1235,1.1278,1.1217,1.1268,"#N/A N/A"
#2016-04-26#,1.1268,1.134,1.1256,1.1297,"#N/A N/A"
#2016-04-27#,1.1298,1.1362,1.1272,1.1322,"#N/A N/A"
#2016-04-28#,1.1322,1.1368,1.1296,1.1352,"#N/A N/A"
#2016-04-29#,1.1352,1.1459,1.1348,1.1451,"#N/A N/A"
#2016-05-02#,1.1449,1.1536,1.1431,1.1534,"#N/A N/A"
#2016-05-03#,1.1534,1.1616,1.1496,1.1496,"#N/A N/A"
#2016-05-04#,1.1496,1.1529,1.1467,1.1487,"#N/A N/A"
#2016-05-05#,1.1487,1.1494,1.1386,1.1405,"#N/A N/A"
#2016-05-06#,1.1405,1.1479,1.1387,1.1404,"#N/A N/A"
#2016-05-09#,1.1402,1.142,1.1376,1.1383,"#N/A N/A"
#2016-05-10#,1.1383,1.141,1.1359,1.1372,"#N/A N/A"
#2016-05-11#,1.1372,1.1447,1.1369,1.1426,"#N/A N/A"
#2016-05-12#,1.1426,1.1429,1.1371,1.1377,"#N/A N/A"
#2016-05-13#,1.1377,1.138,1.1283,1.1309,"#N/A N/A"
#2016-05-16#,1.1307,1.1342,1.1302,1.1321,"#N/A N/A"
#2016-05-17#,1.1321,1.1349,1.1302,1.1313,"#N/A N/A"
#2016-05-18#,1.1313,1.1316,1.1214,1.1216,"#N/A N/A"
#2016-05-19#,1.1216,1.123,1.118,1.1203,"#N/A N/A"
