"Date","Open","High","Low","Close","Volume"
#2009-01-01#,13.678,14.383,13.678,13.738,1596740
#2009-01-02#,13.573,14.065,13.513,13.998,1686668
#2009-01-05#,13.985,14.05,13.543,13.73,1653776
#2009-01-06#,13.755,13.82,13.57,13.695,2138256
#2009-01-07#,13.495,13.923,13.48,13.743,1439040
#2009-01-08#,13.678,13.963,13.64,13.863,2515856
#2009-01-09#,13.863,14.085,13.658,13.915,2738848
#2009-01-12#,13.915,13.998,13.633,13.723,1378748
#2009-01-13#,13.74,13.863,13.645,13.758,2217116
#2009-01-14#,13.608,13.935,13.608,13.883,2290336
#2009-01-15#,13.883,14.275,13.793,14.15,3245768
#2009-01-16#,14.36,14.465,14.208,14.33,2038332
#2009-01-19#,14.36,14.465,14.208,14.33,2038332
#2009-01-20#,14.25,14.443,13.815,13.82,3400212
#2009-01-21#,13.913,14.25,13.886,14.23,1838164
#2009-01-22#,14.075,14.288,13.89,14.188,2446968
#2009-01-23#,14.055,14.265,13.903,14.215,1437608
#2009-01-26#,14.25,14.45,14.238,14.27,1395160
#2009-01-27#,14.36,14.625,14.325,14.493,1568352
#2009-01-28#,14.625,14.625,14.248,14.383,2050508
#2009-01-29#,14.32,14.495,14.293,14.39,1753452
#2009-01-30#,14.47,14.528,14.325,14.373,1598240
#2009-02-02#,14.265,14.45,14.24,14.33,2440032
#2009-02-03#,14.328,14.483,14.145,14.35,2491348
#2009-02-04#,14.4,15.09,14.163,15.003,4132236
#2009-02-05#,14.875,15.103,14.825,15.035,2394652
#2009-02-06#,14.998,15.3,14.92,15.275,2172660
#2009-02-09#,15.28,15.495,15.128,15.45,2058392
#2009-02-10#,15.323,15.44,15.18,15.275,2057764
#2009-02-11#,15.298,15.495,15.18,15.423,1841684
#2009-02-12#,15.255,15.53,15.155,15.523,1658472
#2009-02-13#,15.475,15.795,15.39,15.733,2086772
#2009-02-16#,15.475,15.795,15.39,15.733,2086772
#2009-02-17#,15.435,15.555,15.125,15.433,2463832
#2009-02-18#,15.465,15.59,15.25,15.37,2619652
#2009-02-19#,15.448,15.485,15.313,15.395,1917472
#2009-02-20#,15.19,15.508,14.953,15.275,2192800
#2009-02-23#,15.383,15.41,14.435,14.538,5389592
#2009-02-24#,14.633,15.068,14.63,15.028,3015596
#2009-02-25#,15.018,15.135,14.895,14.918,2774412
#2009-02-26#,15,15.123,14.423,14.483,2670128
#2009-02-27#,13.875,14.358,13.758,13.903,4072984
#2009-03-02#,13.698,13.768,13.31,13.33,2710904
#2009-03-03#,13.388,13.525,13.238,13.28,3880108
#2009-03-04#,13.433,13.82,13.28,13.63,3153164
#2009-03-05#,13.465,13.69,13.215,13.35,2259880
#2009-03-06#,13.47,13.733,13.35,13.723,3345496
#2009-03-09#,13.58,13.718,13.513,13.64,2602680
#2009-03-10#,13.763,13.966,13.733,13.93,2161448
#2009-03-11#,13.845,14.15,13.845,14.063,3094636
#2009-03-12#,14.03,14.81,14.025,14.768,3782448
#2009-03-13#,14.813,15.385,14.813,15.35,3036904
#2009-03-16#,15.478,15.478,15.123,15.153,3567368
#2009-03-17#,15.098,15.413,15,15.413,1927932
#2009-03-18#,15.378,15.683,15.35,15.45,2166932
#2009-03-19#,15.64,15.698,15.25,15.345,1792760
