"Date","Open","High","Low","Close","Volume"
#2007-01-01#,25.8,25.8,25.22,25.32,118800
#2007-01-02#,25.8,25.8,25.22,25.32,118800
#2007-01-03#,25.19,25.29,24.67,24.75,548300
#2007-01-04#,24.3,24.65,24.3,24.35,734200
#2007-01-05#,24.72,24.72,24.1356,24.27,483700
#2007-01-08#,24.65,24.65,24.11,24.11,357300
#2007-01-09#,24,24.29,24,24.16,236700
#2007-01-10#,23.53,24.21,23.53,24.13,359400
#2007-01-11#,24.61,24.61,24.1,24.24,260300
#2007-01-12#,24.09,24.79,24.09,24.78,235600
#2007-01-15#,24.09,24.79,24.09,24.78,235600
#2007-01-16#,24.3,24.92,24.3,24.44,854600
#2007-01-17#,24.73,24.77,24.54,24.7,230100
#2007-01-18#,24.42,24.89,24.42,24.43,1514800
#2007-01-19#,24.28,24.79,24.28,24.77,279000
#2007-01-22#,24.63,24.7699,24.46,24.49,300700
#2007-01-23#,24.24,25,24.24,24.98,368900
#2007-01-24#,24.91,25.3,24.86,25.23,885900
#2007-01-25#,25.27,25.27,24.94,24.97,1239600
#2007-01-26#,25.02,25.49,25.02,25.15,187100
#2007-01-29#,25.13,25.19,24.95,24.98,151800
#2007-01-30#,25.08,25.25,24.99,25.25,233200
#2007-01-31#,25.18,25.42,25.06,25.34,440600
#2007-02-01#,25.39,25.62,25.39,25.52,229100
#2007-02-02#,25.32,25.49,25.32,25.36,223400
#2007-02-05#,25.23,25.5,25.2,25.47,262700
#2007-02-06#,25.48,25.68,25.4101,25.55,593300
#2007-02-07#,25.56,25.61,25.3,25.44,411100
#2007-02-08#,25.02,25.57,25.02,25.57,200600
#2007-02-09#,25.59,25.77,25.49,25.53,148700
#2007-02-12#,25.38,25.61,25.32,25.43,611583
#2007-02-13#,25.58,25.9,25.48,25.9,740136
#2007-02-14#,25.93,26.09,25.89,25.95,151322
#2007-02-15#,26.05,26.18,25.96,26.18,130000
#2007-02-16#,26.21,26.23,26.1084,26.21,120500
#2007-02-19#,26.21,26.23,26.1084,26.21,120500
#2007-02-20#,26.06,26.06,25.89,26.02,409600
#2007-02-21#,26.43,26.43,26.0484,26.3,235100
#2007-02-22#,26.3,26.38,26.05,26.2222,222700
#2007-02-23#,26.37,26.44,26.25,26.28,276000
#2007-02-26#,26.75,26.75,26.37,26.42,261940
#2007-02-27#,26.28,26.28,25.35,25.49,650100
#2007-02-28#,26.02,26.02,25.25,25.49,238900
#2007-03-01#,24.87,25.46,24.7,25.25,683128
#2007-03-02#,25.24,25.32,24.87,24.88,572700
#2007-03-05#,24.65,24.94,24.01,24.62,512700
#2007-03-06#,24.75,25.09,24.75,24.97,263100
#2007-03-07#,24.83,25.25,24.83,25.15,476600
#2007-03-08#,25.69,25.69,25.2,25.27,255400
#2007-03-09#,25.43,25.546,25.32,25.48,218000
#2007-03-12#,26.38,26.38,25.41,25.41,178900
#2007-03-13#,25.54,25.62,24.86,24.86,395800
#2007-03-14#,24.81,25,24.58,24.94,325500
#2007-03-15#,25.07,25.16,24.9754,25.06,308600
#2007-03-16#,25.06,25.26,24.85,24.96,541600
#2007-03-19#,24.46,25.36,24.46,25.23,324600
#2007-03-20#,25.57,25.69,25.43,25.6,437700
#2007-03-21#,25.57,26.08,25.57,26.03,372200
#2007-03-22#,26.43,26.43,25.9,25.96,309000
#2007-03-23#,26.26,26.26,25.95,26.1,278500
#2007-03-26#,26.41,26.41,25.95,26.18,188400
#2007-03-27#,26.3,26.44,26.07,26.11,132900
#2007-03-28#,25.91,26.2,25.91,26.04,420800
#2007-03-29#,26.11,26.34,26.06,26.22,226800
#2007-03-30#,26.43,26.43,26.02,26.15,257200
#2007-04-02#,26.26,26.85,25.83,26.35,185600
#2007-04-03#,26.16,26.65,26.16,26.44,491800
#2007-04-04#,26.67,26.67,26.34,26.58,393600
#2007-04-05#,26.7,26.85,26.65,26.76,243400
#2007-04-06#,26.7,26.85,26.65,26.76,243400
#2007-04-09#,26.78,27.1,26.7,26.8,208900
#2007-04-10#,26.97,27.01,26.74,26.75,174800
#2007-04-11#,27.07,27.07,26.75,26.92,150900
#2007-04-12#,26.85,27.26,26.83,27.26,1163800
#2007-04-13#,27.34,27.37,27.1335,27.34,197700
#2007-04-16#,27.46,27.75,27.46,27.75,306400
#2007-04-17#,27.54,27.77,27.45,27.59,348800
#2007-04-18#,27.36,27.76,27.36,27.72,139400
#2007-04-19#,27.69,27.7,27.34,27.4,375000
#2007-04-20#,27.365,27.7799,27.365,27.69,333800
#2007-04-23#,27.66,27.8,27.2,27.69,143700
#2007-04-24#,27.76,27.76,27.56,27.59,292900
#2007-04-25#,27.78,28.03,27.75,28.02,564100
#2007-04-26#,27.9,27.9,27.65,27.65,282300
#2007-04-27#,27.71,27.98,27.62,27.88,240200
#2007-04-30#,28.15,28.15,27.53,27.57,217000
#2007-05-01#,27.7,27.76,27.34,27.5,228400
#2007-05-02#,27.68,28,27.5,27.96,449900
#2007-05-03#,27.99,28.36,27.91,28.18,1157600
#2007-05-04#,28.15,28.42,28.15,28.37,298300
#2007-05-07#,28.63,28.82,28.52,28.73,492490
#2007-05-08#,28.51,28.76,28.47,28.7,464900
#2007-05-09#,28.89,28.89,28.57,28.69,137200
#2007-05-10#,28.98,28.98,28.34,28.4,227300
#2007-05-11#,28.59,28.83,28.31,28.83,134000
#2007-05-14#,28.76,28.95,28.57,28.73,579200
#2007-05-15#,28.62,29.28,28.62,29.07,308200
#2007-05-16#,29.23,29.23,28.88,29.13,214700
#2007-05-17#,29.23,29.69,29.03,29.41,565600
#2007-05-18#,29.83,29.83,29.4801,29.69,267300
#2007-05-21#,29.7,30.13,29.66,29.81,360330
#2007-05-22#,29.99,30,29.68,29.68,1041300
#2007-05-23#,30.11,30.21,29.63,29.63,512300
#2007-05-24#,30.24,30.24,29.37,29.4499,741600
#2007-05-25#,29.79,29.86,29.6,29.8,211500
#2007-05-28#,29.79,29.86,29.6,29.8,211500
#2007-05-29#,30.2,30.2,29.75,29.77,537100
#2007-05-30#,29.97,30.07,29.5,30.07,366400
#2007-05-31#,30.67,30.67,30,30.1,1700200
#2007-06-01#,29.96,30.47,29.96,30.46,3108800
#2007-06-04#,30.33,30.732,30.19,30.5412,751900
#2007-06-05#,30.72,30.72,30.33,30.42,432700
#2007-06-06#,30.2,30.47,30,30.03,426800
#2007-06-07#,29.59,30.14,29.33,29.33,997200
#2007-06-08#,29.28,29.75,24.24,29.65,1997300
#2007-06-11#,29.75,29.97,29.52,29.52,823740
#2007-06-12#,29.56,29.87,29.36,29.44,462700
#2007-06-13#,29.73,29.81,29.3936,29.8,429100
#2007-06-14#,30.1,30.13,29.85,30.13,675700
#2007-06-15#,30.67,30.67,30.14,30.58,1275300
#2007-06-18#,30.53,30.79,30.21,30.66,1529800
#2007-06-19#,30.4,30.55,30.18,30.42,494300
#2007-06-20#,30.35,30.63,29.93,29.98,284600
#2007-06-21#,29.56,30.05,29.56,30.05,339900
#2007-06-22#,30.39,30.39,29.78,29.83,789900
#2007-06-25#,29.89,30,29.53,29.57,467300
#2007-06-26#,29.79,29.79,29.15,29.15,502220
#2007-06-27#,29.2,29.43,28.8144,29.43,1157800
#2007-06-28#,29.55,29.84,29.55,29.75,240900
#2007-06-29#,29.75,30.31,29.69,29.86,758700
#2007-07-02#,30.49,30.49,30,30.23,2777800
#2007-07-03#,30.54,30.69,30.22,30.32,373300
#2007-07-04#,30.54,30.69,30.22,30.32,373300
#2007-07-05#,30.7,30.7,30.1201,30.54,540500
#2007-07-06#,30.62,30.89,30.58,30.84,531500
#2007-07-09#,30.98,31.25,30.7,30.9,1141300
#2007-07-10#,30.95,30.95,30.64,30.75,228300
#2007-07-11#,30.41,30.75,30.41,30.75,454800
#2007-07-12#,30.82,31.45,30.82,31.43,421700
#2007-07-13#,31.6,31.77,31.425,31.7,802900
#2007-07-16#,31.92,31.92,31.44,31.5,431100
#2007-07-17#,31.5,31.7278,31.5,31.6,350100
#2007-07-18#,31.42,32.06,31.42,32,1120800
#2007-07-19#,32.3,32.3,32.01,32.19,653200
#2007-07-20#,32.54,32.54,31.88,31.92,530400
#2007-07-23#,32,32.28,31.69,31.7,578200
#2007-07-24#,31.85,31.97,31.07,31.18,709000
#2007-07-25#,31.17,31.3834,30.64,31.11,713800
#2007-07-26#,30.94,31.12,29.82,30.16,517900
#2007-07-27#,29.91,30.3231,29.49,29.7,813500
#2007-07-30#,29.68,29.9,29.54,29.83,521300
#2007-07-31#,30.15,30.35,29.82,29.89,522400
#2007-08-01#,29.88,30.14,29.2,29.59,628800
#2007-08-02#,29.87,30.26,29.55,30.18,1158100
#2007-08-03#,30.42,30.42,29.51,29.6,301200
#2007-08-06#,29.24,29.63,28.84,29.4622,1022300
#2007-08-07#,29.75,29.76,29.23,29.53,502000
#2007-08-08#,29.98,30.41,29.8,30.2,464800
#2007-08-09#,29.84,30.05,29.2,29.29,1039300
#2007-08-10#,28.91,29.44,28.73,29.37,864900
#2007-08-13#,29.91,30.1,29.3,29.3,452800
#2007-08-14#,29.27,29.35,28.29,28.55,785100
#2007-08-15#,28.37,28.58,27.85,27.8701,1059100
#2007-08-16#,27.73,27.8,26.5,27.52,1965495
#2007-08-17#,28.29,28.8999,27.71,28.42,802700
#2007-08-20#,28.69,28.8399,28.25,28.68,543000
#2007-08-21#,28.31,28.85,28.31,28.79,554315
#2007-08-22#,29.27,29.36,28.99,29.28,538900
#2007-08-23#,29.71,29.81,29.1632,29.48,670800
#2007-08-24#,29.68,29.78,29.43,29.77,482500
#2007-08-27#,29.97,29.97,29.47,29.5,276597
#2007-08-28#,29.27,29.27,28.7,28.74,319100
#2007-08-29#,28.9,29.84,28.9,29.84,299400
#2007-08-30#,29.31,29.58,29.1126,29.42,316300
#2007-08-31#,30.06,30.06,29.68,29.9,479400
#2007-09-03#,30.06,30.06,29.68,29.9,479400
#2007-09-04#,29.73,30.42,29.73,30.29,823630
#2007-09-05#,30.08,30.3,29.95,30.07,584690
#2007-09-06#,30.14,30.27,29.94,30.24,944819
#2007-09-07#,30.19,30.19,29.76,29.97,1011800
#2007-09-10#,29.73,30,29.5901,29.84,441680
#2007-09-11#,30.05,30.4,30.05,30.31,339200
#2007-09-12#,30.33,30.69,30.21,30.68,352600
#2007-09-13#,30.89,31.13,30.61,30.9,759728
#2007-09-14#,30.75,31.21,30.75,31.09,408450
#2007-09-17#,31.12,31.25,30.87,31.08,682700
#2007-09-18#,31.39,31.98,31.17,31.93,599900
#2007-09-19#,31.89,32.22,31.69,31.76,1037800
#2007-09-20#,32.07,32.1599,31.87,31.94,860600
#2007-09-21#,32.02,32.3277,31.96,32.16,607975
#2007-09-24#,32.37,32.75,32,32.17,787700
#2007-09-25#,32.17,32.31,31.88,32.2716,4247600
#2007-09-26#,32.39,32.49,32.13,32.37,4177700
#2007-09-27#,32.44,32.84,32.43,32.67,491300
#2007-09-28#,32.94,32.98,32.69,32.73,4585090
#2007-10-01#,32.78,33.19,32.78,33.15,627900
#2007-10-02#,32.88,33.34,32.55,32.89,7060200
#2007-10-03#,32.65,33.0199,32.54,32.56,686880
#2007-10-04#,32.57,32.95,32.5,32.95,483700
#2007-10-05#,33.35,33.7,33.18,33.58,915000
#2007-10-08#,33.72,33.72,33.31,33.43,431300
#2007-10-09#,33.13,33.67,33.13,33.59,610554
#2007-10-10#,33.73,33.8,33.44,33.77,852900
#2007-10-11#,34.15,34.2799,33.47,33.72,723900
#2007-10-12#,33.89,34.23,33.77,34.23,528680
#2007-10-15#,34.18,34.23,33.59,33.73,499500
#2007-10-16#,33.68,33.7,33.38,33.42,353100
#2007-10-17#,33.69,33.9,33.4301,33.8,1134700
#2007-10-18#,33.83,34.47,33.72,34.47,736700
#2007-10-19#,34.29,34.29,33.54,33.56,637600
#2007-10-22#,32.76,33.65,32.03,33.65,1013200
#2007-10-23#,33.98,33.98,33.45,33.78,1365600
#2007-10-24#,33.78,33.82,33.1601,33.82,684900
#2007-10-25#,33.85,34.07,33.68,33.9,704600
#2007-10-26#,33.91,34.59,33.91,34.54,1590600
#2007-10-29#,34.9,35.21,34.67,35.15,1134000
#2007-10-30#,35.13,35.13,34.75,34.81,877400
#2007-10-31#,35.05,36.08,35.02,36.08,1251470
#2007-11-01#,35.94,35.94,35.06,35.13,1096700
#2007-11-02#,35.67,35.97,35.27,35.91,2031000
#2007-11-05#,35.7,35.77,35.31,35.65,1337800
#2007-11-06#,35.94,36.42,35.94,36.42,1310300
#2007-11-07#,36.58,36.68,35.52,35.55,2806792
#2007-11-08#,35.92,35.97,34.5,35,2855870
#2007-11-09#,34.9,34.9,34.22,34.24,1528971
#2007-11-12#,33.72,33.84,32.582,32.67,1760243
#2007-11-13#,32.98,33.46,32.85,33.46,1694392
#2007-11-14#,33.77,34.4,33.11,33.26,988610
#2007-11-15#,33,33.01,31.7,31.9,2640333
#2007-11-16#,31.97,32.44,31.71,32.33,1195581
#2007-11-19#,32.13,32.22,31.49,31.52,1274438
#2007-11-20#,31.53,32.1,31.52,32.01,2757172
#2007-11-21#,31.71,31.77,31.21,31.21,1278327
#2007-11-22#,31.71,31.77,31.21,31.21,1278327
#2007-11-23#,31.54,31.91,31.54,31.85,322304
#2007-11-26#,31.98,32.08,31.32,31.93,2338235
#2007-11-27#,31.48,31.48,30.84,31.42,1711777
#2007-11-28#,31.59,32.35,31.56,32.3,1888295
#2007-11-29#,32,32.41,31.79,32.41,954392
#2007-11-30#,32.15,32.29,31.72,31.91,1877300
#2007-12-03#,31.71,31.92,31.57,31.8,852738
#2007-12-04#,31.24,31.39,31.1,31.2,1758569
#2007-12-05#,31.37,31.67,31.36,31.61,1239671
#2007-12-06#,31.45,31.95,31.45,31.94,1125429
#2007-12-07#,32.02,32.21,31.95,32.07,1080100
#2007-12-10#,32.07,32.36,32.07,32.27,802700
#2007-12-11#,32.19,32.5,31.36,31.4,972200
#2007-12-12#,31.89,32.2,31.47,31.71,1308500
#2007-12-13#,31.78,31.78,31.04,31.45,2290129
#2007-12-14#,31.32,31.5378,31.07,31.28,676300
#2007-12-17#,31.21,31.58,30.98,31.03,757725
#2007-12-18#,31.17,31.3,30.6726,31,7515325
#2007-12-19#,30.99,31.4,30.99,31.17,1285800
#2007-12-20#,31.33,31.5,31.19,31.3,768125
#2007-12-21#,31.68,32.01,31.33,31.96,2387900
#2007-12-24#,31.75,32.11,31.7,32.1,584237
#2007-12-25#,31.75,32.11,31.7,32.1,584237
#2007-12-26#,32.1,32.31,31.97,32.22,415344
#2007-12-27#,32.38,32.38,32.07,32.2,1003679
#2007-12-28#,32.33,32.63,32.33,32.54,1157549
#2007-12-31#,32.52,32.54,32.08,32.12,583289
#2008-01-01#,32.52,32.54,32.08,32.12,583289
