"Date","Open","High","Low","Close","Volume"
#2016-01-01#,19.86,19.94,19.79,19.82,2274495
#2016-01-04#,19.31,19.415,19.225,19.39,3733741
#2016-01-05#,19.51,19.54,19.4,19.46,3730659
#2016-01-06#,19.11,19.2,19.04,19.11,3579368
#2016-01-07#,18.8,19.04,18.7,18.74,7357541
#2016-01-08#,18.74,18.745,18.4,18.43,6006069
#2016-01-11#,18.42,18.48,18.23,18.33,5452498
#2016-01-12#,18.43,18.49,18.25,18.34,8382096
#2016-01-13#,18.5,18.525,18.19,18.23,5716718
#2016-01-14#,18.16,18.39,18.04,18.35,7137760
#2016-01-15#,17.83,17.86,17.6,17.75,7837217
#2016-01-18#,17.83,17.86,17.6,17.75,7837217
#2016-01-19#,18.04,18.08,17.74,17.84,5755257
#2016-01-20#,17.19,17.37,16.94,17.25,8589620
#2016-01-21#,17.2,17.4,17.085,17.23,10016647
#2016-01-22#,17.51,17.65,17.4938,17.58,7498477
#2016-01-25#,17.51,17.53,17.35,17.35,4578391
#2016-01-26#,17.41,17.58,17.41,17.57,2911049
#2016-01-27#,17.51,17.63,17.32,17.39,16086319
#2016-01-28#,17.61,17.655,17.45,17.52,4391345
#2016-01-29#,17.88,17.995,17.855,17.97,12217863
#2016-02-01#,17.75,17.83,17.66,17.82,3388101
#2016-02-02#,17.66,17.67,17.43,17.47,5069994
#2016-02-03#,17.33,17.48,17.115,17.48,7643255
#2016-02-04#,17.43,17.57,17.25,17.35,20873244
#2016-02-05#,17.51,17.51,17.24,17.29,4688970
#2016-02-08#,17.14,17.16,16.9,17.02,5828316
#2016-02-09#,16.93,17.045,16.77,16.87,5768442
#2016-02-10#,17,17.22,16.96,16.98,4103211
#2016-02-11#,16.82,17.05,16.79,16.98,8889637
#2016-02-12#,17.17,17.34,17.13,17.34,3398953
#2016-02-15#,17.17,17.34,17.13,17.34,3398953
#2016-02-16#,17.54,17.58,17.475,17.52,6365362
#2016-02-17#,17.67,17.8,17.66,17.79,3057136
#2016-02-18#,17.82,17.82,17.66,17.7,3871190
#2016-02-19#,17.8,17.885,17.76,17.81,2622311
#2016-02-22#,18.12,18.31,18.12,18.3,3147046
#2016-02-23#,18.16,18.18,18.02,18.04,2031043
#2016-02-24#,17.79,18.03,17.715,18.01,4255262
#2016-02-25#,17.88,17.99,17.78,17.99,10068237
#2016-02-26#,18.2,18.25,18.1101,18.12,3205604
#2016-02-29#,18.14,18.22,18.09,18.09,2187157
#2016-03-01#,18.19,18.45,18.19,18.43,4497535
#2016-03-02#,18.6,18.78,18.6,18.78,4655888
#2016-03-03#,18.68,18.81,18.66,18.81,3889370
#2016-03-04#,18.89,19.155,18.855,19.12,3565870
#2016-03-07#,18.79,18.88,18.73,18.84,1931084
#2016-03-08#,18.63,18.7,18.58,18.6,1945795
#2016-03-09#,18.73,18.78,18.67,18.7,2369834
#2016-03-10#,18.82,18.88,18.55,18.67,5320491
#2016-03-11#,18.92,19.08,18.91,19.0708,3422608
#2016-03-14#,19.06,19.12,18.985,19.05,1877258
#2016-03-15#,18.99,19.1,18.98,19.09,1390285
#2016-03-16#,19,19.33,18.96,19.31,4138075
#2016-03-17#,19.21,19.37,19.16,19.35,2360043
#2016-03-18#,19.49,19.59,19.47,19.48,3380961
#2016-03-21#,19.54,19.61,19.52,19.57,1856202
#2016-03-22#,19.48,19.56,19.45,19.55,2047109
#2016-03-23#,19.47,19.47,19.315,19.33,1815916
#2016-03-24#,19.13,19.2,19.09,19.2,1289294
#2016-03-25#,19.13,19.2,19.09,19.2,1289294
#2016-03-28#,19.21,19.33,19.21,19.28,1439358
#2016-03-29#,19.28,19.52,19.26,19.52,1474971
#2016-03-30#,19.8,19.97,19.8,19.87,2901238
#2016-03-31#,19.85,19.87,19.76,19.77,3079185
#2016-04-01#,19.43,19.65,19.365,19.6408,2501798
#2016-04-04#,19.54,19.64,19.46,19.47,1569222
#2016-04-05#,19.28,19.33,19.19,19.19,1897532
#2016-04-06#,19.28,19.5,19.26,19.48,1935645
#2016-04-07#,19.34,19.41,19.2335,19.27,2298931
#2016-04-08#,19.59,19.63,19.45,19.48,3655249
#2016-04-11#,19.67,19.73,19.57,19.58,1847274
#2016-04-12#,19.65,19.84,19.595,19.75,1909958
#2016-04-13#,20.12,20.185,20.1,20.15,2515164
#2016-04-14#,20.23,20.255,20.16,20.17,6742046
#2016-04-15#,20.08,20.11,20.02,20.05,1998032
#2016-04-18#,19.96,20.185,19.96,20.15,1542507
#2016-04-19#,20.2,20.33,20.16,20.3,2390566
#2016-04-20#,20.12,20.3136,20.11,20.23,1068389
#2016-04-21#,20.3,20.3,20.14,20.17,3106301
#2016-04-22#,20.27,20.315,20.16,20.16,4568817
#2016-04-25#,20.22,20.28,20.18,20.21,1809859
#2016-04-26#,20.23,20.29,20.195,20.27,2116012
#2016-04-27#,20.11,20.27,20.09,20.24,2540730
#2016-04-28#,20.14,20.2522,20.08,20.12,3323381
#2016-04-29#,19.86,19.89,19.695,19.78,4016098
#2016-05-02#,19.83,19.84,19.72,19.8,3154707
#2016-05-03#,19.52,19.54,19.37,19.42,7763366
#2016-05-04#,19.38,19.41,19.25,19.27,3638975
#2016-05-05#,19.52,19.55,19.38,19.43,4211031
#2016-05-06#,19.16,19.325,19.16,19.28,3898999
#2016-05-09#,19.29,19.345,19.18,19.18,2827060
#2016-05-10#,19.37,19.51,19.36,19.49,2118572
#2016-05-11#,19.25,19.26,19.15,19.17,2768799
#2016-05-12#,19.17,19.19,19.02,19.03,5913429
#2016-05-13#,18.91,18.955,18.74,18.8,3299943
#2016-05-16#,18.97,19.08,18.93,19.03,2593587
#2016-05-17#,19,19.035,18.89,18.93,2696201
#2016-05-18#,18.89,19.025,18.785,18.85,5188310
#2016-05-19#,18.75,18.81,18.68,18.74,5533493
#2016-05-20#,18.98,19.06,18.97,19,3059053
#2016-05-23#,18.94,18.97,18.89,18.91,1479812
#2016-05-24#,19.01,19.18,19.01,19.15,1913942
#2016-05-25#,19.3,19.41,19.3,19.4,2331819
#2016-05-26#,19.39,19.42,19.345,19.41,2539450
#2016-05-27#,19.47,19.52,19.41,19.45,2133995
#2016-05-30#,19.47,19.52,19.41,19.45,2133995
#2016-05-31#,19.66,19.84,19.62,19.75,5071284
#2016-06-01#,19.64,19.71,19.62,19.69,2496523
#2016-06-02#,19.81,19.88,19.76,19.84,2836612
#2016-06-03#,19.94,19.98,19.835,19.95,2387760
#2016-06-06#,20.06,20.22,20.02,20.16,3038980
#2016-06-07#,20.22,20.3,20.22,20.25,1787355
#2016-06-08#,20.26,20.29,20.18,20.2,2638068
#2016-06-09#,20.15,20.16,20.07,20.1,2663755
#2016-06-10#,19.95,20.05,19.91,20,7005342
#2016-06-13#,19.63,19.75,19.6,19.62,3328757
#2016-06-14#,19.51,19.565,19.38,19.49,7159066
#2016-06-15#,19.61,19.7,19.44,19.47,7327297
#2016-06-16#,19.19,19.36,19.06,19.335,3372812
#2016-06-17#,19.32,19.34,19.2,19.3,3377774
#2016-06-20#,19.58,19.67,19.57,19.6,4330691
#2016-06-21#,19.53,19.65,19.5,19.62,3123855
#2016-06-22#,19.35,19.4,19.25,19.26,3458205
#2016-06-23#,19.54,19.7,19.52,19.69,3270189
#2016-06-24#,18.92,19.14,18.78,18.82,7136232
#2016-06-27#,18.8,18.81,18.5,18.66,5574792
#2016-06-28#,18.94,18.97,18.82,18.93,6192072
#2016-06-29#,19.22,19.3,19.22,19.27,3776676
#2016-06-30#,19.55,19.645,19.455,19.58,3866794
#2016-07-01#,19.63,19.755,19.61,19.73,3379667
#2016-07-04#,19.63,19.755,19.61,19.73,3379667
#2016-07-05#,19.46,19.48,19.36,19.4,2165405
#2016-07-06#,19.23,19.44,19.19,19.42,3993191
#2016-07-07#,19.47,19.52,19.325,19.37,4558267
#2016-07-08#,19.45,19.63,19.45,19.61,2780984
#2016-07-11#,19.57,19.73,19.57,19.7,2834686
#2016-07-12#,19.98,20.09,19.9736,20.04,4664778
#2016-07-13#,20.01,20.02,19.935,20,2754775
#2016-07-14#,20.21,20.26,20.14,20.21,4743668
#2016-07-15#,20.3,20.32,20.2,20.24,1900648
#2016-07-18#,20.32,20.47,20.31,20.45,1454501
#2016-07-19#,20.41,20.46,20.36,20.37,1592862
#2016-07-20#,20.65,20.71,20.615,20.68,1790682
#2016-07-21#,20.69,20.7446,20.625,20.665,2383743
#2016-07-22#,20.79,20.8,20.72,20.78,1749484
#2016-07-25#,20.81,20.82,20.69,20.72,1308528
#2016-07-26#,21.03,21.1,20.97,21.09,2082857
#2016-07-27#,21,21.04,20.88,20.99,1846736
#2016-07-28#,20.99,21,20.93,20.99,1740795
#2016-07-29#,20.77,20.91,20.77,20.9,3263429
#2016-08-01#,20.93,20.98,20.835,20.85,2811873
#2016-08-02#,20.8,20.87,20.69,20.77,1893321
#2016-08-03#,20.54,20.67,20.5101,20.66,3032522
#2016-08-04#,20.66,20.72,20.62,20.67,2516875
#2016-08-05#,20.93,21.045,20.93,21.03,1688038
#2016-08-08#,21.11,21.16,21.105,21.12,813327
#2016-08-09#,21.11,21.19,21.1,21.15,1140653
#2016-08-10#,21.06,21.11,21.02,21.06,1706020
#2016-08-11#,21.16,21.3,21.16,21.28,1482720
#2016-08-12#,21.19,21.235,21.15,21.21,2402292
#2016-08-15#,21.27,21.34,21.265,21.33,1174003
#2016-08-16#,21.21,21.23,21.14,21.19,1844372
#2016-08-17#,21.09,21.13,20.96,21.09,3150852
#2016-08-18#,21.11,21.17,21.1,21.17,2177540
#2016-08-19#,20.98,21.02,20.89,21,1571529
#2016-08-22#,20.93,20.977,20.9,20.93,1474743
#2016-08-23#,21.15,21.19,21.1,21.11,1873420
#2016-08-24#,20.96,21.03,20.92,20.95,1299896
#2016-08-25#,20.94,21.04,20.94,21.01,1514506
#2016-08-26#,21.08,21.21,20.85,20.94,2949409
#2016-08-29#,20.88,20.96,20.87,20.95,1360773
#2016-08-30#,21.16,21.16,21.04,21.13,22371948
#2016-08-31#,21.09,21.1,20.96,21.03,2525744
#2016-09-01#,21.28,21.3,21.17,21.28,2456488
#2016-09-02#,21.51,21.68,21.47,21.64,7794033
#2016-09-05#,21.51,21.68,21.47,21.64,7794033
#2016-09-06#,21.9,21.9,21.76,21.86,4002718
#2016-09-07#,21.82,21.94,21.82,21.9,5090071
#2016-09-08#,22.04,22.14,22.03,22.1,3874058
#2016-09-09#,22.26,22.26,21.95,21.95,5102025
#2016-09-12#,21.73,22.08,21.7,22.04,3173023
#2016-09-13#,21.63,21.7,21.415,21.52,4267834
#2016-09-14#,21.65,21.755,21.6,21.64,3599281
#2016-09-15#,21.88,22.06,21.82,21.98,1957504
#2016-09-16#,21.93,21.93,21.7848,21.88,1728073
#2016-09-19#,21.99,22.06,21.8538,21.87,2252678
#2016-09-20#,21.93,21.9699,21.85,21.85,1226865
#2016-09-21#,21.91,22.115,21.82,22.1,1669341
#2016-09-22#,22.18,22.22,22.14,22.19,1689537
#2016-09-23#,22.02,22.05,21.97,22.02,1485655
#2016-09-26#,21.83,21.87,21.74,21.75,1382378
#2016-09-27#,21.91,22,21.8889,21.98,1830733
#2016-09-28#,22.08,22.15,21.935,22.15,1848026
#2016-09-29#,22.1,22.13,21.86,21.93,2393241
#2016-09-30#,21.87,22.05,21.87,22.01,2304478
#2016-10-03#,22,22.08,21.931,22.05,1500001
#2016-10-04#,22.08,22.12,21.89,21.94,2705304
#2016-10-05#,22.07,22.22,22.065,22.17,3306035
#2016-10-06#,22.11,22.17,22.04,22.14,814143
#2016-10-07#,22.15,22.15,21.9952,22.1,1543443
#2016-10-10#,22.16,22.32,22.16,22.25,1257409
#2016-10-11#,21.74,21.74,21.52,21.6,2615407
#2016-10-12#,21.7,21.79,21.69,21.74,2176832
#2016-10-13#,21.44,21.54,21.33,21.49,4197414
#2016-10-14#,21.69,21.77,21.61,21.62,2695868
#2016-10-17#,21.46,21.54,21.42,21.51,1351973
#2016-10-18#,21.79,21.79,21.71,21.74,1560272
#2016-10-19#,21.75,21.855,21.71,21.81,2672207
#2016-10-20#,21.79,21.86,21.75,21.84,3350436
#2016-10-21#,21.74,21.85,21.74,21.83,1559531
#2016-10-24#,22.03,22.1,22.03,22.06,1644718
#2016-10-25#,22.06,22.12,22.02,22.02,3449729
#2016-10-26#,21.92,22.03,21.88,21.95,2020182
#2016-10-27#,21.89,21.89,21.74,21.76,1989354
#2016-10-28#,21.67,21.72,21.52,21.6,3516158
#2016-10-31#,21.51,21.63,21.51,21.57,1934322
#2016-11-01#,21.73,21.8,21.55,21.66,2549006
#2016-11-02#,21.55,21.575,21.38,21.48,4196402
#2016-11-03#,21.43,21.48,21.345,21.4,2416724
#2016-11-04#,21.13,21.23,21.11,21.13,5445961
#2016-11-07#,21.15,21.29,21.1384,21.18,12002838
#2016-11-08#,21.21,21.43,21.155,21.32,2442653
#2016-11-09#,21,21.26,20.98,21.01,10282836
#2016-11-10#,21.15,21.15,20.855,20.96,6442982
#2016-11-11#,20.79,20.885,20.61,20.81,4300311
#2016-11-14#,20.53,20.69,20.5,20.59,2778945
#2016-11-15#,20.61,20.78,20.585,20.78,3546537
#2016-11-16#,20.49,20.51,20.42,20.48,8681387
#2016-11-17#,20.63,20.74,20.63,20.71,2943842
#2016-11-18#,20.83,20.83,20.7,20.77,2586394
#2016-11-21#,20.8,20.86,20.77,20.86,2401775
#2016-11-22#,20.97,21.04,20.89,21.02,6586752
#2016-11-23#,20.92,20.99,20.89,20.94,2695319
#2016-11-24#,20.92,20.99,20.89,20.94,2695319
#2016-11-25#,21.02,21.02,20.965,20.99,1332688
#2016-11-28#,20.96,21,20.89,20.9,1187562
#2016-11-29#,20.99,21.06,20.96,21.02,2212658
#2016-11-30#,21.12,21.21,21.09,21.17,2913222
#2016-12-01#,21.02,21.08,20.95,20.98,2576580
#2016-12-02#,20.73,20.83,20.68,20.74,2394847
#2016-12-05#,20.77,20.84,20.76,20.82,1924023
#2016-12-06#,20.79,20.85,20.75,20.83,2912510
#2016-12-07#,20.82,20.99,20.78,20.97,3022447
#2016-12-08#,20.74,20.92,20.73,20.74,3723856
#2016-12-09#,20.65,20.65,20.58,20.6,3887211
#2016-12-12#,20.34,20.4,20.2501,20.29,3176321
#2016-12-13#,20.4,20.56,20.4,20.53,2236007
#2016-12-14#,20.34,20.45,20.1235,20.18,4729470
#2016-12-15#,20.04,20.13,20.015,20.06,3291931
#2016-12-16#,20.02,20.02,19.89,19.95,3241118
#2016-12-19#,19.82,19.835,19.77,19.78,1722481
#2016-12-20#,19.81,19.85,19.76,19.78,2033643
#2016-12-21#,19.58,19.6,19.52,19.53,1529090
#2016-12-22#,19.5,19.53,19.44,19.5,2277948
#2016-12-23#,19.43,19.45,19.4,19.43,1100055
#2016-12-26#,19.43,19.45,19.4,19.43,1100055
#2016-12-27#,19.44,19.485,19.39,19.43,3830500
#2016-12-28#,19.43,19.44,19.27,19.31,6408412
#2016-12-29#,19.35,19.44,19.34,19.43,3486562
#2016-12-30#,19.54,19.55,19.45,19.48,1537528
